,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,WESTERN-KENTUCKY_homegame,WESTERN-KENTUCKY_homegame2,WESTERN-KENTUCKY_home,WESTERN-KENTUCKY_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
14,2019-01-05-19-old-dominion,33.3,8,11.6,5,101.5,66.7,26,0.48200000000000004,55,0.436,24,0.309,17,0.765,13,7,200,97.1,17.9,5,15,66,,2.9,2,0.273,15,0.33299999999999996,5,46.3,31,0.523,16.1,12,40,0.475,19,0.5329999999999999,8,"January 5, 2019",44.4,12,12.5,5,97.1,82.1,23,0.47,66,0.409,27,0.182,12,0.583,7,4,200,101.5,33.3,13,15,69,,13.2,9,0.348,23,0.348,8,53.7,36,0.48100000000000004,10.1,8,43,0.442,19,0.733,11,"Ted Constant Convocation Ctr., Norfolk, Virginia",WESTERN-KENTUCKY,Western Kentucky,68.4,Home,OLD-DOMINION,Old Dominion,Western Kentucky,cusa,14,False,False,False,Away,False,5,19,55,31,67,8,19,66,0,1,81,279,779,0.5141206675224647,460,866,0.5311778290993071,116,253,837,0.5101553166069295,0.5714285714285714
15,2019-01-12-19-marshall,33.3,9,9.7,3,98.6,80.6,25,0.527,56,0.48200000000000004,27,0.25,14,0.7140000000000001,10,8,200,97.2,32.1,9,19,69,,8.5,6,0.28600000000000003,16,0.313,5,57.6,34,0.551,21.5,17,40,0.55,22,0.5,8,"January 12, 2019",56.0,14,15.0,6,97.2,67.9,19,0.5,57,0.439,25,0.281,16,0.813,13,6,200,98.6,19.4,6,12,70,,12.7,9,0.456,26,0.26899999999999996,7,42.4,25,0.542,16.9,13,31,0.581,18,0.625,10,"Henderson Center, Huntington, West Virginia",WESTERN-KENTUCKY,Western Kentucky,71.1,Home,MARSHALL,Marshall,Western Kentucky,cusa,15,False,False,False,Away,False,5,22,56,34,59,7,18,57,0,1,86,298,834,0.511990407673861,491,933,0.5262593783494105,124,272,903,0.5071982281284607,0.5333333333333333
16,2019-01-17-20-western-kentucky,54.2,13,13.2,5,97.4,78.8,26,0.473,56,0.429,24,0.7140000000000001,40,0.6,24,6,200,98.7,26.3,10,21,77,,9.0,7,0.39299999999999996,22,0.22699999999999998,5,50.7,36,0.513,16.0,14,34,0.5589999999999999,19,0.667,12,"January 17, 2019",64.3,18,20.6,7,98.7,73.7,28,0.573,55,0.509,28,0.436,24,0.542,13,9,200,97.4,21.2,7,22,76,,10.3,8,0.309,17,0.41200000000000003,7,49.3,35,0.5720000000000001,21.5,18,38,0.5529999999999999,21,0.47100000000000003,8,"E.A. Diddle Arena, Bowling Green, Kentucky",WESTERN-KENTUCKY,Western Kentucky,78.2,Away,FLORIDA-INTERNATIONAL,Florida International,Western Kentucky,cusa,16,False,True,True,Home,False,7,21,55,35,71,5,19,56,0,1,91,320,890,0.5129213483146068,525,992,0.5292338709677419,131,290,960,0.5067708333333333,0.5
17,2019-01-19-15-western-kentucky,50.0,12,2.9,1,107.5,67.7,21,0.517,60,0.4,24,0.11699999999999999,7,0.5710000000000001,4,8,200,98.5,28.6,10,19,66,,4.5,3,0.5,30,0.467,14,47.0,31,0.521,18.2,14,30,0.33299999999999996,10,0.579,11,"January 19, 2019",54.2,13,20.0,6,98.5,71.4,25,0.48200000000000004,56,0.429,24,0.375,21,0.857,18,9,200,107.5,32.3,10,8,72,,14.9,10,0.375,21,0.28600000000000003,6,53.0,35,0.546,14.4,11,35,0.514,18,0.5,9,"E.A. Diddle Arena, Bowling Green, Kentucky",FLORIDA-ATLANTIC,Florida Atlantic,67.2,Home,WESTERN-KENTUCKY,Western Kentucky,Western Kentucky,cusa,17,True,False,True,Home,True,6,18,56,35,66,14,10,60,1,0,98,341,945,0.5164021164021164,560,1063,0.5268109125117592,136,309,1016,0.5049212598425197,0.47058823529411764
18,2019-01-21-21-western-kentucky,40.9,9,8.1,3,89.5,70.0,21,0.419,62,0.355,22,0.161,10,0.7,7,7,200,77.6,13.9,5,14,59,,14.5,11,0.516,32,0.25,8,39.4,26,0.442,18.4,15,30,0.467,14,0.632,12,"January 21, 2019",34.8,8,16.7,5,77.6,86.1,31,0.455,55,0.418,23,0.4,22,0.818,18,9,200,89.5,30.0,9,11,68,,7.9,6,0.327,18,0.222,4,60.6,40,0.519,22.7,19,37,0.514,19,0.526,10,"E.A. Diddle Arena, Bowling Green, Kentucky",MARSHALL,Marshall,76.1,Home,WESTERN-KENTUCKY,Western Kentucky,Western Kentucky,cusa,18,True,False,True,Home,True,4,19,55,40,66,8,14,62,1,0,104,359,1001,0.5144855144855145,595,1129,0.5270150575730735,150,319,1076,0.5055762081784386,0.5
19,2019-01-24-20-southern-mississippi,46.2,12,2.9,1,91.3,76.3,29,0.509,57,0.456,26,0.281,16,0.5,8,9,200,95.7,27.8,10,11,66,,10.1,7,0.368,21,0.28600000000000003,6,52.7,39,0.511,20.0,16,36,0.556,20,0.55,11,"January 24, 2019",68.0,17,5.6,2,95.7,72.2,26,0.475,61,0.41,25,0.19699999999999998,12,0.41700000000000004,5,9,200,91.3,23.7,9,15,63,,14.5,10,0.426,26,0.308,8,47.3,35,0.47200000000000003,12.0,9,35,0.486,17,0.55,11,"Reed Green Coliseum, Hattiesburg, Mississippi",SOUTHERN-MISSISSIPPI,Southern Miss,68.7,Away,WESTERN-KENTUCKY,Western Kentucky,Western Kentucky,cusa,19,False,False,False,Away,True,6,20,57,39,74,8,17,61,1,0,108,378,1056,0.5113636363636364,635,1195,0.5313807531380753,158,333,1138,0.5008787346221442,0.5263157894736842
20,2019-01-26-17-louisiana-tech,68.8,11,14.3,5,93.9,76.7,23,0.419,43,0.37200000000000005,16,0.488,21,0.667,14,10,200,75.8,23.3,7,18,50,,7.6,5,0.349,15,0.267,4,50.0,30,0.47200000000000003,24.6,17,28,0.429,12,0.524,11,"January 26, 2019",81.8,18,21.4,6,75.8,76.7,23,0.44799999999999995,58,0.379,22,0.31,18,0.556,10,7,200,93.9,23.3,7,19,62,,9.1,6,0.397,23,0.348,8,50.0,30,0.466,12.0,9,35,0.4,14,0.682,15,"Thomas Assembly Center, Ruston, Louisiana",WESTERN-KENTUCKY,Western Kentucky,65.8,Home,LOUISIANA-TECH,Louisiana Tech,Western Kentucky,cusa,20,False,False,False,Away,False,4,12,43,30,60,8,14,58,0,1,114,398,1113,0.5112309074573226,674,1269,0.5311268715524035,166,350,1199,0.49958298582151794,0.55
21,2019-01-31-20-western-kentucky,61.3,19,4.9,2,124.7,61.1,22,0.565,69,0.449,31,0.203,14,0.7140000000000001,10,10,225,114.3,20.0,7,21,88,,2.6,2,0.449,31,0.516,16,40.8,29,0.5820000000000001,10.7,9,38,0.395,15,0.545,12,"January 31, 2019",53.1,17,7.9,3,114.3,80.0,28,0.514,72,0.444,32,0.375,27,0.815,22,10,225,124.7,38.9,14,14,96,,6.5,5,0.431,31,0.32299999999999995,10,59.2,42,0.5660000000000001,6.7,6,41,0.537,22,0.545,12,"E.A. Diddle Arena, Bowling Green, Kentucky",TEXAS-SAN-ANTONIO,UTSA,68.7,Home,WESTERN-KENTUCKY,Western Kentucky,Western Kentucky,cusa,21,True,False,True,Home,True,10,22,72,42,71,16,15,69,1,0,118,410,1156,0.5077854671280276,704,1329,0.5297215951843491,174,364,1257,0.4972155926809865,0.5238095238095238
22,2019-02-02-19-western-kentucky,45.5,10,11.4,5,108.6,67.7,21,0.41,61,0.361,22,0.18,11,0.818,9,14,200,84.3,18.2,6,21,59,,1.4,1,0.377,23,0.261,6,42.2,27,0.445,13.2,10,38,0.42100000000000004,16,0.33299999999999996,7,"February 2, 2019",44.4,12,7.9,3,84.3,81.8,27,0.5,57,0.474,27,0.509,29,0.655,19,10,200,108.6,32.3,10,10,76,,4.3,3,0.228,13,0.231,3,57.8,37,0.537,11.4,9,44,0.545,24,0.565,13,"E.A. Diddle Arena, Bowling Green, Kentucky",TEXAS-EL-PASO,UTEP,70.0,Home,WESTERN-KENTUCKY,Western Kentucky,Western Kentucky,cusa,22,True,False,True,Home,True,3,24,57,37,64,6,16,61,1,0,128,432,1228,0.50814332247557,746,1400,0.5328571428571428,190,379,1326,0.5007541478129713,0.5454545454545454
23,2019-02-07-21-rice,50.0,17,15.2,7,92.4,73.3,33,0.5,78,0.436,34,0.26899999999999996,21,0.667,14,10,250,100.0,25.0,11,20,92,,9.8,9,0.33299999999999996,26,0.385,10,49.4,44,0.523,15.5,16,52,0.462,24,0.583,14,"February 7, 2019",53.3,16,9.6,5,100.0,75.0,33,0.455,77,0.39,30,0.247,19,0.789,15,15,250,92.4,26.7,12,17,85,,6.5,6,0.40299999999999997,31,0.32299999999999995,10,50.6,45,0.494,16.6,17,46,0.435,20,0.375,9,"Tudor Fieldhouse, Houston, Texas",RICE,Rice,73.6,Away,WESTERN-KENTUCKY,Western Kentucky,Western Kentucky,cusa,23,False,False,False,Away,True,10,24,78,44,89,10,20,77,1,0,131,456,1285,0.5077821011673151,783,1464,0.5348360655737705,196,395,1387,0.4967555875991348,0.5652173913043478
24,2019-02-09-18-north-texas,40.9,9,17.1,6,85.5,70.7,29,0.461,51,0.431,22,0.33299999999999996,17,0.882,15,10,200,89.9,20.7,6,15,62,,10.1,7,0.353,18,0.16699999999999998,3,50.0,35,0.525,20.4,15,33,0.5760000000000001,19,0.6,15,"February 9, 2019",39.1,9,6.1,2,89.9,79.3,23,0.396,67,0.34299999999999997,23,0.10400000000000001,7,0.857,6,5,200,85.5,29.3,12,17,59,,11.6,8,0.478,32,0.21899999999999997,7,50.0,35,0.419,14.6,12,35,0.457,16,0.8,20,"UNT Coliseum, Denton, Texas",NORTH-TEXAS,North Texas,69.2,Away,WESTERN-KENTUCKY,Western Kentucky,Western Kentucky,cusa,24,False,False,False,Away,True,3,19,51,35,70,7,16,67,1,0,141,480,1363,0.5073367571533383,827,1553,0.5325177076625885,206,415,1464,0.49453551912568305,0.5833333333333334
25,2019-02-14-20-western-kentucky,40.9,9,5.9,2,106.0,81.8,27,0.406,64,0.344,22,0.203,13,0.846,11,18,200,94.0,38.5,15,13,63,,4.5,3,0.42200000000000004,27,0.29600000000000004,8,58.3,42,0.449,16.7,14,37,0.37799999999999995,14,0.308,8,"February 14, 2019",59.3,16,16.2,6,94.0,61.5,24,0.561,57,0.474,27,0.193,11,0.636,7,10,200,106.0,18.2,6,9,71,,11.9,8,0.40399999999999997,23,0.435,10,41.7,30,0.5710000000000001,12.7,9,34,0.5,17,0.615,16,"E.A. Diddle Arena, Bowling Green, Kentucky",MIDDLE-TENNESSEE,Middle Tennessee,67.2,Home,WESTERN-KENTUCKY,Western Kentucky,Western Kentucky,cusa,25,True,False,True,Home,True,10,17,57,30,72,8,14,64,1,0,144,499,1414,0.5056577086280056,862,1623,0.5311152187307455,213,431,1531,0.49020248203788375,0.6
26,2019-02-16-15-western-kentucky,34.8,8,2.7,1,92.3,76.9,30,0.551,49,0.469,23,0.449,22,0.636,14,11,200,104.6,26.7,8,17,68,,9.2,6,0.36700000000000005,18,0.444,8,55.1,38,0.5720000000000001,17.0,12,31,0.484,15,0.593,16,"February 16, 2019",62.5,15,16.1,5,104.6,73.3,22,0.42200000000000004,64,0.375,24,0.141,9,0.667,6,11,200,92.3,23.1,9,17,60,,7.7,5,0.42200000000000004,27,0.222,6,44.9,31,0.439,10.5,8,37,0.486,18,0.593,16,"E.A. Diddle Arena, Bowling Green, Kentucky",WESTERN-KENTUCKY,Western Kentucky,65.4,Away,ALABAMA-BIRMINGHAM,Alabama-Birmingham,Western Kentucky,cusa,26,False,True,True,Home,False,6,18,64,31,69,8,15,49,0,1,154,516,1471,0.5078178110129163,892,1695,0.5262536873156343,221,445,1595,0.48683385579937305,0.6153846153846154
