,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,LOUISIANA-MONROE_homegame,LOUISIANA-MONROE_homegame2,LOUISIANA-MONROE_home,LOUISIANA-MONROE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-21-20-louisiana-monroe,50.0,13,11.1,3,117.6,88.5,23,0.517,58,0.44799999999999995,26,0.121,7,0.429,3,13,200,92.6,25.8,8,22,63,,5.9,4,0.345,20,0.4,8,54.4,31,0.514,19.7,15,38,0.474,18,0.0,0,"December 21, 2018",57.7,15,0.0,0,92.6,74.2,23,0.625,52,0.5,26,0.40399999999999997,21,0.7140000000000001,15,4,200,117.6,11.5,3,15,80,,8.8,6,0.48100000000000004,25,0.52,13,45.6,26,0.645,12.8,9,27,0.48100000000000004,13,0.636,7,"Fant-Ewing Coliseum, Monroe, Louisiana",COPPIN-STATE,Coppin State,68.2,Home,LOUISIANA-MONROE,Louisiana-Monroe,Louisiana-Monroe,sun-belt,10,True,False,True,Home,True,13,13,52,26,57,8,18,58,1,0,86,153,559,0.5044722719141324,309,669,0.4618834080717489,67,176,608,0.45476973684210525,0.6
11,2018-12-28-20-louisiana-state,39.1,9,7.5,3,112.5,62.5,20,0.466,59,0.39,23,0.271,16,0.875,14,5,200,95.8,30.3,10,14,69,,8.3,6,0.40700000000000003,24,0.375,9,46.2,30,0.518,20.5,17,35,0.4,14,0.583,7,"December 28, 2018",56.3,18,17.1,6,95.8,69.7,23,0.59,61,0.525,32,0.262,16,0.563,9,3,200,112.5,37.5,12,16,81,,16.7,12,0.344,21,0.381,8,53.8,35,0.59,17.1,14,40,0.6,24,0.769,10,"Maravich Assembly Center, Baton Rouge, Louisiana",LOUISIANA-MONROE,Louisiana-Monroe,72.1,Home,LOUISIANA-STATE,LSU,Louisiana-Monroe,sun-belt,11,False,False,False,Away,False,9,14,59,30,65,8,24,61,0,1,99,166,611,0.5147299509001637,335,726,0.46143250688705234,75,194,666,0.4602102102102102,0.6363636363636364
12,2019-01-03-20-louisiana-monroe,58.1,18,16.7,5,136.6,81.5,22,0.74,50,0.62,31,0.38,19,0.526,10,9,200,118.3,20.0,5,15,84,,2.8,2,0.44,22,0.545,12,51.9,27,0.7120000000000001,23.6,18,28,0.679,19,0.35700000000000004,5,"January 3, 2019",60.0,21,3.6,1,118.3,80.0,20,0.69,63,0.556,35,0.19,12,0.833,10,5,200,136.6,18.5,5,14,97,,9.9,7,0.524,33,0.515,17,48.1,25,0.706,9.3,7,30,0.6,18,0.615,8,"Fant-Ewing Coliseum, Monroe, Louisiana",ARKANSAS-LITTLE-ROCK,Little Rock,71.4,Home,LOUISIANA-MONROE,Louisiana-Monroe,Louisiana-Monroe,sun-belt,12,True,False,True,Home,True,17,18,63,25,52,12,19,50,1,0,108,180,670,0.5104477611940299,365,791,0.461441213653603,83,218,727,0.47111416781292986,0.5833333333333334
13,2019-01-05-15-louisiana-monroe,25.0,7,10.3,3,121.4,77.4,24,0.5710000000000001,56,0.5,28,0.304,17,0.647,11,8,200,107.1,27.6,8,24,75,,2.9,2,0.446,25,0.32,8,53.3,32,0.585,17.0,13,31,0.645,20,0.467,7,"January 5, 2019",56.0,14,3.2,1,107.1,72.4,21,0.526,58,0.431,25,0.483,28,0.857,24,5,200,121.4,22.6,7,18,85,,5.7,4,0.5,29,0.379,11,46.7,28,0.596,9.1,7,29,0.483,14,0.643,9,"Fant-Ewing Coliseum, Monroe, Louisiana",ARKANSAS-STATE,Arkansas State,70.2,Home,LOUISIANA-MONROE,Louisiana-Monroe,Louisiana-Monroe,sun-belt,13,True,False,True,Home,True,11,14,58,28,60,8,20,56,1,0,125,198,733,0.5259208731241474,390,843,0.4626334519572954,95,237,777,0.48841698841698844,0.6153846153846154
14,2019-01-10-19-georgia-southern,48.1,13,5.7,2,105.3,78.4,29,0.532,62,0.435,27,0.21,13,0.9229999999999999,12,6,200,104.0,27.3,9,16,78,,9.3,7,0.5,31,0.387,12,54.3,38,0.5720000000000001,19.1,16,31,0.484,15,0.6,9,"January 10, 2019",35.7,10,6.5,2,104.0,72.7,24,0.55,60,0.467,28,0.317,19,0.684,13,6,200,105.3,21.6,8,14,79,,13.3,10,0.41700000000000004,25,0.4,10,45.7,32,0.5720000000000001,17.0,14,35,0.514,18,0.625,10,"Hanner Fieldhouse, Statesboro, Georgia",LOUISIANA-MONROE,Louisiana-Monroe,75.1,Home,GEORGIA-SOUTHERN,Georgia Southern,Louisiana-Monroe,sun-belt,14,False,False,False,Away,False,12,15,62,38,70,10,18,60,0,1,136,212,791,0.5259165613147914,418,903,0.4629014396456257,103,257,833,0.4939975990396158,0.6428571428571429
15,2019-01-12-13-georgia-state,54.5,12,5.4,2,101.4,81.1,30,0.456,57,0.386,22,0.40399999999999997,23,0.9129999999999999,21,7,200,100.0,36.4,12,13,73,,11.0,8,0.544,31,0.258,8,60.0,42,0.537,19.2,16,26,0.5379999999999999,14,0.562,9,"January 12, 2019",34.5,10,3.8,1,100.0,63.6,21,0.515,65,0.446,29,0.185,12,0.583,7,4,200,101.4,18.9,7,15,74,,13.7,10,0.431,28,0.321,9,40.0,28,0.523,13.5,11,37,0.541,20,0.765,13,"GSU Sports Arena, Atlanta, Georgia",LOUISIANA-MONROE,Louisiana-Monroe,73.3,Home,GEORGIA-STATE,Georgia State,Louisiana-Monroe,sun-belt,15,False,False,False,Away,False,8,14,57,42,70,9,20,65,0,1,148,227,853,0.5263774912075029,456,973,0.4686536485097636,113,275,893,0.4977603583426652,0.6
16,2019-01-19-15-louisiana-monroe,73.3,22,10.8,4,117.9,76.7,23,0.5379999999999999,65,0.462,30,0.523,34,0.735,25,7,200,113.1,25.0,9,19,95,,9.5,8,0.354,23,0.435,10,48.5,32,0.585,12.1,11,42,0.47600000000000003,20,0.611,11,"January 19, 2019",57.6,19,4.8,2,113.1,75.0,27,0.5820000000000001,67,0.493,33,0.373,25,0.84,21,7,200,117.9,23.3,7,23,99,,6.0,5,0.44799999999999995,30,0.4,12,51.5,34,0.628,14.3,13,37,0.568,21,0.588,10,"Fant-Ewing Coliseum, Monroe, Louisiana",LOUISIANA-LAFAYETTE,Louisiana,84.0,Home,LOUISIANA-MONROE,Louisiana-Monroe,Louisiana-Monroe,sun-belt,16,True,False,True,Home,True,12,21,67,34,66,10,20,65,1,0,156,241,910,0.521978021978022,498,1043,0.47746883988494726,122,295,958,0.4989561586638831,0.5625
17,2019-01-24-20-louisiana-monroe,67.9,19,7.5,3,107.1,74.2,23,0.525,60,0.467,28,0.15,9,0.667,6,9,200,98.6,22.2,6,14,69,,4.3,3,0.36700000000000005,22,0.318,7,50.0,29,0.537,16.9,13,38,0.5529999999999999,21,0.526,10,"January 24, 2019",51.9,14,5.3,2,98.6,77.8,21,0.484,62,0.435,27,0.27399999999999997,17,0.882,15,7,200,107.1,25.8,8,13,75,,8.6,6,0.355,22,0.273,6,50.0,29,0.535,9.2,7,40,0.525,21,0.611,11,"Fant-Ewing Coliseum, Monroe, Louisiana",TROY,Troy,70.2,Home,LOUISIANA-MONROE,Louisiana-Monroe,Louisiana-Monroe,sun-belt,17,True,False,True,Home,True,6,21,62,29,58,7,21,60,1,0,168,262,977,0.526100307062436,532,1109,0.47971145175834085,132,315,1023,0.501466275659824,0.5882352941176471
18,2019-01-26-15-louisiana-monroe,31.0,9,8.7,2,109.1,74.2,23,0.564,55,0.527,29,0.364,20,0.8,16,11,200,118.2,33.3,8,19,78,,9.1,6,0.273,15,0.267,4,56.4,31,0.605,9.9,7,40,0.625,25,0.47600000000000003,10,"January 26, 2019",60.9,14,5.0,2,118.2,66.7,16,0.509,56,0.41100000000000003,23,0.35700000000000004,20,0.75,15,8,200,109.1,25.8,8,17,72,,7.6,5,0.589,33,0.33299999999999996,11,43.6,24,0.55,13.4,10,23,0.522,12,0.579,11,"Fant-Ewing Coliseum, Monroe, Louisiana",LOUISIANA-MONROE,Louisiana-Monroe,65.5,Away,SOUTH-ALABAMA,South Alabama,Louisiana-Monroe,sun-belt,18,False,True,True,Home,False,11,12,56,24,55,4,25,55,0,1,174,283,1039,0.5235803657362849,561,1167,0.480719794344473,139,336,1083,0.502770083102493,0.6111111111111112
19,2019-01-31-19-coastal-carolina,58.3,14,0.0,0,137.3,70.8,17,0.575,53,0.45299999999999996,24,0.491,26,0.769,20,9,200,120.9,31.0,9,20,81,,7.5,5,0.547,29,0.44799999999999995,13,49.1,26,0.62,13.4,10,24,0.45799999999999996,11,0.55,11,"January 31, 2019",59.3,16,0.0,0,120.9,69.0,20,0.637,51,0.529,27,0.667,34,0.794,27,9,200,137.3,29.2,7,22,92,,10.4,7,0.41200000000000003,21,0.524,11,50.9,27,0.685,10.8,8,30,0.5329999999999999,16,0.55,11,"The HTC Center, Conway, South Carolina",LOUISIANA-MONROE,Louisiana-Monroe,67.3,Home,COASTAL-CAROLINA,Coastal Carolina,Louisiana-Monroe,sun-belt,19,False,False,False,Away,False,13,11,53,26,53,11,16,51,0,1,185,295,1095,0.5228310502283106,585,1222,0.4787234042553192,143,361,1138,0.5057117750439367,0.5789473684210527
20,2019-02-02-14-appalachian-state,44.8,13,6.9,2,123.2,81.8,18,0.618,55,0.527,29,0.382,21,0.762,16,10,200,121.7,34.6,9,17,84,,11.6,8,0.382,21,0.47600000000000003,10,56.3,27,0.6459999999999999,15.7,12,34,0.5589999999999999,19,0.524,11,"February 2, 2019",51.6,16,5.9,2,121.7,65.4,17,0.691,55,0.564,31,0.23600000000000002,13,0.6920000000000001,9,14,200,123.2,18.2,4,18,85,,10.1,7,0.473,26,0.5379999999999999,14,43.8,21,0.695,16.5,12,29,0.586,17,0.364,8,"Holmes Convocation Center, Boone, North Carolina",LOUISIANA-MONROE,Louisiana-Monroe,68.6,Home,APPALACHIAN-STATE,Appalachian State,Louisiana-Monroe,sun-belt,20,False,False,False,Away,False,10,19,55,27,48,14,17,55,0,1,198,306,1148,0.5252613240418118,611,1275,0.4792156862745098,154,377,1189,0.511354079058032,0.55
21,2019-02-06-20-louisiana-monroe,51.7,15,14.3,5,110.8,69.0,20,0.5660000000000001,61,0.475,29,0.16399999999999998,10,0.7,7,7,200,102.7,20.6,7,19,76,,8.1,6,0.426,26,0.423,11,42.9,27,0.578,17.6,14,35,0.514,18,0.696,16,"February 6, 2019",53.8,14,5.7,2,102.7,79.4,27,0.526,58,0.44799999999999995,26,0.414,24,0.875,21,10,200,110.8,31.0,9,12,82,,8.1,6,0.397,23,0.391,9,57.1,36,0.591,18.0,15,35,0.486,17,0.545,12,"Fant-Ewing Coliseum, Monroe, Louisiana",GEORGIA-STATE,Georgia State,74.1,Home,LOUISIANA-MONROE,Louisiana-Monroe,Louisiana-Monroe,sun-belt,21,True,False,True,Home,True,9,17,58,36,63,11,18,61,1,0,208,325,1203,0.5295095594347464,638,1323,0.48223733938019653,168,394,1244,0.5192926045016077,0.5238095238095238
22,2019-02-08-20-louisiana-monroe,50.0,15,18.4,7,129.4,64.5,20,0.63,54,0.556,30,0.24100000000000002,13,0.846,11,10,200,116.2,8.7,2,20,79,,2.9,2,0.278,15,0.5329999999999999,8,40.7,22,0.6559999999999999,15.6,11,39,0.564,22,0.583,14,"February 8, 2019",34.5,10,2.6,1,116.2,91.3,21,0.578,58,0.5,29,0.466,27,0.778,21,10,200,129.4,35.5,11,14,88,,7.4,5,0.345,20,0.45,9,59.3,32,0.621,9.1,7,38,0.526,20,0.565,13,"Fant-Ewing Coliseum, Monroe, Louisiana",GEORGIA-SOUTHERN,Georgia Southern,68.0,Home,LOUISIANA-MONROE,Louisiana-Monroe,Louisiana-Monroe,sun-belt,22,True,False,True,Home,True,9,20,58,32,54,8,22,54,1,0,217,342,1261,0.5293417922283902,674,1386,0.4862914862914863,179,412,1305,0.521455938697318,0.5454545454545454
23,2019-02-16-20-louisiana-lafayette,53.6,15,10.8,4,116.9,73.3,22,0.542,59,0.475,28,0.28800000000000003,17,0.706,12,11,200,107.0,31.3,10,19,76,,11.3,8,0.40700000000000003,24,0.33299999999999996,8,51.6,32,0.5670000000000001,15.3,12,35,0.5710000000000001,20,0.542,13,"February 16, 2019",51.7,15,14.3,5,107.0,68.8,22,0.552,58,0.5,29,0.414,24,0.792,19,10,200,116.9,26.7,8,17,83,,5.6,4,0.36200000000000004,21,0.28600000000000003,6,48.4,30,0.598,13.8,11,37,0.622,23,0.6,15,"Cajundome, Lafayette, Louisiana",LOUISIANA-MONROE,Louisiana-Monroe,70.7,Home,LOUISIANA-LAFAYETTE,Louisiana,Louisiana-Monroe,sun-belt,23,False,False,False,Away,False,8,20,59,32,62,6,23,58,0,1,226,362,1319,0.5314632297194845,706,1440,0.49027777777777776,187,434,1359,0.5257542310522443,0.5652173913043478
24,2019-02-21-20-texas-state,53.8,14,8.3,3,95.2,63.2,24,0.557,53,0.491,26,0.094,5,0.8,4,11,200,100.0,22.2,6,13,63,,11.1,7,0.396,21,0.33299999999999996,7,46.2,30,0.569,16.6,11,32,0.594,19,0.56,14,"February 21, 2019",61.9,13,9.4,3,100.0,77.8,21,0.375,64,0.32799999999999996,21,0.21899999999999997,14,0.857,12,6,200,95.2,36.8,14,14,60,,12.7,8,0.43799999999999994,28,0.214,6,53.8,35,0.425,10.2,8,36,0.41700000000000004,15,0.778,21,"Strahan Coliseum, San Marcos, Texas",TEXAS-STATE,Texas State,62.5,Away,LOUISIANA-MONROE,Louisiana-Monroe,Louisiana-Monroe,sun-belt,24,False,False,False,Away,True,7,19,53,30,65,6,15,64,1,0,234,382,1378,0.5319303338171263,738,1502,0.49134487350199735,193,457,1417,0.5268172194777699,0.5416666666666666
25,2019-02-23-15-texas-arlington,57.1,16,2.5,1,109.6,70.0,21,0.45799999999999996,72,0.389,28,0.319,23,0.87,20,12,250,103.6,28.6,12,19,86,,9.6,8,0.47200000000000003,34,0.294,10,45.8,33,0.519,13.7,13,38,0.474,18,0.5379999999999999,14,"February 23, 2019",60.0,18,15.8,6,103.6,71.4,30,0.545,66,0.455,30,0.33299999999999996,22,0.8640000000000001,19,15,250,109.6,30.0,9,15,91,,13.3,11,0.39399999999999996,26,0.462,12,54.2,39,0.595,15.6,14,40,0.45,18,0.46399999999999997,13,"College Park Center, Arlington, Texas",LOUISIANA-MONROE,Louisiana-Monroe,66.2,Home,TEXAS-ARLINGTON,Texas-Arlington,Louisiana-Monroe,sun-belt,25,False,False,False,Away,False,10,18,72,33,72,12,18,66,0,1,241,401,1431,0.5328441649196366,768,1567,0.4901084875558392,199,472,1481,0.5202565833896016,0.56
