,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,OAKLAND_homegame,OAKLAND_homegame2,OAKLAND_home,OAKLAND_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-16-16-hartford,69.0,20,6.9,2,135.9,68.2,15,0.644,59,0.49200000000000005,29,0.16899999999999998,10,0.6,6,7,200,128.1,35.7,10,18,82,,6.3,4,0.644,38,0.474,18,50.0,25,0.643,15.9,12,21,0.524,11,0.364,4,"December 16, 2018",59.3,16,9.5,2,128.1,64.3,18,0.633,49,0.551,27,0.5920000000000001,29,0.862,25,7,200,135.9,31.8,7,14,87,,12.5,8,0.408,20,0.4,8,50.0,25,0.693,10.2,7,29,0.655,19,0.41700000000000004,5,"Chase Family Arena, Hartford, Connecticut",OAKLAND,Oakland,64.3,Home,HARTFORD,Hartford,Oakland,horizon,10,False,False,False,Away,False,18,11,59,25,50,8,19,49,0,1,103,163,558,0.5689964157706093,245,575,0.4260869565217391,67,224,576,0.5633680555555556,0.4
11,2018-12-18-19-georgia,61.9,13,2.9,1,108.0,64.9,24,0.44799999999999995,58,0.36200000000000004,21,0.414,24,0.708,17,8,200,92.0,20.5,8,22,69,,9.3,7,0.466,27,0.37,10,42.1,32,0.49700000000000005,15.9,13,31,0.355,11,0.33299999999999996,4,"December 18, 2018",50.0,13,16.1,5,92.0,79.5,31,0.5,62,0.419,26,0.419,26,0.731,19,4,200,108.0,35.1,13,22,81,,5.3,4,0.452,28,0.35700000000000004,10,57.9,44,0.545,17.0,15,34,0.47100000000000003,16,0.6,6,"Stegeman Coliseum, Athens, Georgia",OAKLAND,Oakland,75.4,Home,GEORGIA,Georgia,Oakland,horizon,11,False,False,False,Away,False,10,11,58,32,76,10,16,62,0,1,121,174,617,0.5761750405186385,270,625,0.432,75,243,625,0.5688,0.36363636363636365
12,2018-12-21-19-michigan-state,42.3,11,2.9,1,139.4,73.1,19,0.5,65,0.4,26,0.12300000000000001,8,0.5,4,9,200,97.2,23.1,9,18,69,,5.6,4,0.354,23,0.565,13,43.1,28,0.501,14.9,12,42,0.31,13,0.308,4,"December 21, 2018",71.1,27,14.3,6,97.2,76.9,30,0.685,65,0.585,38,0.185,12,0.833,10,2,200,139.4,26.9,7,14,99,10.0,9.9,7,0.462,30,0.433,13,56.9,37,0.7,9.1,7,35,0.7140000000000001,25,0.833,10,"Breslin Events Center, East Lansing, Michigan",OAKLAND,Oakland,71.3,Home,MICHIGAN-STATE,Michigan State,Oakland,horizon,12,False,False,False,Away,False,13,13,65,28,65,13,25,65,0,1,131,185,675,0.5651851851851852,302,701,0.43081312410841655,85,259,687,0.5625909752547307,0.3333333333333333
13,2018-12-28-19-cleveland-state,58.1,18,9.8,4,104.1,75.7,28,0.581,62,0.5,31,0.371,23,0.7390000000000001,17,9,200,120.3,38.2,13,12,89,,12.2,9,0.419,26,0.385,10,57.7,41,0.61,15.3,13,36,0.583,21,0.35700000000000004,5,"December 28, 2018",50.0,14,8.3,3,120.3,61.8,21,0.515,65,0.431,28,0.16899999999999998,11,0.909,10,9,200,104.1,24.3,9,19,77,,8.1,6,0.369,24,0.45799999999999996,11,42.3,30,0.5479999999999999,16.7,14,41,0.415,17,0.35700000000000004,5,"Wolstein Center, Cleveland, Ohio",CLEVELAND-STATE,Cleveland State,74.1,Away,OAKLAND,Oakland,Oakland,horizon,13,False,False,False,Away,True,10,21,62,41,71,11,17,65,1,0,144,198,740,0.5594594594594594,330,766,0.4308093994778068,98,284,752,0.5731382978723404,0.3076923076923077
14,2018-12-30-14-youngstown-state,62.5,15,2.9,1,108.8,67.9,19,0.6509999999999999,43,0.5579999999999999,24,0.512,22,0.909,20,9,200,111.8,18.8,3,16,76,,4.4,3,0.37200000000000005,16,0.5,8,50.0,22,0.711,24.4,17,27,0.593,16,0.4,6,"December 30, 2018",42.9,12,7.4,2,111.8,81.3,13,0.591,55,0.509,28,0.327,18,0.5,9,11,200,108.8,32.1,9,23,74,,13.2,9,0.382,21,0.429,9,50.0,22,0.5820000000000001,18.2,14,34,0.5589999999999999,19,0.267,4,"Beeghly Center, Youngstown, Ohio",YOUNGSTOWN-STATE,Youngstown State,68.0,Away,OAKLAND,Oakland,Oakland,horizon,14,False,False,False,Away,True,8,16,43,22,44,9,19,55,1,0,154,219,802,0.5610972568578554,371,837,0.4432497013142174,109,301,817,0.5685434516523867,0.35714285714285715
15,2019-01-03-19-oakland,75.0,21,20.0,5,115.2,92.3,24,0.563,56,0.5,28,0.25,14,0.7859999999999999,11,4,200,112.1,27.6,8,21,74,,3.0,2,0.429,24,0.292,7,58.2,32,0.591,15.0,11,32,0.6559999999999999,21,0.75,12,"January 3, 2019",92.0,23,0.0,0,112.1,72.4,21,0.598,51,0.49,25,0.353,18,0.833,15,9,200,115.2,7.7,2,14,76,,6.1,4,0.51,26,0.423,11,41.8,23,0.638,13.3,9,25,0.56,14,0.43799999999999994,7,"Athletics Center O'rena, Rochester, Michigan",NORTHERN-KENTUCKY,Northern Kentucky,66.1,Home,OAKLAND,Oakland,Oakland,horizon,15,True,False,True,Home,True,11,14,51,23,55,7,21,56,1,0,162,235,845,0.565680473372781,393,881,0.4460839954597049,118,320,872,0.569954128440367,0.4
16,2019-01-05-15-oakland,43.8,14,9.1,2,101.4,87.5,21,0.5429999999999999,69,0.46399999999999997,32,0.261,18,0.778,14,9,200,123.6,40.5,15,15,89,,15.3,11,0.348,24,0.45799999999999996,11,59.0,36,0.574,10.5,9,45,0.467,21,0.47100000000000003,8,"January 5, 2019",53.8,14,8.9,4,123.6,59.5,22,0.596,52,0.5,26,0.25,13,0.846,11,10,200,101.4,12.5,3,16,73,,5.6,4,0.5770000000000001,30,0.33299999999999996,10,41.0,25,0.627,23.8,18,22,0.727,16,0.41200000000000003,7,"Athletics Center O'rena, Rochester, Michigan",OAKLAND,Oakland,72.4,Away,WRIGHT-STATE,Wright State,Oakland,horizon,16,False,True,True,Home,False,10,16,52,25,61,11,21,69,0,1,173,249,896,0.5675223214285714,416,936,0.4444444444444444,125,341,928,0.5695043103448276,0.4375
17,2019-01-10-19-oakland,60.0,15,12.0,3,101.6,62.9,22,0.557,53,0.47200000000000003,25,0.17,9,0.889,8,10,200,106.3,12.0,3,21,67,,6.3,4,0.45299999999999996,24,0.375,9,41.7,25,0.585,14.9,10,29,0.552,16,0.41200000000000003,7,"January 10, 2019",75.0,15,10.3,3,106.3,88.0,22,0.447,57,0.35100000000000003,20,0.316,18,0.722,13,11,200,101.6,37.1,13,11,64,,1.6,1,0.561,32,0.344,11,58.3,35,0.488,13.3,10,25,0.36,9,0.389,7,"Athletics Center O'rena, Rochester, Michigan",OAKLAND,Oakland,63.4,Away,MILWAUKEE,Milwaukee,Oakland,horizon,17,False,True,True,Home,False,11,9,57,35,60,9,16,53,0,1,183,265,948,0.5690928270042194,441,997,0.44232698094282846,136,362,997,0.567703109327984,0.4117647058823529
18,2019-01-12-15-oakland,46.7,14,12.5,4,120.0,72.0,18,0.507,67,0.44799999999999995,30,0.179,12,0.833,10,9,200,104.0,21.2,7,21,78,,4.0,3,0.373,25,0.32,8,43.1,25,0.536,13.2,11,42,0.524,22,0.5,9,"January 12, 2019",63.3,19,2.4,1,104.0,78.8,26,0.648,54,0.556,30,0.46299999999999997,25,0.8,20,11,200,120.0,28.0,7,17,90,,5.3,4,0.40700000000000003,22,0.455,10,56.9,33,0.6829999999999999,17.7,14,32,0.625,20,0.42100000000000004,8,"Athletics Center O'rena, Rochester, Michigan",GREEN-BAY,Green Bay,74.8,Home,OAKLAND,Oakland,Oakland,horizon,18,True,False,True,Home,True,10,20,54,33,58,8,22,67,1,0,194,274,1005,0.5621890547263682,476,1057,0.4503311258278146,145,378,1050,0.5671428571428572,0.3888888888888889
19,2019-01-19-14-detroit-mercy,51.7,15,4.7,2,101.4,62.2,23,0.588,57,0.509,29,0.386,22,0.545,12,11,200,109.7,22.6,7,12,79,,8.3,6,0.40399999999999997,23,0.391,9,44.1,30,0.586,15.3,12,34,0.588,20,0.45,9,"January 19, 2019",48.3,14,5.9,2,109.7,77.4,24,0.46399999999999997,69,0.42,29,0.159,11,0.818,9,11,200,101.4,37.8,14,17,73,,6.9,5,0.377,26,0.231,6,55.9,38,0.49200000000000005,13.0,11,43,0.535,23,0.42100000000000004,8,"Calihan Hall, Detroit, Michigan",DETROIT-MERCY,Detroit,71.8,Away,OAKLAND,Oakland,Oakland,horizon,19,False,False,False,Away,True,9,20,57,30,68,6,23,69,1,0,204,294,1059,0.56657223796034,509,1115,0.4565022421524664,153,400,1117,0.563563115487914,0.42105263157894735
20,2019-01-24-11-iupui,42.9,12,4.8,2,96.1,55.3,21,0.486,70,0.4,28,0.1,7,0.429,3,12,200,93.4,30.0,12,20,71,,15.8,12,0.514,36,0.33299999999999996,12,42.3,33,0.484,18.0,16,34,0.47100000000000003,16,0.429,9,"January 24, 2019",51.9,14,20.6,7,93.4,70.0,28,0.47600000000000003,63,0.429,27,0.365,23,0.565,13,9,200,96.1,44.7,17,13,73,,13.2,10,0.33299999999999996,21,0.28600000000000003,6,57.7,45,0.494,18.9,17,42,0.5,21,0.5710000000000001,12,"Indiana Farmers Coliseum, Indianapolis, Indiana",OAKLAND,Oakland,75.6,Home,IUPUI,IUPUI,Oakland,horizon,20,False,False,False,Away,False,12,16,70,33,78,6,21,63,0,1,213,314,1116,0.567652329749104,539,1183,0.4556213017751479,159,423,1186,0.5577571669477235,0.45
21,2019-01-26-16-illinois-chicago,76.9,20,14.0,6,89.3,73.5,25,0.5,59,0.441,26,0.475,28,0.75,21,12,200,106.7,23.5,8,21,80,,5.3,4,0.33899999999999997,20,0.35,7,48.5,33,0.5529999999999999,10.1,8,39,0.48700000000000004,19,0.455,10,"January 26, 2019",56.5,13,0.0,0,106.7,76.5,26,0.39299999999999996,61,0.377,23,0.44299999999999995,27,0.7040000000000001,19,12,200,89.3,26.5,9,23,67,,4.0,3,0.295,18,0.111,2,51.5,35,0.45399999999999996,14.1,12,43,0.488,21,0.455,10,"UIC Pavilion, Chicago, Illinois",ILLINOIS-CHICAGO,UIC,74.6,Away,OAKLAND,Oakland,Oakland,horizon,21,False,False,False,Away,True,7,19,59,33,68,2,21,61,1,0,225,330,1186,0.5628161888701517,572,1261,0.4536082474226804,165,444,1249,0.5536429143314652,0.42857142857142855
22,2019-01-31-19-oakland,60.7,17,8.8,3,105.7,66.7,24,0.486,69,0.406,28,0.159,11,0.727,8,16,200,107.1,30.6,11,20,75,,10.0,7,0.435,30,0.36700000000000005,11,48.6,35,0.505,9.8,8,39,0.436,17,0.304,7,"January 31, 2019",73.1,19,5.1,2,107.1,69.4,25,0.444,62,0.419,26,0.355,22,0.8640000000000001,19,13,200,105.7,33.3,12,13,74,,2.9,2,0.452,28,0.107,3,51.4,37,0.511,11.2,9,34,0.6759999999999999,23,0.435,10,"Athletics Center O'rena, Rochester, Michigan",OAKLAND,Oakland,70.3,Away,YOUNGSTOWN-STATE,Youngstown State,Oakland,horizon,22,False,True,True,Home,False,3,23,62,37,72,11,17,69,0,1,232,349,1245,0.5598393574297189,605,1329,0.45522949586155004,167,465,1310,0.5461832061068702,0.45454545454545453
23,2019-02-02-15-oakland,53.8,14,6.3,2,125.8,82.6,19,0.542,60,0.433,26,0.067,4,0.75,3,18,200,103.0,25.0,7,21,68,,7.6,5,0.517,31,0.419,13,51.0,26,0.5489999999999999,15.1,11,29,0.44799999999999995,13,0.25,6,"February 2, 2019",62.1,18,13.8,4,103.0,75.0,21,0.6629999999999999,49,0.5920000000000001,29,0.49,24,0.75,18,13,200,125.8,17.4,4,8,83,,4.5,3,0.34700000000000003,17,0.41200000000000003,7,49.0,25,0.687,14.4,10,32,0.688,22,0.45799999999999996,11,"Athletics Center O'rena, Rochester, Michigan",CLEVELAND-STATE,Cleveland State,66.2,Home,OAKLAND,Oakland,Oakland,horizon,23,True,False,True,Home,True,7,22,49,25,51,13,13,60,1,0,235,372,1307,0.5543228768171384,642,1401,0.4582441113490364,178,482,1379,0.5431472081218274,0.43478260869565216
24,2019-02-07-19-wright-state,54.2,13,2.3,1,104.1,67.7,21,0.519,52,0.462,24,0.192,10,0.8,8,14,200,84.9,13.8,4,14,62,,9.6,7,0.26899999999999996,14,0.429,6,41.7,25,0.546,26.2,20,38,0.474,18,0.44,11,"February 7, 2019",43.8,14,5.3,2,84.9,86.2,25,0.539,64,0.5,32,0.203,13,0.5379999999999999,7,11,200,104.1,32.3,10,14,76,,19.2,14,0.32799999999999996,21,0.23800000000000002,5,58.3,35,0.542,15.7,13,43,0.628,27,0.56,14,"Ervin J. Nutter Center, Dayton, Ohio",OAKLAND,Oakland,73.0,Home,WRIGHT-STATE,Wright State,Oakland,horizon,24,False,False,False,Away,False,6,18,52,25,60,5,27,64,0,1,242,394,1356,0.5582595870206489,667,1452,0.459366391184573,191,495,1439,0.5430854760250173,0.4583333333333333
25,2019-02-09-19-northern-kentucky,34.8,8,13.2,5,108.2,61.3,19,0.431,58,0.397,23,0.36200000000000004,21,0.667,14,15,200,87.7,22.9,8,20,64,,9.6,7,0.345,20,0.2,4,40.9,27,0.47100000000000003,15.1,12,38,0.5,19,0.423,11,"February 9, 2019",62.1,18,13.2,5,87.7,77.1,27,0.525,61,0.475,29,0.377,23,0.652,15,6,200,108.2,38.7,12,21,79,,5.5,4,0.377,23,0.261,6,59.1,39,0.5489999999999999,16.4,14,38,0.605,23,0.769,20,"Bank of Kentucky Center, Highland Heights, Kentucky",OAKLAND,Oakland,73.0,Home,NORTHERN-KENTUCKY,Northern Kentucky,Oakland,horizon,25,False,False,False,Away,False,4,19,58,27,66,6,23,61,0,1,248,412,1408,0.5568181818181818,692,1512,0.4576719576719577,196,522,1503,0.5429141716566867,0.44
26,2019-02-14-20-green-bay,42.1,8,0.0,0,84.6,73.8,31,0.391,55,0.345,19,0.309,17,0.647,11,16,200,69.2,31.6,12,24,54,,9.0,7,0.491,27,0.185,5,53.8,43,0.428,30.2,27,28,0.5,14,0.40700000000000003,11,"February 14, 2019",47.6,10,14.3,4,69.2,68.4,26,0.385,61,0.344,21,0.475,29,0.655,19,13,200,84.6,26.2,11,20,66,,15.4,12,0.361,22,0.22699999999999998,5,46.3,37,0.441,16.0,14,39,0.41,16,0.5,13,"Resch Center, Green Bay, Wisconsin",OAKLAND,Oakland,77.9,Home,GREEN-BAY,Green Bay,Oakland,horizon,26,False,False,False,Away,False,5,14,55,43,80,5,16,61,0,1,252,431,1466,0.5518417462482946,719,1578,0.4556400506970849,202,545,1564,0.5421994884910486,0.4230769230769231
