,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SOUTH-FLORIDA_homegame,SOUTH-FLORIDA_homegame2,SOUTH-FLORIDA_home,SOUTH-FLORIDA_location,total_threes_made,total_fg_made,total_fg_attempts,pregame_total_threes_made,pregame_total_fg_made,pregame_total_fg_attempts,pregame_eFG,team_win_bool,total_2pt_made,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_2pt_made,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-21-19-south-florida,37.5,6,17.8,8,116.9,45.9,17,0.354,48,0.33299999999999996,16,0.45799999999999996,22,0.455,10,8,200,62.0,27.8,10,18,44,,11.3,8,0.313,15,0.133,2,37.0,27,0.376,26.7,21,33,0.424,14,0.33299999999999996,4,"December 21, 2018",65.6,21,6.1,2,62.0,72.2,26,0.522,69,0.46399999999999997,32,0.261,18,0.611,11,2,200,116.9,54.1,20,18,83,,15.5,11,0.348,24,0.33299999999999996,8,63.0,46,0.535,15.4,14,45,0.5329999999999999,24,0.818,9,"Sun Dome, Tampa, Florida",ALCORN-STATE,Alcorn State,70.5,Home,SOUTH-FLORIDA,South Florida,South Florida,aac,10,True,False,True,Home,8,32,69,67,251,564,0.5044326241134752,True,24,46,73,2,14,48,1,0,184,354,640,0.553125,73,152,542,0.4824723247232473,0.8
11,2018-12-29-13-south-florida,36.4,8,12.1,4,93.8,48.4,15,0.439,57,0.386,22,0.08800000000000001,5,0.8,4,7,200,84.4,15.6,5,21,54,,12.5,8,0.35100000000000003,20,0.3,6,31.7,20,0.455,15.7,11,37,0.4320000000000001,16,0.41700000000000004,5,"December 29, 2018",47.4,9,18.9,7,84.4,84.4,27,0.43,50,0.38,19,0.6,30,0.5670000000000001,17,2,200,93.8,51.6,16,12,60,,9.4,6,0.34,17,0.294,5,68.3,43,0.467,19.2,15,33,0.424,14,0.833,10,"Sun Dome, Tampa, Florida",FAIRLEIGH-DICKINSON,Fairleigh Dickinson,64.3,Home,SOUTH-FLORIDA,South Florida,South Florida,aac,11,True,False,True,Home,5,19,50,75,283,633,0.5063191153238547,True,14,43,63,6,16,57,1,0,208,400,713,0.5610098176718092,75,166,590,0.4720338983050848,0.8181818181818182
12,2019-01-02-20-south-florida,57.1,12,21.2,7,100.0,63.3,19,0.444,54,0.389,21,0.519,28,0.7140000000000001,20,5,200,89.5,17.1,6,32,68,,10.5,8,0.40700000000000003,22,0.273,6,38.5,25,0.505,15.3,12,32,0.469,15,0.643,9,"January 2, 2019",38.1,8,18.8,6,89.5,82.9,29,0.49,48,0.43799999999999994,21,0.958,46,0.63,29,2,200,100.0,36.7,11,26,76,,10.5,8,0.313,15,0.33299999999999996,5,61.5,40,0.544,21.8,19,33,0.485,16,0.846,11,"Sun Dome, Tampa, Florida",CONNECTICUT,UConn,75.6,Home,SOUTH-FLORIDA,South Florida,South Florida,aac,12,True,False,True,Home,5,21,48,80,302,683,0.5007320644216691,True,16,40,65,6,15,54,1,0,222,443,776,0.5708762886597938,81,182,647,0.4690880989180834,0.8333333333333334
13,2019-01-05-18-tulsa,34.5,10,7.7,2,106.8,84.0,21,0.478,67,0.433,29,0.32799999999999996,22,0.5,11,3,200,102.7,40.0,16,23,75,,13.7,10,0.358,24,0.25,6,56.9,37,0.484,11.5,10,43,0.535,23,0.7859999999999999,11,"January 5, 2019",55.0,11,2.3,1,102.7,60.0,24,0.545,44,0.455,20,0.841,37,0.8109999999999999,30,4,200,106.8,16.0,4,17,78,,6.8,5,0.409,18,0.444,8,43.1,28,0.633,21.0,16,26,0.462,12,0.733,11,"Donald W. Reynolds Center, Tulsa, Oklahoma",SOUTH-FLORIDA,South Florida,72.5,Home,TULSA,Tulsa,South Florida,aac,13,False,False,False,Away,6,29,67,85,323,731,0.5,False,23,37,65,8,12,44,0,1,238,483,841,0.5743162901307967,87,197,701,0.4671897289586305,0.8461538461538461
14,2019-01-09-19-south-florida,70.6,12,9.4,3,89.2,87.1,27,0.44299999999999995,44,0.386,17,0.341,15,0.6,9,11,200,64.9,18.5,5,23,48,,4.1,3,0.47700000000000004,21,0.23800000000000002,5,55.2,32,0.469,33.9,26,23,0.522,12,0.267,4,"January 9, 2019",65.2,15,13.0,3,64.9,81.5,22,0.48100000000000004,53,0.434,23,0.434,23,0.652,15,3,200,89.2,12.9,4,21,66,,16.2,12,0.396,21,0.23800000000000002,5,44.8,26,0.516,19.2,15,32,0.563,18,0.8,12,"Sun Dome, Tampa, Florida",TULANE,Tulane,73.5,Home,SOUTH-FLORIDA,South Florida,South Florida,aac,14,True,False,True,Home,5,23,53,91,352,798,0.4981203007518797,True,18,26,58,5,12,44,1,0,261,520,906,0.5739514348785872,95,209,745,0.4718120805369128,0.7857142857142857
15,2019-01-12-14-temple,66.7,20,3.3,1,96.5,92.0,23,0.547,64,0.469,30,0.391,25,0.4,10,4,225,94.1,26.3,10,25,80,,20.0,17,0.391,25,0.4,10,52.4,33,0.527,20.2,19,39,0.513,20,0.75,12,"January 12, 2019",76.0,19,10.3,4,94.1,73.7,28,0.578,51,0.49,25,0.5489999999999999,28,0.821,23,3,225,96.5,8.0,2,22,82,,10.6,9,0.41200000000000003,21,0.429,9,47.6,30,0.638,25.8,22,30,0.5329999999999999,16,0.812,13,"Liacouras Center, Philadelphia, Pennsylvania",SOUTH-FLORIDA,South Florida,75.2,Home,TEMPLE,Temple,South Florida,aac,15,False,False,False,Away,10,30,64,96,375,851,0.4970622796709753,False,20,33,63,9,16,51,0,1,279,546,964,0.5663900414937759,100,221,789,0.4702154626108999,0.8
16,2019-01-15-19-cincinnati,56.5,13,6.1,2,115.5,63.2,12,0.531,49,0.469,23,0.531,26,0.846,22,5,200,104.2,39.1,9,26,74,,5.6,4,0.3670000000000001,18,0.33299999999999996,6,50.0,21,0.603,24.9,20,31,0.5479999999999999,17,0.706,12,"January 15, 2019",60.9,14,29.0,9,104.2,60.9,14,0.52,51,0.451,23,0.627,32,0.9059999999999999,29,3,200,115.5,36.8,7,19,82,,16.9,12,0.353,18,0.389,7,50.0,21,0.619,13.3,10,33,0.485,16,0.833,15,"Fifth Third Arena, Cincinnati, Ohio",SOUTH-FLORIDA,South Florida,70.8,Home,CINCINNATI,Cincinnati,South Florida,aac,16,False,False,False,Away,6,23,49,106,405,915,0.5005464480874317,False,17,21,42,7,16,51,0,1,299,579,1027,0.563777994157741,109,237,840,0.4767857142857143,0.75
17,2019-01-19-20-south-florida,42.1,8,26.1,6,85.7,70.0,21,0.436,47,0.40399999999999997,19,0.745,35,0.8,28,1,200,98.6,35.5,11,33,69,21.0,11.4,8,0.27699999999999997,13,0.231,3,52.5,32,0.542,19.4,15,34,0.47100000000000003,16,0.9470000000000001,18,"January 19, 2019",42.9,6,5.9,2,98.6,64.5,20,0.375,44,0.318,14,0.932,41,0.659,27,6,200,85.7,30.0,9,29,60,,5.7,4,0.47700000000000004,21,0.23800000000000002,5,47.5,29,0.473,22.5,18,23,0.391,9,0.667,12,"Sun Dome, Tampa, Florida",SOUTH-FLORIDA,South Florida,70.1,Away,HOUSTON,Houston,South Florida,aac,17,False,True,True,Home,5,14,44,112,428,964,0.5020746887966805,False,9,29,61,3,16,47,0,1,316,600,1069,0.5612722170252572,116,253,891,0.4792368125701459,0.7058823529411765
18,2019-01-22-20-south-florida,60.0,9,9.7,3,81.8,66.7,24,0.302,53,0.28300000000000003,15,0.415,22,0.409,9,10,200,62.1,39.5,15,25,41,,4.5,3,0.34,18,0.111,2,52.7,39,0.32299999999999995,23.3,19,35,0.371,13,0.444,8,"January 22, 2019",53.3,8,14.3,5,62.1,60.5,23,0.36,50,0.3,15,0.48,24,0.75,18,6,200,81.8,33.3,12,22,54,,9.1,6,0.38,19,0.316,6,47.3,35,0.44,19.9,15,31,0.29,9,0.684,13,"Sun Dome, Tampa, Florida",WICHITA-STATE,Wichita State,65.9,Home,SOUTH-FLORIDA,South Florida,South Florida,aac,18,True,False,True,Home,6,15,50,117,442,1008,0.4965277777777778,True,9,35,74,2,13,53,1,0,325,629,1130,0.5566371681415929,119,269,938,0.4770788912579957,0.6666666666666666
19,2019-01-26-16-east-carolina,58.6,17,6.3,2,86.4,70.6,24,0.5,65,0.446,29,0.292,19,0.632,12,6,200,116.7,41.7,15,18,77,,13.6,9,0.292,19,0.368,7,55.7,39,0.52,7.6,6,46,0.478,22,0.7,14,"January 26, 2019",47.6,10,8.7,4,116.7,58.3,21,0.44299999999999995,53,0.396,21,0.302,16,0.625,10,11,200,86.4,29.4,10,20,57,,6.1,4,0.396,21,0.23800000000000002,5,44.3,31,0.47,21.0,16,32,0.5,16,0.42100000000000004,8,"Williams Arena at Minges Coliseum, Greenville, North Carolina",EAST-CAROLINA,East Carolina,65.8,Away,SOUTH-FLORIDA,South Florida,South Florida,aac,19,False,False,False,Away,7,29,65,123,457,1058,0.4900756143667297,True,22,39,70,5,16,53,1,0,334,664,1204,0.5514950166112956,121,282,991,0.4677093844601413,0.6842105263157895
20,2019-02-02-12-south-florida,56.0,14,17.4,4,96.6,81.0,17,0.449,69,0.36200000000000004,25,0.348,24,0.667,16,9,200,89.7,33.3,13,32,78,,14.9,13,0.377,26,0.462,12,50.0,30,0.485,20.1,20,43,0.302,13,0.591,13,"February 2, 2019",63.6,14,16.3,7,89.7,66.7,26,0.65,40,0.55,22,1.1,44,0.727,32,6,200,96.6,19.0,4,25,84,,12.6,11,0.425,17,0.47100000000000003,8,50.0,30,0.69,32.8,29,23,0.609,14,0.7140000000000001,15,"Sun Dome, Tampa, Florida",MEMPHIS,Memphis,86.7,Home,SOUTH-FLORIDA,South Florida,South Florida,aac,20,True,False,True,Home,8,22,40,130,486,1123,0.4906500445235975,True,14,30,60,12,13,69,1,0,356,703,1274,0.5518053375196232,126,298,1044,0.4664750957854406,0.7
21,2019-02-07-21-southern-methodist,65.4,17,11.4,4,106.5,62.1,18,0.573,55,0.473,26,0.091,5,0.8,4,6,200,108.1,25.9,7,17,67,,11.3,7,0.455,25,0.44,11,44.6,25,0.584,17.3,12,30,0.5,15,0.727,16,"February 7, 2019",70.8,17,23.3,7,108.1,74.1,20,0.48200000000000004,56,0.429,24,0.28600000000000003,16,0.75,12,10,200,106.5,37.9,11,11,66,,6.5,4,0.375,21,0.28600000000000003,6,55.4,31,0.519,13.7,10,35,0.514,18,0.545,12,"Moody Coliseum, Dallas, Texas",SOUTHERN-METHODIST,SMU,62.5,Away,SOUTH-FLORIDA,South Florida,South Florida,aac,21,False,False,False,Away,11,26,55,138,508,1163,0.4961306964746346,True,15,25,56,6,18,56,1,0,370,733,1334,0.5494752623688156,138,311,1113,0.4654088050314466,0.7142857142857143
22,2019-02-10-17-south-florida,48.0,12,6.3,2,104.3,48.3,14,0.509,55,0.455,25,0.382,21,0.5710000000000001,12,14,225,98.6,15.6,5,26,68,,15.9,11,0.218,12,0.5,6,31.1,19,0.523,11.1,8,43,0.442,19,0.391,9,"February 10, 2019",61.9,13,9.3,4,98.6,84.4,27,0.49,50,0.42,21,0.66,33,0.6970000000000001,23,6,225,104.3,51.7,15,19,72,,4.3,3,0.36,18,0.389,7,68.9,42,0.5479999999999999,22.7,19,32,0.43799999999999994,14,0.7390000000000001,17,"Sun Dome, Tampa, Florida",EAST-CAROLINA,East Carolina,61.2,Home,SOUTH-FLORIDA,South Florida,South Florida,aac,22,True,False,True,Home,7,21,50,149,534,1218,0.4995894909688013,True,14,42,61,6,19,55,1,0,385,758,1390,0.5453237410071943,144,329,1169,0.4662104362703165,0.7272727272727273
23,2019-02-13-19-central-florida,57.1,12,6.1,2,116.4,61.5,16,0.447,57,0.368,21,0.474,27,0.519,14,7,200,97.0,29.4,10,31,65,,9.0,6,0.42100000000000004,24,0.375,9,43.3,26,0.465,12.7,10,33,0.364,12,0.708,17,"February 13, 2019",66.7,16,21.2,7,97.0,70.6,24,0.602,44,0.545,24,1.0,44,0.568,25,5,200,116.4,38.5,10,22,78,,7.5,5,0.25,11,0.455,5,56.7,34,0.601,13.6,10,33,0.5760000000000001,19,0.7829999999999999,18,"CFE Arena, Orlando, Florida",SOUTH-FLORIDA,South Florida,67.4,Home,CENTRAL-FLORIDA,UCF,South Florida,aac,23,False,False,False,Away,9,21,57,156,555,1268,0.49921135646687703,False,12,26,60,5,19,44,0,1,399,800,1451,0.5513439007580979,150,348,1224,0.4681372549019608,0.7391304347826086
24,2019-02-16-18-south-florida,46.2,12,5.9,2,92.0,68.6,24,0.5,57,0.456,26,0.439,25,0.52,13,7,225,93.3,15.2,5,22,70,,13.3,10,0.263,15,0.33299999999999996,5,42.6,29,0.508,16.0,13,42,0.5,21,0.731,19,"February 16, 2019",44.0,11,7.1,3,93.3,84.8,28,0.475,59,0.424,25,0.39,23,0.565,13,8,225,92.0,31.4,11,20,69,,6.7,5,0.424,25,0.24,6,57.4,39,0.493,17.8,15,34,0.5589999999999999,19,0.68,17,"Sun Dome, Tampa, Florida",SOUTH-FLORIDA,South Florida,67.0,Away,TEMPLE,Temple,South Florida,aac,24,False,True,True,Home,6,25,59,165,576,1325,0.4969811320754717,False,19,39,68,5,21,57,0,1,411,826,1511,0.5466578424884183,155,367,1268,0.4727917981072555,0.7083333333333334
25,2019-02-19-19-south-florida,72.2,13,10.0,4,148.4,25.0,8,0.377,57,0.316,18,0.24600000000000002,14,0.7859999999999999,11,0,200,84.4,22.2,8,23,54,,9.4,6,0.579,33,0.212,7,23.5,16,0.424,12.5,9,24,0.45799999999999996,11,0.0,0,"February 19, 2019",64.7,22,16.7,4,84.4,77.8,28,0.595,63,0.54,34,0.444,28,0.7140000000000001,20,8,200,148.4,75.0,24,15,95,,6.3,4,0.365,23,0.304,7,76.5,52,0.623,13.7,12,40,0.675,27,0.6920000000000001,18,"Sun Dome, Tampa, Florida","Florida College
			","Florida College
			",64.5,Home,SOUTH-FLORIDA,South Florida,South Florida,aac,25,True,False,True,Home,7,34,63,171,601,1384,0.4960260115606937,True,27,52,68,7,11,57,1,0,430,865,1579,0.5478150728309057,160,388,1325,0.4739622641509434,0.68
26,2019-02-23-18-houston,60.0,9,6.3,2,107.6,71.4,20,0.396,48,0.313,15,0.667,32,0.6559999999999999,21,9,200,89.4,38.2,13,20,59,,9.1,6,0.563,27,0.29600000000000004,8,53.2,33,0.467,18.4,14,21,0.33299999999999996,7,0.667,18,"February 23, 2019",52.0,13,14.3,3,89.4,61.8,21,0.547,53,0.47200000000000003,25,0.396,21,0.619,13,1,200,107.6,28.6,8,28,71,9.0,7.6,5,0.396,21,0.381,8,46.8,29,0.564,16.2,12,32,0.531,17,0.963,26,"Hofheinz Pavilion, Houston, Texas",SOUTH-FLORIDA,South Florida,65.6,Home,HOUSTON,Houston,South Florida,aac,26,False,False,False,Away,8,15,48,178,635,1447,0.5003455425017277,False,7,33,62,8,17,53,0,1,457,917,1647,0.5567698846387371,167,399,1382,0.4699710564399421,0.6923076923076923
