,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,OLD-DOMINION_homegame,OLD-DOMINION_homegame2,OLD-DOMINION_home,OLD-DOMINION_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-15-12-syracuse,60.9,14,7.7,2,89.9,83.3,25,0.55,50,0.46,23,0.4,20,0.65,13,3,200,98.6,26.7,8,25,68,,10.1,7,0.52,26,0.34600000000000003,9,55.0,33,0.5710000000000001,21.4,16,24,0.583,14,0.727,8,"December 15, 2018",81.3,13,16.7,4,98.6,73.3,22,0.41700000000000004,48,0.33299999999999996,16,0.708,34,0.647,22,3,200,89.9,16.7,5,17,62,25.0,11.6,8,0.45799999999999996,22,0.364,8,45.0,27,0.483,16.0,12,26,0.308,8,0.7,7,"Carrier Dome, Syracuse, New York",SYRACUSE,Syracuse,69.3,Away,OLD-DOMINION,Old Dominion,Old Dominion,cusa,10,False,False,False,Away,True,9,14,50,33,60,8,8,48,1,0,80,154,577,0.4748700173310225,366,680,0.538235294117647,70,125,545,0.42201834862385323,0.7
11,2018-12-19-19-richmond,47.8,11,21.9,7,88.5,76.5,26,0.48200000000000004,56,0.41100000000000003,23,0.23199999999999998,13,0.6920000000000001,9,3,200,103.3,27.6,8,8,63,,8.2,5,0.375,21,0.381,8,54.0,34,0.507,10.2,7,35,0.429,15,0.75,9,"December 19, 2018",65.0,13,5.7,2,103.3,72.4,21,0.435,54,0.37,20,0.16699999999999998,9,0.778,7,7,200,88.5,23.5,8,14,54,,6.6,4,0.40700000000000003,22,0.318,7,46.0,29,0.46299999999999997,16.0,11,32,0.406,13,0.364,4,"Robins Center, Richmond, Virginia",RICHMOND,Richmond,61.2,Away,OLD-DOMINION,Old Dominion,Old Dominion,cusa,11,False,False,False,Away,True,8,15,56,34,63,7,13,54,1,0,89,168,627,0.48086124401913877,399,740,0.5391891891891892,78,133,593,0.42158516020236086,0.7272727272727273
12,2018-12-22-14-old-dominion,42.9,6,0.0,0,102.7,62.2,23,0.31,50,0.28,14,0.56,28,0.7859999999999999,22,6,200,71.6,13.9,5,20,53,,13.5,10,0.28,14,0.214,3,38.4,28,0.419,19.4,15,36,0.306,11,0.455,5,"December 22, 2018",60.7,17,19.4,7,71.6,86.1,31,0.532,62,0.452,28,0.33899999999999997,21,0.47600000000000003,10,3,200,102.7,37.8,14,20,76,,10.8,8,0.419,26,0.385,10,61.6,45,0.528,18.3,16,36,0.5,18,0.769,10,"Ted Constant Convocation Ctr., Norfolk, Virginia",MORGAN-STATE,Morgan State,73.6,Home,OLD-DOMINION,Old Dominion,Old Dominion,cusa,12,True,False,True,Home,True,10,18,62,45,73,3,11,50,1,0,97,183,683,0.48096632503660325,433,803,0.539227895392279,85,146,647,0.42272024729520863,0.75
13,2019-01-03-19-old-dominion,62.1,18,13.3,6,109.8,64.5,20,0.609,55,0.527,29,0.073,4,0.75,3,6,200,114.8,17.4,4,14,70,,8.2,5,0.455,25,0.36,9,44.4,24,0.615,9.6,6,30,0.667,20,0.5710000000000001,8,"January 3, 2019",53.8,14,10.0,3,114.8,82.6,19,0.5,58,0.44799999999999995,26,0.207,12,0.75,9,4,200,109.8,35.5,11,7,67,,6.6,4,0.22399999999999998,13,0.462,6,55.6,30,0.526,13.6,10,45,0.444,20,0.7140000000000001,10,"Ted Constant Convocation Ctr., Norfolk, Virginia",OLD-DOMINION,Old Dominion,60.8,Away,MARSHALL,Marshall,Old Dominion,cusa,13,False,True,True,Home,False,6,20,58,30,54,9,20,55,0,1,107,201,745,0.48523489932885905,478,876,0.545662100456621,88,157,697,0.4146341463414634,0.7692307692307693
14,2019-01-05-19-old-dominion,33.3,8,11.6,5,101.5,66.7,26,0.48200000000000004,55,0.436,24,0.309,17,0.765,13,7,200,97.1,17.9,5,15,66,,2.9,2,0.273,15,0.33299999999999996,5,46.3,31,0.523,16.1,12,40,0.475,19,0.5329999999999999,8,"January 5, 2019",44.4,12,12.5,5,97.1,82.1,23,0.47,66,0.409,27,0.182,12,0.583,7,4,200,101.5,33.3,13,15,69,,13.2,9,0.348,23,0.348,8,53.7,36,0.48100000000000004,10.1,8,43,0.442,19,0.733,11,"Ted Constant Convocation Ctr., Norfolk, Virginia",WESTERN-KENTUCKY,Western Kentucky,68.4,Home,OLD-DOMINION,Old Dominion,Old Dominion,cusa,14,True,False,True,Home,True,8,19,66,36,67,5,19,55,1,0,113,221,803,0.4863013698630137,508,930,0.546236559139785,97,177,752,0.4288563829787234,0.7142857142857143
15,2019-01-10-19-florida-atlantic,33.3,9,16.7,5,123.1,65.4,17,0.544,57,0.474,27,0.281,16,0.688,11,5,200,112.3,40.0,12,21,73,,12.3,8,0.474,27,0.29600000000000004,8,51.8,29,0.565,15.8,12,30,0.633,19,0.688,11,"January 10, 2019",53.8,14,3.3,1,112.3,60.0,18,0.627,51,0.51,26,0.431,22,0.727,16,5,200,123.1,34.6,9,18,80,,4.6,3,0.41200000000000003,21,0.5710000000000001,12,48.2,27,0.6509999999999999,16.5,12,30,0.467,14,0.688,11,"FAU Arena, Boca Raton, Florida",OLD-DOMINION,Old Dominion,64.5,Home,FLORIDA-ATLANTIC,Florida Atlantic,Old Dominion,cusa,15,False,False,False,Away,False,8,19,57,29,56,12,14,51,0,1,121,240,869,0.48504027617951667,544,997,0.5456369107321966,102,196,807,0.43246592317224286,0.7333333333333333
16,2019-01-12-19-florida-international,37.9,11,9.7,3,100.0,82.9,29,0.5,67,0.433,29,0.149,10,0.8,8,5,200,101.4,43.2,16,23,75,,6.8,5,0.373,25,0.36,9,62.5,45,0.523,19.2,17,42,0.47600000000000003,20,0.706,12,"January 12, 2019",64.0,16,19.0,8,101.4,56.8,21,0.536,56,0.446,25,0.46399999999999997,26,0.5379999999999999,14,6,200,100.0,17.1,6,15,74,,10.8,8,0.446,25,0.4,10,37.5,27,0.541,15.1,12,31,0.484,15,0.647,11,"FIU Arena, Miami, Florida",FLORIDA-INTERNATIONAL,Florida International,73.6,Away,OLD-DOMINION,Old Dominion,Old Dominion,cusa,16,False,False,False,Away,True,9,20,67,45,72,10,15,56,1,0,129,259,926,0.4886609071274298,573,1053,0.5441595441595442,114,210,858,0.44405594405594406,0.6875
17,2019-01-17-19-old-dominion,55.0,11,2.4,1,95.5,90.9,30,0.442,52,0.385,20,0.48100000000000004,25,0.68,17,6,200,94.0,24.2,8,15,63,,3.0,2,0.423,22,0.273,6,57.6,38,0.493,14.9,11,30,0.467,14,0.684,13,"January 17, 2019",57.7,15,20.0,6,94.0,75.8,25,0.491,58,0.44799999999999995,26,0.172,10,0.7,7,5,200,95.5,9.1,3,20,64,,3.0,2,0.293,17,0.294,5,42.4,28,0.51,11.4,8,41,0.512,21,0.722,13,"Ted Constant Convocation Ctr., Norfolk, Virginia",LOUISIANA-TECH,Louisiana Tech,67.3,Home,OLD-DOMINION,Old Dominion,Old Dominion,cusa,17,True,False,True,Home,True,5,21,58,28,66,6,14,52,1,0,138,279,993,0.48942598187311176,618,1125,0.5493333333333333,124,225,914,0.449671772428884,0.7058823529411765
18,2019-01-19-16-old-dominion,60.9,14,14.6,6,120.0,52.5,21,0.51,51,0.451,23,0.294,15,0.667,10,8,200,92.3,29.0,9,16,62,,1.5,1,0.392,20,0.3,6,42.3,30,0.516,18.4,13,31,0.5479999999999999,17,0.579,11,"January 19, 2019",60.7,17,12.9,4,92.3,71.0,22,0.493,67,0.418,28,0.299,20,0.5,10,5,200,120.0,47.5,19,16,76,,13.8,9,0.38799999999999996,26,0.385,10,57.7,41,0.51,11.7,10,41,0.439,18,0.737,14,"Ted Constant Convocation Ctr., Norfolk, Virginia",SOUTHERN-MISSISSIPPI,Southern Miss,64.8,Home,OLD-DOMINION,Old Dominion,Old Dominion,cusa,18,True,False,True,Home,True,10,18,67,41,71,6,17,51,1,0,143,300,1051,0.4895337773549001,646,1191,0.5424013434089001,130,239,966,0.4492753623188406,0.7222222222222222
19,2019-01-21-16-charlotte,60.0,12,25.0,5,101.4,84.6,22,0.5,47,0.426,20,0.7020000000000001,33,0.879,29,5,200,110.1,19.2,5,19,76,,14.5,10,0.426,20,0.35,7,51.9,27,0.606,12.8,9,27,0.48100000000000004,13,0.75,15,"January 21, 2019",57.9,11,7.4,2,110.1,80.8,21,0.521,47,0.40399999999999997,19,0.638,30,0.7,21,13,200,101.4,15.4,4,23,70,,7.2,5,0.574,27,0.40700000000000003,11,48.1,25,0.5710000000000001,19.9,15,20,0.4,8,0.278,5,"Dale F. Halton Arena, Charlotte, North Carolina",CHARLOTTE,Charlotte,69.5,Away,OLD-DOMINION,Old Dominion,Old Dominion,cusa,19,False,False,False,Away,True,7,13,47,27,52,11,8,47,1,0,153,318,1118,0.48971377459749554,687,1262,0.5443740095087163,136,256,1017,0.4523107177974435,0.7368421052631579
20,2019-01-24-21-texas-el-paso,50.0,10,14.3,5,68.6,68.2,30,0.354,65,0.308,20,0.12300000000000001,8,0.5,4,5,200,71.4,31.8,14,17,50,,11.4,8,0.308,20,0.3,6,50.0,44,0.363,18.9,16,45,0.311,14,0.762,16,"January 24, 2019",66.7,10,8.9,4,71.4,68.2,30,0.319,58,0.259,15,0.293,17,0.647,11,12,200,68.6,31.8,14,11,48,,8.6,6,0.397,23,0.304,7,50.0,44,0.363,20.6,17,35,0.22899999999999998,8,0.33299999999999996,6,"Don Haskins Center, El Paso, Texas",TEXAS-EL-PASO,UTEP,69.9,Away,OLD-DOMINION,Old Dominion,Old Dominion,cusa,20,False,False,False,Away,True,6,14,65,44,88,7,8,58,1,0,160,331,1165,0.4901287553648069,714,1314,0.54337899543379,147,264,1064,0.45535714285714285,0.75
21,2019-01-26-16-texas-san-antonio,52.2,12,21.4,6,97.4,97.1,34,0.45799999999999996,59,0.39,23,0.508,30,0.633,19,6,200,96.1,24.2,8,18,73,,6.6,5,0.441,26,0.308,8,61.8,42,0.498,14.3,12,33,0.455,15,0.727,16,"January 26, 2019",70.8,17,3.0,1,96.1,75.8,25,0.542,59,0.40700000000000003,24,0.305,18,0.556,10,9,200,97.4,2.9,1,22,74,,3.9,3,0.525,31,0.516,16,38.2,26,0.5479999999999999,11.9,9,28,0.28600000000000003,8,0.5710000000000001,12,"Convocation Center, San Antonio, Texas",OLD-DOMINION,Old Dominion,76.4,Home,TEXAS-SAN-ANTONIO,UTSA,Old Dominion,cusa,21,False,False,False,Away,False,8,15,59,42,68,16,8,59,0,1,166,345,1230,0.48292682926829267,758,1402,0.5406562054208274,154,272,1122,0.4483065953654189,0.7619047619047619
22,2019-01-31-19-old-dominion,53.8,14,8.3,3,105.9,75.9,22,0.484,62,0.419,26,0.032,2,0.5,1,4,200,89.7,12.5,4,21,61,,4.4,3,0.484,30,0.267,8,42.6,26,0.485,12.5,9,32,0.563,18,0.818,18,"January 31, 2019",76.0,19,12.5,4,89.7,87.5,28,0.5379999999999999,53,0.47200000000000003,25,0.509,27,0.556,15,6,200,105.9,24.1,7,8,72,,4.4,3,0.321,17,0.41200000000000003,7,57.4,35,0.547,13.4,10,36,0.5,18,0.7390000000000001,17,"Ted Constant Convocation Ctr., Norfolk, Virginia",NORTH-TEXAS,North Texas,68.4,Home,OLD-DOMINION,Old Dominion,Old Dominion,cusa,22,True,False,True,Home,True,7,18,53,35,61,8,18,62,1,0,174,360,1289,0.48176881303335917,800,1470,0.54421768707483,170,280,1181,0.45300592718035565,0.7272727272727273
23,2019-02-02-19-old-dominion,44.4,12,7.5,3,115.9,61.1,22,0.542,60,0.45,27,0.267,16,0.688,11,14,200,110.1,24.2,8,19,76,,4.3,3,0.483,29,0.379,11,43.5,30,0.562,13.0,10,31,0.516,16,0.391,9,"February 2, 2019",64.3,18,3.2,1,110.1,75.8,25,0.557,61,0.45899999999999996,28,0.344,21,0.5710000000000001,12,6,200,115.9,38.9,14,15,80,,5.8,4,0.344,21,0.5710000000000001,12,56.5,39,0.564,13.5,11,40,0.4,16,0.75,18,"Ted Constant Convocation Ctr., Norfolk, Virginia",RICE,Rice,68.8,Home,OLD-DOMINION,Old Dominion,Old Dominion,cusa,23,True,False,True,Home,True,12,16,61,39,69,11,16,60,1,0,181,378,1342,0.4839791356184799,835,1531,0.5453951665578054,178,298,1243,0.45454545454545453,0.7391304347826086
24,2019-02-07-20-alabama-birmingham,53.8,14,17.6,6,98.3,68.6,24,0.517,58,0.44799999999999995,26,0.259,15,0.667,10,6,200,116.7,33.3,11,12,70,,1.7,1,0.397,23,0.348,8,51.5,35,0.537,7.2,5,35,0.514,18,0.76,19,"February 7, 2019",40.9,9,2.9,1,116.7,66.7,22,0.424,59,0.373,22,0.271,16,0.563,9,10,200,98.3,31.4,11,16,59,,5.0,3,0.424,25,0.24,6,48.5,33,0.44299999999999995,8.3,6,34,0.47100000000000003,16,0.583,14,"Bartow Arena, Birmingham, Alabama",ALABAMA-BIRMINGHAM,Alabama-Birmingham,60.4,Away,OLD-DOMINION,Old Dominion,Old Dominion,cusa,24,False,False,False,Away,True,8,18,58,35,68,6,16,59,1,0,193,394,1403,0.4871703492516037,874,1600,0.54625,189,314,1303,0.4585571757482732,0.75
25,2019-02-09-19-middle-tennessee,42.1,8,15.6,5,83.3,68.3,28,0.425,53,0.358,19,0.264,14,0.7140000000000001,10,6,200,91.7,30.3,10,11,55,,5.0,3,0.377,20,0.35,7,51.4,38,0.461,15.7,11,33,0.364,12,0.769,20,"February 9, 2019",26.3,5,6.1,2,91.7,69.7,23,0.36700000000000005,60,0.317,19,0.133,8,0.75,6,17,200,83.3,31.7,13,13,50,,13.3,8,0.467,28,0.214,6,48.6,36,0.392,12.4,9,32,0.406,13,0.32,8,"Murphy Athletic Center, Murfreesboro, Tennessee",MIDDLE-TENNESSEE,Middle Tennessee,60.2,Away,OLD-DOMINION,Old Dominion,Old Dominion,cusa,25,False,False,False,Away,True,7,12,53,38,74,6,13,60,1,0,201,412,1461,0.48836413415468855,909,1668,0.5449640287769785,195,330,1362,0.45704845814977973,0.76
26,2019-02-16-14-old-dominion,33.3,6,0.0,0,105.8,60.7,17,0.435,46,0.391,18,0.5429999999999999,25,0.8,20,19,200,87.0,14.3,4,21,60,,8.7,6,0.37,17,0.235,4,37.5,21,0.518,24.0,18,29,0.483,14,0.24,6,"February 16, 2019",62.5,15,13.8,4,87.0,85.7,24,0.539,51,0.47100000000000003,24,0.431,22,0.818,18,6,200,105.8,39.3,11,21,73,,15.9,11,0.353,18,0.389,7,62.5,35,0.594,19.8,15,33,0.515,17,0.778,21,"Ted Constant Convocation Ctr., Norfolk, Virginia",CHARLOTTE,Charlotte,68.7,Home,OLD-DOMINION,Old Dominion,Old Dominion,cusa,26,True,False,True,Home,True,7,17,51,35,56,4,14,46,1,0,208,424,1514,0.4861294583883752,947,1742,0.5436280137772675,201,343,1422,0.4532348804500703,0.7692307692307693
