,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,PURDUE_homegame,PURDUE_homegame2,PURDUE_home,PURDUE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-15-13-purdue,76.9,20,9.8,4,111.1,70.0,28,0.63,50,0.52,26,0.58,29,0.862,25,3,200,122.2,3.8,1,15,88,,8.3,6,0.42,21,0.524,11,43.9,29,0.69,11.3,8,29,0.517,15,0.7,7,"December 15, 2018",56.7,17,6.9,2,122.2,96.2,25,0.493,70,0.429,30,0.257,18,0.611,11,5,200,111.1,30.0,12,21,80,,6.9,5,0.414,29,0.31,9,56.1,37,0.509,8.2,7,41,0.512,21,0.545,6,"Bankers Life Fieldhouse, Indianapolis, Indiana",PURDUE,Purdue,72.2,Away,NOTRE-DAME,Notre Dame,Purdue,big-ten,10,False,True,True,Home,False,9,21,70,37,66,11,15,50,0,1,111,163,608,0.5419407894736842,330,594,0.5555555555555556,92,141,543,0.5138121546961326,0.6
11,2018-12-20-19-purdue,47.8,11,9.7,3,131.9,80.0,16,0.491,56,0.41100000000000003,23,0.33899999999999997,19,0.632,12,4,200,93.1,23.7,9,14,67,,5.6,4,0.429,24,0.375,9,43.1,25,0.515,17.9,14,32,0.43799999999999994,14,0.636,7,"December 20, 2018",67.6,23,15.6,5,93.1,76.3,29,0.6829999999999999,60,0.5670000000000001,34,0.267,16,0.813,13,5,200,131.9,20.0,4,16,95,,12.5,9,0.483,29,0.483,14,56.9,33,0.703,13.0,10,31,0.645,20,0.583,7,"Mackey Arena, West Lafayette, Indiana",OHIO,Ohio,71.8,Home,PURDUE,Purdue,Purdue,big-ten,11,True,False,True,Home,True,14,20,60,33,58,9,14,56,1,0,120,184,678,0.5368731563421829,367,660,0.556060606060606,103,156,593,0.5236087689713322,0.5454545454545454
12,2018-12-29-16-purdue,50.0,12,9.1,3,107.4,70.0,21,0.447,66,0.364,24,0.061,4,0.75,3,2,200,91.2,20.5,8,18,62,,11.8,8,0.5760000000000001,38,0.289,11,42.0,29,0.457,11.7,9,28,0.46399999999999997,13,0.818,9,"December 29, 2018",37.5,9,17.9,5,91.2,79.5,31,0.5,55,0.436,24,0.436,24,0.75,18,5,200,107.4,30.0,9,10,73,,7.4,5,0.4,22,0.318,7,58.0,40,0.55,13.2,10,33,0.515,17,0.615,8,"Mackey Arena, West Lafayette, Indiana",BELMONT,Belmont,68.2,Home,PURDUE,Purdue,Purdue,big-ten,12,True,False,True,Home,True,7,17,55,40,69,11,13,66,1,0,134,204,738,0.5487804878048781,400,718,0.5571030640668524,112,170,649,0.5208012326656395,0.5833333333333334
13,2019-01-03-19-purdue,62.5,15,10.5,4,130.3,64.0,16,0.54,50,0.48,24,0.38,19,0.8420000000000001,16,3,200,106.1,29.2,7,15,70,25.0,4.5,3,0.34,17,0.353,6,46.9,23,0.593,19.3,14,33,0.545,18,0.7859999999999999,11,"January 3, 2019",66.7,22,9.1,3,106.1,70.8,17,0.605,62,0.532,33,0.19399999999999998,12,0.917,11,5,200,130.3,36.0,9,18,86,,6.1,4,0.387,24,0.375,9,53.1,26,0.635,9.4,7,38,0.632,24,0.643,9,"Mackey Arena, West Lafayette, Indiana",IOWA,Iowa,65.9,Home,PURDUE,Purdue,Purdue,big-ten,13,True,False,True,Home,True,9,24,62,26,49,6,18,50,1,0,141,221,793,0.5453972257250945,440,787,0.5590851334180432,123,183,715,0.513986013986014,0.6153846153846154
14,2019-01-08-21-michigan-state,60.0,12,6.5,2,116.7,51.7,15,0.36700000000000005,64,0.313,20,0.344,22,0.545,12,6,200,89.4,40.9,18,17,59,,10.6,7,0.484,31,0.226,7,45.2,33,0.396,10.9,9,33,0.39399999999999996,13,0.6,9,"January 8, 2019",76.9,20,21.2,7,89.4,59.1,26,0.526,58,0.44799999999999995,26,0.32799999999999996,19,0.8420000000000001,16,2,200,116.7,48.3,14,22,77,6.0,7.6,5,0.466,27,0.33299999999999996,9,54.8,40,0.574,16.4,13,31,0.5479999999999999,17,0.875,14,"Breslin Events Center, East Lansing, Michigan",PURDUE,Purdue,65.7,Home,MICHIGAN-STATE,Michigan State,Purdue,big-ten,14,False,False,False,Away,False,7,13,64,33,73,9,17,58,0,1,150,245,855,0.5497076023391813,466,836,0.5574162679425837,129,201,765,0.515686274509804,0.6428571428571429
15,2019-01-11-21-wisconsin,42.9,12,7.5,3,108.1,73.3,22,0.508,66,0.424,28,0.455,30,0.5670000000000001,17,6,225,113.5,42.9,15,19,84,,13.5,10,0.379,25,0.44,11,56.9,37,0.523,9.2,8,41,0.415,17,0.625,10,"January 11, 2019",43.3,13,7.3,3,113.5,57.1,20,0.616,56,0.536,30,0.33899999999999997,19,0.579,11,5,225,108.1,26.7,8,22,80,,2.7,2,0.28600000000000003,16,0.563,9,43.1,28,0.615,20.9,17,40,0.525,21,0.688,11,"Kohl Center, Madison, Wisconsin",WISCONSIN,Wisconsin,65.5,Away,PURDUE,Purdue,Purdue,big-ten,15,False,False,False,Away,True,11,17,66,37,65,9,21,56,1,0,157,258,919,0.5369967355821545,499,909,0.5489548954895489,138,218,823,0.5164034021871203,0.6
16,2019-01-15-19-purdue,50.0,9,8.3,3,129.0,64.5,20,0.44799999999999995,48,0.375,18,0.375,18,0.611,11,8,200,78.3,21.9,7,13,54,,5.8,4,0.41700000000000004,20,0.35,7,42.9,27,0.47700000000000004,25.4,19,28,0.39299999999999996,11,0.5,8,"January 15, 2019",62.5,20,17.9,5,78.3,78.1,25,0.609,64,0.5,32,0.25,16,0.688,11,6,200,129.0,35.5,11,17,89,,14.5,10,0.43799999999999994,28,0.5,14,57.1,36,0.622,10.1,8,36,0.5,18,0.647,11,"Mackey Arena, West Lafayette, Indiana",RUTGERS,Rutgers,68.6,Home,PURDUE,Purdue,Purdue,big-ten,16,True,False,True,Home,True,14,18,64,36,63,7,11,48,1,0,168,275,985,0.5350253807106599,536,974,0.5503080082135524,147,239,879,0.5227531285551763,0.625
17,2019-01-19-14-purdue,54.5,12,18.2,6,109.4,76.7,23,0.47100000000000003,51,0.431,22,0.353,18,0.389,7,6,200,85.9,25.7,9,15,55,25.0,10.9,7,0.392,20,0.2,4,49.2,32,0.462,18.1,13,31,0.581,18,0.667,12,"January 19, 2019",63.0,17,22.6,7,85.9,74.3,26,0.555,55,0.491,27,0.23600000000000002,13,0.6920000000000001,9,6,200,109.4,23.3,7,20,70,,15.6,10,0.4,22,0.318,7,50.8,33,0.5720000000000001,15.3,11,33,0.606,20,0.667,12,"Mackey Arena, West Lafayette, Indiana",INDIANA,Indiana,64.4,Home,PURDUE,Purdue,Purdue,big-ten,17,True,False,True,Home,True,7,20,55,33,65,4,18,51,1,0,182,293,1049,0.5395614871306006,572,1037,0.5515911282545806,154,250,927,0.5188781014023732,0.6470588235294118
18,2019-01-23-19-ohio-state,56.5,13,13.6,3,98.5,83.3,20,0.604,48,0.479,23,0.521,25,0.84,21,6,200,116.2,29.6,8,17,79,,11.8,8,0.5,24,0.5,12,54.9,28,0.66,23.4,18,24,0.45799999999999996,11,0.684,13,"January 23, 2019",47.8,11,4.2,1,116.2,70.4,19,0.636,44,0.523,23,0.364,16,0.688,11,6,200,98.5,16.7,4,19,67,,13.2,9,0.5,22,0.455,10,45.1,23,0.649,26.1,18,22,0.591,13,0.667,12,"Value City Arena, Columbus, Ohio",OHIO-STATE,Ohio State,67.7,Away,PURDUE,Purdue,Purdue,big-ten,18,False,False,False,Away,True,12,11,48,28,51,10,13,44,1,0,189,313,1104,0.5403079710144928,605,1102,0.5490018148820327,158,268,978,0.516359918200409,0.6666666666666666
19,2019-01-27-13-purdue,54.5,12,25.0,9,110.6,63.9,23,0.473,56,0.39299999999999996,22,0.268,15,0.667,10,3,200,95.5,27.3,9,16,63,6.0,12.1,8,0.46399999999999997,26,0.34600000000000003,9,46.4,32,0.499,16.1,12,30,0.433,13,0.857,18,"January 27, 2019",58.3,14,16.7,5,95.5,72.7,24,0.469,64,0.375,24,0.23399999999999999,15,0.867,13,6,200,110.6,36.1,13,15,73,,10.6,7,0.43799999999999994,28,0.429,12,53.6,37,0.513,10.2,8,36,0.33299999999999996,12,0.7,14,"Mackey Arena, West Lafayette, Indiana",MICHIGAN-STATE,Michigan State,66.1,Home,PURDUE,Purdue,Purdue,big-ten,19,True,False,True,Home,True,12,12,64,37,69,9,13,56,1,0,201,324,1152,0.54296875,633,1153,0.5490026019080659,168,281,1022,0.5215264187866928,0.6842105263157895
20,2019-01-31-19-penn-state,50.0,16,15.6,5,121.6,65.0,26,0.69,58,0.552,32,0.36200000000000004,21,0.905,19,6,225,133.8,19.2,5,27,99,17.0,4.1,3,0.5,29,0.552,16,47.0,31,0.728,11.8,9,29,0.552,16,0.7140000000000001,15,"January 31, 2019",54.2,13,10.3,3,133.8,80.8,21,0.49200000000000005,61,0.39299999999999996,24,0.672,41,0.732,30,14,225,121.6,35.0,14,20,90,,2.7,2,0.475,29,0.414,12,53.0,35,0.5589999999999999,10.2,9,32,0.375,12,0.33299999999999996,7,"Bryce Jordan Center, University Park, Pennsylvania",PENN-STATE,Penn State,65.5,Away,PURDUE,Purdue,Purdue,big-ten,20,False,False,False,Away,True,16,16,58,31,66,12,12,61,1,0,213,336,1216,0.5390625,670,1222,0.5482815057283142,177,294,1078,0.5190166975881262,0.7
21,2019-02-03-12-purdue,62.5,15,8.1,3,110.6,69.7,23,0.439,57,0.42100000000000004,24,0.281,16,0.813,13,6,200,95.5,25.8,8,15,63,,4.5,3,0.281,16,0.125,2,48.4,31,0.488,13.5,10,41,0.537,22,0.727,16,"February 3, 2019",51.7,15,14.6,6,95.5,74.2,23,0.516,61,0.475,29,0.27899999999999997,17,0.588,10,6,200,110.6,30.3,10,14,73,17.0,7.6,5,0.39299999999999996,24,0.20800000000000002,5,51.6,33,0.528,9.3,7,37,0.649,24,0.727,16,"Mackey Arena, West Lafayette, Indiana",MINNESOTA,Minnesota,66.3,Home,PURDUE,Purdue,Purdue,big-ten,21,True,False,True,Home,True,5,24,61,33,64,2,22,57,1,0,229,352,1274,0.5459183673469388,701,1288,0.5442546583850931,189,306,1139,0.5175592625109745,0.7142857142857143
22,2019-02-09-20-purdue,61.9,13,12.1,4,132.8,57.1,16,0.473,55,0.382,21,0.23600000000000002,13,0.769,10,11,200,101.6,18.2,6,17,62,,3.3,2,0.436,24,0.41700000000000004,10,36.1,22,0.507,11.6,8,31,0.355,11,0.542,13,"February 9, 2019",44.4,12,22.6,7,101.6,81.8,27,0.585,53,0.509,27,0.396,21,0.905,19,6,200,132.8,42.9,12,17,81,15.0,13.1,8,0.377,20,0.4,8,63.9,39,0.643,11.4,8,33,0.5760000000000001,19,0.7390000000000001,17,"Mackey Arena, West Lafayette, Indiana",NEBRASKA,Nebraska,61.1,Home,PURDUE,Purdue,Purdue,big-ten,22,True,False,True,Home,True,8,19,53,39,61,10,11,55,1,0,234,376,1335,0.5445692883895131,734,1352,0.5428994082840237,191,328,1196,0.5137959866220736,0.7272727272727273
23,2019-02-12-18-maryland,25.0,5,12.0,3,106.1,82.1,23,0.331,71,0.282,20,0.19699999999999998,14,0.643,9,7,200,84.8,31.0,13,17,56,12.0,9.1,6,0.465,33,0.212,7,51.4,36,0.361,3.7,3,38,0.342,13,0.708,17,"February 12, 2019",65.4,17,21.1,8,84.8,69.0,29,0.5770000000000001,52,0.5,26,0.28800000000000003,15,0.667,10,6,200,106.1,17.9,5,13,70,24.0,4.5,3,0.519,27,0.29600000000000004,8,48.6,34,0.5920000000000001,15.8,11,25,0.72,18,0.76,19,"Xfinity Center, College Park, Maryland",PURDUE,Purdue,66.4,Home,MARYLAND,Maryland,Purdue,big-ten,23,False,False,False,Away,False,7,13,71,36,70,8,18,52,0,1,242,395,1388,0.5461095100864554,773,1413,0.5470629865534324,201,339,1251,0.511990407673861,0.7391304347826086
24,2019-02-16-16-purdue,47.8,11,11.5,3,102.7,66.7,12,0.425,60,0.38299999999999995,23,0.28300000000000003,17,0.765,13,16,200,86.5,24.2,8,24,64,,17.6,13,0.4,24,0.20800000000000002,5,39.2,20,0.47,19.2,16,36,0.5,18,0.36,9,"February 16, 2019",72.7,16,11.1,4,86.5,75.8,25,0.631,42,0.524,22,0.667,28,0.821,23,7,200,102.7,33.3,6,20,76,12.0,13.5,10,0.381,16,0.563,9,60.8,31,0.687,29.7,23,26,0.5,13,0.72,18,"Mackey Arena, West Lafayette, Indiana",PENN-STATE,Penn State,74.2,Home,PURDUE,Purdue,Purdue,big-ten,24,True,False,True,Home,True,9,13,42,31,51,5,18,60,1,0,249,408,1459,0.5356408498971899,809,1483,0.545515846257586,209,357,1303,0.514581734458941,0.7083333333333334
25,2019-02-19-19-indiana,36.8,7,16.7,5,70.8,64.1,25,0.36700000000000005,60,0.317,19,0.15,9,0.444,4,7,200,73.8,25.6,10,18,48,15.0,10.8,7,0.5,30,0.2,6,44.9,35,0.373,13.5,10,30,0.433,13,0.731,19,"February 19, 2019",46.7,7,16.7,5,73.8,74.4,29,0.318,55,0.273,15,0.327,18,0.611,11,13,200,70.8,35.9,14,12,46,,4.6,3,0.455,25,0.2,5,55.1,43,0.36200000000000004,20.3,16,30,0.33299999999999996,10,0.5,13,"Assembly Hall, Bloomington, Indiana",INDIANA,Indiana,64.9,Away,PURDUE,Purdue,Purdue,big-ten,25,False,False,False,Away,True,6,13,60,35,78,5,10,55,1,0,258,421,1501,0.5383077948034644,840,1534,0.5475880052151239,214,375,1363,0.5106382978723404,0.72
26,2019-02-23-14-nebraska,47.8,11,13.2,5,109.1,75.0,27,0.426,61,0.377,23,0.426,26,0.885,23,7,200,113.6,42.9,15,19,75,15.0,3.0,2,0.426,26,0.231,6,59.2,42,0.511,11.1,9,35,0.486,17,0.741,20,"February 23, 2019",56.0,14,14.3,5,113.6,57.1,20,0.475,61,0.41,25,0.27899999999999997,17,0.8240000000000001,14,13,200,109.1,25.0,9,21,72,,4.5,3,0.377,23,0.348,8,40.8,29,0.521,5.5,4,38,0.447,17,0.536,15,"Pinnacle Bank Arena, Lincoln, Nebraska",NEBRASKA,Nebraska,65.7,Away,PURDUE,Purdue,Purdue,big-ten,26,False,False,False,Away,True,6,17,61,42,71,8,17,61,1,0,264,434,1561,0.5317104420243434,875,1612,0.542803970223325,219,385,1418,0.5031734837799718,0.7307692307692307
27,2019-02-27-20-purdue,50.0,10,11.8,4,115.9,56.5,13,0.39299999999999996,61,0.32799999999999996,20,0.14800000000000002,9,0.889,8,18,200,88.9,32.4,12,23,56,,7.9,5,0.475,29,0.276,8,41.7,25,0.429,13.3,10,32,0.375,12,0.35700000000000004,10,"February 27, 2019",59.3,16,18.8,6,88.9,67.6,25,0.602,49,0.551,27,0.408,20,0.7,14,7,200,115.9,43.5,10,15,73,14.0,12.7,8,0.306,15,0.33299999999999996,5,58.3,35,0.624,19.5,14,34,0.647,22,0.75,21,"Mackey Arena, West Lafayette, Indiana",ILLINOIS,Illinois,62.9,Home,PURDUE,Purdue,Purdue,big-ten,27,True,False,True,Home,True,5,22,49,35,60,8,12,61,1,0,270,451,1622,0.5277435265104808,917,1683,0.5448603683897801,227,402,1479,0.5020283975659229,0.7407407407407407
