,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,FRESNO-STATE_homegame,FRESNO-STATE_homegame2,FRESNO-STATE_home,FRESNO-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-22-19-fresno-state,66.7,14,6.3,2,129.2,75.9,22,0.373,63,0.33299999999999996,21,0.127,8,0.75,6,5,200,73.6,30.8,12,10,53,,5.6,4,0.349,22,0.22699999999999998,5,50.0,34,0.397,20.4,17,41,0.39,16,0.5,5,"December 22, 2018",69.4,25,14.6,6,73.6,69.2,27,0.652,66,0.545,36,0.152,10,0.7,7,2,200,129.2,24.1,7,11,93,,15.3,11,0.515,34,0.41200000000000003,14,50.0,34,0.657,10.2,8,32,0.688,22,0.818,9,"Save Mart Center, Fresno, California",TENNESSEE-MARTIN,UT-Martin,71.8,Home,FRESNO-STATE,Fresno State,Fresno State,mwc,10,True,False,True,Home,True,14,22,66,34,68,5,16,63,1,0,94,182,590,0.5474576271186441,342,657,0.5205479452054794,70,167,580,0.4689655172413793,0.8
11,2018-12-29-19-fresno-state,37.5,9,0.0,0,84.5,70.3,26,0.49,52,0.462,24,0.327,17,0.765,13,4,200,90.1,8.0,2,24,64,,12.7,9,0.327,17,0.17600000000000002,3,45.2,28,0.5329999999999999,17.9,13,35,0.6,21,0.733,11,"December 29, 2018",55.6,10,14.3,5,90.1,92.0,23,0.396,53,0.34,18,0.528,28,0.643,18,3,200,84.5,29.7,11,18,60,,7.0,5,0.415,22,0.273,6,54.8,34,0.452,18.7,15,31,0.387,12,0.75,9,"Save Mart Center, Fresno, California",FRESNO-STATE,Fresno State,70.7,Away,UTAH-VALLEY,Utah Valley,Fresno State,mwc,11,False,True,True,Home,False,6,12,53,34,62,3,21,52,0,1,108,204,656,0.5579268292682927,376,725,0.5186206896551724,75,183,643,0.4595645412130638,0.8181818181818182
12,2019-01-02-22-san-jose-state,60.7,17,15.6,5,77.9,82.1,23,0.62,54,0.519,28,0.13,7,0.857,6,3,200,107.4,18.5,5,17,73,,13.2,9,0.537,29,0.379,11,50.9,28,0.637,20.8,15,25,0.68,17,0.769,10,"January 2, 2019",66.7,12,4.0,1,107.4,81.5,22,0.42200000000000004,51,0.353,18,0.255,13,0.769,10,10,200,77.9,17.9,5,13,53,,10.3,7,0.373,19,0.368,7,49.1,27,0.46299999999999997,22.0,16,32,0.344,11,0.231,3,"San Jose State Event Center, San Jose, California",SAN-JOSE-STATE,San Jose State,67.8,Away,FRESNO-STATE,Fresno State,Fresno State,mwc,12,False,False,False,Away,True,11,17,54,28,55,7,11,51,1,0,114,216,709,0.5458392101551481,410,787,0.5209656925031766,78,204,695,0.4618705035971223,0.75
13,2019-01-05-22-fresno-state,31.8,7,8.3,2,108.3,87.5,28,0.452,52,0.423,22,0.5,26,0.769,20,10,200,93.1,12.1,4,18,67,,8.3,6,0.365,19,0.158,3,49.2,32,0.521,15.9,12,33,0.5760000000000001,19,0.33299999999999996,5,"January 5, 2019",61.5,16,3.0,1,93.1,87.9,29,0.561,57,0.456,26,0.316,18,0.778,14,3,200,108.3,12.5,4,20,78,,5.6,4,0.579,33,0.364,12,50.8,33,0.595,13.3,10,24,0.583,14,0.7859999999999999,11,"Save Mart Center, Fresno, California",COLORADO-STATE,Colorado State,72.0,Home,FRESNO-STATE,Fresno State,Fresno State,mwc,13,True,False,True,Home,True,12,14,57,33,65,3,19,52,1,0,125,233,763,0.5511140235910879,438,842,0.5201900237529691,85,215,746,0.45911528150134046,0.7692307692307693
14,2019-01-09-21-utah-state,46.7,14,10.3,3,108.5,82.8,24,0.568,66,0.455,30,0.091,6,0.5,3,3,200,109.9,17.6,6,25,78,,8.5,6,0.47,31,0.484,15,47.6,30,0.5660000000000001,12.7,10,35,0.429,15,0.8,12,"January 9, 2019",84.0,21,25.7,9,109.9,82.4,28,0.5710000000000001,49,0.51,25,0.612,30,0.7,21,5,200,108.5,17.2,5,14,77,,2.8,2,0.408,20,0.3,6,52.4,33,0.609,15.0,11,29,0.655,19,0.688,11,"Dee Glen Smith Spectrum, Logan, Utah",UTAH-STATE,Utah State,71.1,Away,FRESNO-STATE,Fresno State,Fresno State,mwc,14,False,False,False,Away,True,15,15,66,30,63,6,19,49,1,0,137,247,820,0.551829268292683,471,907,0.5192943770672547,88,234,798,0.45864661654135336,0.7857142857142857
15,2019-01-12-20-fresno-state,36.0,9,19.2,5,100.0,76.7,23,0.462,65,0.385,25,0.292,19,0.737,14,1,200,115.6,40.5,17,14,74,10.0,7.8,5,0.569,37,0.27,10,55.6,40,0.5,8.7,7,28,0.536,15,0.941,16,"January 12, 2019",50.0,11,21.4,6,115.6,59.5,25,0.529,51,0.431,22,0.33299999999999996,17,0.588,10,4,200,100.0,23.3,7,20,64,,3.1,2,0.49,25,0.4,10,44.4,32,0.542,17.0,12,26,0.462,12,0.75,12,"Save Mart Center, Fresno, California",FRESNO-STATE,Fresno State,64.1,Away,NEVADA,Nevada,Fresno State,mwc,15,False,True,True,Home,False,10,12,51,32,72,10,15,65,0,1,152,262,886,0.5530474040632054,501,970,0.5164948453608248,94,253,847,0.4651711924439197,0.8
16,2019-01-19-17-boise-state,43.5,10,16.7,5,80.3,77.8,21,0.51,52,0.442,23,0.231,12,0.833,10,4,200,95.5,36.8,7,13,63,,9.1,6,0.442,23,0.304,7,60.9,28,0.546,21.8,16,29,0.552,16,0.765,13,"January 19, 2019",38.1,8,10.3,3,95.5,63.2,12,0.451,51,0.41200000000000003,21,0.157,8,0.875,7,10,200,80.3,22.2,6,15,53,,6.1,4,0.41200000000000003,21,0.19,4,39.1,18,0.484,22.7,16,30,0.5670000000000001,17,0.444,8,"Taco Bell Arena, Boise, Idaho",BOISE-STATE,Boise State,65.8,Away,FRESNO-STATE,Fresno State,Fresno State,mwc,16,False,False,False,Away,True,7,16,52,28,46,4,17,51,1,0,162,274,937,0.551760939167556,533,1042,0.5115163147792706,104,268,912,0.4649122807017544,0.75
17,2019-01-22-23-fresno-state,33.3,8,7.4,2,98.5,61.8,21,0.5,53,0.45299999999999996,24,0.28300000000000003,15,0.6,9,8,200,92.5,12.9,4,23,62,,9.0,6,0.415,22,0.22699999999999998,5,38.5,25,0.516,15.6,11,31,0.613,19,0.556,10,"January 22, 2019",52.4,11,0.0,0,92.5,87.1,27,0.48100000000000004,54,0.389,21,0.40700000000000003,22,0.636,14,4,200,98.5,38.2,13,20,66,,6.0,4,0.5,27,0.37,10,61.5,40,0.512,20.1,16,27,0.40700000000000003,11,0.778,14,"Save Mart Center, Fresno, California",SAN-DIEGO-STATE,San Diego State,67.3,Home,FRESNO-STATE,Fresno State,Fresno State,mwc,17,True,False,True,Home,True,10,11,54,40,65,5,19,53,1,0,169,290,989,0.5495449949443882,561,1088,0.515625,108,285,963,0.46417445482866043,0.7647058823529411
18,2019-01-26-16-colorado-state,56.5,13,6.5,2,100.0,79.4,27,0.42200000000000004,64,0.359,23,0.281,18,0.611,11,5,200,87.8,21.4,9,23,65,,10.8,8,0.469,30,0.267,8,47.4,36,0.44799999999999995,14.3,12,34,0.441,15,0.737,14,"January 26, 2019",73.9,17,14.7,5,87.8,78.6,33,0.5489999999999999,51,0.451,23,0.627,32,0.563,18,12,200,100.0,20.6,7,15,74,,12.2,9,0.392,20,0.5,10,52.6,40,0.5589999999999999,16.6,13,31,0.419,13,0.4,8,"Moby Arena, Fort Collins, Colorado",FRESNO-STATE,Fresno State,73.9,Home,COLORADO-STATE,Colorado State,Fresno State,mwc,18,False,False,False,Away,False,8,15,64,36,76,10,13,51,0,1,179,301,1043,0.5460210930009588,601,1153,0.5212489158716392,113,304,1016,0.4660433070866142,0.7777777777777778
19,2019-01-30-21-wyoming,48.0,12,11.1,3,96.9,73.9,17,0.585,53,0.47200000000000003,25,0.358,19,0.684,13,5,200,117.2,28.1,9,16,75,,17.2,11,0.47200000000000003,25,0.48,12,47.3,26,0.605,14.0,10,28,0.46399999999999997,13,0.75,15,"January 30, 2019",54.5,12,10.7,3,117.2,71.9,23,0.5429999999999999,46,0.478,22,0.326,15,0.8,12,16,200,96.9,26.1,6,18,62,,9.4,6,0.413,19,0.316,6,52.7,29,0.584,24.4,17,27,0.593,16,0.23800000000000002,5,"Arena-Auditorium, Laramie, Wyoming",WYOMING,Wyoming,63.6,Away,FRESNO-STATE,Fresno State,Fresno State,mwc,19,False,False,False,Away,True,12,13,53,26,55,6,16,46,1,0,187,316,1107,0.5388437217705511,637,1229,0.5183075671277462,123,317,1067,0.4700093720712277,0.7368421052631579
20,2019-02-02-22-fresno-state,31.8,7,9.3,4,102.5,69.4,25,0.377,69,0.319,22,0.36200000000000004,25,0.72,18,12,200,87.5,24.5,12,23,70,,11.3,9,0.536,37,0.21600000000000003,8,43.5,37,0.433,11.1,10,32,0.43799999999999994,14,0.429,9,"February 2, 2019",35.7,10,0.0,0,87.5,75.5,37,0.47600000000000003,63,0.444,28,0.508,32,0.688,22,5,200,102.5,30.6,11,21,82,,3.8,3,0.317,20,0.2,4,56.5,48,0.524,15.4,14,43,0.5579999999999999,24,0.762,16,"Save Mart Center, Fresno, California",NEW-MEXICO,New Mexico,80.0,Home,FRESNO-STATE,Fresno State,Fresno State,mwc,20,True,False,True,Home,True,4,24,63,48,85,8,14,69,1,0,199,329,1160,0.540948275862069,663,1284,0.5163551401869159,129,333,1113,0.47304582210242585,0.75
21,2019-02-05-22-fresno-state,60.0,18,15.6,5,126.6,70.0,21,0.655,55,0.545,30,0.23600000000000002,13,0.769,10,5,200,128.1,34.6,9,12,82,,6.3,4,0.473,26,0.462,12,53.6,30,0.67,14.1,10,29,0.621,18,0.7829999999999999,18,"February 5, 2019",37.9,11,6.9,2,128.1,65.4,17,0.593,59,0.49200000000000005,29,0.237,14,0.7859999999999999,11,6,200,126.6,30.0,9,15,81,,12.5,8,0.45799999999999996,27,0.444,12,46.4,26,0.617,13.3,10,32,0.531,17,0.727,16,"Save Mart Center, Fresno, California",FRESNO-STATE,Fresno State,64.4,Away,UTAH-STATE,Utah State,Fresno State,mwc,21,False,True,True,Home,False,12,17,59,26,56,12,18,55,0,1,203,353,1223,0.5376124284546198,711,1369,0.5193571950328707,137,347,1182,0.4674280879864636,0.7619047619047619
22,2019-02-09-17-nevada-las-vegas,37.9,11,2.6,1,101.6,78.1,25,0.6759999999999999,54,0.537,29,0.259,14,0.7140000000000001,10,6,200,129.7,32.0,8,13,83,,7.8,5,0.537,29,0.517,15,57.9,33,0.684,14.3,10,25,0.56,14,0.7390000000000001,17,"February 9, 2019",50.0,13,20.0,5,129.7,68.0,17,0.509,54,0.48100000000000004,26,0.35200000000000004,19,0.526,10,11,200,101.6,21.9,7,15,65,,7.8,5,0.278,15,0.2,3,42.1,24,0.516,13.8,10,39,0.59,23,0.522,12,"Thomas & Mack Center, Las Vegas, Nevada",NEVADA-LAS-VEGAS,UNLV,64.3,Away,FRESNO-STATE,Fresno State,Fresno State,mwc,22,False,False,False,Away,True,15,14,54,33,57,3,23,54,1,0,215,370,1282,0.5401716068642746,737,1425,0.5171929824561403,149,365,1237,0.4757477768795473,0.7272727272727273
23,2019-02-13-22-fresno-state,36.4,8,0.0,0,100.0,80.0,24,0.392,60,0.36700000000000005,22,0.28300000000000003,17,0.941,16,14,200,96.9,26.5,9,21,63,,12.3,8,0.28300000000000003,17,0.17600000000000002,3,51.6,33,0.46299999999999997,11.8,9,43,0.442,19,0.44,11,"February 13, 2019",47.6,10,11.6,5,96.9,73.5,25,0.5429999999999999,47,0.447,21,0.426,20,0.7,14,6,200,100.0,20.0,6,14,65,,7.7,5,0.596,28,0.321,9,48.4,31,0.575,17.7,12,19,0.632,12,0.75,18,"Save Mart Center, Fresno, California",BOISE-STATE,Boise State,65.3,Home,FRESNO-STATE,Fresno State,Fresno State,mwc,23,True,False,True,Home,True,9,12,47,31,64,3,19,60,1,0,230,384,1336,0.5456586826347305,770,1482,0.5195681511470985,152,388,1291,0.47714949651433,0.7391304347826086
24,2019-02-16-19-new-mexico,44.0,11,9.1,3,101.4,75.0,24,0.525,61,0.41,25,0.361,22,0.773,17,6,200,112.5,19.4,7,26,81,,12.5,9,0.607,37,0.37799999999999995,14,45.6,31,0.5670000000000001,7.8,6,24,0.45799999999999996,11,0.76,19,"February 16, 2019",52.6,10,12.5,3,112.5,80.6,29,0.45,50,0.38,19,0.74,37,0.757,28,14,200,101.4,25.0,8,18,73,,1.4,1,0.34,17,0.41200000000000003,7,54.4,37,0.54,16.4,13,33,0.364,12,0.44,11,"The Pit, Albuquerque, New Mexico",NEW-MEXICO,New Mexico,71.5,Away,FRESNO-STATE,Fresno State,Fresno State,mwc,24,False,False,False,Away,True,14,11,61,31,68,7,12,50,1,0,239,396,1383,0.5455531453362256,801,1546,0.518111254851229,155,407,1351,0.47335307179866765,0.75
25,2019-02-20-22-fresno-state,43.5,10,15.4,4,83.6,89.2,33,0.5,56,0.41100000000000003,23,0.33899999999999997,19,0.42100000000000004,8,15,200,87.7,10.5,4,16,64,,9.6,7,0.5539999999999999,31,0.32299999999999995,10,49.3,37,0.49200000000000005,15.7,12,25,0.52,13,0.423,11,"February 20, 2019",45.0,9,12.0,3,87.7,89.5,34,0.456,57,0.35100000000000003,20,0.21100000000000002,12,0.75,9,7,200,83.6,10.8,4,22,61,,12.3,9,0.544,31,0.387,12,50.7,38,0.486,19.4,15,26,0.308,8,0.731,19,"Save Mart Center, Fresno, California",FRESNO-STATE,Fresno State,73.4,Away,AIR-FORCE,Air Force,Fresno State,mwc,25,False,True,True,Home,False,12,8,57,38,75,10,13,56,0,1,253,407,1444,0.5446675900277008,832,1614,0.5154894671623296,162,419,1401,0.4725196288365453,0.76
26,2019-02-23-20-nevada,50.0,13,8.3,2,105.7,70.4,19,0.5429999999999999,58,0.44799999999999995,26,0.172,10,0.5,5,8,200,97.1,28.1,9,26,68,,2.9,2,0.44799999999999995,26,0.423,11,47.5,28,0.542,21.4,17,32,0.469,15,0.7040000000000001,19,"February 23, 2019",71.4,15,3.1,1,97.1,71.9,23,0.542,48,0.43799999999999994,21,0.6459999999999999,31,0.71,22,2,200,105.7,29.6,8,16,74,6.0,12.9,9,0.5,24,0.41700000000000004,10,52.5,31,0.59,18.5,14,24,0.45799999999999996,11,0.9259999999999999,25,"Lawlor Events Center, Reno, Nevada",FRESNO-STATE,Fresno State,69.7,Home,NEVADA,Nevada,Fresno State,mwc,26,False,False,False,Away,False,11,15,58,28,59,10,11,48,0,1,265,415,1501,0.5413057961359093,870,1689,0.5150976909413855,172,432,1457,0.4735758407687028,0.7307692307692307
