,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NORTHWESTERN-STATE_homegame,NORTHWESTERN-STATE_homegame2,NORTHWESTERN-STATE_home,NORTHWESTERN-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-15-20-northwestern-state,68.2,15,6.5,2,93.2,76.5,26,0.49,51,0.431,22,0.392,20,0.8,16,10,200,89.2,25.9,7,30,66,,8.1,6,0.21600000000000003,11,0.545,6,54.1,33,0.545,27.8,23,40,0.4,16,0.091,1,"December 15, 2018",52.4,11,2.5,1,89.2,74.1,20,0.479,48,0.43799999999999994,21,0.813,39,0.59,23,8,200,93.2,23.5,8,18,69,,20.3,15,0.354,17,0.235,4,45.9,28,0.519,16.6,13,31,0.5479999999999999,17,0.273,3,"Gold Dome, Shreveport, Louisiana",SOUTHERN,Southern,74.0,Home,NORTHWESTERN-STATE,Northwestern State,Northwestern State,southland,10,True,False,True,Home,True,4,17,48,28,61,6,16,51,1,0,61,157,596,0.41694630872483224,323,706,0.45750708215297453,93,185,607,0.5345963756177924,0.2
11,2018-12-18-19-northwestern-state,31.8,7,2.4,1,96.6,65.8,25,0.41700000000000004,60,0.36700000000000005,22,0.4,24,0.583,14,0,200,73.6,16.7,7,18,64,,11.5,10,0.38299999999999995,23,0.261,6,40.0,32,0.44799999999999995,23.8,22,37,0.43200000000000005,16,0.0,0,"December 18, 2018",46.7,14,16.2,6,73.6,83.3,35,0.508,65,0.462,30,0.4,26,0.6920000000000001,18,8,200,96.6,34.2,13,20,84,,10.3,9,0.354,23,0.261,6,60.0,48,0.5429999999999999,23.9,24,42,0.5710000000000001,24,0.33299999999999996,4,"Prather Coliseum, Natchitoches, Louisiana","Louisiana College
			","Louisiana College
			",87.4,Home,NORTHWESTERN-STATE,Northwestern State,Northwestern State,southland,11,True,False,True,Home,True,6,24,65,48,80,6,16,60,1,0,65,174,644,0.421583850931677,351,767,0.4576271186440678,99,201,658,0.5311550151975684,0.2727272727272727
12,2018-12-30-17-northwestern-state,54.5,12,7.3,3,113.2,59.5,22,0.431,58,0.379,22,0.379,22,0.682,15,0,200,85.5,27.0,10,20,65,,3.9,3,0.379,22,0.273,6,43.2,32,0.475,22.8,20,36,0.444,16,0.0,0,"December 30, 2018",50.0,16,19.4,7,85.5,73.0,27,0.5429999999999999,69,0.46399999999999997,32,0.29,20,0.55,11,8,200,113.2,40.5,15,16,86,,10.5,8,0.406,28,0.39299999999999996,11,56.8,42,0.5479999999999999,12.4,11,41,0.512,21,0.385,5,"Prather Coliseum, Natchitoches, Louisiana","Champion Christian
			","Champion Christian
			",76.5,Home,NORTHWESTERN-STATE,Northwestern State,Northwestern State,southland,12,True,False,True,Home,True,11,21,69,42,74,6,16,58,1,0,71,198,709,0.4294781382228491,399,847,0.47107438016528924,105,217,718,0.5215877437325905,0.3333333333333333
13,2019-01-02-19-northwestern-state,59.3,16,9.8,4,98.6,65.8,25,0.484,63,0.429,27,0.349,22,0.773,17,6,200,106.8,34.4,11,19,78,,6.8,5,0.33299999999999996,21,0.33299999999999996,7,51.4,36,0.531,13.1,11,42,0.47600000000000003,20,0.5710000000000001,8,"January 2, 2019",54.2,13,19.0,8,106.8,65.6,21,0.43,64,0.375,24,0.359,23,0.7390000000000001,17,9,200,98.6,34.2,13,19,72,,5.5,4,0.359,23,0.304,7,48.6,34,0.48,12.9,11,41,0.415,17,0.35700000000000004,5,"Prather Coliseum, Natchitoches, Louisiana",NORTHWESTERN-STATE,Northwestern State,73.2,Away,NICHOLLS-STATE,Nicholls State,Northwestern State,southland,13,False,True,True,Home,False,7,17,64,34,70,7,20,63,0,1,82,219,778,0.43958868894601544,441,921,0.4788273615635179,111,233,776,0.5148195876288659,0.38461538461538464
14,2019-01-05-16-northwestern-state,36.4,8,7.7,2,98.5,69.0,20,0.49,49,0.449,22,0.51,25,0.52,13,10,200,91.0,30.0,9,16,61,,9.0,6,0.265,13,0.308,4,49.2,29,0.501,22.1,17,36,0.5,18,0.33299999999999996,5,"January 5, 2019",34.8,8,13.9,5,91.0,70.0,21,0.491,54,0.426,23,0.37,20,0.65,13,9,200,98.5,31.0,9,23,66,,9.0,6,0.519,28,0.25,7,50.8,30,0.52,13.7,10,26,0.615,16,0.4,6,"Prather Coliseum, Natchitoches, Louisiana",MCNEESE-STATE,McNeese State,66.7,Home,NORTHWESTERN-STATE,Northwestern State,Northwestern State,southland,14,True,False,True,Home,True,7,16,54,30,59,4,18,49,1,0,89,236,842,0.43883610451306415,475,991,0.479313824419778,118,253,839,0.5125148986889154,0.35714285714285715
15,2019-01-09-19-northwestern-state,47.6,10,21.2,7,95.3,67.9,19,0.41700000000000004,60,0.35,21,0.317,19,0.632,12,9,200,96.9,51.4,19,13,62,,10.9,7,0.317,19,0.42100000000000004,8,58.5,38,0.449,18.0,15,41,0.317,13,0.43799999999999994,7,"January 9, 2019",44.0,11,14.6,6,96.9,48.6,18,0.527,55,0.455,25,0.091,5,0.6,3,10,200,95.3,32.1,9,20,61,,10.9,7,0.4,22,0.364,8,41.5,27,0.532,19.7,14,33,0.515,17,0.375,6,"Prather Coliseum, Natchitoches, Louisiana",NORTHWESTERN-STATE,Northwestern State,63.7,Away,TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,Northwestern State,southland,15,False,True,True,Home,False,8,17,55,27,65,8,13,60,0,1,96,252,896,0.4419642857142857,505,1050,0.48095238095238096,122,271,888,0.5112612612612613,0.4
16,2019-01-12-17-stephen-f-austin,57.9,11,7.5,3,81.9,71.4,30,0.442,52,0.365,19,0.365,19,0.789,15,10,200,84.7,37.9,11,20,61,,5.6,4,0.40399999999999997,21,0.381,8,57.7,41,0.5,26.7,22,31,0.355,11,0.41200000000000003,7,"January 12, 2019",55.0,11,9.7,3,84.7,62.1,18,0.35200000000000004,61,0.32799999999999996,20,0.426,26,0.615,16,7,200,81.9,28.6,12,17,59,,13.9,10,0.344,21,0.14300000000000002,3,42.3,30,0.402,12.1,10,40,0.425,17,0.5329999999999999,8,"William Johnson Coliseum, Nacogdoches, Texas",STEPHEN-F-AUSTIN,Stephen F. Austin,71.7,Away,NORTHWESTERN-STATE,Northwestern State,Northwestern State,southland,16,False,False,False,Away,True,8,11,52,41,71,3,17,61,1,0,104,269,951,0.4468980021030494,532,1115,0.47713004484304933,130,284,948,0.5052742616033755,0.375
17,2019-01-19-19-abilene-christian,52.2,12,9.8,4,109.9,72.7,24,0.44799999999999995,58,0.397,23,0.397,23,0.7390000000000001,17,11,200,97.2,26.3,10,17,69,,14.1,10,0.414,24,0.25,6,47.9,34,0.501,13.9,11,34,0.5,17,0.389,7,"January 19, 2019",64.3,18,14.7,5,97.2,73.7,28,0.525,61,0.45899999999999996,28,0.32799999999999996,20,0.7,14,3,200,109.9,27.3,9,18,78,,4.2,3,0.32799999999999996,20,0.4,8,52.1,37,0.5529999999999999,13.6,11,41,0.488,20,0.8420000000000001,16,"Moody Coliseum , Abilene, Texas",NORTHWESTERN-STATE,Northwestern State,71.2,Home,ABILENE-CHRISTIAN,Abilene Christian,Northwestern State,southland,17,False,False,False,Away,False,6,17,58,34,71,8,20,61,0,1,112,280,1003,0.44666001994017945,573,1186,0.4831365935919056,133,301,1009,0.49603567888999006,0.4117647058823529
18,2019-01-23-19-northwestern-state,48.1,13,2.9,1,98.5,57.9,22,0.5670000000000001,60,0.45,27,0.233,14,0.7140000000000001,10,8,200,120.0,35.5,11,20,78,,9.2,6,0.483,29,0.483,14,47.8,33,0.585,13.1,10,31,0.419,13,0.579,11,"January 23, 2019",24.0,6,16.1,5,120.0,64.5,20,0.42700000000000005,62,0.40299999999999997,25,0.242,15,0.733,11,12,200,98.5,42.1,16,14,64,,4.6,3,0.452,28,0.107,3,52.2,36,0.46299999999999997,14.9,12,34,0.647,22,0.368,7,"Prather Coliseum, Natchitoches, Louisiana",NORTHWESTERN-STATE,Northwestern State,65.4,Away,SAM-HOUSTON-STATE,Sam Houston State,Northwestern State,southland,18,False,True,True,Home,False,3,22,62,36,69,14,13,60,0,1,118,297,1061,0.4467483506126296,607,1257,0.48289578361177404,141,321,1070,0.4976635514018692,0.3888888888888889
19,2019-01-26-16-northwestern-state,57.1,12,10.7,3,76.8,83.3,30,0.5,51,0.41200000000000003,21,0.41200000000000003,21,0.857,18,12,200,100.0,25.0,8,15,69,,11.6,8,0.431,22,0.409,9,55.9,38,0.5660000000000001,18.9,14,29,0.414,12,0.4,8,"January 26, 2019",55.6,10,13.8,4,100.0,75.0,24,0.39399999999999996,52,0.34600000000000003,18,0.34600000000000003,18,0.667,12,13,200,76.8,16.7,6,18,53,,11.6,8,0.462,24,0.20800000000000002,5,44.1,30,0.43799999999999994,21.1,16,28,0.46399999999999997,13,0.35,7,"Prather Coliseum, Natchitoches, Louisiana",NORTHWESTERN-STATE,Northwestern State,68.8,Away,SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,Northwestern State,southland,19,False,True,True,Home,False,5,13,52,30,68,9,12,51,0,1,121,319,1123,0.44568121104185215,643,1326,0.48491704374057315,155,334,1130,0.5013274336283186,0.3684210526315789
20,2019-01-30-20-new-orleans,39.1,9,13.3,4,100.0,65.6,21,0.405,63,0.365,23,0.302,19,0.684,13,14,200,88.9,27.8,10,17,64,,5.6,4,0.23800000000000002,15,0.33299999999999996,5,45.6,31,0.444,16.4,14,48,0.375,18,0.33299999999999996,7,"January 30, 2019",77.3,17,12.5,6,88.9,72.2,26,0.491,53,0.415,22,0.509,27,0.741,20,9,200,100.0,34.4,11,19,72,,11.1,8,0.434,23,0.348,8,54.4,37,0.547,17.7,14,30,0.467,14,0.55,11,"Kiefer Lakefront Arena, New Orleans , Louisiana",NORTHWESTERN-STATE,Northwestern State,72.4,Home,NEW-ORLEANS,New Orleans,Northwestern State,southland,20,False,False,False,Away,False,5,18,63,31,68,8,14,53,0,1,126,332,1175,0.44340425531914895,673,1394,0.48278335724533716,164,346,1181,0.5012701100762066,0.35
21,2019-02-02-17-central-arkansas,39.3,11,5.7,2,98.7,74.2,23,0.63,50,0.56,28,0.62,31,0.5479999999999999,17,14,200,105.3,25.0,6,24,80,,11.8,9,0.3,15,0.467,7,52.7,29,0.618,22.0,18,35,0.6,21,0.364,8,"February 2, 2019",48.0,12,8.6,3,105.3,75.0,18,0.509,55,0.455,25,0.527,29,0.655,19,13,200,98.7,25.8,8,24,75,,11.8,9,0.364,20,0.3,6,47.3,26,0.545,18.1,15,35,0.5429999999999999,19,0.435,10,"Jeff Farris Center, Conway, Arkansas",CENTRAL-ARKANSAS,Central Arkansas,76.3,Away,NORTHWESTERN-STATE,Northwestern State,Northwestern State,southland,21,False,False,False,Away,True,7,21,50,29,55,6,19,55,1,0,131,350,1238,0.441437802907916,704,1462,0.48153214774281805,172,360,1234,0.5008103727714749,0.3333333333333333
22,2019-02-06-19-northwestern-state,55.6,15,6.1,3,90.1,65.6,21,0.436,70,0.386,27,0.371,26,0.769,20,9,225,100.0,31.0,13,18,81,,17.3,14,0.214,15,0.467,7,45.9,34,0.49200000000000005,11.9,11,55,0.364,20,0.591,13,"February 6, 2019",46.7,14,18.2,10,100.0,69.0,29,0.525,59,0.508,30,0.35600000000000004,21,0.524,11,15,225,90.1,34.4,11,21,73,,11.1,9,0.16899999999999998,10,0.2,2,54.1,40,0.529,25.2,23,49,0.5710000000000001,28,0.348,8,"Prather Coliseum, Natchitoches, Louisiana",NORTHWESTERN-STATE,Northwestern State,71.7,Away,NEW-ORLEANS,New Orleans,Northwestern State,southland,22,False,True,True,Home,False,2,28,59,40,74,7,20,70,0,1,138,371,1288,0.44875776397515527,733,1517,0.4831905075807515,178,379,1289,0.5011636927851048,0.36363636363636365
23,2019-02-09-16-mcneese-state,75.0,21,17.9,7,104.3,70.0,28,0.602,54,0.519,28,0.24100000000000002,13,0.6920000000000001,9,15,200,107.2,26.9,7,17,74,,1.4,1,0.389,21,0.429,9,53.0,35,0.615,20.1,15,33,0.5760000000000001,19,0.375,9,"February 9, 2019",64.0,16,3.0,1,107.2,73.1,19,0.447,66,0.379,25,0.258,17,0.765,13,16,200,104.3,30.0,12,10,72,,11.6,8,0.409,27,0.33299999999999996,9,47.0,31,0.486,8.7,7,39,0.41,16,0.304,7,"H&HP Complex, Lake Charles, Louisiana",MCNEESE-STATE,McNeese State,68.6,Away,NORTHWESTERN-STATE,Northwestern State,Northwestern State,southland,23,False,False,False,Away,True,9,19,54,35,66,9,16,66,1,0,140,399,1347,0.4521158129175947,773,1591,0.48585795097423007,185,399,1359,0.4977924944812362,0.34782608695652173
24,2019-02-13-20-lamar,59.3,16,9.5,4,97.4,70.4,19,0.575,53,0.509,27,0.20800000000000002,11,0.818,9,16,200,90.9,24.0,6,23,70,,7.8,6,0.321,17,0.41200000000000003,7,48.1,25,0.601,30.2,25,36,0.556,20,0.36,9,"February 13, 2019",54.2,13,2.8,1,90.9,76.0,19,0.5,54,0.444,24,0.5,27,0.778,21,12,200,97.4,29.6,8,17,75,,18.2,14,0.222,12,0.5,6,51.9,27,0.561,21.5,18,42,0.429,18,0.52,13,"Montagne Center, Beaumont, Texas",NORTHWESTERN-STATE,Northwestern State,77.0,Home,LAMAR,Lamar,Northwestern State,southland,24,False,False,False,Away,False,7,20,53,25,52,6,18,54,0,1,149,418,1401,0.4578872234118487,808,1657,0.4876282438141219,194,415,1425,0.49543859649122807,0.375
25,2019-02-16-16-northwestern-state,33.3,8,12.9,4,114.5,59.4,19,0.466,58,0.414,24,0.483,28,0.643,18,11,200,94.7,27.3,9,25,72,,11.8,9,0.345,20,0.3,6,43.1,28,0.505,18.5,16,38,0.474,18,0.542,13,"February 16, 2019",73.9,17,13.2,5,94.7,72.7,24,0.518,57,0.40399999999999997,23,0.614,35,0.8,28,16,200,114.5,40.6,13,23,87,,10.5,8,0.456,26,0.5,13,56.9,37,0.591,16.2,14,31,0.32299999999999995,10,0.385,10,"Prather Coliseum, Natchitoches, Louisiana",STEPHEN-F-AUSTIN,Stephen F. Austin,76.5,Home,NORTHWESTERN-STATE,Northwestern State,Northwestern State,southland,25,True,False,True,Home,True,13,10,57,37,65,6,18,58,1,0,156,438,1454,0.4621733149931224,833,1709,0.4874195435927443,200,433,1479,0.495605138607167,0.36
