,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MOREHEAD-STATE_homegame,MOREHEAD-STATE_homegame2,MOREHEAD-STATE_home,MOREHEAD-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-18-19-wright-state,39.3,11,7.4,2,114.7,71.0,22,0.555,55,0.509,28,0.2,11,0.545,6,8,200,98.5,20.7,6,20,67,,5.9,4,0.273,15,0.33299999999999996,5,46.7,28,0.556,20.0,15,40,0.575,23,0.273,3,"December 18, 2018",65.2,15,2.5,1,98.5,79.3,23,0.519,54,0.426,23,0.5,27,0.815,22,6,200,114.7,29.0,9,15,78,,11.8,8,0.5,27,0.37,10,53.3,32,0.584,12.0,9,27,0.48100000000000004,13,0.5,6,"Ervin J. Nutter Center, Dayton, Ohio",MOREHEAD-STATE,Morehead State,68.0,Home,WRIGHT-STATE,Wright State,Morehead State,ovc,10,False,False,False,Away,False,5,23,55,28,60,10,13,54,0,1,81,202,669,0.48355754857997013,348,684,0.5087719298245614,91,201,617,0.5470016207455429,0.3
11,2018-12-21-17-morehead-state,62.5,15,7.9,3,98.7,71.4,20,0.40399999999999997,68,0.353,24,0.382,26,0.5770000000000001,15,5,200,93.3,34.8,16,20,70,,12.0,9,0.353,24,0.292,7,48.6,36,0.436,10.2,9,44,0.386,17,0.615,8,"December 21, 2018",55.6,15,20.5,9,93.3,65.2,30,0.5,60,0.45,27,0.3,18,0.778,14,8,200,98.7,28.6,8,21,74,,2.7,2,0.36700000000000005,22,0.273,6,51.4,38,0.54,19.1,16,38,0.5529999999999999,21,0.33299999999999996,4,"Ellis T. Johnson Arena, Morehead, Kentucky",IUPUI,IUPUI,75.0,Home,MOREHEAD-STATE,Morehead State,Morehead State,ovc,11,True,False,True,Home,True,6,21,60,38,74,7,17,68,1,0,86,225,724,0.4889502762430939,376,744,0.5053763440860215,101,214,671,0.5447093889716841,0.2727272727272727
12,2018-12-29-14-missouri,35.0,7,11.1,3,110.3,72.4,21,0.44,50,0.4,20,0.52,26,0.654,17,9,200,89.7,29.4,10,19,61,,4.4,3,0.38,19,0.21100000000000002,4,49.2,31,0.489,17.5,13,31,0.516,16,0.308,4,"December 29, 2018",52.0,13,6.5,2,89.7,70.6,24,0.526,58,0.431,25,0.276,16,0.875,14,3,200,110.3,27.6,8,24,75,,8.8,6,0.534,31,0.355,11,50.8,32,0.5720000000000001,17.7,14,27,0.519,14,0.75,9,"Mizzou Arena, Columbia, Missouri",MOREHEAD-STATE,Morehead State,68.5,Home,MISSOURI,Missouri,Morehead State,ovc,12,False,False,False,Away,False,4,16,50,31,63,11,14,58,0,1,92,246,784,0.4897959183673469,414,818,0.5061124694376528,108,231,739,0.5317997293640054,0.3333333333333333
13,2019-01-03-20-murray-state,45.8,11,0.0,0,126.8,58.1,18,0.517,58,0.414,24,0.345,20,0.45,9,10,200,97.2,29.3,12,12,69,,15.5,11,0.5,29,0.414,12,41.7,30,0.511,16.3,13,29,0.414,12,0.28600000000000003,4,"January 3, 2019",65.8,25,17.2,5,97.2,70.7,29,0.612,67,0.5670000000000001,38,0.16399999999999998,11,0.727,8,2,200,126.8,41.9,13,17,90,,12.7,9,0.22399999999999998,15,0.4,6,58.3,42,0.623,16.3,14,52,0.615,32,0.833,10,"CFSB Center, Murray, Kentucky",MOREHEAD-STATE,Morehead State,70.9,Home,MURRAY-STATE,Murray State,Morehead State,ovc,13,False,False,False,Away,False,12,12,58,30,72,6,32,67,0,1,96,262,834,0.486810551558753,445,881,0.5051078320090806,119,245,797,0.5313676286072773,0.3076923076923077
14,2019-01-05-17-austin-peay,54.5,12,11.4,5,109.5,70.6,24,0.397,63,0.349,22,0.381,24,0.708,17,11,200,90.5,23.1,9,23,67,,4.1,3,0.397,25,0.24,6,45.2,33,0.45,10.9,9,38,0.42100000000000004,16,0.267,4,"January 5, 2019",29.6,8,23.7,9,90.5,76.9,30,0.5,60,0.45,27,0.45,27,0.778,21,5,200,109.5,29.4,10,23,81,,1.4,1,0.267,16,0.375,6,54.8,40,0.556,13.3,11,44,0.47700000000000004,21,0.667,10,"Winfield Dunn Center, Clarksville, Tennessee",MOREHEAD-STATE,Morehead State,74.1,Home,AUSTIN-PEAY,Austin Peay,Morehead State,ovc,14,False,False,False,Away,False,6,16,63,33,73,6,21,60,0,1,108,274,892,0.48878923766816146,475,953,0.49842602308499473,125,277,864,0.5376157407407407,0.2857142857142857
15,2019-01-10-19-belmont,50.0,9,0.0,0,102.7,73.1,19,0.389,54,0.33299999999999996,18,0.426,23,0.7829999999999999,18,12,200,80.0,16.7,6,22,60,,12.0,9,0.426,23,0.261,6,40.3,25,0.462,20.0,16,31,0.387,12,0.25,4,"January 10, 2019",66.7,18,9.7,3,80.0,83.3,30,0.585,53,0.509,27,0.377,20,0.75,15,3,200,102.7,26.9,7,18,77,,6.7,5,0.491,26,0.308,8,59.7,37,0.616,24.4,20,27,0.7040000000000001,19,0.7859999999999999,11,"Curb Event Center, Nashville, Tennessee",MOREHEAD-STATE,Morehead State,75.2,Home,BELMONT,Belmont,Morehead State,ovc,15,False,False,False,Away,False,6,12,54,25,62,8,19,53,0,1,114,290,955,0.4827225130890052,508,1026,0.4951267056530214,131,298,924,0.5351731601731602,0.26666666666666666
16,2019-01-12-20-tennessee-state,50.0,11,12.2,5,84.7,68.3,28,0.52,50,0.44,22,0.64,32,0.688,22,12,200,102.8,33.3,10,23,74,,11.1,8,0.32,16,0.5,8,53.5,38,0.5670000000000001,20.0,16,34,0.41200000000000003,14,0.294,5,"January 12, 2019",23.1,6,17.6,6,102.8,66.7,20,0.444,63,0.413,26,0.222,14,0.35700000000000004,5,12,200,84.7,31.7,13,28,61,,12.5,9,0.349,22,0.182,4,46.5,33,0.43799999999999994,18.8,16,41,0.537,22,0.25,4,"Gentry Center Complex, Nashville, Tennessee",TENNESSEE-STATE,Tennessee State,71.9,Away,MOREHEAD-STATE,Morehead State,Morehead State,ovc,16,False,False,False,Away,True,8,14,50,38,71,4,22,63,1,0,120,302,1009,0.47770069375619423,533,1088,0.4898897058823529,139,317,977,0.537871033776868,0.25
17,2019-01-17-19-morehead-state,44.8,13,14.3,4,110.6,79.3,23,0.508,63,0.46,29,0.14300000000000002,9,0.556,5,12,200,104.5,39.4,13,27,69,,10.6,7,0.28600000000000003,18,0.33299999999999996,6,58.1,36,0.513,14.1,11,45,0.511,23,0.33299999999999996,6,"January 17, 2019",79.2,19,20.0,9,104.5,60.6,20,0.557,53,0.45299999999999996,24,0.358,19,0.737,14,12,200,110.6,20.7,6,13,73,,4.5,3,0.47200000000000003,25,0.44,11,41.9,26,0.588,14.0,10,28,0.46399999999999997,13,0.33299999999999996,6,"Ellis T. Johnson Arena, Morehead, Kentucky",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,65.7,Home,MOREHEAD-STATE,Morehead State,Morehead State,ovc,17,True,False,True,Home,True,11,13,53,26,62,6,23,63,1,0,128,316,1059,0.4796978281397545,571,1159,0.4926660914581536,143,339,1040,0.5322115384615385,0.29411764705882354
18,2019-01-19-18-morehead-state,46.9,15,3.1,1,121.4,77.3,17,0.621,58,0.552,32,0.121,7,0.7140000000000001,5,12,200,110.0,23.8,5,22,77,,7.1,5,0.32799999999999996,19,0.42100000000000004,8,51.2,22,0.628,20.8,16,39,0.615,24,0.294,5,"January 19, 2019",77.4,24,12.8,5,110.0,76.2,16,0.6829999999999999,52,0.596,31,0.385,20,0.7,14,12,200,121.4,22.7,5,12,85,,7.1,5,0.385,20,0.45,9,48.8,21,0.691,15.3,11,32,0.688,22,0.368,7,"Ellis T. Johnson Arena, Morehead, Kentucky",TENNESSEE-MARTIN,UT-Martin,69.9,Home,MOREHEAD-STATE,Morehead State,Morehead State,ovc,18,True,False,True,Home,True,9,22,52,21,43,8,24,58,1,0,139,329,1112,0.483363309352518,597,1221,0.48894348894348894,149,362,1103,0.5308250226654578,0.3333333333333333
19,2019-01-24-19-morehead-state,40.9,9,14.7,5,97.1,79.3,23,0.385,65,0.33799999999999997,22,0.231,15,0.733,11,14,200,88.4,35.0,14,22,61,,4.3,3,0.32299999999999995,21,0.28600000000000003,6,53.6,37,0.423,13.3,11,44,0.364,16,0.3,6,"January 24, 2019",59.1,13,6.8,3,88.4,65.0,26,0.5,51,0.431,22,0.47100000000000003,24,0.667,16,12,200,97.1,20.7,6,17,67,,5.8,4,0.33299999999999996,17,0.41200000000000003,7,46.4,32,0.537,16.3,12,34,0.441,15,0.4,8,"Ellis T. Johnson Arena, Morehead, Kentucky",TENNESSEE-TECH,Tennessee Tech,68.8,Home,MOREHEAD-STATE,Morehead State,Morehead State,ovc,19,True,False,True,Home,True,7,15,51,32,69,6,16,65,1,0,148,351,1164,0.49226804123711343,618,1264,0.4889240506329114,157,386,1161,0.5353143841515935,0.3684210526315789
20,2019-01-26-15-morehead-state,35.5,11,11.8,4,107.6,78.8,26,0.5760000000000001,59,0.525,31,0.16899999999999998,10,0.9,9,6,200,116.7,25.0,7,11,77,,9.1,6,0.33899999999999997,20,0.3,6,54.1,33,0.604,11.2,8,39,0.6409999999999999,25,0.7140000000000001,15,"January 26, 2019",46.2,12,5.1,2,116.7,75.0,21,0.508,60,0.433,26,0.183,11,0.909,10,13,200,107.6,21.2,7,13,71,,7.6,5,0.433,26,0.34600000000000003,9,45.9,28,0.544,12.2,9,34,0.5,17,0.381,8,"Ellis T. Johnson Arena, Morehead, Kentucky",MOREHEAD-STATE,Morehead State,66.0,Away,JACKSONVILLE-STATE,Jacksonville State,Morehead State,ovc,20,False,True,True,Home,False,9,17,60,28,61,6,25,59,0,1,155,366,1215,0.4925925925925926,650,1333,0.4876219054763691,163,402,1226,0.5273246329526917,0.4
21,2019-01-31-20-southern-illinois-edwardsville,50.0,11,3.0,1,116.9,74.1,20,0.48200000000000004,55,0.4,22,0.491,27,0.852,23,14,200,107.0,21.9,7,20,76,,1.4,1,0.418,23,0.391,9,45.8,27,0.56,13.0,10,32,0.406,13,0.364,8,"January 31, 2019",50.0,15,9.4,3,107.0,78.1,25,0.63,54,0.556,30,0.389,21,0.7140000000000001,15,14,200,116.9,25.9,7,20,83,,2.8,2,0.389,21,0.381,8,54.2,32,0.649,18.1,14,33,0.667,22,0.33299999999999996,7,"Sam Vadalabene Center , Edwardsville, Illinois",MOREHEAD-STATE,Morehead State,70.9,Home,SOUTHERN-ILLINOIS-EDWARDSVILLE,SIU-Edwardsville,Morehead State,ovc,21,False,False,False,Away,False,9,13,55,27,59,8,22,54,0,1,164,383,1275,0.49333333333333335,678,1394,0.48637015781922527,169,427,1285,0.5295719844357977,0.38095238095238093
22,2019-02-02-16-eastern-illinois,43.3,13,4.9,2,106.8,72.4,21,0.523,65,0.462,30,0.32299999999999995,21,0.762,16,14,200,115.1,32.4,11,9,84,,13.7,10,0.262,17,0.47100000000000003,8,50.8,32,0.56,12.9,11,48,0.45799999999999996,22,0.391,9,"February 2, 2019",50.0,16,18.8,9,115.1,67.6,23,0.607,61,0.525,32,0.098,6,0.667,4,10,200,106.8,27.6,8,21,78,,11.0,8,0.32799999999999996,20,0.5,10,49.2,31,0.611,19.1,15,41,0.537,22,0.565,13,"Lantz Arena, Charleston, Illinois",EASTERN-ILLINOIS,Eastern Illinois,72.9,Away,MOREHEAD-STATE,Morehead State,Morehead State,ovc,22,False,False,False,Away,True,8,22,65,32,63,10,22,61,1,0,173,396,1330,0.4928571428571429,705,1453,0.48520302821748107,177,449,1339,0.5336071695294996,0.36363636363636365
23,2019-02-07-19-morehead-state,33.3,10,12.8,6,106.7,63.2,24,0.54,62,0.484,30,0.32299999999999995,20,0.7,14,15,250,108.0,35.3,12,22,81,,6.7,5,0.387,24,0.292,7,50.0,36,0.5660000000000001,17.5,15,38,0.605,23,0.348,8,"February 7, 2019",37.0,10,10.5,4,108.0,64.7,22,0.455,67,0.40299999999999997,27,0.38799999999999996,26,0.731,19,15,250,106.7,36.8,14,18,80,,9.3,7,0.299,20,0.35,7,50.0,36,0.504,11.3,10,47,0.426,20,0.375,9,"Ellis T. Johnson Arena, Morehead, Kentucky",MOREHEAD-STATE,Morehead State,59.9,Away,TENNESSEE-STATE,Tennessee State,Morehead State,ovc,23,False,True,True,Home,False,7,20,67,36,72,7,23,62,0,1,181,418,1395,0.4942652329749104,737,1516,0.4861477572559367,187,471,1400,0.5367857142857143,0.391304347826087
24,2019-02-09-16-morehead-state,56.3,18,12.8,6,121.1,67.6,23,0.648,61,0.525,32,0.41,25,0.68,17,4,200,135.2,23.3,7,14,96,,7.0,5,0.49200000000000005,30,0.5,15,46.9,30,0.659,5.3,4,31,0.5479999999999999,17,0.826,19,"February 9, 2019",42.9,15,19.4,6,135.2,76.7,23,0.564,70,0.5,35,0.129,9,0.778,7,16,200,121.1,32.4,11,18,86,,4.2,3,0.32899999999999996,23,0.391,9,53.1,34,0.579,10.8,9,47,0.5529999999999999,26,0.36,9,"Ellis T. Johnson Arena, Morehead, Kentucky",MOREHEAD-STATE,Morehead State,71.1,Away,BELMONT,Belmont,Morehead State,ovc,24,False,True,True,Home,False,9,26,70,34,64,15,17,61,0,1,188,438,1462,0.49247606019151846,773,1588,0.48677581863979846,194,494,1462,0.5369357045143639,0.375
25,2019-02-14-19-morehead-state,52.0,13,12.1,4,100.0,68.8,22,0.36700000000000005,75,0.33299999999999996,25,0.293,22,0.773,17,15,200,92.3,30.4,14,23,72,,16.7,13,0.33299999999999996,25,0.2,5,46.2,36,0.42100000000000004,7.6,7,50,0.4,20,0.423,11,"February 14, 2019",65.2,15,22.0,11,92.3,69.6,32,0.491,54,0.426,23,0.556,30,0.833,25,16,200,100.0,31.3,10,18,78,,5.1,4,0.389,21,0.33299999999999996,7,53.8,42,0.5710000000000001,22.0,19,33,0.485,16,0.385,10,"Ellis T. Johnson Arena, Morehead, Kentucky",EASTERN-KENTUCKY,Eastern Kentucky,77.9,Home,MOREHEAD-STATE,Morehead State,Morehead State,ovc,25,True,False,True,Home,True,7,16,54,42,78,5,20,75,1,0,197,464,1532,0.495757180156658,807,1652,0.48849878934624696,209,511,1523,0.541365725541694,0.36
26,2019-02-16-16-morehead-state,36.0,9,11.8,4,98.6,87.5,28,0.469,64,0.391,25,0.313,20,0.65,13,8,200,102.8,24.3,9,16,73,,2.8,2,0.32799999999999996,21,0.47600000000000003,10,53.6,37,0.49700000000000005,8.8,7,43,0.349,15,0.7040000000000001,19,"February 16, 2019",48.0,12,25.6,11,102.8,75.7,28,0.509,55,0.455,25,0.4,22,0.636,14,17,200,98.6,12.5,4,18,70,,1.4,1,0.382,21,0.28600000000000003,6,46.4,32,0.535,12.2,9,34,0.5589999999999999,19,0.37,10,"Ellis T. Johnson Arena, Morehead, Kentucky",MOREHEAD-STATE,Morehead State,71.0,Away,AUSTIN-PEAY,Austin Peay,Morehead State,ovc,26,False,True,True,Home,False,6,19,55,32,69,10,15,64,0,1,204,480,1586,0.49558638083228246,849,1730,0.4907514450867052,214,531,1598,0.5331664580725908,0.38461538461538464
