,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,CLEMSON_homegame,CLEMSON_homegame2,CLEMSON_home,CLEMSON_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-18-19-clemson,10.5,2,0.0,0,108.3,52.4,11,0.39299999999999996,56,0.33899999999999997,19,0.161,9,0.778,7,7,200,70.8,25.8,8,20,51,,13.9,10,0.35700000000000004,20,0.3,6,36.5,19,0.423,25.0,20,36,0.361,13,0.364,4,"December 18, 2018",55.2,16,22.2,8,70.8,74.2,23,0.64,50,0.58,29,0.38,19,0.737,14,3,200,108.3,47.6,10,12,78,,13.9,10,0.38,19,0.316,6,63.5,33,0.6609999999999999,27.4,22,31,0.742,23,0.727,8,"Littlejohn Coliseum, Clemson, South Carolina",CHARLESTON-SOUTHERN,Charleston Southern,71.7,Home,CLEMSON,Clemson,Clemson,acc,10,True,False,True,Home,True,6,23,50,33,52,6,13,56,1,0,63,200,550,0.5354545454545454,324,583,0.5557461406518011,93,146,544,0.5248161764705882,0.7
11,2018-12-22-14-south-carolina,38.5,10,14.9,7,93.2,66.7,28,0.652,46,0.565,26,0.5429999999999999,25,0.72,18,3,200,106.8,29.2,7,25,78,,9.6,7,0.435,20,0.4,8,53.0,35,0.674,25.0,19,26,0.6920000000000001,18,0.75,9,"December 22, 2018",47.8,11,3.8,1,106.8,70.8,17,0.397,63,0.365,23,0.444,28,0.643,18,7,200,93.2,33.3,14,21,68,,6.8,5,0.254,16,0.25,4,47.0,31,0.446,15.7,14,47,0.40399999999999997,19,0.364,4,"The Colonial Life Arena, Columbia, South Carolina",SOUTH-CAROLINA,South Carolina,73.1,Away,CLEMSON,Clemson,Clemson,acc,11,False,False,False,Away,True,8,18,46,35,66,4,19,63,1,0,69,223,600,0.5441666666666667,357,635,0.5622047244094488,99,159,600,0.5125,0.7272727272727273
12,2018-12-30-15-clemson,33.3,7,4.9,2,100.0,72.7,24,0.461,51,0.41200000000000003,21,0.5489999999999999,28,0.7140000000000001,20,4,200,79.8,9.1,3,22,67,,11.9,10,0.314,16,0.313,5,40.9,27,0.521,25.8,22,35,0.457,16,0.6920000000000001,9,"December 30, 2018",34.5,10,17.1,6,79.8,90.9,30,0.508,64,0.45299999999999996,29,0.375,24,0.792,19,3,200,100.0,27.3,9,24,84,,17.9,15,0.359,23,0.304,7,59.1,39,0.557,19.4,18,41,0.537,22,0.769,10,"Littlejohn Coliseum, Clemson, South Carolina",LIPSCOMB,Lipscomb,83.9,Home,CLEMSON,Clemson,Clemson,acc,12,True,False,True,Home,True,7,22,64,39,66,5,16,51,1,0,77,241,646,0.5518575851393189,392,701,0.5592011412268189,103,178,663,0.5015082956259427,0.75
13,2019-01-05-20-duke,51.9,14,4.5,2,114.5,68.4,26,0.47600000000000003,63,0.429,27,0.19,12,0.667,8,4,200,89.5,25.0,9,16,68,,7.9,6,0.23800000000000002,15,0.4,6,47.3,35,0.495,19.0,16,48,0.43799999999999994,21,0.7140000000000001,10,"January 5, 2019",50.0,16,12.5,6,89.5,75.0,27,0.53,67,0.478,32,0.313,21,0.762,16,1,200,114.5,31.6,12,15,87,1.0,17.1,13,0.34299999999999997,23,0.304,7,52.7,39,0.565,13.6,12,44,0.568,25,0.9229999999999999,12,"Cameron Indoor Stadium, Durham, North Carolina",CLEMSON,Clemson,76.3,Home,DUKE,Duke,Clemson,acc,13,False,False,False,Away,False,6,21,63,35,74,7,25,67,0,1,84,263,710,0.547887323943662,431,767,0.5619295958279009,108,194,714,0.49859943977591037,0.7692307692307693
14,2019-01-09-20-syracuse,73.7,14,9.1,2,88.4,82.1,23,0.406,53,0.358,19,0.321,17,0.588,10,5,200,76.8,25.7,9,22,53,,10.1,7,0.377,20,0.25,5,50.8,32,0.434,20.9,16,33,0.424,14,0.667,10,"January 9, 2019",60.0,12,21.2,7,76.8,74.3,26,0.479,48,0.41700000000000004,20,0.479,23,0.652,15,4,200,88.4,17.9,5,16,61,,7.2,5,0.542,26,0.231,6,49.2,31,0.518,20.5,15,22,0.636,14,0.733,11,"Carrier Dome, Syracuse, New York",CLEMSON,Clemson,68.5,Home,SYRACUSE,Syracuse,Clemson,acc,14,False,False,False,Away,False,5,14,53,32,63,6,14,48,0,1,90,284,773,0.5420439844760673,466,841,0.5541022592152199,115,219,781,0.501280409731114,0.7142857142857143
15,2019-01-12-12-clemson,47.8,11,5.7,2,69.4,83.3,35,0.491,57,0.40399999999999997,23,0.21100000000000002,12,0.583,7,0,200,101.6,24.2,8,13,63,4.0,6.5,4,0.40399999999999997,23,0.435,10,57.3,43,0.502,11.4,8,34,0.382,13,1.0,15,"January 12, 2019",35.7,5,5.9,2,101.6,75.8,25,0.287,54,0.259,14,0.315,17,0.706,12,6,200,69.4,16.7,7,14,43,,11.3,7,0.35200000000000004,19,0.158,3,42.7,32,0.34600000000000003,8.9,6,35,0.314,11,0.625,10,"Littlejohn Coliseum, Clemson, South Carolina",CLEMSON,Clemson,61.9,Away,VIRGINIA,Virginia,Clemson,acc,15,False,True,True,Home,False,3,11,54,32,75,10,13,57,0,1,95,298,826,0.5332929782082324,498,904,0.5508849557522124,121,233,829,0.5,0.6666666666666666
16,2019-01-16-21-clemson,33.3,7,18.9,7,116.1,69.6,16,0.523,44,0.47700000000000004,21,0.47700000000000004,21,0.667,14,7,200,96.8,8.7,2,17,60,,9.7,6,0.25,11,0.364,4,39.1,18,0.556,17.1,11,33,0.515,17,0.588,10,"January 16, 2019",48.1,13,6.1,2,96.8,91.3,21,0.575,53,0.509,27,0.264,14,0.7859999999999999,11,6,200,116.1,30.4,7,18,72,,8.1,5,0.302,16,0.43799999999999994,7,60.9,28,0.604,13.2,9,37,0.541,20,0.647,11,"Littlejohn Coliseum, Clemson, South Carolina",GEORGIA-TECH,Georgia Tech,62.3,Home,CLEMSON,Clemson,Clemson,acc,16,True,False,True,Home,True,7,20,53,28,46,4,17,44,1,0,98,309,880,0.5181818181818182,530,979,0.5413687436159347,131,246,886,0.4994356659142212,0.625
17,2019-01-22-19-florida-state,50.0,13,3.0,1,111.6,83.3,25,0.491,58,0.44799999999999995,26,0.24100000000000002,14,0.7859999999999999,11,7,200,98.6,20.7,6,17,68,,1.4,1,0.293,17,0.294,5,52.5,31,0.526,14.6,11,41,0.512,21,0.611,11,"January 22, 2019",56.0,14,2.4,1,98.6,79.3,23,0.545,55,0.455,25,0.382,21,0.81,17,5,200,111.6,16.7,5,15,77,,1.4,1,0.4,22,0.455,10,47.5,28,0.593,11.1,8,33,0.455,15,0.737,14,"Donald L. Tucker Center, Tallahassee, Florida",CLEMSON,Clemson,68.8,Home,FLORIDA-STATE,Florida State,Clemson,acc,17,False,False,False,Away,False,5,21,58,31,59,10,15,55,0,1,105,329,933,0.5214362272240086,558,1025,0.5443902439024391,135,263,930,0.5005376344086021,0.6470588235294118
18,2019-01-26-14-north-carolina-state,20.0,5,13.3,4,101.5,76.7,23,0.49,51,0.49,25,0.51,26,0.654,17,8,200,98.5,34.5,10,16,67,,11.8,8,0.13699999999999998,7,0.0,0,55.9,33,0.529,19.4,15,44,0.568,25,0.579,11,"January 26, 2019",45.8,11,0.0,0,98.5,65.5,19,0.528,54,0.444,24,0.24100000000000002,13,0.9229999999999999,12,4,200,101.5,23.3,7,21,69,21.0,4.4,3,0.444,24,0.375,9,44.1,26,0.573,20.1,15,30,0.5,15,0.8,16,"PNC Arena, Raleigh, North Carolina",CLEMSON,Clemson,68.3,Home,NORTH-CAROLINA-STATE,NC State,Clemson,acc,18,False,False,False,Away,False,0,25,51,33,59,9,15,54,0,1,110,350,991,0.5196770938446014,589,1084,0.5433579335793358,145,278,985,0.5030456852791878,0.6111111111111112
19,2019-01-29-21-clemson,8.3,2,5.0,1,124.2,75.0,15,0.528,53,0.45299999999999996,24,0.396,21,0.619,13,9,200,104.5,25.0,8,21,69,,10.6,7,0.415,22,0.364,8,44.2,23,0.5479999999999999,16.2,12,31,0.516,16,0.5710000000000001,12,"January 29, 2019",65.4,17,22.6,7,104.5,75.0,24,0.7020000000000001,47,0.5529999999999999,26,0.447,21,0.762,16,8,200,124.2,25.0,5,19,82,,6.1,4,0.574,27,0.519,14,55.8,29,0.72,19.9,14,20,0.6,12,0.6,12,"Littlejohn Coliseum, Clemson, South Carolina",PITTSBURGH,Pitt,66.5,Home,CLEMSON,Clemson,Clemson,acc,19,True,False,True,Home,True,14,12,47,29,52,8,16,53,1,0,110,375,1042,0.5182341650671785,622,1143,0.5441819772528433,154,293,1039,0.5043310875842156,0.5789473684210527
20,2019-02-03-12-clemson,57.1,8,8.6,3,101.6,74.1,20,0.263,59,0.237,14,0.136,8,0.75,6,13,200,58.7,39.5,15,14,37,,6.3,4,0.373,22,0.136,3,53.8,35,0.295,19.3,15,37,0.297,11,0.381,8,"February 3, 2019",52.0,13,27.0,10,58.7,60.5,23,0.528,53,0.47200000000000003,25,0.20800000000000002,11,0.727,8,8,200,101.6,25.9,7,12,64,,12.7,8,0.34,18,0.33299999999999996,6,46.2,30,0.55,16.0,11,35,0.5429999999999999,19,0.619,13,"Littlejohn Coliseum, Clemson, South Carolina",WAKE-FOREST,Wake Forest,62.5,Home,CLEMSON,Clemson,Clemson,acc,20,True,False,True,Home,True,6,19,53,30,65,3,11,59,1,0,124,387,1089,0.5261707988980716,651,1195,0.5447698744769874,162,309,1092,0.5054945054945055,0.6
21,2019-02-06-19-georgia-tech,63.0,17,22.6,7,67.7,81.8,27,0.545,55,0.491,27,0.182,10,0.5,5,8,200,104.8,28.0,7,15,65,,11.3,7,0.309,17,0.353,6,58.6,34,0.544,14.4,10,38,0.5529999999999999,21,0.636,14,"February 6, 2019",61.5,8,21.1,8,104.8,72.0,18,0.349,43,0.302,13,0.37200000000000005,16,0.75,12,12,200,67.7,18.2,6,11,42,,9.7,6,0.27899999999999997,12,0.33299999999999996,4,41.4,24,0.415,24.2,16,31,0.29,9,0.478,11,"McCamish Pavilion, Atlanta, Georgia",GEORGIA-TECH,Georgia Tech,61.7,Away,CLEMSON,Clemson,Clemson,acc,21,False,False,False,Away,True,6,21,55,34,58,4,9,43,1,0,130,406,1142,0.5262697022767076,681,1260,0.5404761904761904,165,320,1151,0.49304952215464815,0.6190476190476191
22,2019-02-09-12-clemson,53.3,8,5.6,1,98.3,81.5,22,0.33,53,0.28300000000000003,15,0.321,17,0.941,16,5,200,85.0,32.4,11,17,51,11.0,15.0,9,0.358,19,0.263,5,54.1,33,0.418,15.4,11,34,0.294,10,0.7829999999999999,18,"February 9, 2019",68.4,13,35.3,12,85.0,67.6,23,0.5329999999999999,46,0.413,19,0.28300000000000003,13,0.769,10,8,200,98.3,18.5,5,18,59,,10.0,6,0.609,28,0.39299999999999996,11,45.9,28,0.565,18.8,12,18,0.444,8,0.652,15,"Littlejohn Coliseum, Clemson, South Carolina",VIRGINIA-TECH,Virginia Tech,60.1,Home,CLEMSON,Clemson,Clemson,acc,22,True,False,True,Home,True,11,8,46,28,61,5,10,53,1,0,136,427,1197,0.5271512113617377,715,1318,0.5424886191198786,169,329,1194,0.48785594639866,0.6363636363636364
23,2019-02-13-19-miami-fl,34.8,8,6.9,2,98.5,84.8,28,0.445,55,0.418,23,0.273,15,1.0,15,9,200,97.0,22.2,6,17,64,,7.6,5,0.345,19,0.158,3,56.7,34,0.515,15.2,11,36,0.556,20,0.625,15,"February 13, 2019",42.9,9,11.1,4,97.0,77.8,21,0.48100000000000004,54,0.389,21,0.315,17,0.765,13,13,200,98.5,15.2,5,16,65,,4.5,3,0.46299999999999997,25,0.4,10,43.3,26,0.524,10.2,7,29,0.379,11,0.45799999999999996,11,"BankUnited Center, Coral Gables, Florida",CLEMSON,Clemson,65.6,Home,MIAMI-FL,Miami (FL),Clemson,acc,23,False,False,False,Away,False,3,20,55,34,60,10,11,54,0,1,147,435,1243,0.5273531777956557,743,1379,0.5387962291515591,174,339,1247,0.48115477145148355,0.6521739130434783
24,2019-02-16-12-louisville,36.4,8,5.7,2,82.4,90.6,29,0.439,57,0.386,22,0.12300000000000001,7,0.7140000000000001,5,10,200,80.9,28.6,10,17,55,,7.4,5,0.228,13,0.462,6,58.2,39,0.456,22.1,17,44,0.364,16,0.6,15,"February 16, 2019",42.1,8,6.8,3,80.9,71.4,25,0.40700000000000003,54,0.35200000000000004,19,0.259,14,0.857,12,8,200,82.4,9.4,3,12,56,16.0,7.4,5,0.35200000000000004,19,0.316,6,41.8,28,0.462,16.6,12,35,0.371,13,0.6920000000000001,18,"KFC Yum! Center, Louisville, Kentucky",CLEMSON,Clemson,68.5,Home,LOUISVILLE,Louisville,Clemson,acc,24,False,False,False,Away,False,6,16,57,39,67,6,13,54,0,1,150,455,1298,0.5238828967642527,777,1439,0.5399583043780403,184,350,1301,0.4811683320522675,0.625
25,2019-02-19-21-clemson,41.4,12,10.8,4,88.9,82.1,32,0.542,60,0.483,29,0.28300000000000003,17,0.706,12,5,200,106.9,27.6,8,21,77,16.0,5.6,4,0.3,18,0.389,7,58.8,40,0.5660000000000001,15.1,12,42,0.524,22,0.8079999999999999,21,"February 19, 2019",47.8,11,9.5,4,106.9,72.4,21,0.45,60,0.38299999999999995,23,0.267,16,0.625,10,11,200,88.9,17.9,7,18,64,,6.9,5,0.38299999999999995,23,0.348,8,41.2,28,0.473,14.1,11,37,0.405,15,0.5770000000000001,15,"Littlejohn Coliseum, Clemson, South Carolina",CLEMSON,Clemson,71.8,Away,FLORIDA-STATE,Florida State,Clemson,acc,25,False,True,True,Home,False,8,15,60,28,68,7,22,60,0,1,156,471,1355,0.5202952029520295,816,1506,0.5418326693227091,190,363,1355,0.4782287822878229,0.6
26,2019-02-23-12-clemson,32.0,8,2.9,1,113.4,76.9,20,0.467,61,0.41,25,0.213,13,0.6920000000000001,9,13,200,98.5,33.3,12,16,66,,4.5,3,0.41,25,0.28,7,51.6,32,0.491,16.3,13,36,0.5,18,0.5,13,"February 23, 2019",55.6,15,8.3,3,98.5,66.7,24,0.596,52,0.519,27,0.34600000000000003,18,0.778,14,11,200,113.4,23.1,6,11,76,,11.9,8,0.327,17,0.47100000000000003,8,48.4,30,0.628,16.7,12,35,0.5429999999999999,19,0.593,16,"Littlejohn Coliseum, Clemson, South Carolina",BOSTON-COLLEGE,Boston College,67.4,Home,CLEMSON,Clemson,Clemson,acc,26,True,False,True,Home,True,8,19,52,30,62,7,18,61,1,0,164,486,1415,0.5173144876325089,844,1574,0.5362134688691232,197,385,1415,0.48091872791519436,0.5769230769230769
27,2019-02-27-19-pittsburgh,81.8,18,20.0,6,73.8,84.8,28,0.519,52,0.423,22,0.17300000000000001,9,0.889,8,11,200,95.4,15.4,4,23,62,,9.2,6,0.5,26,0.385,10,54.2,32,0.551,18.9,13,26,0.462,12,0.607,17,"February 27, 2019",66.7,8,19.2,5,95.4,84.6,22,0.307,44,0.273,12,0.636,28,0.75,21,16,200,73.8,15.2,5,13,48,,10.8,7,0.318,14,0.214,3,45.8,27,0.419,18.8,13,30,0.3,9,0.429,12,"Petersen Events Center, Pittsburgh, Pennsylvania",PITTSBURGH,Pitt,65.3,Away,CLEMSON,Clemson,Clemson,acc,27,False,False,False,Away,True,10,12,52,32,59,3,9,44,1,0,172,505,1467,0.520109066121336,874,1636,0.5342298288508558,204,403,1476,0.4803523035230352,0.5925925925925926
