,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SIENA_homegame,SIENA_homegame2,SIENA_home,SIENA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-18-19-siena,28.1,9,11.1,2,95.1,75.8,25,0.7120000000000001,52,0.615,32,0.25,13,0.6920000000000001,9,2,200,136.1,28.6,6,10,83,,11.5,7,0.327,17,0.588,10,57.4,31,0.713,13.5,9,35,0.629,22,0.833,10,"December 18, 2018",42.9,9,11.4,4,136.1,71.4,15,0.47200000000000003,54,0.389,21,0.185,10,0.7,7,7,200,95.1,24.2,8,14,58,,8.2,5,0.667,36,0.25,9,42.6,23,0.494,15.9,11,18,0.667,12,0.364,4,"Times Union Center , Albany, New York",SIENA,Siena,61.5,Away,COLLEGE-OF-CHARLESTON,College of Charleston,Siena,maac,10,False,True,True,Home,False,9,12,54,23,54,10,22,52,0,1,89,154,545,0.5275229357798165,269,568,0.4735915492957746,83,189,533,0.5881801125703565,0.4
11,2018-12-22-12-holy-cross,65.2,15,6.1,2,115.4,72.7,16,0.509,54,0.426,23,0.055999999999999994,3,0.667,2,8,200,109.6,32.3,10,12,57,,5.8,3,0.611,33,0.273,9,49.1,26,0.514,14.0,9,21,0.667,14,0.33299999999999996,4,"December 22, 2018",56.0,14,9.5,2,109.6,67.7,21,0.62,46,0.5429999999999999,25,0.152,7,0.429,3,4,200,115.4,27.3,6,9,60,,5.8,3,0.28300000000000003,13,0.5379999999999999,7,50.9,27,0.608,12.5,7,33,0.545,18,0.667,8,"Hart Recreation Center, Worcester, Massachusetts",SIENA,Siena,52.4,Home,HOLY-CROSS,Holy Cross,Siena,maac,11,False,False,False,Away,False,9,14,54,26,53,7,18,46,0,1,98,166,599,0.5225375626043406,292,622,0.4694533762057878,93,211,585,0.5991452991452991,0.36363636363636365
12,2018-12-29-14-siena,56.5,13,0.0,0,121.0,80.8,21,0.51,52,0.442,23,0.038,2,0.5,1,9,200,87.1,14.3,4,18,54,,6.5,4,0.26899999999999996,14,0.5,7,46.3,25,0.51,19.7,13,38,0.42100000000000004,16,0.25,3,"December 29, 2018",65.4,17,5.3,2,87.1,85.7,24,0.647,51,0.51,26,0.275,14,0.643,9,8,200,121.0,19.2,5,10,75,,6.5,4,0.569,29,0.483,14,53.7,29,0.65,13.6,9,22,0.545,12,0.385,5,"Times Union Center , Albany, New York",CAL-POLY,Cal Poly,61.8,Home,SIENA,Siena,Siena,maac,12,True,False,True,Home,True,14,12,51,29,54,7,16,52,1,0,107,180,653,0.5214395099540582,318,675,0.4711111111111111,100,229,631,0.6006339144215531,0.3333333333333333
13,2019-01-03-16-saint-peters,40.0,10,8.3,3,118.2,73.1,19,0.5820000000000001,49,0.51,25,0.122,6,0.5,3,9,200,109.1,17.4,4,12,60,,9.1,5,0.408,20,0.35,7,46.9,23,0.579,11.9,7,29,0.621,18,0.35700000000000004,5,"January 3, 2019",38.5,10,3.4,1,109.1,82.6,19,0.58,50,0.52,26,0.2,10,0.7,7,9,200,118.2,26.9,7,6,65,,5.5,3,0.28,14,0.429,6,53.1,26,0.594,11.4,7,36,0.556,20,0.308,4,"Yanitelli Center, Jersey City, New Jersey",SIENA,Siena,54.8,Home,SAINT-PETERS,St. Peter's,Siena,maac,13,False,False,False,Away,False,7,18,49,23,49,6,20,50,0,1,121,192,704,0.5305397727272727,347,729,0.47599451303155005,107,245,683,0.5937042459736457,0.38461538461538464
14,2019-01-05-19-siena,36.0,9,17.9,5,95.7,73.8,31,0.48200000000000004,55,0.455,25,0.4,22,0.773,17,8,200,101.4,25.0,7,14,70,,13.0,9,0.273,15,0.2,3,54.3,38,0.535,14.5,11,40,0.55,22,0.385,5,"January 5, 2019",58.3,14,10.0,4,101.4,75.0,21,0.484,63,0.381,24,0.14300000000000002,9,0.556,5,10,200,95.7,26.2,11,14,66,,7.2,5,0.556,35,0.371,13,45.7,32,0.491,15.2,12,28,0.39299999999999996,11,0.33299999999999996,5,"Times Union Center , Albany, New York",SIENA,Siena,68.9,Away,CANISIUS,Canisius,Siena,maac,14,False,True,True,Home,False,13,11,63,32,70,3,22,55,0,1,128,210,753,0.5338645418326693,370,778,0.4755784061696658,113,265,733,0.5927694406548432,0.35714285714285715
15,2019-01-11-19-marist,65.2,15,2.9,1,103.1,71.0,22,0.583,48,0.479,23,0.354,17,0.882,15,10,200,110.9,8.0,2,16,71,,6.3,4,0.45799999999999996,22,0.455,10,42.9,24,0.633,14.0,9,26,0.5,13,0.375,6,"January 11, 2019",44.0,11,0.0,0,110.9,92.0,23,0.48200000000000004,57,0.439,25,0.298,17,0.647,11,9,200,103.1,29.0,9,17,66,,4.7,3,0.386,22,0.22699999999999998,5,57.1,32,0.507,11.0,8,35,0.5710000000000001,20,0.4,6,"McCann Recreation Center, Poughkeepsie, New York",MARIST,Marist,63.6,Away,SIENA,Siena,Siena,maac,15,False,False,False,Away,True,10,13,48,24,56,5,20,57,1,0,141,221,816,0.5300245098039216,402,848,0.4740566037735849,116,287,788,0.5850253807106599,0.3333333333333333
16,2019-01-14-19-siena,45.5,10,10.0,2,93.8,83.9,26,0.445,55,0.4,22,0.309,17,0.8240000000000001,14,14,225,98.4,33.3,10,14,63,,14.1,9,0.255,14,0.35700000000000004,5,59.0,36,0.499,15.0,11,41,0.415,17,0.222,4,"January 14, 2019",61.9,13,14.6,6,98.4,66.7,20,0.5489999999999999,51,0.41200000000000003,21,0.275,14,0.28600000000000003,4,11,225,93.8,16.1,5,15,60,,12.5,8,0.608,31,0.452,14,41.0,25,0.52,17.4,12,20,0.35,7,0.353,6,"Times Union Center , Albany, New York",SIENA,Siena,57.2,Away,MONMOUTH,Monmouth,Siena,maac,16,False,True,True,Home,False,14,7,51,25,61,5,17,55,0,1,151,234,864,0.5329861111111112,426,904,0.47123893805309736,121,307,845,0.5781065088757397,0.375
17,2019-01-17-19-siena,27.3,6,10.8,4,101.5,79.3,23,0.429,56,0.39299999999999996,22,0.214,12,0.75,9,10,200,87.7,21.9,7,16,57,,7.7,5,0.39299999999999996,22,0.182,4,49.2,30,0.462,15.2,11,34,0.529,18,0.444,8,"January 17, 2019",56.5,13,2.9,1,87.7,78.1,25,0.491,54,0.426,23,0.315,17,0.765,13,11,200,101.5,20.7,6,14,66,,6.2,4,0.315,17,0.41200000000000003,7,50.8,31,0.532,11.5,8,37,0.43200000000000005,16,0.389,7,"Times Union Center , Albany, New York",NIAGARA,Niagara,64.9,Home,SIENA,Siena,Siena,maac,17,True,False,True,Home,True,7,16,54,31,61,4,18,56,1,0,165,241,915,0.533879781420765,451,965,0.46735751295336786,126,324,900,0.57,0.35294117647058826
18,2019-01-24-19-fairfield,45.0,9,12.1,4,72.7,71.4,25,0.479,47,0.426,20,0.40399999999999997,19,0.632,12,11,200,86.4,20.7,6,13,57,,12.1,8,0.36200000000000004,17,0.294,5,48.4,31,0.509,20.2,14,30,0.5,15,0.42100000000000004,8,"January 24, 2019",40.0,8,10.0,3,86.4,79.3,23,0.39299999999999996,56,0.35700000000000004,20,0.125,7,0.5710000000000001,4,15,200,72.7,28.6,10,17,48,,16.7,11,0.41100000000000003,23,0.174,4,51.6,33,0.405,23.4,18,33,0.485,16,0.25,5,"Webster Bank Arena, Bridgeport, Connecticut",FAIRFIELD,Fairfield,65.7,Away,SIENA,Siena,Siena,maac,18,False,False,False,Away,True,5,15,47,31,64,4,16,56,1,0,172,257,969,0.5314757481940144,482,1026,0.4697855750487329,130,342,956,0.5617154811715481,0.3888888888888889
19,2019-01-26-19-siena,53.3,8,3.6,1,101.9,88.5,23,0.439,41,0.366,15,0.146,6,0.667,4,16,200,76.9,23.1,6,9,40,,5.8,3,0.415,17,0.353,6,55.8,29,0.456,24.3,14,24,0.375,9,0.2,4,"January 26, 2019",43.5,10,0.0,0,76.9,76.9,20,0.531,49,0.469,23,0.040999999999999995,2,0.5,1,11,200,101.9,11.5,3,8,53,,13.5,7,0.429,21,0.28600000000000003,6,44.2,23,0.531,9.1,5,28,0.607,17,0.45,9,"Times Union Center , Albany, New York",MANHATTAN,Manhattan,51.9,Home,SIENA,Siena,Siena,maac,19,True,False,True,Home,True,6,17,49,23,52,6,9,41,1,0,177,272,1016,0.5290354330708661,513,1090,0.4706422018348624,134,358,1012,0.5523715415019763,0.42105263157894735
20,2019-01-31-19-monmouth,65.0,13,9.7,3,101.5,77.8,21,0.445,55,0.364,20,0.145,8,0.75,6,12,200,84.6,21.2,7,23,55,,12.3,8,0.545,30,0.3,9,46.7,28,0.46799999999999997,19.3,14,25,0.44,11,0.429,9,"January 31, 2019",60.0,12,0.0,0,84.6,78.8,26,0.56,42,0.47600000000000003,20,0.762,32,0.594,19,16,200,101.5,22.2,6,12,66,,10.8,7,0.262,11,0.636,7,53.3,32,0.5770000000000001,18.8,13,31,0.419,13,0.304,7,"Multipurpose Activity Center, West Long Branch, New Jersey",SIENA,Siena,65.0,Home,MONMOUTH,Monmouth,Siena,maac,20,False,False,False,Away,False,9,11,55,28,60,7,13,42,0,1,183,289,1065,0.5291079812206573,536,1142,0.46935201401050786,140,367,1053,0.5479582146248813,0.45
21,2019-02-02-13-iona,33.3,7,4.3,1,91.5,71.4,25,0.48,51,0.41200000000000003,21,0.196,10,0.7,7,12,200,94.9,19.2,5,15,56,,6.8,4,0.431,22,0.318,7,49.2,30,0.502,15.3,10,29,0.483,14,0.455,10,"February 2, 2019",55.6,10,10.3,3,94.9,80.8,21,0.42,50,0.36,18,0.38,19,0.632,12,14,200,91.5,28.6,10,9,54,,5.1,3,0.54,27,0.222,6,50.8,31,0.457,12.1,8,23,0.522,12,0.33299999999999996,7,"Hynes Athletics Center, New Rochelle, New York",IONA,Iona,58.9,Away,SIENA,Siena,Siena,maac,21,False,False,False,Away,True,7,14,51,30,61,6,12,50,1,0,192,300,1120,0.525,564,1202,0.46921797004991683,147,380,1095,0.5484018264840183,0.42857142857142855
22,2019-02-04-19-siena,55.0,11,3.1,1,107.0,77.8,21,0.5,49,0.408,20,0.02,1,1.0,1,17,200,87.7,29.2,7,12,50,,8.8,5,0.49,24,0.375,9,54.9,28,0.505,24.4,16,25,0.44,11,0.292,7,"February 4, 2019",56.5,13,12.0,3,87.7,70.8,17,0.573,48,0.479,23,0.20800000000000002,10,0.6,6,12,200,107.0,22.2,6,10,61,,10.5,6,0.33299999999999996,16,0.563,9,45.1,23,0.578,13.2,8,32,0.43799999999999994,14,0.478,11,"Times Union Center , Albany, New York",FAIRFIELD,Fairfield,56.6,Home,SIENA,Siena,Siena,maac,22,True,False,True,Home,True,9,14,48,23,51,9,11,49,1,0,199,314,1171,0.5230572160546542,594,1263,0.47030878859857483,153,392,1145,0.5427947598253275,0.45454545454545453
23,2019-02-08-19-manhattan,63.2,12,4.5,1,80.3,82.6,19,0.402,51,0.373,19,0.294,15,0.667,10,12,200,83.6,17.6,6,10,51,,11.5,7,0.373,19,0.158,3,43.9,25,0.439,12.2,8,32,0.5,16,0.5,12,"February 8, 2019",50.0,9,9.4,3,83.6,82.4,28,0.467,45,0.4,18,0.267,12,0.583,7,17,200,80.3,17.4,4,15,49,,8.2,5,0.511,23,0.261,6,56.1,32,0.483,24.1,16,22,0.545,12,0.292,7,"Draddy Gymnasium, Riverdale, New York",MANHATTAN,Manhattan,61.4,Away,SIENA,Siena,Siena,maac,23,False,False,False,Away,True,3,16,51,25,57,6,12,45,1,0,208,328,1219,0.5250205086136177,617,1314,0.469558599695586,162,403,1194,0.541038525963149,0.4782608695652174
24,2019-02-10-14-rider,55.6,10,7.0,3,82.6,70.0,28,0.42,50,0.36,18,0.52,26,0.654,17,12,200,85.5,15.2,5,18,59,,14.5,10,0.4,20,0.3,6,45.2,33,0.473,14.0,10,30,0.4,12,0.52,13,"February 10, 2019",35.0,7,10.0,3,85.5,84.8,28,0.34700000000000003,59,0.33899999999999997,20,0.40700000000000003,24,0.667,16,12,200,82.6,30.0,12,21,57,,5.8,4,0.271,16,0.063,1,54.8,40,0.405,15.7,13,43,0.442,19,0.5,12,"Alumni Gymnasium, Lawrenceville, New Jersey",RIDER,Rider,69.4,Away,SIENA,Siena,Siena,maac,24,False,False,False,Away,True,6,12,50,33,73,1,19,59,1,0,211,344,1270,0.5200787401574803,642,1371,0.4682713347921225,168,415,1239,0.5383373688458434,0.5
25,2019-02-13-19-siena,42.9,9,3.3,1,81.3,79.4,27,0.47100000000000003,52,0.40399999999999997,21,0.212,11,0.727,8,15,200,89.1,24.1,7,9,57,,12.5,8,0.365,19,0.368,7,54.0,34,0.498,20.9,15,33,0.424,14,0.375,9,"February 13, 2019",52.4,11,18.2,6,89.1,75.9,22,0.43799999999999994,56,0.375,21,0.08900000000000001,5,0.6,3,13,200,81.3,20.6,7,10,52,,17.2,11,0.46399999999999997,26,0.26899999999999996,7,46.0,29,0.445,15.9,11,30,0.467,14,0.5,13,"Times Union Center , Albany, New York",SIENA,Siena,63.8,Away,IONA,Iona,Siena,maac,25,False,True,True,Home,False,7,14,56,29,63,7,14,52,0,1,217,356,1320,0.5162878787878787,675,1444,0.46745152354570635,169,434,1298,0.5296610169491526,0.52
26,2019-02-17-14-siena,29.4,10,2.3,1,119.0,76.2,32,0.619,67,0.507,34,0.433,29,0.828,24,11,275,127.4,35.5,11,24,107,,2.4,2,0.44799999999999995,30,0.5,15,58.9,43,0.662,15.8,15,37,0.514,19,0.56,14,"February 17, 2019",51.5,17,8.1,3,127.4,64.5,20,0.5,77,0.429,33,0.35100000000000003,27,0.852,23,14,275,119.0,23.8,10,21,100,,13.1,11,0.429,33,0.33299999999999996,11,41.1,30,0.557,4.3,4,44,0.5,22,0.48100000000000004,13,"Times Union Center , Albany, New York",SIENA,Siena,61.3,Away,QUINNIPIAC,Quinnipiac,Siena,maac,26,False,True,True,Home,False,11,22,77,30,73,15,19,67,0,1,224,370,1376,0.5130813953488372,704,1507,0.46715328467153283,176,448,1350,0.5274074074074074,0.5
27,2019-02-19-19-siena,16.7,4,25.9,7,122.0,76.0,19,0.5539999999999999,46,0.522,24,0.413,19,0.579,11,20,200,105.1,36.4,8,20,62,,3.4,2,0.196,9,0.33299999999999996,3,57.4,27,0.563,19.3,13,37,0.568,21,0.231,6,"February 19, 2019",59.1,13,5.4,2,105.1,63.6,14,0.551,49,0.449,22,0.449,22,0.818,18,14,200,122.0,24.0,6,17,72,,11.9,7,0.449,22,0.455,10,42.6,20,0.606,6.4,4,27,0.444,12,0.5,14,"Times Union Center , Albany, New York",SAINT-PETERS,St. Peter's,58.7,Home,SIENA,Siena,Siena,maac,27,True,False,True,Home,True,10,12,49,20,47,3,21,46,1,0,235,392,1453,0.512388162422574,734,1580,0.46455696202531643,191,467,1417,0.5317572335920959,0.48148148148148145
28,2019-02-24-14-siena,47.6,10,0.0,0,104.7,90.5,19,0.379,58,0.36200000000000004,21,0.276,16,0.688,11,16,200,85.9,30.3,10,12,55,,12.5,8,0.293,17,0.11800000000000001,2,53.7,29,0.419,12.2,9,41,0.46299999999999997,19,0.429,12,"February 24, 2019",68.0,17,17.1,7,85.9,69.7,23,0.59,50,0.5,25,0.2,10,0.8,8,14,200,104.7,9.5,2,12,67,,3.1,2,0.56,28,0.321,9,46.3,25,0.612,15.5,10,22,0.727,16,0.517,15,"Times Union Center , Albany, New York",MARIST,Marist,63.7,Home,SIENA,Siena,Siena,maac,28,True,False,True,Home,True,9,16,50,25,54,2,19,58,1,0,245,404,1502,0.5136484687083888,754,1627,0.4634296250768285,194,488,1463,0.5324675324675324,0.5
