,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,BRIGHAM-YOUNG_homegame,BRIGHAM-YOUNG_homegame2,BRIGHAM-YOUNG_home,BRIGHAM-YOUNG_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-08-14-utah,44.4,12,13.6,3,89.4,84.8,28,0.535,57,0.474,27,0.24600000000000002,14,0.929,13,4,200,112.1,25.0,7,17,74,,9.1,6,0.42100000000000004,24,0.292,7,57.4,35,0.581,13.7,10,33,0.606,20,0.636,7,"December 8, 2018",68.4,13,6.1,2,112.1,75.0,21,0.462,52,0.365,19,0.327,17,0.647,11,4,200,89.4,15.2,5,14,59,,4.5,3,0.5770000000000001,30,0.33299999999999996,10,42.6,26,0.491,15.6,11,22,0.409,9,0.5,4,"Vivint Smart Home Arena, Salt Lake City, Utah",UTAH,Utah,66.4,Away,BRIGHAM-YOUNG,BYU,Brigham Young,wcc,10,False,False,False,Away,True,7,20,57,35,61,10,9,52,1,0,73,233,649,0.5277349768875192,378,736,0.5135869565217391,79,195,664,0.47213855421686746,0.6
11,2018-12-12-21-brigham-young,57.1,12,7.5,3,104.9,84.4,27,0.35100000000000003,67,0.313,21,0.433,29,0.655,19,4,200,81.5,45.2,19,22,66,,7.4,6,0.358,24,0.20800000000000002,5,62.2,46,0.409,19.2,19,43,0.37200000000000005,16,0.556,5,"December 12, 2018",72.4,21,9.3,4,81.5,54.8,23,0.5329999999999999,61,0.475,29,0.475,29,0.69,20,4,200,104.9,15.6,5,20,85,,13.6,11,0.344,21,0.33299999999999996,7,37.8,28,0.568,14.0,12,40,0.55,22,0.667,8,"Marriott Center, Provo, Utah",PORTLAND-STATE,Portland State,81.3,Home,BRIGHAM-YOUNG,BYU,Brigham Young,wcc,11,True,False,True,Home,True,7,22,61,28,74,5,16,67,1,0,80,253,706,0.5283286118980169,413,797,0.5181932245922208,89,204,716,0.4713687150837989,0.6363636363636364
12,2018-12-15-20-nevada-las-vegas,36.1,13,0.0,0,115.0,62.1,18,0.5660000000000001,68,0.529,36,0.294,20,0.65,13,5,225,112.5,28.1,9,24,90,,11.3,9,0.235,16,0.313,5,44.3,27,0.581,12.5,11,52,0.596,31,0.615,8,"December 15, 2018",50.0,13,3.8,2,112.5,71.9,23,0.551,59,0.441,26,0.542,32,0.8440000000000001,27,4,225,115.0,37.9,11,22,92,,11.3,9,0.45799999999999996,27,0.48100000000000004,13,55.7,34,0.62,18.9,17,32,0.406,13,0.556,5,"T-Mobile Arena, Las Vegas, Nevada",BRIGHAM-YOUNG,BYU,71.0,Home,NEVADA-LAS-VEGAS,UNLV,Brigham Young,wcc,12,False,False,False,Away,False,5,31,68,27,61,13,13,59,0,1,87,275,767,0.5286831812255541,441,871,0.5063145809414467,94,220,783,0.4610472541507024,0.6666666666666666
13,2018-12-22-19-san-diego-state,51.6,16,3.7,1,121.6,75.9,22,0.603,58,0.534,31,0.22399999999999998,13,0.846,11,6,200,109.5,20.8,5,24,81,,4.1,3,0.36200000000000004,21,0.381,8,50.9,27,0.631,21.1,17,37,0.622,23,0.5710000000000001,8,"December 22, 2018",71.4,20,5.4,2,109.5,79.2,19,0.642,53,0.528,28,0.604,32,0.688,22,4,200,121.6,24.1,7,14,90,,10.8,8,0.491,26,0.462,12,49.1,26,0.66,14.1,11,27,0.593,16,0.636,7,"Viejas Arena, San Diego, California",BRIGHAM-YOUNG,BYU,74.2,Home,SAN-DIEGO-STATE,San Diego State,Brigham Young,wcc,13,False,False,False,Away,False,8,23,58,27,53,12,16,53,0,1,92,306,835,0.5317365269461077,468,932,0.5021459227467812,107,233,842,0.4673396674584323,0.6153846153846154
14,2018-12-29-12-mississippi-state,53.8,14,6.1,3,117.0,70.0,21,0.475,60,0.433,26,0.483,29,0.828,24,7,200,92.0,23.5,8,23,81,,11.4,10,0.33299999999999996,20,0.25,5,45.3,29,0.5489999999999999,20.7,19,40,0.525,21,0.5329999999999999,8,"December 29, 2018",47.4,18,17.5,7,92.0,76.5,26,0.593,70,0.5429999999999999,38,0.314,22,0.909,20,1,200,117.0,30.0,9,22,103,19.0,11.4,10,0.3,21,0.33299999999999996,7,54.7,35,0.64,19.3,19,49,0.633,31,0.9229999999999999,12,"Humphrey Coliseum, Starkville, Mississippi",BRIGHAM-YOUNG,BYU,87.6,Home,MISSISSIPPI-STATE,Mississippi State,Brigham Young,wcc,14,False,False,False,Away,False,5,21,60,29,64,7,31,70,0,1,100,329,893,0.5363941769316909,495,985,0.5025380710659898,119,249,895,0.4776536312849162,0.5714285714285714
15,2019-01-03-23-pacific,42.9,12,5.0,2,114.5,81.8,27,0.62,54,0.519,28,0.667,36,0.639,23,7,200,118.4,21.9,7,31,90,,3.9,3,0.46299999999999997,25,0.44,11,52.3,34,0.633,13.6,11,29,0.586,17,0.562,9,"January 3, 2019",44.0,11,3.4,1,118.4,78.1,25,0.519,54,0.46299999999999997,25,0.7040000000000001,38,0.816,31,6,200,114.5,18.2,6,29,87,,7.9,6,0.259,14,0.429,6,47.7,31,0.604,13.5,11,40,0.475,19,0.625,10,"A.G. Spanos Center, Stockton, California",PACIFIC,Pacific,76.1,Away,BRIGHAM-YOUNG,BYU,Brigham Young,wcc,15,False,False,False,Away,True,11,17,54,34,65,6,19,54,1,0,105,350,953,0.5325288562434418,524,1049,0.49952335557673977,126,280,965,0.48601036269430054,0.5333333333333333
16,2019-01-05-23-saint-marys-ca,31.8,7,4.9,2,123.9,80.0,24,0.46299999999999997,54,0.40700000000000003,22,0.40700000000000003,22,0.727,16,8,200,93.0,16.1,5,16,66,,1.4,1,0.315,17,0.353,6,47.5,29,0.512,17.0,13,37,0.43200000000000005,16,0.529,9,"January 5, 2019",41.2,14,5.4,2,93.0,83.9,26,0.621,62,0.5479999999999999,34,0.242,15,0.733,11,7,200,123.9,20.0,6,19,88,,14.1,10,0.33899999999999997,21,0.429,9,52.5,32,0.637,9.3,7,41,0.61,25,0.588,10,"McKeon Pavilion, Moraga, California",BRIGHAM-YOUNG,BYU,71.3,Home,SAINT-MARYS-CA,Saint Mary's,Brigham Young,wcc,16,False,False,False,Away,False,6,16,54,29,61,9,25,62,0,1,116,367,1007,0.5372393247269116,558,1114,0.5008976660682226,132,299,1019,0.48773307163886165,0.5625
17,2019-01-10-21-brigham-young,36.8,7,3.4,1,114.5,82.1,23,0.431,51,0.373,19,0.314,16,0.75,12,10,200,81.2,21.2,7,18,56,,5.8,4,0.451,23,0.261,6,49.2,30,0.478,22.7,17,28,0.46399999999999997,13,0.41200000000000003,7,"January 10, 2019",59.3,16,14.3,4,81.2,78.8,26,0.573,55,0.491,27,0.364,20,0.8,16,8,200,114.5,17.9,5,21,79,,14.5,10,0.473,26,0.34600000000000003,9,50.8,31,0.612,13.6,10,29,0.621,18,0.556,10,"Marriott Center, Provo, Utah",PORTLAND,Portland,69.1,Home,BRIGHAM-YOUNG,BYU,Brigham Young,wcc,17,True,False,True,Home,True,9,18,55,31,61,6,13,51,1,0,122,383,1061,0.5334590009425071,587,1175,0.49957446808510636,141,324,1081,0.49537465309898243,0.5294117647058824
18,2019-01-12-21-brigham-young,56.5,13,3.3,1,123.1,66.7,20,0.5589999999999999,51,0.451,23,0.451,23,0.7390000000000001,17,8,200,113.8,18.5,5,24,74,,1.5,1,0.47100000000000003,24,0.45799999999999996,11,43.9,25,0.597,12.8,9,27,0.444,12,0.556,10,"January 12, 2019",83.3,20,3.7,1,113.8,81.5,22,0.5710000000000001,49,0.49,24,0.6940000000000001,34,0.706,24,8,200,123.1,33.3,10,20,80,,9.2,6,0.38799999999999996,19,0.42100000000000004,8,56.1,32,0.614,12.3,9,30,0.5329999999999999,16,0.579,11,"Marriott Center, Provo, Utah",SANTA-CLARA,Santa Clara,65.0,Home,BRIGHAM-YOUNG,BYU,Brigham Young,wcc,18,True,False,True,Home,True,8,16,49,32,57,11,12,51,1,0,131,401,1116,0.535394265232975,618,1236,0.5,147,337,1132,0.4924911660777385,0.5555555555555556
19,2019-01-17-23-pepperdine,60.7,17,14.3,5,98.7,73.8,31,0.61,50,0.56,28,0.68,34,0.765,26,8,200,113.0,23.1,6,28,87,,6.5,5,0.32,16,0.313,5,54.4,37,0.6579999999999999,18.8,15,34,0.6759999999999999,23,0.6,12,"January 17, 2019",56.5,13,5.9,2,113.0,76.9,20,0.44299999999999995,61,0.377,23,0.557,34,0.647,22,10,200,98.7,26.2,11,25,76,,7.8,6,0.426,26,0.308,8,45.6,31,0.493,13.6,12,35,0.429,15,0.474,9,"Firestone Fieldhouse, Malibu, California",PEPPERDINE,Pepperdine,76.7,Away,BRIGHAM-YOUNG,BYU,Brigham Young,wcc,19,False,False,False,Away,True,5,23,50,37,68,8,15,61,1,0,139,417,1165,0.5369098712446352,650,1293,0.502706883217324,158,349,1183,0.49535080304311074,0.5789473684210527
20,2019-01-19-23-san-francisco,34.8,8,8.3,3,126.2,73.7,14,0.5,52,0.442,23,0.308,16,0.688,11,9,200,96.9,15.6,5,12,63,,7.7,5,0.308,16,0.375,6,37.3,19,0.529,15.7,11,36,0.47200000000000003,17,0.5710000000000001,12,"January 19, 2019",40.0,14,13.9,5,96.9,84.4,27,0.718,55,0.636,35,0.091,5,0.6,3,3,200,126.2,26.3,5,18,82,,7.7,5,0.345,19,0.474,9,62.7,32,0.715,18.5,13,36,0.722,26,0.8420000000000001,16,"War Memorial Gymnasium, San Francisco, California",BRIGHAM-YOUNG,BYU,65.5,Home,SAN-FRANCISCO,San Francisco,Brigham Young,wcc,20,False,False,False,Away,False,6,17,52,19,51,9,26,55,0,1,144,440,1215,0.5399176954732511,687,1361,0.5047759000734754,166,364,1244,0.4927652733118971,0.6
21,2019-01-24-23-brigham-young,19.2,5,4.4,2,116.4,68.6,24,0.483,59,0.441,26,0.18600000000000003,11,0.818,9,8,200,108.2,53.1,17,20,66,,1.6,1,0.33899999999999997,20,0.25,5,61.2,41,0.514,19.0,15,39,0.5379999999999999,21,0.619,13,"January 24, 2019",51.9,14,10.3,4,108.2,46.9,15,0.49200000000000005,59,0.45799999999999996,27,0.35600000000000004,21,0.619,13,9,200,116.4,31.4,11,16,71,,13.1,8,0.237,14,0.28600000000000003,4,38.8,26,0.515,2.8,2,45,0.511,23,0.591,13,"Marriott Center, Provo, Utah",SAINT-MARYS-CA,Saint Mary's,61.1,Home,BRIGHAM-YOUNG,BYU,Brigham Young,wcc,21,True,False,True,Home,True,4,23,59,26,67,5,21,59,1,0,150,457,1267,0.5382794001578532,706,1412,0.5,175,390,1299,0.5023094688221709,0.5714285714285714
22,2019-01-31-23-brigham-young,56.8,21,9.1,4,88.7,86.1,31,0.667,63,0.5870000000000001,37,0.222,14,0.643,9,2,200,131.0,29.0,9,12,93,4.0,7.0,5,0.317,20,0.5,10,59.7,40,0.6679999999999999,11.5,9,43,0.628,27,0.909,20,"January 31, 2019",45.8,11,2.3,1,131.0,71.0,22,0.415,65,0.369,24,0.185,12,0.75,9,10,200,88.7,13.9,5,15,63,,8.5,6,0.32299999999999995,21,0.28600000000000003,6,40.3,27,0.446,9.1,7,44,0.409,18,0.565,13,"Marriott Center, Provo, Utah",BRIGHAM-YOUNG,BYU,71.2,Away,GONZAGA,Gonzaga,Brigham Young,wcc,22,False,True,True,Home,False,6,18,65,27,67,10,27,63,0,1,154,480,1326,0.5361990950226244,732,1479,0.4949290060851927,180,411,1358,0.5014727540500736,0.5909090909090909
23,2019-02-02-21-brigham-young,50.0,9,2.9,1,109.8,76.7,23,0.435,46,0.391,18,0.304,14,0.643,9,7,200,80.3,25.9,7,9,49,,3.3,2,0.261,12,0.33299999999999996,4,52.6,30,0.465,23.5,16,34,0.41200000000000003,14,0.696,16,"February 2, 2019",61.5,16,14.7,5,80.3,74.1,20,0.557,53,0.491,26,0.20800000000000002,11,0.727,8,10,200,109.8,23.3,7,15,67,,13.1,8,0.358,19,0.368,7,47.4,27,0.575,14.7,10,34,0.5589999999999999,19,0.583,14,"Marriott Center, Provo, Utah",LOYOLA-MARYMOUNT,Loyola Marymount,61.4,Home,BRIGHAM-YOUNG,BYU,Brigham Young,wcc,23,True,False,True,Home,True,7,19,53,27,57,4,14,46,1,0,160,498,1391,0.5305535585909418,759,1546,0.4909443725743855,190,438,1421,0.5087966220971147,0.5652173913043478
24,2019-02-07-23-portland,71.4,20,6.9,2,67.6,82.4,28,0.56,58,0.483,28,0.44799999999999995,26,0.6920000000000001,18,10,200,116.9,34.4,11,20,83,,15.5,11,0.44799999999999995,26,0.34600000000000003,9,59.1,39,0.59,12.6,10,32,0.594,19,0.6,15,"February 7, 2019",80.0,12,9.4,3,116.9,65.6,21,0.37200000000000005,47,0.319,15,0.511,24,0.542,13,18,200,67.6,17.6,6,21,48,,8.5,6,0.38299999999999995,18,0.278,5,40.9,27,0.41100000000000003,25.8,20,29,0.345,10,0.28,7,"Chiles Center, Portland, Oregon",PORTLAND,Portland,70.9,Away,BRIGHAM-YOUNG,BYU,Brigham Young,wcc,24,False,False,False,Away,True,9,19,58,39,66,5,10,47,1,0,167,517,1444,0.5315096952908587,786,1603,0.4903306300686213,194,452,1467,0.5064758009543285,0.5833333333333334
25,2019-02-09-21-brigham-young,40.0,8,0.0,0,109.5,69.4,25,0.409,55,0.364,20,0.309,17,0.8240000000000001,14,13,200,93.7,34.3,12,21,59,,9.5,6,0.29100000000000004,16,0.313,5,52.1,37,0.46799999999999997,16.1,12,39,0.385,15,0.5,13,"February 9, 2019",56.5,13,12.8,5,93.7,65.7,23,0.509,53,0.434,23,0.47200000000000003,25,0.6,15,10,200,109.5,30.6,11,17,69,,7.9,5,0.434,23,0.348,8,47.9,34,0.532,12.3,9,30,0.5,15,0.615,16,"Marriott Center, Provo, Utah",PACIFIC,Pacific,63.0,Home,BRIGHAM-YOUNG,BYU,Brigham Young,wcc,25,True,False,True,Home,True,8,15,53,34,71,5,15,55,1,0,176,536,1502,0.5326231691078562,825,1669,0.49430796884361894,199,462,1514,0.5023117569352709,0.6
26,2019-02-14-22-san-diego,53.3,16,11.5,3,107.9,88.0,22,0.573,62,0.484,30,0.419,26,0.654,17,10,225,115.8,11.8,4,21,88,,15.8,12,0.33899999999999997,21,0.524,11,44.1,26,0.5920000000000001,7.6,6,41,0.46299999999999997,19,0.63,17,"February 14, 2019",69.2,18,4.9,2,115.8,88.2,30,0.62,50,0.52,26,0.5,25,0.8,20,10,225,107.9,12.0,3,21,82,,3.9,3,0.48,24,0.41700000000000004,10,55.9,33,0.6629999999999999,21.8,17,26,0.615,16,0.615,16,"Jenny Craig Pavillion, San Diego, California",SAN-DIEGO,San Diego,67.7,Away,BRIGHAM-YOUNG,BYU,Brigham Young,wcc,26,False,False,False,Away,True,11,19,62,26,59,10,16,50,1,0,184,551,1555,0.5318327974276528,859,1740,0.49367816091954025,204,477,1569,0.49904397705544934,0.6153846153846154
