,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,ILLINOIS_homegame,ILLINOIS_homegame2,ILLINOIS_home,ILLINOIS_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-15-14-illinois,50.0,9,0.0,0,101.4,62.9,22,0.40399999999999997,52,0.34600000000000003,18,0.40399999999999997,21,0.619,13,4,200,76.4,27.3,9,21,55,,11.1,8,0.423,22,0.273,6,45.6,31,0.444,24.6,20,30,0.4,12,0.667,8,"December 15, 2018",53.8,14,10.0,3,76.4,72.7,24,0.517,60,0.433,26,0.35,21,0.524,11,7,200,101.4,37.1,13,17,73,,11.1,8,0.41700000000000004,25,0.4,10,54.4,37,0.522,16.8,14,35,0.457,16,0.364,4,"State Farm Center, Champaign, Illinois",EAST-TENNESSEE-STATE,ETSU,72.0,Home,ILLINOIS,Illinois,Illinois,big-ten,10,True,False,True,Home,True,10,16,60,37,68,6,12,52,1,0,94,182,627,0.5151515151515151,304,637,0.4772370486656201,64,189,537,0.5307262569832403,0.3
11,2018-12-22-20-missouri,25.0,6,2.7,1,109.7,76.0,19,0.475,59,0.40700000000000003,24,0.237,14,0.5,7,8,200,87.5,21.6,8,17,63,,5.6,4,0.49200000000000005,29,0.276,8,43.5,27,0.48,17.7,14,30,0.5329999999999999,16,0.33299999999999996,4,"December 22, 2018",53.3,16,10.0,3,87.5,78.4,29,0.612,58,0.517,30,0.19,11,0.727,8,3,200,109.7,24.0,6,21,79,,6.9,5,0.36200000000000004,21,0.524,11,56.5,35,0.625,19.3,15,37,0.514,19,0.727,8,"Scottrade Center, St. Louis, Missouri",ILLINOIS,Illinois,71.9,Home,MISSOURI,Missouri,Illinois,big-ten,11,False,False,False,Away,False,8,16,59,27,62,11,19,58,0,1,104,198,687,0.5152838427947598,341,705,0.4836879432624113,70,201,589,0.5195246179966044,0.36363636363636365
12,2018-12-29-15-illinois,40.0,10,7.9,3,84.5,80.0,40,0.474,57,0.439,25,0.439,25,0.76,19,4,225,86.9,19.4,6,22,73,,4.8,4,0.263,15,0.267,4,56.8,46,0.53,23.6,21,42,0.5,21,0.6920000000000001,9,"December 29, 2018",58.3,14,9.5,4,86.9,80.6,25,0.375,76,0.316,24,0.25,19,0.737,14,9,225,84.5,20.0,10,22,71,,10.7,9,0.5,38,0.237,9,43.2,35,0.418,10.6,10,38,0.395,15,0.308,4,"State Farm Center, Champaign, Illinois",ILLINOIS,Illinois,75.1,Away,FLORIDA-ATLANTIC,Florida Atlantic,Illinois,big-ten,12,False,True,True,Home,False,9,15,76,35,81,4,21,57,0,1,112,214,746,0.5120643431635389,368,767,0.47979139504563234,81,220,647,0.5278207109737248,0.3333333333333333
13,2019-01-03-19-indiana,60.0,15,0.0,0,105.8,63.3,19,0.5,58,0.431,25,0.207,12,0.583,7,10,200,94.2,35.7,10,25,65,,11.6,8,0.483,28,0.28600000000000003,8,50.0,29,0.51,20.2,16,30,0.5670000000000001,17,0.28600000000000003,4,"January 3, 2019",39.1,9,16.7,5,94.2,64.3,18,0.5,48,0.479,23,0.7290000000000001,35,0.7140000000000001,25,2,200,105.8,36.7,11,17,73,21.0,18.8,13,0.25,12,0.16699999999999998,2,50.0,29,0.565,18.1,14,36,0.583,21,0.857,12,"Assembly Hall, Bloomington, Indiana",ILLINOIS,Illinois,68.7,Home,INDIANA,Indiana,Illinois,big-ten,13,False,False,False,Away,False,8,17,58,29,58,2,21,48,0,1,121,229,822,0.49939172749391725,403,848,0.47523584905660377,85,241,704,0.5234375,0.3076923076923077
14,2019-01-06-13-northwestern,45.5,10,16.7,5,94.4,84.0,21,0.39299999999999996,56,0.39299999999999996,22,0.48200000000000004,27,0.815,22,11,200,91.7,24.2,8,19,66,,12.5,9,0.196,11,0.0,0,50.0,29,0.479,13.9,11,45,0.489,22,0.267,4,"January 6, 2019",70.0,14,11.1,5,91.7,75.8,25,0.49,49,0.408,20,0.531,26,0.769,20,5,200,94.4,16.0,4,22,68,,6.9,5,0.38799999999999996,19,0.42100000000000004,8,50.0,29,0.5539999999999999,19.9,15,30,0.4,12,0.667,10,"Welsh-Ryan Arena, Evanston, Illinois",ILLINOIS,Illinois,72.1,Home,NORTHWESTERN,Northwestern,Illinois,big-ten,14,False,False,False,Away,False,0,22,56,29,58,8,12,49,0,1,129,246,880,0.4994318181818182,432,906,0.4768211920529801,87,262,752,0.5219414893617021,0.2857142857142857
15,2019-01-10-20-illinois,57.1,16,14.0,6,92.0,89.3,25,0.49200000000000005,62,0.452,28,0.355,22,0.818,18,0,200,105.3,30.0,9,16,79,2.0,5.3,4,0.306,19,0.263,5,58.6,34,0.545,14.3,12,43,0.535,23,1.0,16,"January 10, 2019",51.7,15,9.3,4,105.3,70.0,21,0.5329999999999999,61,0.475,29,0.115,7,0.5710000000000001,4,12,200,92.0,10.7,3,18,69,,8.0,6,0.295,18,0.389,7,41.4,24,0.536,17.9,14,43,0.512,22,0.25,4,"State Farm Center, Champaign, Illinois",ILLINOIS,Illinois,75.4,Away,MICHIGAN,Michigan,Illinois,big-ten,15,False,True,True,Home,False,7,22,61,24,58,5,23,62,0,1,129,268,936,0.4930555555555556,461,964,0.4782157676348548,95,274,801,0.5199750312109863,0.26666666666666666
16,2019-01-16-21-illinois,30.8,8,8.0,4,125.0,64.0,16,0.466,59,0.441,26,0.322,19,0.684,13,4,200,89.5,25.7,9,15,68,,9.2,7,0.237,14,0.214,3,41.7,25,0.5,16.2,13,45,0.511,23,0.765,13,"January 16, 2019",29.7,11,0.0,0,89.5,74.3,26,0.621,66,0.561,37,0.22699999999999998,15,0.867,13,12,200,125.0,36.0,9,20,95,,10.5,8,0.242,16,0.5,8,58.3,35,0.65,18.1,16,50,0.58,29,0.294,5,"State Farm Center, Champaign, Illinois",MINNESOTA,Minnesota,76.1,Home,ILLINOIS,Illinois,Illinois,big-ten,16,True,False,True,Home,True,8,29,66,35,60,3,23,59,1,0,136,290,997,0.4954864593781344,485,1022,0.474559686888454,100,297,863,0.5179606025492468,0.25
17,2019-01-20-13-iowa,55.6,15,10.3,3,135.7,90.9,10,0.47100000000000003,69,0.391,27,0.13,9,0.667,6,13,200,101.4,37.5,15,18,71,,12.9,9,0.46399999999999997,32,0.344,11,49.0,25,0.484,13.1,11,37,0.43200000000000005,16,0.278,5,"January 20, 2019",85.3,29,13.5,5,101.4,62.5,25,0.83,50,0.68,34,0.32,16,0.75,12,3,200,135.7,9.1,1,11,95,23.0,4.3,3,0.42,21,0.7140000000000001,15,51.0,26,0.825,19.7,14,29,0.655,19,0.8420000000000001,16,"Carver-Hawkeye Arena, Iowa City, Iowa",ILLINOIS,Illinois,69.9,Home,IOWA,Iowa,Illinois,big-ten,17,False,False,False,Away,False,11,16,69,25,51,15,19,50,0,1,144,319,1063,0.5032925682031985,520,1082,0.4805914972273567,103,320,922,0.514642082429501,0.29411764705882354
18,2019-01-23-21-illinois,50.0,12,9.8,4,89.6,65.0,26,0.585,47,0.511,24,0.447,21,0.81,17,6,200,107.5,34.8,8,22,72,,7.5,5,0.298,14,0.5,7,54.0,34,0.632,23.2,17,33,0.515,17,0.684,13,"January 23, 2019",40.9,9,0.0,0,107.5,65.2,15,0.387,62,0.355,22,0.355,22,0.545,12,14,200,89.6,35.0,14,19,60,,14.9,10,0.33899999999999997,21,0.19,4,46.0,29,0.414,12.2,10,41,0.439,18,0.263,5,"State Farm Center, Champaign, Illinois",ILLINOIS,Illinois,67.2,Away,WISCONSIN,Wisconsin,Illinois,big-ten,18,False,True,True,Home,False,4,18,62,29,63,7,17,47,0,1,155,335,1132,0.5013250883392226,545,1133,0.48102383053839365,118,339,972,0.5308641975308642,0.2777777777777778
19,2019-01-26-12-maryland,68.0,17,3.8,1,93.1,75.0,18,0.49200000000000005,59,0.424,25,0.373,22,0.909,20,14,200,108.3,20.0,6,21,78,,18.1,13,0.39,23,0.348,8,44.4,24,0.562,11.6,9,36,0.47200000000000003,17,0.3,6,"January 26, 2019",55.0,11,5.6,2,108.3,80.0,24,0.511,45,0.444,20,0.5329999999999999,24,0.875,21,5,200,93.1,25.0,6,17,67,13.0,5.6,4,0.42200000000000004,19,0.316,6,55.6,30,0.594,27.4,21,26,0.5379999999999999,14,0.762,16,"Madison Square Garden (IV), New York, New York",MARYLAND,Maryland,71.9,Away,ILLINOIS,Illinois,Illinois,big-ten,19,False,False,False,Away,True,8,17,59,24,54,6,14,45,1,0,159,353,1194,0.495393634840871,574,1196,0.479933110367893,125,356,1019,0.5333660451422964,0.2631578947368421
20,2019-01-30-21-minnesota,46.2,12,4.9,2,122.9,69.0,20,0.509,58,0.44799999999999995,26,0.379,22,0.727,16,15,200,107.1,28.1,9,23,75,,5.7,4,0.414,24,0.292,7,47.5,29,0.5479999999999999,11.7,9,34,0.5589999999999999,19,0.28600000000000003,6,"January 30, 2019",53.3,16,5.9,2,107.1,71.9,23,0.55,60,0.5,30,0.433,26,0.769,20,5,200,122.9,31.0,9,18,86,,2.9,2,0.317,19,0.316,6,52.5,32,0.594,10.1,8,41,0.585,24,0.762,16,"Williams Arena, Minneapolis, Minnesota",ILLINOIS,Illinois,69.9,Home,MINNESOTA,Minnesota,Illinois,big-ten,20,False,False,False,Away,False,7,19,58,29,61,6,24,60,0,1,167,370,1253,0.49521149241819634,598,1250,0.4784,131,370,1064,0.5324248120300752,0.3
21,2019-02-02-14-illinois,52.0,13,5.6,2,100.0,82.4,28,0.379,70,0.35700000000000004,25,0.3,21,0.524,11,9,200,90.1,41.9,18,22,64,,4.2,3,0.32899999999999996,23,0.13,3,59.7,46,0.4,10.2,9,47,0.46799999999999997,22,0.591,13,"February 2, 2019",44.4,12,6.4,3,90.1,58.1,25,0.5539999999999999,56,0.48200000000000004,27,0.41100000000000003,23,0.391,9,15,200,100.0,17.6,6,23,71,,5.6,4,0.35700000000000004,20,0.4,8,40.3,31,0.53,13.1,10,36,0.528,19,0.318,7,"State Farm Center, Champaign, Illinois",NEBRASKA,Nebraska,71.0,Home,ILLINOIS,Illinois,Illinois,big-ten,21,True,False,True,Home,True,8,19,56,31,77,3,22,70,1,0,174,389,1311,0.4958047292143402,627,1311,0.4782608695652174,137,394,1124,0.5333629893238434,0.2857142857142857
22,2019-02-05-19-illinois,68.2,15,2.9,1,109.7,70.0,21,0.593,43,0.512,22,0.581,25,0.92,23,5,200,102.8,35.0,7,18,74,9.0,8.3,6,0.442,19,0.368,7,56.0,28,0.674,30.8,24,24,0.625,15,0.7829999999999999,18,"February 5, 2019",46.2,12,12.5,3,102.8,65.0,13,0.526,58,0.44799999999999995,26,0.379,22,0.818,18,15,200,109.7,30.0,9,21,79,,16.7,12,0.414,24,0.375,9,44.0,22,0.5770000000000001,16.1,13,34,0.5,17,0.348,8,"State Farm Center, Champaign, Illinois",MICHIGAN-STATE,Michigan State,72.2,Home,ILLINOIS,Illinois,Illinois,big-ten,22,True,False,True,Home,True,9,17,58,22,50,7,15,43,1,0,182,408,1367,0.4981711777615216,658,1388,0.47406340057636887,140,416,1194,0.52428810720268,0.3181818181818182
23,2019-02-09-16-illinois,45.9,17,10.0,5,113.8,78.9,30,0.555,73,0.507,37,0.28800000000000003,21,0.619,13,12,225,108.0,29.7,11,22,94,,8.0,7,0.315,23,0.304,7,54.7,41,0.5660000000000001,15.4,15,50,0.6,30,0.478,11,"February 9, 2019",44.4,16,8.0,4,108.0,70.3,26,0.5479999999999999,73,0.493,36,0.35600000000000004,26,0.731,19,15,225,113.8,21.1,8,21,99,,9.2,8,0.315,23,0.348,8,45.3,34,0.58,10.6,10,50,0.56,28,0.375,9,"State Farm Center, Champaign, Illinois",RUTGERS,Rutgers,77.5,Home,ILLINOIS,Illinois,Illinois,big-ten,23,True,False,True,Home,True,8,28,73,34,75,7,30,73,1,0,191,425,1425,0.4992982456140351,680,1438,0.4728789986091794,147,431,1237,0.526677445432498,0.34782608695652173
24,2019-02-14-19-ohio-state,41.7,10,17.6,6,82.4,74.2,23,0.5,54,0.444,24,0.315,17,0.529,9,15,200,92.6,24.2,8,23,63,,11.8,8,0.389,21,0.28600000000000003,6,48.4,31,0.507,17.5,13,33,0.545,18,0.4,10,"February 14, 2019",47.1,8,3.0,1,92.6,75.8,25,0.38299999999999995,47,0.36200000000000004,17,0.532,25,0.8,20,8,200,82.4,25.8,8,22,56,,11.8,8,0.27699999999999997,13,0.154,2,51.6,33,0.47600000000000003,23.7,18,34,0.441,15,0.667,16,"Value City Arena, Columbus, Ohio",OHIO-STATE,Ohio State,68.0,Away,ILLINOIS,Illinois,Illinois,big-ten,24,False,False,False,Away,True,6,18,54,31,64,2,15,47,1,0,199,453,1498,0.5016688918558078,714,1513,0.47191011235955055,154,461,1310,0.5282442748091603,0.375
25,2019-02-18-20-wisconsin,42.9,9,10.8,4,97.0,65.7,23,0.429,56,0.375,21,0.196,11,0.909,10,16,200,87.9,21.2,7,21,58,,9.1,6,0.33899999999999997,19,0.316,6,44.1,30,0.474,17.6,13,37,0.405,15,0.385,10,"February 18, 2019",40.9,9,13.5,5,87.9,78.8,26,0.445,55,0.4,22,0.418,23,0.652,15,8,200,97.0,34.3,12,14,64,22.0,9.1,6,0.327,18,0.278,5,55.9,38,0.485,13.3,10,37,0.45899999999999996,17,0.6920000000000001,18,"Kohl Center, Madison, Wisconsin",ILLINOIS,Illinois,65.6,Home,WISCONSIN,Wisconsin,Illinois,big-ten,25,False,False,False,Away,False,6,15,56,30,68,5,17,55,0,1,205,471,1552,0.501610824742268,745,1577,0.4724159797083069,156,476,1357,0.5232129697862933,0.4
26,2019-02-23-12-illinois,46.2,12,15.2,7,97.4,76.3,29,0.5379999999999999,53,0.491,26,0.604,32,0.813,26,16,200,106.4,32.0,8,26,83,,5.1,4,0.321,17,0.294,5,58.7,37,0.609,20.2,17,36,0.583,21,0.40700000000000003,11,"February 23, 2019",34.6,9,5.6,2,106.4,68.0,17,0.439,66,0.39399999999999996,26,0.424,28,0.643,18,17,200,97.4,23.7,9,24,76,,7.7,6,0.303,20,0.3,6,41.3,26,0.479,10.3,9,46,0.435,20,0.37,10,"State Farm Center, Champaign, Illinois",ILLINOIS,Illinois,78.3,Away,PENN-STATE,Penn State,Illinois,big-ten,26,False,True,True,Home,False,6,20,66,26,63,5,21,53,0,1,211,486,1608,0.49906716417910446,775,1645,0.47112462006079026,161,493,1412,0.5201841359773371,0.38461538461538464
27,2019-02-27-20-purdue,50.0,10,11.8,4,115.9,56.5,13,0.39299999999999996,61,0.32799999999999996,20,0.14800000000000002,9,0.889,8,18,200,88.9,32.4,12,23,56,,7.9,5,0.475,29,0.276,8,41.7,25,0.429,13.3,10,32,0.375,12,0.35700000000000004,10,"February 27, 2019",59.3,16,18.8,6,88.9,67.6,25,0.602,49,0.551,27,0.408,20,0.7,14,7,200,115.9,43.5,10,15,73,14.0,12.7,8,0.306,15,0.33299999999999996,5,58.3,35,0.624,19.5,14,34,0.647,22,0.75,21,"Mackey Arena, West Lafayette, Indiana",ILLINOIS,Illinois,62.9,Home,PURDUE,Purdue,Illinois,big-ten,27,False,False,False,Away,False,8,12,61,25,60,5,22,49,0,1,217,506,1674,0.4967144563918757,801,1708,0.4689695550351288,166,514,1465,0.5208191126279863,0.37037037037037035
