,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,TENNESSEE-MARTIN_homegame,TENNESSEE-MARTIN_homegame2,TENNESSEE-MARTIN_home,TENNESSEE-MARTIN_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-30-14-bowling-green-state,76.9,20,4.8,2,119.0,62.9,22,0.47,66,0.39399999999999996,26,0.364,24,0.75,18,6,200,101.3,28.2,11,14,80,,8.9,7,0.424,28,0.35700000000000004,10,44.6,33,0.517,13.6,12,38,0.42100000000000004,16,0.455,5,"December 30, 2018",71.4,25,5.3,2,101.3,71.8,28,0.575,73,0.479,35,0.205,15,0.667,10,5,200,119.0,37.1,13,17,94,,8.9,7,0.425,31,0.452,14,55.4,41,0.5870000000000001,14.0,13,42,0.5,21,0.615,8,"Stroh Center, Bowling Green, Ohio",TENNESSEE-MARTIN,UT-Martin,79.3,Home,BOWLING-GREEN-STATE,Bowling Green State,Tennessee-Martin,ovc,10,False,False,False,Away,False,10,16,66,33,74,14,21,73,0,1,72,212,644,0.4968944099378882,317,645,0.49147286821705427,86,217,617,0.5607779578606159,0.5
11,2019-01-03-20-eastern-illinois,60.0,18,2.7,1,117.9,62.9,22,0.56,67,0.44799999999999995,30,0.254,17,0.706,12,7,225,111.5,33.3,13,23,87,,14.1,11,0.612,41,0.366,15,47.3,35,0.579,18.6,17,26,0.5770000000000001,15,0.41700000000000004,5,"January 3, 2019",51.6,16,23.1,6,111.5,66.7,26,0.555,64,0.484,31,0.406,26,0.8079999999999999,21,6,225,117.9,37.1,13,18,92,,7.7,6,0.42200000000000004,27,0.33299999999999996,9,52.7,39,0.602,15.7,14,37,0.595,22,0.5710000000000001,8,"Lantz Arena, Charleston, Illinois",TENNESSEE-MARTIN,UT-Martin,69.5,Home,EASTERN-ILLINOIS,Eastern Illinois,Tennessee-Martin,ovc,11,False,False,False,Away,False,15,15,67,35,74,9,22,64,0,1,82,228,710,0.4943661971830986,350,719,0.48678720445062584,100,238,690,0.5623188405797102,0.45454545454545453
12,2019-01-05-17-southeast-missouri-state,16.7,4,12.9,4,85.1,78.6,22,0.389,72,0.33299999999999996,24,0.264,19,0.684,13,8,225,79.3,27.9,12,19,69,,8.0,7,0.486,35,0.22899999999999998,8,47.9,34,0.426,17.5,17,37,0.43200000000000005,16,0.385,5,"January 5, 2019",53.8,14,2.7,1,79.3,72.1,31,0.517,60,0.433,26,0.317,19,0.632,12,9,225,85.1,21.4,6,19,74,,8.0,7,0.483,29,0.345,10,52.1,37,0.536,26.0,24,31,0.516,16,0.4,6,"Show Me Center, Cape Girardeau, Missouri",TENNESSEE-MARTIN,UT-Martin,76.9,Home,SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Tennessee-Martin,ovc,12,False,False,False,Away,False,8,16,72,34,71,10,16,60,0,1,97,243,777,0.5,385,793,0.4854981084489281,109,260,754,0.5616710875331565,0.4166666666666667
13,2019-01-10-20-tennessee-martin,66.7,24,14.0,6,102.7,61.8,21,0.63,69,0.522,36,0.203,14,0.7859999999999999,11,2,200,130.7,27.3,9,17,98,,12.0,9,0.449,31,0.484,15,44.8,30,0.648,9.6,8,38,0.5529999999999999,21,0.857,12,"January 10, 2019",65.5,19,15.8,6,130.7,72.7,24,0.49200000000000005,65,0.446,29,0.27699999999999997,18,0.722,13,9,200,102.7,38.2,13,15,77,,8.0,6,0.33799999999999997,22,0.273,6,55.2,37,0.523,17.1,15,43,0.535,23,0.35700000000000004,5,"Skyhawk Arena, Martin, Tennessee",TENNESSEE-MARTIN,UT-Martin,75.1,Away,MURRAY-STATE,Murray State,Tennessee-Martin,ovc,13,False,True,True,Home,False,6,23,65,37,67,15,21,69,0,1,105,259,849,0.4905771495877503,419,864,0.4849537037037037,119,276,814,0.5583538083538083,0.38461538461538464
14,2019-01-12-16-tennessee-martin,72.4,21,10.0,4,97.2,75.9,22,0.64,50,0.58,29,0.34,17,0.47100000000000003,8,5,200,100.0,36.0,9,13,72,,12.5,9,0.3,15,0.4,6,57.4,31,0.62,26.8,21,35,0.657,23,0.706,12,"January 12, 2019",69.2,18,2.9,1,100.0,64.0,16,0.508,60,0.433,26,0.16699999999999998,10,0.9,9,10,200,97.2,24.1,7,20,70,,15.3,11,0.33299999999999996,20,0.45,9,42.6,23,0.541,19.9,16,40,0.425,17,0.33299999999999996,5,"Skyhawk Arena, Martin, Tennessee",TENNESSEE-MARTIN,UT-Martin,71.9,Away,AUSTIN-PEAY,Austin Peay,Tennessee-Martin,ovc,14,False,True,True,Home,False,9,17,60,23,54,6,23,50,0,1,111,282,914,0.4907002188183807,456,931,0.4897959183673469,134,297,883,0.5639864099660249,0.35714285714285715
15,2019-01-17-19-eastern-kentucky,38.5,10,6.8,3,122.8,63.2,24,0.47600000000000003,62,0.419,26,0.32299999999999995,20,0.7,14,11,200,92.4,43.2,16,12,73,,10.1,8,0.306,19,0.368,7,53.3,40,0.51,24.5,23,43,0.442,19,0.312,5,"January 17, 2019",65.8,25,7.0,3,92.4,56.8,21,0.583,78,0.48700000000000004,38,0.10300000000000001,8,0.75,6,10,200,122.8,36.8,14,17,97,,22.8,18,0.436,34,0.441,15,46.7,35,0.593,12.8,12,44,0.523,23,0.444,8,"McBrayer Arena, Richmond, Kentucky",TENNESSEE-MARTIN,UT-Martin,79.2,Home,EASTERN-KENTUCKY,Eastern Kentucky,Tennessee-Martin,ovc,15,False,False,False,Away,False,7,19,62,40,75,15,23,78,0,1,120,299,974,0.4917864476386037,479,985,0.4862944162436548,140,320,933,0.5680600214362272,0.3333333333333333
16,2019-01-19-18-morehead-state,46.9,15,3.1,1,121.4,77.3,17,0.621,58,0.552,32,0.121,7,0.7140000000000001,5,12,200,110.0,23.8,5,22,77,,7.1,5,0.32799999999999996,19,0.42100000000000004,8,51.2,22,0.628,20.8,16,39,0.615,24,0.294,5,"January 19, 2019",77.4,24,12.8,5,110.0,76.2,16,0.6829999999999999,52,0.596,31,0.385,20,0.7,14,12,200,121.4,22.7,5,12,85,,7.1,5,0.385,20,0.45,9,48.8,21,0.691,15.3,11,32,0.688,22,0.368,7,"Ellis T. Johnson Arena, Morehead, Kentucky",TENNESSEE-MARTIN,UT-Martin,69.9,Home,MOREHEAD-STATE,Morehead State,Tennessee-Martin,ovc,16,False,False,False,Away,False,8,24,58,22,43,9,22,52,0,1,127,318,1036,0.4908301158301158,519,1060,0.48962264150943396,155,343,1011,0.5692383778437191,0.3125
17,2019-01-24-20-tennessee-martin,56.0,14,15.8,6,110.3,53.5,23,0.509,57,0.439,25,0.281,16,0.5,8,8,200,113.8,45.7,16,15,66,,8.6,5,0.42100000000000004,24,0.33299999999999996,8,50.0,39,0.511,12.3,9,33,0.515,17,0.6,12,"January 24, 2019",54.5,12,24.2,8,113.8,54.3,19,0.41700000000000004,66,0.33299999999999996,22,0.16699999999999998,11,0.818,9,13,200,110.3,46.5,20,13,64,,8.6,5,0.424,28,0.39299999999999996,11,50.0,39,0.449,10.1,8,38,0.289,11,0.278,5,"Skyhawk Arena, Martin, Tennessee",TENNESSEE-MARTIN,UT-Martin,58.4,Away,EASTERN-ILLINOIS,Eastern Illinois,Tennessee-Martin,ovc,17,False,True,True,Home,False,11,11,66,39,78,8,17,57,0,1,135,342,1094,0.4977148080438757,541,1103,0.4904805077062557,164,365,1063,0.5747883349012229,0.29411764705882354
18,2019-01-26-16-tennessee-martin,53.8,14,5.0,2,126.9,67.9,19,0.545,55,0.473,26,0.2,11,0.818,9,14,200,103.0,20.0,5,14,69,,6.0,4,0.4,22,0.364,8,45.3,24,0.573,15.5,11,33,0.545,18,0.3,6,"January 26, 2019",46.9,15,3.0,1,103.0,80.0,20,0.589,62,0.516,32,0.242,15,0.8,12,13,200,126.9,32.1,9,13,85,,9.0,6,0.355,22,0.409,9,54.7,29,0.615,10.4,8,40,0.575,23,0.316,6,"Skyhawk Arena, Martin, Tennessee",SOUTHERN-ILLINOIS-EDWARDSVILLE,SIU-Edwardsville,67.2,Home,TENNESSEE-MARTIN,UT-Martin,Tennessee-Martin,ovc,18,True,False,True,Home,True,9,23,62,29,53,8,18,55,1,0,146,353,1160,0.49310344827586206,580,1181,0.4911092294665538,172,382,1120,0.5714285714285714,0.2777777777777778
19,2019-01-31-20-tennessee-state,43.5,10,0.0,0,100.0,59.3,16,0.48200000000000004,57,0.40399999999999997,23,0.316,18,0.667,12,14,200,98.5,34.4,11,15,67,,5.9,4,0.386,22,0.409,9,45.8,27,0.511,18.8,15,35,0.4,14,0.3,6,"January 31, 2019",56.5,13,5.7,2,98.5,65.6,21,0.561,49,0.469,23,0.327,16,0.813,13,15,200,100.0,40.7,11,19,68,,11.8,8,0.469,23,0.391,9,54.2,32,0.601,26.3,20,26,0.5379999999999999,14,0.28600000000000003,6,"Gentry Center Complex, Nashville, Tennessee",TENNESSEE-MARTIN,UT-Martin,67.6,Home,TENNESSEE-STATE,Tennessee State,Tennessee-Martin,ovc,19,False,False,False,Away,False,9,14,57,27,59,9,14,49,0,1,155,376,1222,0.4979541734860884,609,1234,0.49351701782820095,180,400,1175,0.5702127659574469,0.3157894736842105
20,2019-02-02-18-belmont,31.0,9,12.0,3,122.4,73.1,19,0.445,73,0.397,29,0.027000000000000003,2,1.0,2,15,200,100.0,26.2,11,12,67,,6.0,4,0.301,22,0.318,7,44.1,30,0.45299999999999996,7.5,6,51,0.431,22,0.28600000000000003,6,"February 2, 2019",83.3,25,5.9,3,100.0,73.8,31,0.617,60,0.5,30,0.16699999999999998,10,0.8,8,4,200,122.4,26.9,7,7,82,,7.5,5,0.583,35,0.4,14,55.9,38,0.633,11.0,8,25,0.64,16,0.81,17,"Curb Event Center, Nashville, Tennessee",TENNESSEE-MARTIN,UT-Martin,67.4,Home,BELMONT,Belmont,Tennessee-Martin,ovc,20,False,False,False,Away,False,7,22,73,30,68,14,16,60,0,1,164,390,1279,0.49726348709929635,636,1293,0.4918793503480278,189,414,1224,0.5698529411764706,0.3
21,2019-02-07-20-tennessee-martin,69.2,18,3.2,1,103.1,85.7,18,0.446,65,0.4,26,0.154,10,0.6,6,8,200,100.0,42.5,17,11,64,,10.9,7,0.32299999999999995,21,0.28600000000000003,6,57.4,35,0.45899999999999996,15.8,13,44,0.455,20,0.667,16,"February 7, 2019",56.0,14,11.4,5,100.0,57.5,23,0.606,47,0.532,25,0.213,10,0.9,9,15,200,103.1,14.3,3,17,66,,12.5,8,0.34,16,0.43799999999999994,7,42.6,26,0.638,21.4,14,31,0.581,18,0.318,7,"Skyhawk Arena, Martin, Tennessee",JACKSONVILLE-STATE,Jacksonville State,64.3,Home,TENNESSEE-MARTIN,UT-Martin,Tennessee-Martin,ovc,21,True,False,True,Home,True,7,18,47,26,61,6,20,65,1,0,171,412,1352,0.4944526627218935,666,1361,0.4893460690668626,203,430,1284,0.5720404984423676,0.2857142857142857
22,2019-02-09-16-tennessee-martin,70.0,14,10.8,4,110.0,69.2,18,0.426,61,0.32799999999999996,20,0.213,13,0.462,6,18,200,82.9,30.2,13,17,58,,5.7,4,0.44299999999999995,27,0.444,12,44.9,31,0.43200000000000005,20.3,17,34,0.235,8,0.28,7,"February 9, 2019",55.6,15,14.7,5,82.9,69.8,30,0.536,56,0.48200000000000004,27,0.375,21,0.81,17,15,200,110.0,30.8,8,15,77,,15.7,11,0.33899999999999997,19,0.316,6,55.1,38,0.584,13.3,10,37,0.568,21,0.348,8,"Skyhawk Arena, Martin, Tennessee",TENNESSEE-TECH,Tennessee Tech,69.6,Home,TENNESSEE-MARTIN,UT-Martin,Tennessee-Martin,ovc,22,True,False,True,Home,True,6,21,56,38,69,12,8,61,1,0,178,430,1399,0.4982130092923517,692,1422,0.4866385372714487,209,450,1349,0.5659747961452928,0.3181818181818182
23,2019-02-14-20-tennessee-martin,44.4,12,3.7,1,112.5,82.4,14,0.5,60,0.45,27,0.28300000000000003,17,0.706,12,18,200,100.0,25.0,8,16,72,,18.1,13,0.317,19,0.316,6,44.9,22,0.529,17.2,14,41,0.512,21,0.308,8,"February 14, 2019",63.3,19,12.2,5,100.0,75.0,24,0.735,49,0.612,30,0.22399999999999998,11,0.818,9,15,200,112.5,17.6,3,11,81,,11.1,8,0.449,22,0.545,12,55.1,27,0.747,26.1,19,27,0.667,18,0.375,9,"Skyhawk Arena, Martin, Tennessee",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,72.2,Home,TENNESSEE-MARTIN,UT-Martin,Tennessee-Martin,ovc,23,True,False,True,Home,True,12,18,49,27,49,6,21,60,1,0,184,451,1455,0.49965635738831615,730,1491,0.48960429242119385,221,458,1410,0.5599290780141843,0.34782608695652173
24,2019-02-16-15-southern-illinois-edwardsville,58.3,14,3.1,1,98.6,78.1,25,0.509,57,0.42100000000000004,24,0.316,18,0.833,15,15,200,104.3,35.5,11,14,73,,12.9,9,0.439,25,0.4,10,57.1,36,0.557,17.7,14,32,0.43799999999999994,14,0.4,10,"February 16, 2019",50.0,12,6.3,2,104.3,64.5,20,0.5,56,0.429,24,0.28600000000000003,16,0.813,13,18,200,98.6,21.9,7,16,69,,11.4,8,0.429,24,0.33299999999999996,8,42.9,27,0.542,18.2,14,32,0.5,16,0.308,8,"Sam Vadalabene Center , Edwardsville, Illinois",SOUTHERN-ILLINOIS-EDWARDSVILLE,SIU-Edwardsville,69.6,Away,TENNESSEE-MARTIN,UT-Martin,Tennessee-Martin,ovc,24,False,False,False,Away,True,10,14,57,36,63,8,16,56,1,0,196,469,1504,0.507313829787234,757,1540,0.4915584415584416,227,479,1470,0.5574829931972789,0.375
25,2019-02-21-20-murray-state,50.0,14,0.0,0,123.2,76.7,23,0.5,63,0.444,28,0.222,14,0.857,12,16,200,108.7,30.3,10,19,75,,4.3,3,0.365,23,0.304,7,52.4,33,0.5379999999999999,11.5,9,40,0.525,21,0.385,10,"February 21, 2019",56.7,17,10.0,4,108.7,69.7,23,0.551,59,0.508,30,0.441,26,0.769,20,4,200,123.2,23.3,7,13,85,,8.7,6,0.373,22,0.22699999999999998,5,47.6,30,0.596,6.6,5,37,0.6759999999999999,25,0.846,22,"CFSB Center, Murray, Kentucky",TENNESSEE-MARTIN,UT-Martin,69.0,Home,MURRAY-STATE,Murray State,Tennessee-Martin,ovc,25,False,False,False,Away,False,7,21,63,33,63,5,25,59,0,1,206,483,1561,0.507367072389494,793,1603,0.49469744229569557,235,495,1526,0.5553735255570118,0.4
