,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,PEPPERDINE_homegame,PEPPERDINE_homegame2,PEPPERDINE_home,PEPPERDINE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-15-15-southern-utah,36.0,9,12.5,3,92.9,74.4,29,0.447,66,0.379,25,0.318,21,0.47600000000000003,10,5,225,82.1,16.7,7,26,69,,10.7,9,0.47,31,0.29,9,44.4,36,0.45399999999999996,17.5,16,35,0.457,16,0.545,6,"December 15, 2018",61.5,16,11.4,4,82.1,83.3,35,0.508,63,0.413,26,0.413,26,0.5379999999999999,14,3,225,92.9,25.6,10,22,78,,4.8,4,0.619,39,0.308,12,55.6,45,0.518,19.5,18,24,0.583,14,0.625,5,"Centrum, Cedar City, Utah",PEPPERDINE,Pepperdine,74.8,Home,SOUTHERN-UTAH,Southern Utah,Pepperdine,wcc,10,False,False,False,Away,False,9,16,66,36,81,12,14,63,0,1,90,189,602,0.5382059800664452,293,626,0.4680511182108626,78,193,592,0.5236486486486487,0.6
11,2018-12-17-22-oregon-state,59.1,13,0.0,0,110.8,63.2,12,0.425,60,0.36700000000000005,22,0.35,21,0.762,16,6,200,90.5,22.2,8,20,67,,12.2,9,0.38299999999999995,23,0.304,7,36.4,20,0.479,15.8,13,37,0.405,15,0.5,6,"December 17, 2018",69.2,18,27.0,10,90.5,77.8,28,0.625,48,0.542,26,0.542,26,0.846,22,3,200,110.8,36.8,7,17,82,,13.5,10,0.396,19,0.42100000000000004,8,63.6,35,0.679,24.2,19,29,0.621,18,0.7,7,"Gill Coliseum, Corvallis, Oregon",PEPPERDINE,Pepperdine,73.7,Home,OREGON-STATE,Oregon State,Pepperdine,wcc,11,False,False,False,Away,False,7,15,60,20,55,8,18,48,0,1,99,205,668,0.5291916167664671,329,707,0.46534653465346537,90,207,655,0.5221374045801527,0.5454545454545454
12,2018-12-20-22-long-beach-state,32.0,8,8.9,4,93.1,66.7,26,0.424,66,0.379,25,0.258,17,0.588,10,7,200,91.7,38.5,15,21,66,,5.6,4,0.409,27,0.222,6,52.6,41,0.445,13.0,11,39,0.48700000000000004,19,0.462,6,"December 20, 2018",52.0,13,17.9,7,91.7,61.5,24,0.406,64,0.391,25,0.391,25,0.6,15,9,200,93.1,33.3,13,18,67,,6.9,5,0.297,19,0.105,2,47.4,37,0.442,12.8,11,45,0.511,23,0.308,4,"The Walter Pyramid, Long Beach, California",PEPPERDINE,Pepperdine,72.0,Home,LONG-BEACH-STATE,Long Beach State,Pepperdine,wcc,12,False,False,False,Away,False,6,19,66,41,78,2,23,64,0,1,106,220,728,0.5206043956043956,349,762,0.458005249343832,98,225,703,0.5291607396870555,0.5
13,2018-12-31-18-pepperdine,79.2,19,3.6,1,137.0,64.0,16,0.546,54,0.444,24,0.204,11,0.455,5,13,200,87.7,32.3,10,19,64,,11.0,8,0.426,23,0.478,11,46.4,26,0.54,29.0,24,31,0.419,13,0.071,1,"December 31, 2018",70.6,24,12.9,4,87.7,67.7,21,0.728,57,0.596,34,0.386,22,0.773,17,7,200,137.0,36.0,9,10,100,,15.1,11,0.509,29,0.517,15,53.6,30,0.741,18.4,15,28,0.679,19,0.5,7,"Firestone Fieldhouse, Malibu, California",ALABAMA-AM,Alabama A&M,73.3,Home,PEPPERDINE,Pepperdine,Pepperdine,wcc,13,True,False,True,Home,True,15,19,57,30,56,11,13,54,1,0,112,239,794,0.5125944584382871,390,840,0.4642857142857143,100,248,767,0.5189048239895697,0.46153846153846156
14,2019-01-03-22-pepperdine,50.0,11,16.0,4,111.6,75.0,21,0.42100000000000004,57,0.386,22,0.316,18,0.778,14,3,200,89.9,34.5,10,21,62,,7.2,5,0.316,18,0.222,4,54.4,31,0.473,19.8,16,39,0.462,18,0.8,12,"January 3, 2019",91.3,21,15.4,6,89.9,65.5,19,0.57,50,0.46,23,0.52,26,0.769,20,7,200,111.6,25.0,7,19,77,,10.1,7,0.5,25,0.44,11,45.6,26,0.617,16.3,12,25,0.48,12,0.5329999999999999,8,"Firestone Fieldhouse, Malibu, California",LOYOLA-MARYMOUNT,Loyola Marymount,69.5,Home,PEPPERDINE,Pepperdine,Pepperdine,wcc,14,True,False,True,Home,True,11,12,50,26,57,4,18,57,1,0,127,258,851,0.527027027027027,420,896,0.46875,111,261,821,0.5207064555420219,0.5
15,2019-01-05-20-pepperdine,56.0,14,6.3,3,93.2,65.9,27,0.5379999999999999,52,0.48100000000000004,25,0.365,19,0.8420000000000001,16,2,200,97.3,13.8,4,22,72,,6.8,5,0.365,19,0.316,6,44.3,31,0.59,21.0,16,33,0.5760000000000001,19,0.875,14,"January 5, 2019",58.3,14,6.1,2,97.3,86.2,25,0.38799999999999996,67,0.358,24,0.26899999999999996,18,0.9440000000000001,17,8,200,93.2,34.1,14,19,69,,12.2,9,0.284,19,0.21100000000000002,4,55.7,39,0.457,14.8,13,48,0.41700000000000004,20,0.5,8,"Firestone Fieldhouse, Malibu, California",PEPPERDINE,Pepperdine,73.8,Away,SAN-FRANCISCO,San Francisco,Pepperdine,wcc,15,False,True,True,Home,False,4,20,67,39,70,6,19,52,0,1,138,270,901,0.5294117647058824,446,953,0.46799580272822666,115,279,878,0.5142369020501139,0.5333333333333333
16,2019-01-10-23-santa-clara,66.7,16,3.1,1,98.5,84.6,22,0.49200000000000005,60,0.4,24,0.133,8,0.625,5,9,200,94.1,11.1,4,14,64,,10.3,7,0.38299999999999995,23,0.478,11,41.9,26,0.502,11.2,8,37,0.35100000000000003,13,0.47100000000000003,8,"January 10, 2019",42.3,11,2.7,1,94.1,88.9,32,0.578,51,0.51,26,0.21600000000000003,11,0.727,8,7,200,98.5,15.4,4,13,67,,7.4,5,0.373,19,0.368,7,58.1,36,0.596,21.2,15,32,0.594,19,0.588,10,"Leavey Center, Santa Clara, California",PEPPERDINE,Pepperdine,67.5,Home,SANTA-CLARA,Santa Clara,Pepperdine,wcc,16,False,False,False,Away,False,11,13,60,26,62,7,19,51,0,1,142,290,968,0.5196280991735537,485,1023,0.47409579667644186,121,298,930,0.5155913978494624,0.5
17,2019-01-12-16-san-diego,20.8,5,2.8,1,98.6,88.0,22,0.56,50,0.48,24,0.5,25,0.8,20,9,200,105.6,8.3,2,21,76,,8.3,6,0.5,25,0.32,8,49.0,24,0.614,14.1,10,25,0.64,16,0.5,9,"January 12, 2019",65.4,17,0.0,0,105.6,91.7,22,0.519,54,0.48100000000000004,26,0.33299999999999996,18,0.833,15,6,200,98.6,12.0,3,21,71,,5.6,4,0.33299999999999996,18,0.222,4,51.0,25,0.568,18.4,14,36,0.611,22,0.667,12,"Jenny Craig Pavillion, San Diego, California",SAN-DIEGO,San Diego,71.7,Away,PEPPERDINE,Pepperdine,Pepperdine,wcc,17,False,False,False,Away,True,8,16,50,24,49,4,22,54,1,0,153,303,1028,0.5179961089494164,511,1085,0.47096774193548385,128,317,981,0.5188583078491336,0.47058823529411764
18,2019-01-17-23-pepperdine,60.7,17,14.3,5,98.7,73.8,31,0.61,50,0.56,28,0.68,34,0.765,26,8,200,113.0,23.1,6,28,87,,6.5,5,0.32,16,0.313,5,54.4,37,0.6579999999999999,18.8,15,34,0.6759999999999999,23,0.6,12,"January 17, 2019",56.5,13,5.9,2,113.0,76.9,20,0.44299999999999995,61,0.377,23,0.557,34,0.647,22,10,200,98.7,26.2,11,25,76,,7.8,6,0.426,26,0.308,8,45.6,31,0.493,13.6,12,35,0.429,15,0.474,9,"Firestone Fieldhouse, Malibu, California",PEPPERDINE,Pepperdine,76.7,Away,BRIGHAM-YOUNG,BYU,Pepperdine,wcc,18,False,True,True,Home,False,8,15,61,31,68,5,23,50,0,1,161,319,1078,0.5199443413729128,535,1134,0.47178130511463845,132,339,1035,0.518840579710145,0.5
19,2019-01-19-16-loyola-marymount,80.0,20,2.7,1,107.2,68.0,17,0.561,57,0.439,25,0.21100000000000002,12,0.5,6,11,200,101.4,21.2,7,19,70,,7.2,5,0.544,31,0.452,14,41.4,24,0.5579999999999999,19.4,15,26,0.423,11,0.45,9,"January 19, 2019",75.0,21,19.2,5,101.4,78.8,26,0.565,54,0.519,28,0.37,20,0.65,13,5,200,107.2,32.0,8,22,74,,14.5,10,0.315,17,0.294,5,58.6,34,0.583,16.0,12,37,0.622,23,0.737,14,"Albert Gersten Pavilion, Los Angeles, California",PEPPERDINE,Pepperdine,69.1,Home,LOYOLA-MARYMOUNT,Loyola Marymount,Pepperdine,wcc,19,False,False,False,Away,False,14,11,57,24,58,5,23,54,0,1,169,334,1139,0.5158033362598771,566,1202,0.47088186356073214,137,362,1085,0.5230414746543779,0.47368421052631576
20,2019-01-26-20-pepperdine,30.0,9,9.1,3,118.3,72.0,18,0.479,70,0.429,30,0.243,17,0.588,10,9,225,108.5,33.3,13,21,77,,9.9,7,0.457,32,0.21899999999999997,7,48.4,31,0.493,10.4,9,38,0.605,23,0.591,13,"January 26, 2019",56.0,14,10.5,4,108.5,66.7,26,0.5870000000000001,52,0.48100000000000004,25,0.48100000000000004,25,0.92,23,11,225,118.3,28.0,7,18,84,,4.2,3,0.365,19,0.579,11,51.6,33,0.6579999999999999,16.0,12,33,0.424,14,0.47600000000000003,10,"Firestone Fieldhouse, Malibu, California",SAINT-MARYS-CA,Saint Mary's,63.5,Home,PEPPERDINE,Pepperdine,Pepperdine,wcc,20,True,False,True,Home,True,11,14,52,33,64,7,23,70,1,0,183,345,1196,0.5179765886287625,590,1260,0.46825396825396826,142,385,1139,0.5250219490781387,0.45
21,2019-01-31-22-portland,79.3,23,6.9,2,79.5,74.4,29,0.642,53,0.547,29,0.377,20,0.75,15,11,200,113.7,29.2,7,18,83,,13.7,10,0.415,22,0.455,10,57.1,36,0.664,21.6,17,31,0.613,19,0.5,11,"January 31, 2019",61.1,11,6.5,2,113.7,70.8,17,0.364,59,0.305,18,0.28800000000000003,17,0.882,15,16,200,79.5,25.6,10,19,58,,16.4,12,0.508,30,0.233,7,42.9,27,0.43200000000000005,20.4,17,29,0.379,11,0.304,7,"Chiles Center, Portland, Oregon",PORTLAND,Portland,73.3,Away,PEPPERDINE,Pepperdine,Pepperdine,wcc,21,False,False,False,Away,True,10,19,53,36,63,7,11,59,1,0,194,359,1248,0.5208333333333334,623,1324,0.4705438066465257,149,408,1209,0.5223325062034739,0.47619047619047616
22,2019-02-02-22-pacific,33.3,6,9.7,3,97.1,80.8,21,0.43799999999999994,48,0.375,18,0.563,27,0.63,17,12,200,86.8,15.2,5,23,59,,8.8,6,0.41700000000000004,20,0.3,6,44.1,26,0.485,18.9,14,28,0.429,12,0.478,11,"February 2, 2019",30.4,7,0.0,0,86.8,84.8,28,0.573,48,0.479,23,0.396,19,0.579,11,11,200,97.1,19.2,5,21,66,,8.8,6,0.354,17,0.529,9,55.9,33,0.579,21.0,15,31,0.452,14,0.542,13,"A.G. Spanos Center, Stockton, California",PEPPERDINE,Pepperdine,68.4,Home,PACIFIC,Pacific,Pepperdine,wcc,22,False,False,False,Away,False,6,12,48,26,59,9,14,48,0,1,204,378,1301,0.5257494235203689,659,1387,0.47512617159336695,156,419,1268,0.5149842271293376,0.5
23,2019-02-07-22-pepperdine,70.0,21,5.4,2,100.0,77.8,28,0.5479999999999999,62,0.484,30,0.226,14,0.7859999999999999,11,11,200,111.3,29.0,9,17,79,,8.5,6,0.355,22,0.364,8,55.2,37,0.575,11.7,9,40,0.55,22,0.542,13,"February 7, 2019",52.0,13,10.0,4,111.3,71.0,22,0.452,62,0.40299999999999997,25,0.29,18,0.833,15,13,200,100.0,22.2,8,14,71,,7.0,5,0.40299999999999997,25,0.24,6,44.8,30,0.503,12.5,10,37,0.514,19,0.45799999999999996,11,"Firestone Fieldhouse, Malibu, California",PEPPERDINE,Pepperdine,70.6,Away,SANTA-CLARA,Santa Clara,Pepperdine,wcc,23,False,True,True,Home,False,6,19,62,30,67,8,22,62,0,1,210,390,1349,0.5226093402520385,685,1446,0.47372060857538034,165,433,1316,0.51709726443769,0.4782608695652174
24,2019-02-09-16-pepperdine,52.2,12,12.5,3,100.0,69.2,18,0.466,58,0.397,23,0.276,16,0.813,13,9,200,95.7,18.8,6,17,67,,14.3,10,0.44799999999999995,26,0.308,8,41.4,24,0.511,13.3,10,32,0.469,15,0.64,16,"February 9, 2019",66.7,14,0.0,0,95.7,81.3,26,0.531,49,0.429,21,0.449,22,0.818,18,13,200,100.0,30.8,8,18,70,,4.3,3,0.51,25,0.4,10,58.6,34,0.589,23.5,18,24,0.45799999999999996,11,0.48,12,"Firestone Fieldhouse, Malibu, California",SAN-DIEGO,San Diego,69.5,Home,PEPPERDINE,Pepperdine,Pepperdine,wcc,24,True,False,True,Home,True,10,11,49,34,58,8,15,58,1,0,216,409,1411,0.5194897236002834,715,1513,0.47257105089226703,173,455,1378,0.5185050798258345,0.4583333333333333
25,2019-02-14-22-san-francisco,59.3,16,12.5,4,129.0,64.3,18,0.591,55,0.491,27,0.23600000000000002,13,0.9229999999999999,12,14,200,111.6,20.0,5,18,77,,5.8,4,0.455,25,0.44,11,43.4,23,0.629,17.6,13,30,0.5329999999999999,16,0.462,12,"February 14, 2019",67.7,21,10.0,3,111.6,80.0,20,0.655,58,0.534,31,0.31,18,0.722,13,6,200,129.0,35.7,10,19,89,,13.0,9,0.44799999999999995,26,0.5379999999999999,14,56.6,30,0.669,16.5,13,32,0.531,17,0.76,19,"War Memorial Gymnasium, San Francisco, California",PEPPERDINE,Pepperdine,69.4,Home,SAN-FRANCISCO,San Francisco,Pepperdine,wcc,25,False,False,False,Away,False,11,16,55,23,53,14,17,58,0,1,226,420,1460,0.5198630136986301,749,1571,0.4767663908338638,181,470,1436,0.5163649025069638,0.48
26,2019-02-16-23-saint-marys-ca,45.5,10,12.0,3,116.1,70.0,21,0.531,49,0.449,22,0.28600000000000003,14,0.929,13,15,200,104.8,12.5,3,19,65,,11.3,7,0.429,21,0.381,8,44.4,24,0.584,14.0,9,28,0.5,14,0.444,12,"February 16, 2019",36.4,8,7.1,2,104.8,87.5,21,0.563,48,0.45799999999999996,22,0.5,24,0.75,18,10,200,116.1,30.0,9,19,72,,4.8,3,0.479,23,0.435,10,55.6,30,0.606,15.8,11,25,0.48,12,0.63,17,"McKeon Pavilion, Moraga, California",PEPPERDINE,Pepperdine,61.5,Home,SAINT-MARYS-CA,Saint Mary's,Pepperdine,wcc,26,False,False,False,Away,False,8,14,49,24,54,10,12,48,0,1,237,436,1515,0.5224422442244224,772,1624,0.4753694581280788,195,487,1494,0.5217536813922357,0.46153846153846156
