,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,CONNECTICUT_homegame,CONNECTICUT_homegame2,CONNECTICUT_home,CONNECTICUT_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-15-20-connecticut,58.8,10,6.1,2,84.7,71.4,25,0.39799999999999996,49,0.34700000000000003,17,0.245,12,0.583,7,8,200,63.9,21.2,7,23,46,,13.9,10,0.36700000000000005,18,0.278,5,47.1,32,0.42,28.8,22,31,0.387,12,0.2,2,"December 15, 2018",66.7,14,29.0,9,63.9,78.8,26,0.41100000000000003,56,0.375,21,0.429,24,0.625,15,3,200,84.7,28.6,10,18,61,,16.7,12,0.41100000000000003,23,0.174,4,52.9,36,0.45299999999999996,20.3,17,33,0.515,17,0.727,8,"Harry A. Gampel Pavilion, Storrs, Connecticut",MANHATTAN,Manhattan,72.1,Home,CONNECTICUT,UConn,Connecticut,aac,10,True,False,True,Home,True,4,17,56,36,68,5,12,49,1,0,80,232,651,0.5407066052227343,342,630,0.5428571428571428,64,187,583,0.4854202401372213,0.7
11,2018-12-18-19-connecticut,40.0,10,2.3,1,134.7,70.8,17,0.449,59,0.424,25,0.305,18,0.667,12,6,200,90.3,33.3,11,22,65,,1.4,1,0.271,16,0.188,3,49.1,28,0.48100000000000004,18.3,15,43,0.512,22,0.5,6,"December 18, 2018",30.6,11,14.0,6,90.3,66.7,22,0.6829999999999999,60,0.6,36,0.35,21,0.7140000000000001,15,3,200,134.7,29.2,7,20,97,,8.3,6,0.28300000000000003,17,0.588,10,50.9,29,0.693,12.6,10,43,0.605,26,0.75,9,"Harry A. Gampel Pavilion, Storrs, Connecticut",DREXEL,Drexel,72.3,Home,CONNECTICUT,UConn,Connecticut,aac,11,True,False,True,Home,True,10,26,60,29,57,3,22,59,1,0,84,249,707,0.5304101838755304,378,698,0.5415472779369628,69,199,632,0.4786392405063291,0.7272727272727273
12,2018-12-22-12-villanova,50.0,11,20.8,5,114.1,69.6,16,0.47200000000000003,54,0.40700000000000003,22,0.259,14,0.5,7,4,200,81.7,15.2,5,21,58,,7.0,5,0.33299999999999996,18,0.389,7,37.5,21,0.478,21.0,16,36,0.41700000000000004,15,0.6920000000000001,9,"December 22, 2018",74.1,20,5.6,2,81.7,84.8,28,0.7020000000000001,47,0.574,27,0.511,24,0.625,15,4,200,114.1,30.4,7,18,81,,12.7,9,0.489,23,0.522,12,62.5,35,0.693,24.8,19,24,0.625,15,0.6920000000000001,9,"Madison Square Garden (IV), New York, New York",CONNECTICUT,UConn,71.0,Home,VILLANOVA,Villanova,Connecticut,aac,12,False,False,False,Away,False,7,15,54,21,56,12,15,47,0,1,94,275,767,0.5423728813559322,407,755,0.5390728476821192,72,221,691,0.4761215629522431,0.75
13,2019-01-02-20-south-florida,57.1,12,21.2,7,100.0,63.3,19,0.444,54,0.389,21,0.519,28,0.7140000000000001,20,5,200,89.5,17.1,6,32,68,,10.5,8,0.40700000000000003,22,0.273,6,38.5,25,0.505,15.3,12,32,0.469,15,0.643,9,"January 2, 2019",38.1,8,18.8,6,89.5,82.9,29,0.49,48,0.43799999999999994,21,0.958,46,0.63,29,2,200,100.0,36.7,11,26,76,,10.5,8,0.313,15,0.33299999999999996,5,61.5,40,0.544,21.8,19,33,0.485,16,0.846,11,"Sun Dome, Tampa, Florida",CONNECTICUT,UConn,75.6,Home,SOUTH-FLORIDA,South Florida,Connecticut,aac,13,False,False,False,Away,False,6,15,54,25,65,5,16,48,0,1,101,290,821,0.5377588306942753,428,811,0.5277435265104808,84,236,738,0.4905149051490515,0.6923076923076923
14,2019-01-05-12-connecticut,55.0,11,7.7,3,79.1,60.6,20,0.643,35,0.5710000000000001,20,0.8290000000000001,29,0.69,20,2,200,97.0,0.0,0,12,65,,17.9,12,0.314,11,0.455,5,40.8,20,0.6659999999999999,25.1,16,24,0.625,15,0.857,12,"January 5, 2019",47.4,9,0.0,0,97.0,100.0,16,0.373,59,0.322,19,0.18600000000000003,11,0.818,9,6,200,79.1,39.4,13,24,53,,7.5,5,0.33899999999999997,20,0.3,6,59.2,29,0.413,21.0,17,39,0.33299999999999996,13,0.6,9,"XL Center, Hartford, Connecticut",CONNECTICUT,UConn,66.5,Away,CENTRAL-FLORIDA,UCF,Connecticut,aac,14,False,True,True,Home,False,6,13,59,29,49,5,15,35,0,1,107,305,875,0.532,453,876,0.5171232876712328,89,252,786,0.4904580152671756,0.6428571428571429
15,2019-01-10-19-connecticut,34.8,8,4.3,1,118.8,71.4,15,0.371,66,0.348,23,0.242,16,0.938,15,5,200,100.0,45.5,15,22,64,,12.5,8,0.348,23,0.13,3,55.6,30,0.435,11.0,9,43,0.465,20,0.667,10,"January 10, 2019",40.9,9,7.0,3,100.0,54.5,18,0.631,42,0.524,22,0.738,31,0.742,23,6,200,118.8,28.6,6,16,76,,4.7,3,0.452,19,0.474,9,44.4,24,0.67,15.2,10,23,0.565,13,0.625,10,"Harry A. Gampel Pavilion, Storrs, Connecticut",SOUTHERN-METHODIST,SMU,64.2,Home,CONNECTICUT,UConn,Connecticut,aac,15,True,False,True,Home,True,9,13,42,24,54,3,20,66,1,0,113,318,934,0.521948608137045,482,925,0.5210810810810811,94,267,821,0.49695493300852617,0.6
16,2019-01-12-20-cincinnati,45.8,11,11.4,4,102.8,84.4,27,0.509,58,0.414,24,0.276,16,0.813,13,7,225,100.0,31.3,10,28,72,,5.6,4,0.466,27,0.40700000000000003,11,57.8,37,0.5489999999999999,18.7,15,31,0.419,13,0.588,10,"January 12, 2019",68.2,15,9.7,3,100.0,68.8,22,0.47100000000000003,52,0.423,22,0.731,38,0.6579999999999999,25,3,225,102.8,15.6,5,17,74,,11.1,8,0.327,17,0.294,5,42.2,27,0.528,11.6,9,35,0.486,17,0.8240000000000001,14,"Fifth Third Arena, Cincinnati, Ohio",CONNECTICUT,UConn,64.3,Home,CINCINNATI,Cincinnati,Connecticut,aac,16,False,False,False,Away,False,11,13,58,37,64,5,17,52,0,1,122,331,976,0.5266393442622951,506,979,0.5168539325842697,97,287,887,0.48759864712514095,0.625
17,2019-01-16-19-tulsa,35.5,11,7.3,3,114.1,85.7,24,0.48,74,0.419,31,0.203,15,0.8,12,8,200,106.4,32.5,13,23,83,,5.1,4,0.419,31,0.29,9,54.4,37,0.512,10.0,9,43,0.512,22,0.556,10,"January 16, 2019",51.7,15,4.7,2,106.4,67.5,27,0.583,54,0.537,29,0.667,36,0.722,26,6,200,114.1,14.3,4,17,89,,2.6,2,0.24100000000000002,13,0.385,5,45.6,31,0.626,13.6,11,41,0.585,24,0.667,12,"Donald W. Reynolds Center, Tulsa, Oklahoma",CONNECTICUT,UConn,77.6,Home,TULSA,Tulsa,Connecticut,aac,17,False,False,False,Away,False,9,22,74,37,68,5,24,54,0,1,133,344,1034,0.5256286266924565,543,1043,0.5206136145733461,102,304,939,0.48668796592119273,0.5882352941176471
18,2019-01-19-14-connecticut,63.3,19,8.7,4,114.5,83.3,25,0.516,61,0.49200000000000005,30,0.18,11,0.727,8,13,200,93.4,16.1,5,8,71,,6.6,5,0.262,16,0.188,3,49.2,30,0.536,17.5,14,45,0.6,27,0.235,4,"January 19, 2019",38.9,14,11.1,5,93.4,83.9,26,0.57,71,0.507,36,0.099,7,0.857,6,8,200,114.5,16.7,5,13,87,,11.8,9,0.35200000000000004,25,0.36,9,50.8,31,0.585,9.7,8,46,0.5870000000000001,27,0.579,11,"Harry A. Gampel Pavilion, Storrs, Connecticut",TULANE,Tulane,76.3,Home,CONNECTICUT,UConn,Connecticut,aac,18,True,False,True,Home,True,9,27,71,31,61,3,27,61,1,0,142,366,1108,0.5225631768953068,580,1111,0.5220522052205221,107,328,993,0.4919436052366566,0.5555555555555556
19,2019-01-26-18-connecticut,31.8,7,10.5,4,117.6,57.6,19,0.369,65,0.33799999999999997,22,0.215,14,0.857,12,11,200,88.2,26.3,10,16,60,,4.4,3,0.24600000000000002,16,0.25,4,40.8,29,0.419,9.0,7,49,0.36700000000000005,18,0.42100000000000004,8,"January 26, 2019",48.4,15,18.4,9,88.2,73.7,28,0.589,62,0.5,31,0.27399999999999997,17,0.41200000000000003,7,8,200,117.6,42.4,14,16,80,,7.4,5,0.387,24,0.45799999999999996,11,59.2,42,0.5710000000000001,13.7,11,38,0.526,20,0.6,12,"Harry A. Gampel Pavilion, Storrs, Connecticut",WICHITA-STATE,Wichita State,67.9,Home,CONNECTICUT,UConn,Connecticut,aac,19,True,False,True,Home,True,11,20,62,42,71,4,18,65,1,0,151,393,1179,0.5254452926208651,611,1172,0.5213310580204779,110,355,1054,0.49335863377609107,0.5789473684210527
20,2019-01-31-21-central-florida,50.0,12,8.8,3,107.4,75.0,18,0.528,54,0.444,24,0.24100000000000002,13,0.769,10,9,200,98.5,25.9,7,24,67,,5.9,4,0.40700000000000003,22,0.409,9,49.0,25,0.557,19.0,14,32,0.469,15,0.5710000000000001,12,"January 31, 2019",50.0,11,9.4,3,98.5,74.1,20,0.5329999999999999,45,0.489,22,0.8,36,0.6940000000000001,25,4,200,107.4,25.0,6,15,73,,10.3,7,0.244,11,0.364,4,51.0,26,0.588,16.5,12,34,0.529,18,0.8,16,"CFE Arena, Orlando, Florida",CONNECTICUT,UConn,67.6,Home,CENTRAL-FLORIDA,UCF,Connecticut,aac,20,False,False,False,Away,False,9,15,54,25,51,4,18,45,0,1,162,413,1241,0.5286059629331185,653,1243,0.5253419147224457,114,373,1119,0.48614834673815904,0.6
21,2019-02-03-14-connecticut,36.8,7,8.3,3,116.9,60.0,15,0.368,57,0.33299999999999996,19,0.21100000000000002,12,0.833,10,12,200,80.0,20.6,7,19,52,,9.2,6,0.263,15,0.267,4,37.3,22,0.415,11.4,8,42,0.35700000000000004,15,0.429,9,"February 3, 2019",61.5,16,14.3,6,80.0,79.4,27,0.547,53,0.491,26,0.434,23,0.7829999999999999,18,9,200,116.9,40.0,10,13,76,,7.7,5,0.321,17,0.353,6,62.7,37,0.594,16.0,12,36,0.556,20,0.591,13,"XL Center, Hartford, Connecticut",EAST-CAROLINA,East Carolina,64.8,Home,CONNECTICUT,UConn,Connecticut,aac,21,True,False,True,Home,True,6,20,53,37,59,4,15,57,1,0,171,428,1295,0.5285714285714286,678,1294,0.5239567233384853,118,391,1164,0.4879725085910653,0.5714285714285714
22,2019-02-06-18-temple,40.0,10,3.1,1,126.6,82.8,24,0.435,62,0.40299999999999997,25,0.242,15,0.6,9,10,200,98.4,41.7,15,15,63,,3.1,2,0.29,18,0.222,4,60.0,39,0.456,12.7,10,44,0.47700000000000004,21,0.565,13,"February 6, 2019",65.5,19,4.5,2,98.4,58.3,21,0.627,55,0.527,29,0.309,17,0.706,12,6,200,126.6,17.2,5,18,81,,12.5,8,0.418,23,0.478,11,40.0,26,0.642,7.4,5,32,0.563,18,0.7390000000000001,17,"Liacouras Center, Philadelphia, Pennsylvania",CONNECTICUT,UConn,63.6,Home,TEMPLE,Temple,Connecticut,aac,22,False,False,False,Away,False,4,21,62,39,65,11,18,55,0,1,177,448,1348,0.5293026706231454,715,1353,0.5284552845528455,122,406,1221,0.4823914823914824,0.5909090909090909
23,2019-02-10-14-memphis,52.0,13,14.3,5,108.3,71.4,20,0.46799999999999997,62,0.40299999999999997,25,0.32299999999999995,20,0.65,13,11,200,98.6,48.5,16,21,71,,6.9,5,0.40299999999999997,25,0.32,8,59.0,36,0.49700000000000005,18.4,16,37,0.45899999999999996,17,0.542,13,"February 10, 2019",66.7,18,8.1,3,98.6,51.5,17,0.5539999999999999,56,0.48200000000000004,27,0.321,18,0.889,16,10,200,108.3,28.6,8,17,78,,8.3,6,0.375,21,0.381,8,41.0,25,0.604,20.0,16,35,0.5429999999999999,19,0.583,14,"FedExForum, Memphis, Tennessee",CONNECTICUT,UConn,72.0,Home,MEMPHIS,Memphis,Connecticut,aac,23,False,False,False,Away,False,8,17,62,36,61,8,19,56,0,1,181,469,1410,0.525177304964539,754,1418,0.5317348377997179,133,424,1276,0.48863636363636365,0.5652173913043478
24,2019-02-14-19-connecticut,69.2,18,10.0,3,95.5,75.9,22,0.583,54,0.48100000000000004,26,0.204,11,0.727,8,1,200,107.6,24.0,6,21,71,9.0,7.6,5,0.389,21,0.524,11,51.9,28,0.599,16.9,12,33,0.455,15,0.96,24,"February 14, 2019",57.1,12,9.1,3,107.6,76.0,19,0.48,51,0.41200000000000003,21,0.49,25,0.56,14,12,200,95.5,24.1,7,15,63,,7.6,5,0.41200000000000003,21,0.33299999999999996,7,48.1,26,0.501,15.1,11,30,0.467,14,0.52,13,"XL Center, Hartford, Connecticut",CONNECTICUT,UConn,66.1,Away,HOUSTON,Houston,Connecticut,aac,24,False,True,True,Home,False,7,14,51,26,54,11,15,54,0,1,189,486,1472,0.5227581521739131,790,1479,0.5341446923597025,141,443,1332,0.4913663663663664,0.5416666666666666
25,2019-02-21-21-southern-methodist,61.9,13,5.9,2,114.9,75.0,15,0.371,70,0.3,21,0.18600000000000003,13,0.5379999999999999,7,13,200,88.1,35.3,18,12,59,,11.9,8,0.386,27,0.37,10,46.5,33,0.387,10.6,9,43,0.256,11,0.5,13,"February 21, 2019",57.1,16,18.6,8,88.1,64.7,33,0.653,49,0.5710000000000001,28,0.306,15,0.867,13,12,200,114.9,25.0,5,13,77,,9.0,6,0.306,15,0.5329999999999999,8,53.5,38,0.6859999999999999,22.3,16,34,0.588,20,0.52,13,"Moody Coliseum, Dallas, Texas",CONNECTICUT,UConn,67.2,Home,SOUTHERN-METHODIST,SMU,Connecticut,aac,25,False,False,False,Away,False,10,11,70,33,71,8,20,49,0,1,196,500,1523,0.5213394615889692,816,1533,0.5322896281800391,152,458,1386,0.494949494949495,0.52
26,2019-02-24-14-connecticut,50.0,11,10.3,4,93.8,67.6,23,0.462,53,0.415,22,0.302,16,0.938,15,4,200,100.0,53.8,14,23,64,,9.4,6,0.302,16,0.313,5,61.7,37,0.528,21.0,16,37,0.45899999999999996,17,0.852,23,"February 24, 2019",31.8,7,13.5,5,100.0,46.2,12,0.42,56,0.39299999999999996,22,0.375,21,0.619,13,14,200,93.8,32.4,11,14,60,,7.8,5,0.304,17,0.17600000000000002,3,38.3,23,0.455,14.4,11,39,0.48700000000000004,19,0.48100000000000004,13,"Harry A. Gampel Pavilion, Storrs, Connecticut",CONNECTICUT,UConn,64.3,Away,CINCINNATI,Cincinnati,Connecticut,aac,26,False,True,True,Home,False,3,19,56,23,60,5,17,53,0,1,206,511,1593,0.514752040175769,849,1604,0.5293017456359103,160,478,1435,0.5003484320557491,0.5
