,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,PRESBYTERIAN_homegame,PRESBYTERIAN_homegame2,PRESBYTERIAN_home,PRESBYTERIAN_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-15-14-presbyterian,71.4,10,7.7,2,126.1,60.6,20,0.358,53,0.264,14,0.28300000000000003,15,0.4,6,0,200,63.8,14.6,6,23,44,,8.7,6,0.585,31,0.32299999999999995,10,35.1,26,0.366,19.0,14,22,0.182,4,0.0,0,"December 15, 2018",57.1,16,9.1,2,63.8,85.4,35,0.593,59,0.475,28,0.525,31,0.5479999999999999,17,5,200,126.1,39.4,13,13,87,,7.2,5,0.5589999999999999,33,0.424,14,64.9,48,0.59,12.1,10,26,0.5379999999999999,14,0.545,6,"Ross E.Templeton Center, Clinton, South Carolina","Trinity Baptist
			","Trinity Baptist
			",69.4,Home,PRESBYTERIAN,Presbyterian,Presbyterian,big-south,10,True,False,True,Home,True,14,14,59,48,74,10,4,53,1,0,116,177,631,0.5562599049128367,315,659,0.4779969650986343,83,170,595,0.49495798319327733,0.5
11,2018-12-18-20-butler,58.3,14,2.7,1,111.8,76.0,19,0.528,54,0.444,24,0.24100000000000002,13,0.769,10,6,200,98.5,21.4,6,14,67,,8.8,6,0.444,24,0.375,9,47.2,25,0.557,17.9,13,30,0.5,15,0.5,6,"December 18, 2018",56.7,17,6.7,2,98.5,78.6,22,0.609,55,0.545,30,0.255,14,0.643,9,3,200,111.8,24.0,6,13,76,,10.3,7,0.327,18,0.389,7,52.8,28,0.616,17.5,13,37,0.622,23,0.727,8,"Hinkle Fieldhouse, Indianapolis, Indiana",PRESBYTERIAN,Presbyterian,67.9,Home,BUTLER,Butler,Presbyterian,big-south,11,False,False,False,Away,False,9,15,54,25,53,7,23,55,0,1,130,191,690,0.5594202898550724,363,733,0.495225102319236,93,174,648,0.4837962962962963,0.5454545454545454
12,2018-12-22-14-dayton,52.0,13,5.4,2,114.1,80.0,20,0.444,72,0.34700000000000003,25,0.09699999999999999,7,0.7140000000000001,5,7,200,97.2,26.2,11,15,69,,5.6,4,0.569,41,0.341,14,46.3,31,0.45799999999999996,9.6,8,31,0.355,11,0.462,6,"December 22, 2018",48.5,16,16.1,5,97.2,73.8,31,0.645,55,0.6,33,0.255,14,0.7140000000000001,10,5,200,114.1,20.0,5,10,81,,5.6,4,0.327,18,0.278,5,53.7,36,0.657,17.5,13,37,0.757,28,0.583,7,"University of Dayton Arena, Dayton, Ohio",PRESBYTERIAN,Presbyterian,71.0,Home,DAYTON,Dayton,Presbyterian,big-south,12,False,False,False,Away,False,14,11,72,31,67,5,28,55,0,1,139,206,744,0.5571236559139785,388,786,0.49363867684478374,100,197,703,0.49359886201991465,0.5
13,2018-12-30-14-jacksonville,36.0,9,6.7,2,103.1,71.4,20,0.467,60,0.41700000000000004,25,0.36700000000000005,22,0.727,16,7,200,110.8,34.3,12,19,72,,12.3,8,0.317,19,0.316,6,50.8,32,0.511,7.9,6,41,0.46299999999999997,19,0.5,7,"December 30, 2018",72.0,18,12.2,5,110.8,65.7,23,0.547,53,0.47200000000000003,25,0.245,13,0.6920000000000001,9,8,200,103.1,28.6,8,18,67,,1.5,1,0.434,23,0.348,8,49.2,31,0.5660000000000001,20.3,15,30,0.5670000000000001,17,0.467,7,"Swisher Gymnasium, Jacksonville, Florida",JACKSONVILLE,Jacksonville,65.3,Away,PRESBYTERIAN,Presbyterian,Presbyterian,big-south,13,False,False,False,Away,True,6,19,60,32,63,8,17,53,1,0,153,217,816,0.5471813725490197,419,853,0.4912075029308324,105,225,758,0.5046174142480211,0.46153846153846156
14,2019-01-02-18-south-carolina-state,22.2,6,3.7,1,109.4,62.5,15,0.593,54,0.5,27,0.204,11,0.727,8,7,200,112.5,21.4,6,27,72,,4.7,3,0.426,23,0.435,10,40.4,21,0.608,10.6,7,31,0.5479999999999999,17,0.5329999999999999,8,"January 2, 2019",45.0,9,0.0,0,112.5,78.6,22,0.523,43,0.465,20,0.8370000000000001,36,0.6940000000000001,25,14,200,109.4,37.5,9,17,70,,1.6,1,0.37200000000000005,16,0.313,5,59.6,31,0.5820000000000001,22.4,17,27,0.556,15,0.125,2,"SHM Memorial Center, Orangeburg, South Carolina",SOUTH-CAROLINA-STATE,South Carolina State,64.2,Away,PRESBYTERIAN,Presbyterian,Presbyterian,big-south,14,False,False,False,Away,True,10,17,54,21,52,5,15,43,1,0,159,236,876,0.5416666666666666,451,916,0.4923580786026201,113,242,811,0.5073982737361282,0.5
15,2019-01-05-16-presbyterian,39.1,9,9.7,3,92.8,78.3,18,0.48200000000000004,57,0.40399999999999997,23,0.12300000000000001,7,0.857,6,11,200,88.4,10.0,3,23,61,,11.6,8,0.526,30,0.3,9,39.6,21,0.506,16.6,12,27,0.519,14,0.312,5,"January 5, 2019",33.3,6,11.1,3,88.4,90.0,27,0.45299999999999996,43,0.419,18,0.767,33,0.758,25,7,200,92.8,21.7,5,13,64,,7.2,5,0.27899999999999997,12,0.25,3,60.4,32,0.545,20.7,15,31,0.484,15,0.562,9,"Ross E.Templeton Center, Clinton, South Carolina",SOUTH-CAROLINA-UPSTATE,USC Upstate,69.0,Home,PRESBYTERIAN,Presbyterian,Presbyterian,big-south,15,True,False,True,Home,True,3,15,43,32,53,9,14,57,1,0,169,253,930,0.5446236559139785,472,968,0.48760330578512395,118,257,854,0.5081967213114754,0.5333333333333333
16,2019-01-10-19-high-point,65.0,13,0.0,0,105.7,67.6,25,0.39299999999999996,61,0.32799999999999996,20,0.213,13,0.769,10,8,200,82.9,12.8,5,16,58,,11.4,8,0.541,33,0.242,8,39.5,30,0.43200000000000005,11.9,9,28,0.429,12,0.529,9,"January 10, 2019",50.0,13,3.6,1,82.9,87.2,34,0.518,57,0.456,26,0.439,25,0.6,15,7,200,105.7,32.4,12,13,74,,5.7,4,0.40399999999999997,23,0.304,7,60.5,46,0.537,13.9,11,34,0.5589999999999999,19,0.562,9,"Millis Center, High Point, North Carolina",PRESBYTERIAN,Presbyterian,69.5,Home,HIGH-POINT,High Point,Presbyterian,big-south,16,False,False,False,Away,False,8,12,61,30,76,7,19,57,0,1,172,268,973,0.5405960945529291,504,1021,0.49363369245837413,127,271,911,0.5065861690450055,0.5625
17,2019-01-12-16-radford,63.0,17,11.1,2,109.7,87.0,20,0.563,56,0.48200000000000004,27,0.33899999999999997,19,0.737,14,9,200,106.9,25.0,7,19,77,,13.9,10,0.46399999999999997,26,0.34600000000000003,9,52.9,27,0.5920000000000001,18.9,15,30,0.6,18,0.5,9,"January 12, 2019",66.7,16,10.0,3,106.9,75.0,21,0.66,47,0.511,24,0.447,21,0.81,17,6,200,109.7,13.0,3,16,79,,8.3,6,0.617,29,0.483,14,47.1,24,0.693,22.1,16,18,0.556,10,0.647,11,"Donald N. Dedmon Center, Radford, Virginia",PRESBYTERIAN,Presbyterian,71.5,Home,RADFORD,Radford,Presbyterian,big-south,17,False,False,False,Away,False,9,18,56,27,51,14,10,47,0,1,180,280,1034,0.5319148936170213,534,1097,0.48678213309024615,134,290,968,0.5072314049586777,0.5294117647058824
18,2019-01-16-19-presbyterian,37.0,10,0.0,0,110.4,80.0,24,0.5,61,0.44299999999999995,27,0.213,13,0.6920000000000001,9,9,200,90.9,6.3,2,18,70,,6.5,5,0.361,22,0.318,7,41.9,26,0.521,16.3,13,39,0.513,20,0.43799999999999994,7,"January 16, 2019",41.4,12,5.1,2,90.9,93.8,30,0.5670000000000001,60,0.483,29,0.38299999999999995,23,0.7390000000000001,17,9,200,110.4,20.0,6,15,85,,7.8,6,0.45,27,0.37,10,58.1,36,0.599,13.6,11,33,0.5760000000000001,19,0.526,10,"Ross E.Templeton Center, Clinton, South Carolina",HAMPTON,Hampton,77.1,Home,PRESBYTERIAN,Presbyterian,Presbyterian,big-south,18,True,False,True,Home,True,10,19,60,36,62,7,20,61,1,0,189,298,1090,0.5334862385321101,561,1148,0.4886759581881533,148,300,1015,0.5142857142857142,0.5
19,2019-01-19-16-presbyterian,45.0,9,3.6,1,104.4,75.0,27,0.43799999999999994,56,0.35700000000000004,20,0.41100000000000003,23,0.652,15,8,200,94.1,19.4,7,17,64,,5.9,4,0.625,35,0.257,9,47.2,34,0.478,10.8,8,21,0.524,11,0.6,12,"January 19, 2019",47.8,11,0.0,0,94.1,80.6,29,0.474,57,0.40399999999999997,23,0.42100000000000004,24,0.708,17,9,200,104.4,25.0,9,18,71,,2.9,2,0.509,29,0.276,8,52.8,38,0.519,10.6,8,28,0.536,15,0.55,11,"Ross E.Templeton Center, Clinton, South Carolina",LONGWOOD,Longwood,67.7,Home,PRESBYTERIAN,Presbyterian,Presbyterian,big-south,19,True,False,True,Home,True,8,15,57,38,72,9,11,56,1,0,199,317,1150,0.5352173913043479,597,1210,0.4933884297520661,155,320,1076,0.5134758364312267,0.5263157894736842
20,2019-01-21-16-south-carolina-upstate,65.0,13,3.0,1,90.8,71.9,23,0.58,44,0.455,20,0.591,26,0.654,17,9,200,104.6,14.8,4,13,68,,7.7,5,0.523,23,0.478,11,45.8,27,0.603,16.6,11,21,0.429,9,0.5710000000000001,12,"January 21, 2019",70.0,14,9.5,2,104.6,85.2,23,0.43799999999999994,56,0.35700000000000004,20,0.321,18,0.556,10,16,200,90.8,28.1,9,21,59,,4.6,3,0.41100000000000003,23,0.391,9,54.2,32,0.457,15.8,12,33,0.33299999999999996,11,0.23800000000000002,5,"G.B. Hodge Center, Spartanburg, South Carolina",SOUTH-CAROLINA-UPSTATE,USC Upstate,65.5,Away,PRESBYTERIAN,Presbyterian,Presbyterian,big-south,20,False,False,False,Away,True,11,9,44,27,59,9,11,56,1,0,207,332,1207,0.5323115161557581,635,1282,0.4953198127925117,164,331,1132,0.5097173144876325,0.55
21,2019-01-24-19-campbell,70.8,17,0.0,0,124.2,80.0,24,0.5660000000000001,53,0.45299999999999996,24,0.321,17,0.765,13,10,200,117.7,20.7,6,11,73,,3.2,2,0.509,27,0.444,12,50.8,30,0.598,11.7,8,26,0.462,12,0.545,12,"January 24, 2019",56.7,17,7.7,2,117.7,79.3,23,0.595,58,0.517,30,0.19,11,0.727,8,8,200,124.2,20.0,6,13,77,,6.5,4,0.414,24,0.375,9,49.2,29,0.609,6.0,4,34,0.618,21,0.579,11,"John W. Pope Jr. Convocation Center, Buies Creek, North Carolina",PRESBYTERIAN,Presbyterian,62.2,Home,CAMPBELL,Campbell,Presbyterian,big-south,21,False,False,False,Away,False,12,12,53,30,59,9,21,58,0,1,218,341,1251,0.533972821742606,662,1341,0.4936614466815809,173,342,1188,0.5063131313131313,0.5714285714285714
22,2019-01-26-16-presbyterian,51.5,17,3.3,1,135.6,64.5,20,0.635,63,0.524,33,0.20600000000000002,13,0.846,11,7,200,124.7,38.5,10,25,91,,1.4,1,0.5710000000000001,36,0.389,14,52.6,30,0.6579999999999999,18.9,16,27,0.7040000000000001,19,0.667,14,"January 26, 2019",59.4,19,3.7,1,124.7,61.5,16,0.653,59,0.542,32,0.5589999999999999,33,0.667,22,10,200,135.6,35.5,11,16,99,,5.5,4,0.49200000000000005,29,0.44799999999999995,13,47.4,27,0.6629999999999999,9.8,8,30,0.633,19,0.565,13,"Ross E.Templeton Center, Clinton, South Carolina",WINTHROP,Winthrop,73.4,Home,PRESBYTERIAN,Presbyterian,Presbyterian,big-south,22,True,False,True,Home,True,13,19,59,27,57,14,19,63,1,0,230,353,1304,0.5352760736196319,692,1400,0.4942857142857143,182,363,1246,0.5104333868378812,0.5454545454545454
23,2019-01-30-19-charleston-southern,84.0,21,11.1,3,126.9,75.9,22,0.627,51,0.49,25,0.529,27,0.741,20,11,200,125.4,32.0,8,16,84,,4.5,3,0.569,29,0.483,14,55.6,30,0.6579999999999999,13.7,10,22,0.5,11,0.542,13,"January 30, 2019",66.7,20,18.2,4,125.4,68.0,17,0.653,59,0.508,30,0.271,16,0.5,8,11,200,126.9,24.1,7,22,85,,9.0,6,0.542,32,0.531,17,44.4,24,0.638,12.0,9,27,0.48100000000000004,13,0.45,9,"CSU Fieldhouse, Charleston, South Carolina",PRESBYTERIAN,Presbyterian,67.2,Home,CHARLESTON-SOUTHERN,Charleston Southern,Presbyterian,big-south,23,False,False,False,Away,False,14,11,51,30,54,17,13,59,0,1,243,372,1363,0.5403521643433602,719,1457,0.4934797529169526,196,382,1309,0.5164247517188694,0.5652173913043478
24,2019-02-07-19-presbyterian,28.6,4,0.0,0,109.8,75.0,18,0.413,40,0.35,14,0.45,18,0.611,11,21,200,72.1,30.8,8,10,44,,4.9,3,0.425,17,0.294,5,52.0,26,0.45299999999999996,30.5,21,23,0.391,9,0.125,3,"February 7, 2019",88.5,23,0.0,0,72.1,69.2,18,0.585,53,0.491,26,0.113,6,0.833,5,11,200,109.8,25.0,6,17,67,,11.5,7,0.585,31,0.32299999999999995,10,48.0,24,0.6,15.2,10,22,0.727,16,0.56,14,"Ross E.Templeton Center, Clinton, South Carolina",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,60.7,Home,PRESBYTERIAN,Presbyterian,Presbyterian,big-south,24,True,False,True,Home,True,10,16,53,24,50,5,9,40,1,0,257,383,1414,0.5434936350777935,749,1511,0.4956982131039047,213,395,1368,0.5222953216374269,0.5416666666666666
25,2019-02-09-16-presbyterian,40.6,13,0.0,0,121.2,80.0,24,0.667,57,0.561,32,0.561,32,0.7809999999999999,25,10,225,118.8,18.5,5,18,101,,7.1,6,0.474,27,0.444,12,50.9,29,0.6990000000000001,19.3,17,30,0.667,20,0.6,15,"February 9, 2019",58.3,21,3.3,1,118.8,81.5,22,0.609,69,0.522,36,0.348,24,0.792,19,11,225,121.2,20.0,6,22,103,,11.8,10,0.478,33,0.364,12,49.1,28,0.6409999999999999,13.1,12,36,0.667,24,0.5770000000000001,15,"Ross E.Templeton Center, Clinton, South Carolina",GARDNER-WEBB,Gardner-Webb,75.8,Home,PRESBYTERIAN,Presbyterian,Presbyterian,big-south,25,True,False,True,Home,True,12,24,69,28,57,12,20,57,1,0,267,399,1467,0.5449897750511248,773,1561,0.4951953875720692,218,404,1408,0.5191761363636364,0.56
26,2019-02-13-19-winthrop,55.6,15,14.7,5,122.4,67.6,23,0.478,69,0.391,27,0.29,20,0.95,19,12,200,111.8,27.0,10,19,85,,6.6,5,0.449,31,0.387,12,46.5,33,0.541,9.3,8,38,0.395,15,0.556,15,"February 13, 2019",48.5,16,2.6,1,111.8,73.0,27,0.617,64,0.516,33,0.32799999999999996,21,0.667,14,8,200,122.4,32.4,11,17,93,,3.9,3,0.469,30,0.433,13,53.5,38,0.629,15.1,13,34,0.588,20,0.68,17,"Winthrop Coliseum, Rock Hill, South Carolina",PRESBYTERIAN,Presbyterian,76.2,Home,WINTHROP,Winthrop,Presbyterian,big-south,26,False,False,False,Away,False,12,15,69,33,71,13,20,64,0,1,279,423,1536,0.5478515625,801,1618,0.49505562422744126,230,424,1465,0.5249146757679181,0.5769230769230769
