,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,FLORIDA-STATE_homegame,FLORIDA-STATE_homegame2,FLORIDA-STATE_home,FLORIDA-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-19-19-florida-state,44.4,12,1.8,1,123.4,56.3,18,0.593,54,0.5,27,0.48100000000000004,26,0.654,17,8,200,105.2,31.0,9,15,81,,2.6,2,0.46299999999999997,25,0.4,10,44.3,27,0.61,22.5,19,29,0.586,17,0.385,5,"December 19, 2018",42.5,17,10.3,3,105.2,69.0,20,0.525,79,0.506,40,0.165,13,0.9229999999999999,12,1,200,123.4,43.8,14,20,95,11.0,14.3,11,0.29100000000000004,23,0.13,3,55.7,34,0.5579999999999999,6.6,6,56,0.6609999999999999,37,0.909,10,"Donald L. Tucker Center, Tallahassee, Florida",NORTH-FLORIDA,North Florida,76.8,Home,FLORIDA-STATE,Florida State,Florida State,acc,10,True,False,True,Home,True,3,37,79,34,61,10,17,54,1,0,73,196,588,0.5195578231292517,342,597,0.5728643216080402,75,152,534,0.4953183520599251,0.9
11,2018-12-22-14-florida-state,26.3,5,10.5,4,111.0,70.8,17,0.325,63,0.302,19,0.397,25,0.72,18,4,200,80.8,42.2,19,11,59,,16.4,12,0.222,14,0.214,3,52.2,36,0.39399999999999996,18.7,17,49,0.327,16,0.667,8,"December 22, 2018",41.9,13,6.1,3,80.8,57.8,26,0.643,56,0.5539999999999999,31,0.196,11,0.818,9,1,200,111.0,29.2,7,21,81,11.0,13.7,10,0.321,18,0.556,10,47.8,33,0.6609999999999999,23.8,19,38,0.5529999999999999,21,0.917,11,"BB&T Center, Sunrise, Florida",SAINT-LOUIS,Saint Louis,73.1,Home,FLORIDA-STATE,Florida State,Florida State,acc,11,True,False,True,Home,True,10,21,56,33,69,3,16,63,1,0,76,233,667,0.52023988005997,376,658,0.5714285714285714,85,169,588,0.5042517006802721,0.9090909090909091
12,2019-01-01-14-florida-state,24.1,7,11.9,5,108.8,68.8,22,0.542,59,0.49200000000000005,29,0.322,19,0.632,12,5,200,95.0,25.0,7,22,76,,1.3,1,0.39,23,0.261,6,48.3,29,0.5589999999999999,23.8,21,36,0.639,23,0.615,8,"January 1, 2019",36.7,11,22.2,8,95.0,75.0,21,0.531,64,0.469,30,0.45299999999999996,29,0.655,19,1,200,108.8,31.3,10,19,87,9.0,16.3,13,0.344,22,0.364,8,51.7,31,0.5589999999999999,12.5,11,42,0.524,22,0.9229999999999999,12,"Donald L. Tucker Center, Tallahassee, Florida",WINTHROP,Winthrop,80.4,Home,FLORIDA-STATE,Florida State,Florida State,acc,12,True,False,True,Home,True,8,22,64,31,60,6,23,59,1,0,86,254,723,0.5297372060857538,409,727,0.562585969738652,88,185,651,0.4869431643625192,0.9166666666666666
13,2019-01-05-15-virginia,53.3,8,16.7,6,101.6,79.3,23,0.409,44,0.341,15,0.614,27,0.593,16,2,200,81.3,18.8,6,19,52,9.0,14.1,9,0.523,23,0.261,6,47.5,29,0.45799999999999996,18.9,13,21,0.429,9,0.857,12,"January 5, 2019",57.1,12,9.5,2,81.3,81.3,26,0.47100000000000003,52,0.40399999999999997,21,0.34600000000000003,18,0.889,16,0,200,101.6,20.7,6,16,65,4.0,6.3,4,0.308,16,0.43799999999999994,7,52.5,32,0.537,14.3,10,36,0.389,14,1.0,13,"John Paul Jones Arena, Charlottesville, Virginia",FLORIDA-STATE,Florida State,64.2,Home,VIRGINIA,Virginia,Florida State,acc,13,False,False,False,Away,False,6,9,44,29,61,7,14,52,0,1,94,276,787,0.5298602287166455,440,787,0.5590851334180432,94,208,710,0.4915492957746479,0.9230769230769231
14,2019-01-09-21-florida-state,50.0,10,0.0,0,100.0,65.6,21,0.40700000000000003,54,0.37,20,0.40700000000000003,22,0.818,18,7,200,91.2,22.9,8,15,62,,4.4,3,0.33299999999999996,18,0.222,4,43.3,29,0.48100000000000004,15.9,12,36,0.444,16,0.5329999999999999,8,"January 9, 2019",55.6,15,8.3,3,91.2,77.1,27,0.469,64,0.42200000000000004,27,0.203,13,0.615,8,2,200,100.0,34.4,11,20,68,13.0,10.3,7,0.406,26,0.231,6,56.7,38,0.485,11.4,9,38,0.5529999999999999,21,0.867,13,"Donald L. Tucker Center, Tallahassee, Florida",MIAMI-FL,Miami (FL),68.3,Home,FLORIDA-STATE,Florida State,Florida State,acc,14,True,False,True,Home,True,6,21,64,38,67,4,16,54,1,0,100,285,831,0.5234657039711191,469,848,0.5530660377358491,101,222,762,0.49015748031496065,0.8571428571428571
15,2019-01-12-14-florida-state,46.7,14,8.1,3,102.6,52.9,18,0.546,65,0.462,30,0.231,15,0.6,9,1,200,105.3,31.0,9,15,80,1.0,9.2,7,0.369,24,0.45799999999999996,11,42.9,27,0.555,16.4,14,41,0.46299999999999997,19,0.9329999999999999,14,"January 12, 2019",64.0,16,17.1,7,105.3,69.0,20,0.46799999999999997,62,0.40299999999999997,25,0.387,24,0.833,20,3,200,102.6,47.1,16,14,78,13.0,10.5,8,0.40299999999999997,25,0.32,8,57.1,36,0.531,19.0,17,37,0.45899999999999996,17,0.812,13,"Donald L. Tucker Center, Tallahassee, Florida",FLORIDA-STATE,Florida State,75.8,Away,DUKE,Duke,Florida State,acc,15,False,True,True,Home,False,8,17,62,36,63,11,19,65,0,1,106,306,895,0.5195530726256983,507,915,0.5540983606557377,105,238,816,0.4846813725490196,0.8666666666666667
16,2019-01-14-19-pittsburgh,40.0,8,27.6,8,105.6,77.4,24,0.36200000000000004,58,0.345,20,0.466,27,0.741,20,4,200,87.3,34.1,14,31,62,11.0,9.9,7,0.379,22,0.091,2,52.8,38,0.43799999999999994,14.7,12,36,0.5,18,0.765,13,"January 14, 2019",50.0,8,16.7,6,87.3,65.9,27,0.402,46,0.348,16,1.0,46,0.826,38,5,200,105.6,22.6,7,19,75,,9.9,7,0.37,17,0.294,5,47.2,34,0.5529999999999999,15.3,12,29,0.379,11,0.706,12,"Petersen Events Center, Pittsburgh, Pennsylvania",FLORIDA-STATE,Florida State,70.8,Home,PITTSBURGH,Pitt,Florida State,acc,16,False,False,False,Away,False,2,18,58,38,72,5,11,46,0,1,114,323,957,0.51619644723093,543,978,0.5552147239263804,116,257,881,0.489216799091941,0.8125
17,2019-01-20-12-boston-college,42.9,12,11.8,4,122.5,66.7,20,0.478,67,0.418,28,0.358,24,0.75,18,5,200,115.5,41.0,16,25,82,11.0,5.6,4,0.373,25,0.32,8,52.2,36,0.523,10.4,9,42,0.47600000000000003,20,0.722,13,"January 20, 2019",59.3,16,9.5,4,115.5,59.0,23,0.609,55,0.491,27,0.509,28,0.7140000000000001,20,7,200,122.5,33.3,10,20,87,,8.5,6,0.382,21,0.619,13,47.8,33,0.637,16.2,13,34,0.41200000000000003,14,0.588,10,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",FLORIDA-STATE,Florida State,71.4,Home,BOSTON-COLLEGE,Boston College,Florida State,acc,17,False,False,False,Away,False,8,20,67,36,69,13,14,55,0,1,116,341,1015,0.5073891625615764,581,1050,0.5533333333333333,121,268,927,0.4848975188781014,0.7647058823529411
18,2019-01-22-19-florida-state,50.0,13,3.0,1,111.6,83.3,25,0.491,58,0.44799999999999995,26,0.24100000000000002,14,0.7859999999999999,11,7,200,98.6,20.7,6,17,68,,1.4,1,0.293,17,0.294,5,52.5,31,0.526,14.6,11,41,0.512,21,0.611,11,"January 22, 2019",56.0,14,2.4,1,98.6,79.3,23,0.545,55,0.455,25,0.382,21,0.81,17,5,200,111.6,16.7,5,15,77,,1.4,1,0.4,22,0.455,10,47.5,28,0.593,11.1,8,33,0.455,15,0.737,14,"Donald L. Tucker Center, Tallahassee, Florida",CLEMSON,Clemson,68.8,Home,FLORIDA-STATE,Florida State,Florida State,acc,18,True,False,True,Home,True,10,15,55,28,59,5,21,58,1,0,124,361,1082,0.5055452865064695,617,1119,0.5513851653261841,134,282,982,0.49185336048879835,0.7222222222222222
19,2019-01-27-18-miami-fl,71.4,20,15.4,4,98.5,84.4,27,0.68,50,0.56,28,0.28,14,0.7140000000000001,10,5,200,116.4,21.7,5,17,78,,7.5,5,0.4,20,0.6,12,58.2,32,0.688,20.0,14,30,0.5329999999999999,16,0.75,15,"January 27, 2019",47.8,11,10.0,3,116.4,78.3,18,0.48200000000000004,55,0.418,23,0.327,18,0.722,13,10,200,98.5,15.6,5,17,66,,7.5,5,0.527,29,0.24100000000000002,7,41.8,23,0.519,12.5,9,26,0.615,16,0.474,9,"BankUnited Center, Coral Gables, Florida",MIAMI-FL,Miami (FL),66.6,Away,FLORIDA-STATE,Florida State,Florida State,acc,19,False,False,False,Away,True,12,16,50,32,55,7,16,55,1,0,134,376,1137,0.5074758135444152,645,1178,0.5475382003395586,139,303,1040,0.49182692307692305,0.7368421052631579
20,2019-02-02-12-florida-state,29.4,5,6.7,2,84.3,77.8,21,0.308,60,0.28300000000000003,17,0.233,14,0.857,12,11,200,70.0,23.7,9,23,49,,4.3,3,0.35,21,0.14300000000000002,3,46.2,30,0.368,17.5,14,39,0.359,14,0.5,11,"February 2, 2019",62.5,10,12.8,5,70.0,76.3,29,0.391,46,0.348,16,0.652,30,0.767,23,5,200,84.3,22.2,6,19,59,25.0,7.1,5,0.348,16,0.25,4,53.8,35,0.49,19.1,14,30,0.4,12,0.762,16,"Donald L. Tucker Center, Tallahassee, Florida",GEORGIA-TECH,Georgia Tech,70.0,Home,FLORIDA-STATE,Florida State,Florida State,acc,20,True,False,True,Home,True,4,12,46,35,65,3,14,60,1,0,146,392,1187,0.514743049705139,677,1233,0.5490673154906731,146,319,1095,0.491324200913242,0.75
21,2019-02-05-20-syracuse,83.3,25,9.7,3,84.9,71.9,23,0.645,55,0.545,30,0.218,12,0.75,9,5,200,109.6,30.8,8,21,80,22.0,15.1,11,0.4,22,0.5,11,53.4,31,0.659,25.8,21,33,0.5760000000000001,19,0.773,17,"February 5, 2019",33.3,7,21.2,7,109.6,69.2,18,0.461,51,0.41200000000000003,21,0.47100000000000003,24,0.625,15,7,200,84.9,28.1,9,14,62,,12.3,9,0.392,20,0.25,5,46.6,27,0.49700000000000005,23.6,19,31,0.516,16,0.696,16,"Carrier Dome, Syracuse, New York",SYRACUSE,Syracuse,73.1,Away,FLORIDA-STATE,Florida State,Florida State,acc,21,False,False,False,Away,True,11,19,55,31,58,5,16,51,1,0,150,404,1233,0.5101378751013788,712,1298,0.5485362095531587,149,333,1155,0.4818181818181818,0.7619047619047619
22,2019-02-09-16-florida-state,48.0,12,2.6,1,106.7,68.4,26,0.596,52,0.48100000000000004,25,0.308,16,0.813,13,7,225,100.0,26.9,7,28,75,16.0,1.3,1,0.5379999999999999,28,0.429,12,51.6,33,0.629,28.0,23,24,0.542,13,0.708,17,"February 9, 2019",26.1,6,8.3,2,100.0,73.1,19,0.434,61,0.377,23,0.59,36,0.75,27,5,225,106.7,31.6,12,21,80,22.0,14.7,11,0.377,23,0.304,7,48.4,31,0.512,9.4,8,38,0.42100000000000004,16,0.7829999999999999,18,"Donald L. Tucker Center, Tallahassee, Florida",LOUISVILLE,Louisville,66.5,Home,FLORIDA-STATE,Florida State,Florida State,acc,22,True,False,True,Home,True,7,16,61,31,64,12,13,52,1,0,161,423,1288,0.515916149068323,743,1356,0.5479351032448377,154,349,1206,0.48092868988391374,0.7727272727272727
23,2019-02-13-19-florida-state,59.1,13,8.3,3,129.4,62.5,20,0.48200000000000004,57,0.386,22,0.298,17,0.647,11,14,200,97.1,14.7,5,16,66,,4.4,3,0.439,25,0.44,11,37.9,25,0.507,12.2,9,32,0.344,11,0.391,9,"February 13, 2019",60.0,21,18.8,6,97.1,85.3,29,0.645,62,0.565,35,0.258,16,0.5,8,5,200,129.4,37.5,12,16,88,17.0,10.3,7,0.419,26,0.385,10,62.1,41,0.632,11.5,9,36,0.6940000000000001,25,0.792,19,"Donald L. Tucker Center, Tallahassee, Florida",WAKE-FOREST,Wake Forest,67.8,Home,FLORIDA-STATE,Florida State,Florida State,acc,23,True,False,True,Home,True,10,25,62,41,66,11,11,57,1,0,168,439,1349,0.5122312824314307,774,1420,0.5450704225352113,166,362,1258,0.48569157392686807,0.782608695652174
24,2019-02-16-14-georgia-tech,68.0,17,16.7,6,64.4,86.4,38,0.461,64,0.391,25,0.21899999999999997,14,0.7140000000000001,10,5,200,94.5,24.4,10,17,69,17.0,9.6,7,0.469,30,0.3,9,56.5,48,0.488,16.6,14,34,0.47100000000000003,16,0.8,20,"February 16, 2019",56.3,9,8.8,3,94.5,75.6,31,0.33899999999999997,59,0.271,16,0.18600000000000003,11,0.636,7,15,200,64.4,13.6,6,10,47,,9.6,7,0.39,23,0.348,8,43.5,37,0.366,18.0,14,36,0.222,8,0.423,11,"McCamish Pavilion, Atlanta, Georgia",GEORGIA-TECH,Georgia Tech,73.4,Away,FLORIDA-STATE,Florida State,Florida State,acc,24,False,False,False,Away,True,9,16,64,48,85,8,8,59,1,0,178,464,1411,0.5180722891566265,815,1486,0.5484522207267833,177,373,1315,0.48555133079847906,0.7916666666666666
25,2019-02-19-21-clemson,41.4,12,10.8,4,88.9,82.1,32,0.542,60,0.483,29,0.28300000000000003,17,0.706,12,5,200,106.9,27.6,8,21,77,16.0,5.6,4,0.3,18,0.389,7,58.8,40,0.5660000000000001,15.1,12,42,0.524,22,0.8079999999999999,21,"February 19, 2019",47.8,11,9.5,4,106.9,72.4,21,0.45,60,0.38299999999999995,23,0.267,16,0.625,10,11,200,88.9,17.9,7,18,64,,6.9,5,0.38299999999999995,23,0.348,8,41.2,28,0.473,14.1,11,37,0.405,15,0.5770000000000001,15,"Littlejohn Coliseum, Clemson, South Carolina",CLEMSON,Clemson,71.8,Away,FLORIDA-STATE,Florida State,Florida State,acc,25,False,False,False,Away,True,7,22,60,40,68,8,15,60,1,0,187,480,1475,0.515593220338983,863,1571,0.5493316359007002,185,381,1374,0.47925764192139736,0.8
26,2019-02-23-15-north-carolina,72.2,13,19.5,8,105.5,75.8,25,0.39,59,0.305,18,0.271,16,0.813,13,6,200,80.8,15.0,6,18,59,16.0,8.2,6,0.525,31,0.32299999999999995,10,42.5,31,0.44299999999999995,13.2,10,28,0.28600000000000003,8,0.778,21,"February 23, 2019",42.3,11,10.7,3,80.8,85.0,34,0.484,61,0.426,26,0.41,25,0.72,18,5,200,105.5,24.2,8,15,77,8.0,4.1,3,0.32799999999999996,20,0.35,7,57.5,42,0.528,12.2,10,41,0.46299999999999997,19,0.815,22,"Dean Smith Center, Chapel Hill, North Carolina",FLORIDA-STATE,Florida State,72.7,Home,NORTH-CAROLINA,UNC,Florida State,acc,26,False,False,False,Away,False,10,8,59,31,73,7,19,61,0,1,194,502,1535,0.5166123778501629,903,1639,0.5509456985967053,193,396,1434,0.4780334728033473,0.8076923076923077
