,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MOUNT-ST-MARYS_homegame,MOUNT-ST-MARYS_homegame2,MOUNT-ST-MARYS_home,MOUNT-ST-MARYS_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-18-19-american,33.3,7,6.7,2,94.8,82.1,23,0.39,59,0.35600000000000004,21,0.237,14,0.7140000000000001,10,9,200,96.6,46.2,18,16,56,,5.2,3,0.305,18,0.222,4,61.2,41,0.42700000000000005,12.1,9,41,0.415,17,0.182,2,"December 18, 2018",30.4,7,4.9,2,96.6,53.8,21,0.462,53,0.434,23,0.17,9,0.667,6,4,200,94.8,17.9,5,12,55,,8.6,5,0.434,23,0.13,3,38.8,26,0.48,10.9,7,30,0.667,20,0.556,5,"Bender Arena, Washington, District of Columbia",AMERICAN,American,58.0,Away,MOUNT-ST-MARYS,Mount St. Mary's,Mount St. Mary's,northeast,10,False,False,False,Away,True,4,17,59,41,67,3,20,53,1,0,75,165,592,0.46875,316,667,0.4737631184407796,90,205,603,0.5638474295190713,0.1
11,2018-12-22-16-mount-st-marys,60.0,9,4.8,2,118.6,40.5,15,0.316,57,0.263,15,0.21100000000000002,12,0.667,8,0,200,62.9,22.9,8,21,44,,8.6,6,0.40399999999999997,23,0.261,6,31.9,23,0.35100000000000003,21.4,17,34,0.265,9,0.0,0,"December 22, 2018",41.4,12,26.5,9,62.9,77.1,27,0.47700000000000004,65,0.446,29,0.369,24,0.875,21,9,200,118.6,59.5,22,15,83,,12.9,9,0.354,23,0.174,4,68.1,49,0.5429999999999999,14.7,13,42,0.595,25,0.25,3,"Knott Arena, Emmitsburg, Maryland","St. Mary's (MD)
			","St. Mary's (MD)
			",69.6,Home,MOUNT-ST-MARYS,Mount St. Mary's,Mount St. Mary's,northeast,11,True,False,True,Home,True,4,25,65,49,72,6,9,57,1,0,79,182,651,0.46159754224270355,357,734,0.48637602179836514,93,225,656,0.555640243902439,0.18181818181818182
12,2018-12-30-16-minnesota,60.0,12,15.2,5,102.9,69.7,23,0.40700000000000003,59,0.33899999999999997,20,0.16899999999999998,10,0.5,5,10,200,76.8,21.6,8,23,53,,5.8,4,0.40700000000000003,24,0.33299999999999996,8,44.3,31,0.41600000000000004,18.1,14,35,0.34299999999999997,12,0.231,3,"December 30, 2018",59.1,13,25.7,9,76.8,78.4,29,0.462,52,0.423,22,0.5770000000000001,30,0.767,23,2,200,102.9,30.3,10,15,71,,8.7,6,0.365,19,0.21100000000000002,4,55.7,39,0.536,15.5,12,33,0.545,18,0.846,11,"Williams Arena, Minneapolis, Minnesota",MOUNT-ST-MARYS,Mount St. Mary's,69.0,Home,MINNESOTA,Minnesota,Mount St. Mary's,northeast,12,False,False,False,Away,False,8,12,59,31,70,4,18,52,0,1,83,207,716,0.46298882681564246,406,806,0.5037220843672456,99,234,713,0.5364656381486677,0.25
13,2019-01-03-19-saint-francis-pa,37.5,9,10.8,4,109.6,70.0,21,0.45299999999999996,64,0.375,24,0.32799999999999996,21,0.524,11,11,200,94.5,23.3,10,16,69,,6.8,5,0.516,33,0.303,10,42.5,31,0.466,12.0,10,31,0.452,14,0.214,3,"January 3, 2019",38.7,12,12.9,4,94.5,76.7,33,0.619,59,0.525,31,0.237,14,0.5,7,7,200,109.6,30.0,9,16,80,,9.6,7,0.373,22,0.5,11,57.5,42,0.609,18.7,15,37,0.541,20,0.41700000000000004,5,"DeGol Arena, Loretto, Pennsylvania",MOUNT-ST-MARYS,Mount St. Mary's,72.8,Home,SAINT-FRANCIS-PA,Saint Francis (PA),Mount St. Mary's,northeast,13,False,False,False,Away,False,10,14,64,31,73,11,20,59,0,1,91,219,775,0.4587096774193548,437,876,0.4988584474885845,103,252,765,0.5313725490196078,0.23076923076923078
14,2019-01-05-17-robert-morris,22.7,5,4.9,2,95.4,53.8,21,0.47100000000000003,51,0.431,22,0.41200000000000003,21,0.524,11,12,200,90.8,21.2,7,21,59,,12.3,8,0.33299999999999996,17,0.235,4,38.9,28,0.484,16.6,12,34,0.529,18,0.2,3,"January 5, 2019",41.7,10,8.8,3,90.8,78.8,26,0.442,60,0.4,24,0.28300000000000003,17,0.529,9,8,200,95.4,46.2,18,21,62,,10.8,7,0.317,19,0.263,5,61.1,44,0.455,16.2,13,41,0.46299999999999997,19,0.467,7,"North Athletic Complex, Pittsburgh, Pennsylvania",MOUNT-ST-MARYS,Mount St. Mary's,64.5,Home,ROBERT-MORRIS,Robert Morris,Mount St. Mary's,northeast,14,False,False,False,Away,False,4,18,51,28,72,5,19,60,0,1,101,233,839,0.4582836710369487,468,949,0.4931506849315068,114,272,824,0.537621359223301,0.21428571428571427
15,2019-01-10-19-mount-st-marys,43.5,10,4.0,1,86.8,84.6,22,0.531,49,0.469,23,0.551,27,0.519,14,9,200,97.1,20.0,6,20,66,,8.8,6,0.36700000000000005,18,0.33299999999999996,6,50.0,28,0.534,15.3,11,31,0.5479999999999999,17,0.35700000000000004,5,"January 10, 2019",40.0,8,16.1,5,97.1,80.0,24,0.45899999999999996,49,0.408,20,0.408,20,0.7,14,13,200,86.8,15.4,4,24,59,,4.4,3,0.49,24,0.20800000000000002,5,50.0,28,0.504,19.5,14,25,0.6,15,0.188,3,"Knott Arena, Emmitsburg, Maryland",MOUNT-ST-MARYS,Mount St. Mary's,67.7,Away,BRYANT,Bryant,Mount St. Mary's,northeast,15,False,True,True,Home,False,5,15,49,28,56,6,17,49,0,1,105,251,890,0.4589887640449438,496,1021,0.48579823702252695,119,291,884,0.5311085972850679,0.2
16,2019-01-12-16-mount-st-marys,60.9,14,4.3,1,100.0,76.5,26,0.542,48,0.479,23,0.625,30,0.833,25,9,200,113.2,45.5,10,18,77,,7.4,5,0.375,18,0.33299999999999996,6,64.3,36,0.618,17.5,13,30,0.5670000000000001,17,0.47100000000000003,8,"January 12, 2019",70.0,14,3.3,1,113.2,54.5,12,0.51,52,0.385,20,0.519,27,0.556,15,14,200,100.0,23.5,8,24,68,,4.4,3,0.5579999999999999,29,0.44799999999999995,13,35.7,20,0.524,16.9,13,23,0.304,7,0.17600000000000002,3,"Knott Arena, Emmitsburg, Maryland",MOUNT-ST-MARYS,Mount St. Mary's,67.5,Away,CENTRAL-CONNECTICUT-STATE,Central Connecticut,Mount St. Mary's,northeast,16,False,True,True,Home,False,13,7,52,20,56,6,17,48,0,1,110,266,939,0.4589989350372737,524,1077,0.48653667595171773,125,308,933,0.5310825294748124,0.1875
17,2019-01-19-16-wagner,50.0,11,13.6,3,87.5,74.1,20,0.589,45,0.489,22,0.556,25,0.68,17,14,200,109.4,16.7,4,14,70,,3.1,2,0.489,22,0.409,9,47.1,24,0.615,16.4,11,23,0.565,13,0.222,4,"January 19, 2019",68.4,13,8.7,2,109.4,83.3,20,0.435,54,0.35200000000000004,19,0.24100000000000002,13,0.6920000000000001,9,8,200,87.5,25.9,7,21,56,,3.1,2,0.593,32,0.281,9,52.9,27,0.465,14.3,10,22,0.455,10,0.5,8,"Spiro Sports Center, Staten Island, New York",WAGNER,Wagner,63.5,Away,MOUNT-ST-MARYS,Mount St. Mary's,Mount St. Mary's,northeast,17,False,False,False,Away,True,9,13,45,24,51,9,10,54,1,0,123,273,991,0.46165489404641774,544,1133,0.4801412180052957,131,325,981,0.5316004077471967,0.17647058823529413
18,2019-01-21-14-fairleigh-dickinson,48.0,12,14.7,5,135.9,62.1,18,0.5479999999999999,52,0.48100000000000004,25,0.365,19,0.632,12,15,200,107.8,28.6,8,15,69,,1.6,1,0.385,20,0.35,7,45.6,26,0.565,17.7,13,32,0.563,18,0.21100000000000002,4,"January 21, 2019",67.7,21,3.1,1,107.8,71.4,20,0.617,60,0.517,31,0.25,15,0.867,13,11,200,135.9,37.9,11,17,87,,12.5,8,0.433,26,0.462,12,54.4,31,0.648,8.3,6,34,0.5589999999999999,19,0.389,7,"Rothman Center, Teaneck, New Jersey",MOUNT-ST-MARYS,Mount St. Mary's,64.1,Home,FAIRLEIGH-DICKINSON,Fairleigh Dickinson,Mount St. Mary's,northeast,18,False,False,False,Away,False,7,18,52,26,57,12,19,60,0,1,132,286,1036,0.4671814671814672,568,1184,0.4797297297297297,140,335,1035,0.5265700483091788,0.2222222222222222
19,2019-01-24-19-mount-st-marys,44.8,13,6.7,2,107.2,77.1,27,0.541,61,0.475,29,0.14800000000000002,9,0.667,6,10,200,104.3,31.0,9,16,72,,4.3,3,0.32799999999999996,20,0.4,8,56.3,36,0.552,16.7,13,41,0.512,21,0.474,9,"January 24, 2019",41.7,10,12.2,5,104.3,69.0,20,0.49200000000000005,59,0.40700000000000003,24,0.322,19,0.8420000000000001,16,15,200,107.2,22.9,8,13,74,,7.2,5,0.49200000000000005,29,0.345,10,43.8,28,0.544,10.6,8,30,0.467,14,0.25,5,"Knott Arena, Emmitsburg, Maryland",LONG-ISLAND-UNIVERSITY,LIU,68.7,Home,MOUNT-ST-MARYS,Mount St. Mary's,Mount St. Mary's,northeast,19,True,False,True,Home,True,10,14,59,28,64,8,21,61,1,0,139,304,1088,0.4710477941176471,594,1241,0.4786462530217567,152,354,1095,0.5315068493150685,0.21052631578947367
20,2019-01-26-17-mount-st-marys,48.3,14,7.1,2,98.5,78.8,26,0.542,59,0.49200000000000005,29,0.22,13,0.769,10,8,200,108.8,33.3,9,18,74,,4.4,3,0.33899999999999997,20,0.3,6,58.3,35,0.568,15.6,12,39,0.59,23,0.619,13,"January 26, 2019",37.5,9,10.3,4,108.8,66.7,18,0.491,58,0.414,24,0.24100000000000002,14,0.7140000000000001,10,16,200,98.5,21.2,7,17,67,,1.5,1,0.517,30,0.3,9,41.7,25,0.518,13.5,10,28,0.536,15,0.23800000000000002,5,"Knott Arena, Emmitsburg, Maryland",MOUNT-ST-MARYS,Mount St. Mary's,67.9,Away,ST-FRANCIS-NY,St. Francis (NY),Mount St. Mary's,northeast,20,False,True,True,Home,False,9,15,58,25,60,6,23,59,0,1,149,318,1147,0.472101133391456,622,1305,0.47662835249042146,160,375,1156,0.5320069204152249,0.25
21,2019-01-31-19-mount-st-marys,50.0,12,18.9,7,105.3,68.6,24,0.527,56,0.429,24,0.607,34,0.8240000000000001,28,13,200,116.0,36.4,12,21,87,,8.0,6,0.41100000000000003,23,0.478,11,52.9,36,0.603,17.4,15,33,0.39399999999999996,13,0.409,9,"January 31, 2019",27.6,8,15.2,5,116.0,63.6,21,0.532,62,0.46799999999999997,29,0.29,18,0.722,13,17,200,105.3,31.4,11,25,79,,6.7,5,0.40299999999999997,25,0.32,8,47.1,32,0.56,17.7,15,37,0.568,21,0.22699999999999998,5,"Knott Arena, Emmitsburg, Maryland",MOUNT-ST-MARYS,Mount St. Mary's,74.9,Away,SACRED-HEART,Sacred Heart,Mount St. Mary's,northeast,21,False,True,True,Home,False,8,21,62,32,68,11,13,56,0,1,158,333,1205,0.4730290456431535,647,1365,0.473992673992674,166,398,1215,0.5325102880658437,0.23809523809523808
22,2019-02-02-16-mount-st-marys,39.1,9,0.0,0,90.0,84.0,21,0.40399999999999997,68,0.33799999999999997,23,0.324,22,0.773,17,11,200,102.9,33.3,14,16,72,,5.7,4,0.353,24,0.375,9,52.2,35,0.45899999999999996,8.3,7,44,0.318,14,0.47600000000000003,10,"February 2, 2019",50.0,13,25.0,11,102.9,66.7,28,0.509,54,0.48100000000000004,26,0.259,14,0.5710000000000001,8,18,200,90.0,16.0,4,16,63,,4.3,3,0.33299999999999996,18,0.16699999999999998,3,47.8,32,0.519,15.5,11,36,0.639,23,0.217,5,"Knott Arena, Emmitsburg, Maryland",MOUNT-ST-MARYS,Mount St. Mary's,69.6,Away,SAINT-FRANCIS-PA,Saint Francis (PA),Mount St. Mary's,northeast,22,False,True,True,Home,False,3,23,54,32,67,9,14,68,0,1,166,354,1267,0.47592738752959746,679,1433,0.473831123517097,177,411,1271,0.532258064516129,0.22727272727272727
23,2019-02-07-19-long-island-university,70.8,17,2.9,1,106.9,67.7,21,0.44299999999999995,61,0.39299999999999996,24,0.16399999999999998,10,0.8,8,19,200,86.1,22.6,7,16,62,,6.9,5,0.295,18,0.33299999999999996,6,45.2,28,0.47100000000000003,17.6,14,43,0.419,18,0.20800000000000002,5,"February 7, 2019",80.8,21,9.3,4,86.1,77.4,24,0.5429999999999999,58,0.44799999999999995,26,0.276,16,0.875,14,12,200,106.9,32.3,10,16,77,,9.7,7,0.414,24,0.45799999999999996,11,54.8,34,0.5870000000000001,18.7,15,34,0.441,15,0.478,11,"Barclays Center, Brooklyn, New York",MOUNT-ST-MARYS,Mount St. Mary's,71.7,Home,LONG-ISLAND-UNIVERSITY,LIU,Mount St. Mary's,northeast,23,False,False,False,Away,False,6,18,61,28,62,11,15,58,0,1,169,377,1321,0.4772899318697956,711,1500,0.474,186,425,1339,0.5257654966392831,0.21739130434782608
24,2019-02-09-15-sacred-heart,58.6,17,5.7,2,98.6,89.3,25,0.611,54,0.537,29,0.29600000000000004,16,0.625,10,19,200,102.7,20.0,5,18,76,,8.1,6,0.29600000000000004,16,0.5,8,56.6,30,0.617,19.7,15,38,0.5529999999999999,21,0.24,6,"February 9, 2019",45.8,11,7.9,3,102.7,80.0,20,0.5,54,0.444,24,0.40700000000000003,22,0.8640000000000001,19,14,200,98.6,10.7,3,14,73,,13.5,10,0.35200000000000004,19,0.316,6,43.4,23,0.5660000000000001,19.1,15,35,0.514,18,0.44,11,"William H. Pitt Center, Fairfield, Connecticut",SACRED-HEART,Sacred Heart,74.0,Away,MOUNT-ST-MARYS,Mount St. Mary's,Mount St. Mary's,northeast,24,False,False,False,Away,True,8,21,54,30,53,6,18,54,1,0,175,395,1382,0.4757597684515195,739,1562,0.4731113956466069,197,440,1397,0.5264853256979242,0.20833333333333334
25,2019-02-14-19-mount-st-marys,68.4,13,0.0,0,108.6,76.0,19,0.5,48,0.396,19,0.41700000000000004,20,0.7,14,13,200,88.6,13.8,4,29,62,,11.4,8,0.5,24,0.41700000000000004,10,42.6,23,0.539,23.0,17,24,0.375,9,0.5,13,"February 14, 2019",56.5,13,12.5,3,88.6,86.2,25,0.578,45,0.511,23,0.711,32,0.75,24,19,200,108.6,24.0,6,20,76,,10.0,7,0.4,18,0.33299999999999996,6,57.4,31,0.631,21.3,16,27,0.63,17,0.26899999999999996,7,"Knott Arena, Emmitsburg, Maryland",ROBERT-MORRIS,Robert Morris,70.4,Home,MOUNT-ST-MARYS,Mount St. Mary's,Mount St. Mary's,northeast,25,True,False,True,Home,True,6,17,45,31,54,10,9,48,1,0,183,416,1436,0.48084958217270196,769,1615,0.4761609907120743,203,458,1451,0.525499655410062,0.24
