,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,TROY_homegame,TROY_homegame2,TROY_home,TROY_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-21-20-alabama-birmingham,53.8,14,7.5,3,104.3,66.7,26,0.557,53,0.491,26,0.34,18,0.833,15,5,200,105.7,12.5,3,21,74,,4.3,3,0.434,23,0.304,7,46.0,29,0.601,18.7,14,30,0.633,19,0.545,6,"December 21, 2018",46.7,14,3.3,1,105.7,87.5,21,0.532,62,0.484,30,0.355,22,0.318,7,5,200,104.3,33.3,13,17,73,,8.6,6,0.355,22,0.273,6,54.0,34,0.504,10.0,8,40,0.6,24,0.583,7,"Bartow Arena, Birmingham, Alabama",ALABAMA-BIRMINGHAM,Alabama-Birmingham,70.0,Away,TROY,Troy,Troy,sun-belt,10,False,False,False,Away,True,7,19,53,29,63,6,24,62,1,0,79,198,597,0.5301507537688442,329,655,0.5022900763358779,86,165,603,0.48756218905472637,0.5
11,2018-12-29-13-troy,33.3,8,5.4,2,110.9,72.4,21,0.5,54,0.444,24,0.222,12,0.75,9,10,200,98.4,24.1,7,15,63,,1.6,1,0.278,15,0.4,6,48.3,28,0.528,15.7,11,39,0.462,18,0.231,3,"December 29, 2018",52.0,13,7.7,3,98.4,75.9,22,0.509,55,0.455,25,0.345,19,0.789,15,5,200,110.9,27.6,8,13,71,,12.5,8,0.327,18,0.33299999999999996,6,51.7,30,0.5539999999999999,11.2,8,37,0.514,19,0.583,7,"Trojan Arena, Troy, Alabama",ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,63.9,Home,TROY,Troy,Troy,sun-belt,11,True,False,True,Home,True,6,19,55,30,58,6,18,54,1,0,86,217,650,0.5323076923076923,358,718,0.4986072423398329,92,189,665,0.4917293233082707,0.5454545454545454
12,2019-01-03-19-troy,46.7,14,0.0,0,102.7,66.7,22,0.647,58,0.517,30,0.345,20,0.65,13,6,200,120.5,25.9,7,21,88,,6.8,5,0.431,25,0.6,15,48.3,29,0.652,16.3,13,33,0.455,15,0.5379999999999999,7,"January 3, 2019",24.0,6,27.3,9,120.5,74.1,20,0.5,57,0.439,25,0.456,26,0.6920000000000001,18,6,200,102.7,33.3,11,17,75,,8.2,6,0.509,29,0.24100000000000002,7,51.7,31,0.541,17.0,14,28,0.643,18,0.5379999999999999,7,"Trojan Arena, Troy, Alabama",TROY,Troy,72.9,Away,COASTAL-CAROLINA,Coastal Carolina,Troy,sun-belt,12,False,True,True,Home,False,7,18,57,31,60,15,15,58,0,1,92,236,705,0.5304964539007092,388,776,0.5,98,207,719,0.49235048678720444,0.5833333333333334
13,2019-01-05-15-troy,40.0,12,5.9,2,120.3,71.4,20,0.493,74,0.405,30,0.18899999999999997,14,0.857,12,10,200,114.9,32.5,13,18,85,,6.8,5,0.405,30,0.433,13,48.5,33,0.527,9.1,8,44,0.386,17,0.33299999999999996,5,"January 5, 2019",59.4,19,29.5,13,114.9,67.5,27,0.647,58,0.552,32,0.36200000000000004,21,0.667,14,6,200,120.3,28.6,8,18,89,,8.1,6,0.414,24,0.45799999999999996,11,51.5,35,0.655,16.2,13,34,0.618,21,0.5710000000000001,8,"Trojan Arena, Troy, Alabama",APPALACHIAN-STATE,Appalachian State,74.3,Home,TROY,Troy,Troy,sun-belt,13,True,False,True,Home,True,11,21,58,35,68,13,17,74,1,0,99,254,762,0.5282152230971129,419,836,0.5011961722488039,113,222,777,0.5038610038610039,0.5384615384615384
14,2019-01-10-19-arkansas-little-rock,38.9,7,15.4,6,100.0,71.8,28,0.426,47,0.38299999999999995,18,0.5529999999999999,26,0.731,19,7,200,80.8,30.0,9,26,59,,2.7,2,0.426,20,0.2,4,53.6,37,0.49700000000000005,28.2,23,27,0.519,14,0.5329999999999999,8,"January 10, 2019",56.0,14,3.7,1,80.8,70.0,21,0.484,62,0.40299999999999997,25,0.32299999999999995,20,0.65,13,10,200,100.0,28.2,11,23,73,,9.6,7,0.371,23,0.435,10,46.4,32,0.51,15.5,13,39,0.385,15,0.375,6,"Jack Stephens Center, Little Rock, Arkansas",TROY,Troy,73.4,Home,ARKANSAS-LITTLE-ROCK,Little Rock,Troy,sun-belt,14,False,False,False,Away,False,4,14,47,37,69,10,15,62,0,1,110,275,820,0.5365853658536586,454,904,0.5022123893805309,126,239,851,0.5029377203290247,0.5714285714285714
15,2019-01-12-17-arkansas-state,59.3,16,11.9,5,111.8,60.0,21,0.5820000000000001,55,0.491,27,0.5820000000000001,32,0.813,26,7,225,118.4,25.8,8,22,90,,7.9,6,0.418,23,0.435,10,43.9,29,0.6409999999999999,16.9,14,32,0.531,17,0.562,9,"January 12, 2019",46.4,13,3.1,1,118.4,74.2,23,0.47700000000000004,66,0.424,28,0.39399999999999996,26,0.846,22,9,225,111.8,40.0,14,24,85,,6.6,5,0.364,24,0.292,7,56.1,37,0.542,13.4,12,42,0.5,21,0.47100000000000003,8,"Convocation Center, Jonesboro, Arkansas",ARKANSAS-STATE,Arkansas State,67.8,Away,TROY,Troy,Troy,sun-belt,15,False,False,False,Away,True,10,17,55,29,66,7,21,66,1,0,114,289,867,0.5305651672433679,491,973,0.5046248715313464,136,254,913,0.5016429353778752,0.5333333333333333
16,2019-01-17-19-troy,47.2,17,5.0,2,109.3,60.5,23,0.695,59,0.61,36,0.18600000000000003,11,0.727,8,7,200,120.0,24.0,6,19,90,,10.7,8,0.322,19,0.526,10,46.0,29,0.701,20.0,16,40,0.65,26,0.611,11,"January 17, 2019",51.6,16,7.5,3,120.0,76.0,19,0.531,64,0.484,31,0.313,20,0.7,14,8,200,109.3,39.5,15,17,82,,6.7,5,0.375,24,0.25,6,54.0,34,0.5579999999999999,18.9,17,40,0.625,25,0.529,9,"Trojan Arena, Troy, Alabama",TROY,Troy,74.9,Away,GEORGIA-SOUTHERN,Georgia Southern,Troy,sun-belt,16,False,True,True,Home,False,6,25,64,34,63,10,26,59,0,1,124,306,922,0.5336225596529284,520,1039,0.5004812319538018,143,275,979,0.5,0.5625
17,2019-01-19-15-troy,37.9,11,8.8,3,114.9,69.0,20,0.593,59,0.49200000000000005,29,0.203,12,0.41700000000000004,5,5,200,111.9,25.8,8,13,75,,3.0,2,0.508,30,0.4,12,46.7,28,0.58,12.3,9,29,0.586,17,0.737,14,"January 19, 2019",57.1,16,13.8,4,111.9,74.2,23,0.552,58,0.483,28,0.36200000000000004,21,0.619,13,8,200,114.9,31.0,9,14,77,,6.0,4,0.414,24,0.33299999999999996,8,53.3,32,0.5660000000000001,11.8,9,34,0.588,20,0.556,10,"Trojan Arena, Troy, Alabama",GEORGIA-STATE,Georgia State,66.8,Home,TROY,Troy,Troy,sun-belt,17,True,False,True,Home,True,8,20,58,32,60,12,17,59,1,0,130,331,986,0.5334685598377282,554,1102,0.5027223230490018,153,301,1038,0.5110789980732178,0.5294117647058824
18,2019-01-24-20-louisiana-monroe,67.9,19,7.5,3,107.1,74.2,23,0.525,60,0.467,28,0.15,9,0.667,6,9,200,98.6,22.2,6,14,69,,4.3,3,0.36700000000000005,22,0.318,7,50.0,29,0.537,16.9,13,38,0.5529999999999999,21,0.526,10,"January 24, 2019",51.9,14,5.3,2,98.6,77.8,21,0.484,62,0.435,27,0.27399999999999997,17,0.882,15,7,200,107.1,25.8,8,13,75,,8.6,6,0.355,22,0.273,6,50.0,29,0.535,9.2,7,40,0.525,21,0.611,11,"Fant-Ewing Coliseum, Monroe, Louisiana",TROY,Troy,70.2,Home,LOUISIANA-MONROE,Louisiana-Monroe,Troy,sun-belt,18,False,False,False,Away,False,7,21,60,29,58,6,21,62,0,1,138,351,1044,0.5344827586206896,586,1162,0.504302925989673,165,318,1097,0.5154968094804011,0.5555555555555556
19,2019-01-26-20-louisiana-lafayette,32.1,9,7.0,3,119.4,70.3,26,0.5429999999999999,58,0.483,28,0.379,22,0.818,18,10,200,112.5,25.8,8,21,81,,4.2,3,0.379,22,0.318,7,50.0,34,0.5920000000000001,15.1,12,36,0.583,21,0.5,10,"January 26, 2019",34.5,10,8.3,3,112.5,74.2,23,0.531,65,0.446,29,0.33799999999999997,22,0.773,17,7,200,119.4,29.7,11,18,86,,9.7,7,0.33799999999999997,22,0.5,11,50.0,34,0.57,9.7,8,43,0.419,18,0.65,13,"Cajundome, Lafayette, Louisiana",TROY,Troy,72.5,Home,LOUISIANA-LAFAYETTE,Louisiana,Troy,sun-belt,19,False,False,False,Away,False,7,21,58,34,68,11,18,65,0,1,145,372,1104,0.5339673913043478,615,1220,0.5040983606557377,171,339,1159,0.5138050043140638,0.5263157894736842
20,2019-02-02-18-south-alabama,43.3,13,13.2,5,120.9,78.1,25,0.66,53,0.5660000000000001,30,0.20800000000000002,11,0.455,5,11,200,111.9,13.6,3,18,75,,1.5,1,0.358,19,0.526,10,51.9,28,0.644,18.4,13,34,0.588,20,0.47600000000000003,10,"February 2, 2019",59.3,16,11.8,4,111.9,86.4,19,0.6,55,0.491,27,0.382,21,0.7140000000000001,15,11,200,120.9,21.9,7,12,81,,10.4,7,0.309,17,0.706,12,48.1,26,0.623,11.1,8,38,0.395,15,0.5,11,"Mitchell Center, Mobile, Alabama",TROY,Troy,67.1,Home,SOUTH-ALABAMA,South Alabama,Troy,sun-belt,20,False,False,False,Away,False,10,20,53,28,54,12,15,55,0,1,152,393,1162,0.5344234079173839,649,1288,0.5038819875776398,182,357,1224,0.5147058823529411,0.5
21,2019-02-07-19-troy,57.6,19,6.5,2,101.4,83.3,25,0.7120000000000001,52,0.635,33,0.25,13,0.769,10,15,200,121.7,22.2,4,17,84,,11.6,8,0.308,16,0.5,8,60.4,29,0.722,22.8,17,36,0.6940000000000001,25,0.348,8,"February 7, 2019",50.0,13,5.6,2,121.7,77.8,14,0.594,53,0.491,26,0.302,16,0.43799999999999994,7,12,200,101.4,16.7,5,15,70,,13.0,9,0.415,22,0.5,11,39.6,19,0.578,16.7,12,31,0.484,15,0.455,10,"Trojan Arena, Troy, Alabama",TROY,Troy,69.4,Away,ARKANSAS-LITTLE-ROCK,Little Rock,Troy,sun-belt,21,False,True,True,Home,False,11,15,53,19,48,8,25,52,0,1,162,413,1215,0.5399176954732511,677,1342,0.5044709388971684,194,372,1279,0.5183737294761532,0.47619047619047616
22,2019-02-09-15-troy,26.1,6,11.1,3,116.7,87.0,20,0.41100000000000003,62,0.371,23,0.645,40,0.7,28,14,200,109.7,34.1,14,20,79,,4.2,3,0.32299999999999995,20,0.25,5,53.1,34,0.488,8.1,7,42,0.429,18,0.41700000000000004,10,"February 9, 2019",55.2,16,14.3,6,109.7,65.9,27,0.66,53,0.547,29,0.34,18,0.778,14,12,200,116.7,13.0,3,29,84,,2.8,2,0.491,26,0.462,12,46.9,30,0.682,16.5,12,27,0.63,17,0.478,11,"Trojan Arena, Troy, Alabama",ARKANSAS-STATE,Arkansas State,72.3,Home,TROY,Troy,Troy,sun-belt,22,True,False,True,Home,True,12,17,53,30,64,5,18,62,1,0,173,428,1268,0.542192429022082,696,1390,0.5007194244604316,202,397,1331,0.5259203606311045,0.45454545454545453
23,2019-02-13-19-georgia-state,72.7,16,18.5,5,108.5,73.3,22,0.48200000000000004,55,0.4,22,0.23600000000000002,13,0.769,10,13,200,88.7,25.0,8,18,63,,2.8,2,0.491,27,0.33299999999999996,9,48.4,30,0.515,23.8,19,28,0.46399999999999997,13,0.45799999999999996,11,"February 13, 2019",53.8,14,7.1,2,88.7,75.0,24,0.583,54,0.48100000000000004,26,0.389,21,0.667,14,8,200,108.5,26.7,8,15,77,,14.1,10,0.5,27,0.40700000000000003,11,51.6,32,0.602,17.1,13,27,0.556,15,0.68,17,"GSU Sports Arena, Atlanta, Georgia",TROY,Troy,70.6,Home,GEORGIA-STATE,Georgia State,Troy,sun-belt,23,False,False,False,Away,False,9,13,55,30,62,11,15,54,0,1,185,445,1321,0.5469341408024224,726,1454,0.49931224209078406,207,415,1393,0.5208183776022972,0.4782608695652174
24,2019-02-15-21-georgia-southern,35.3,6,5.8,3,92.7,64.7,22,0.317,60,0.28300000000000003,17,0.317,19,0.684,13,14,200,62.2,20.5,9,21,51,,12.2,10,0.3,18,0.222,4,39.7,31,0.369,24.3,22,42,0.31,13,0.44,11,"February 15, 2019",39.3,11,11.9,5,62.2,79.5,35,0.461,64,0.43799999999999994,28,0.391,25,0.68,17,10,200,92.7,35.3,12,22,76,,19.5,16,0.188,12,0.25,3,60.3,47,0.501,20.2,19,52,0.48100000000000004,25,0.615,16,"Hanner Fieldhouse, Statesboro, Georgia",TROY,Troy,82.5,Home,GEORGIA-SOUTHERN,Georgia Southern,Troy,sun-belt,24,False,False,False,Away,False,4,13,60,31,78,3,25,64,0,1,194,458,1376,0.5443313953488372,756,1516,0.49868073878627966,218,430,1447,0.5231513476157568,0.4583333333333333
25,2019-02-23-17-troy,41.7,10,9.4,3,82.5,74.3,26,0.53,50,0.48,24,0.4,20,0.75,15,14,200,107.9,28.0,7,16,68,,11.1,7,0.32,16,0.313,5,55.0,33,0.5710000000000001,13.3,9,34,0.5589999999999999,19,0.48100000000000004,13,"February 23, 2019",44.4,8,8.8,3,107.9,72.0,18,0.389,54,0.33299999999999996,18,0.24100000000000002,13,0.769,10,15,200,82.5,25.7,9,16,52,,11.1,7,0.40700000000000003,22,0.273,6,45.0,27,0.43200000000000005,19.0,14,32,0.375,12,0.423,11,"Trojan Arena, Troy, Alabama",TROY,Troy,63.3,Away,SOUTH-ALABAMA,South Alabama,Troy,sun-belt,25,False,True,True,Home,False,6,12,54,27,60,5,19,50,0,1,198,471,1436,0.5348189415041783,787,1594,0.49372647427854455,221,455,1511,0.5205162144275315,0.44
26,2019-02-28-19-troy,52.6,10,4.3,1,72.1,87.1,27,0.46799999999999997,47,0.40399999999999997,19,0.36200000000000004,17,0.8240000000000001,14,6,200,95.1,25.0,7,10,58,,6.6,4,0.426,20,0.3,6,57.6,34,0.527,19.3,13,27,0.48100000000000004,13,0.7929999999999999,23,"February 28, 2019",60.0,9,7.4,2,95.1,75.0,21,0.39,50,0.3,15,0.16,8,0.625,5,16,200,72.1,12.9,4,14,44,,6.6,4,0.54,27,0.33299999999999996,9,42.4,25,0.409,18.3,12,23,0.261,6,0.40700000000000003,11,"Trojan Arena, Troy, Alabama",TROY,Troy,61.4,Away,TEXAS-STATE,Texas State,Troy,sun-belt,26,False,True,True,Home,False,9,6,50,25,59,6,13,47,0,1,204,483,1490,0.5295302013422819,814,1654,0.4921402660217654,226,474,1561,0.5208199871877002,0.4230769230769231
27,2019-03-02-15-troy,65.5,19,8.3,2,103.1,71.0,22,0.636,55,0.527,29,0.218,12,0.75,9,15,200,123.4,43.5,10,15,79,,9.4,6,0.4,22,0.545,12,59.3,32,0.6509999999999999,19.9,15,33,0.515,17,0.5,15,"March 2, 2019",61.9,13,18.2,6,123.4,56.5,13,0.49,52,0.40399999999999997,21,0.40399999999999997,21,0.7140000000000001,15,17,200,103.1,29.0,9,15,66,,9.4,6,0.5379999999999999,28,0.321,9,40.7,22,0.532,14.0,10,24,0.5,12,0.39299999999999996,11,"Trojan Arena, Troy, Alabama",TROY,Troy,64.3,Away,TEXAS-ARLINGTON,Texas-Arlington,Troy,sun-belt,27,False,True,True,Home,False,9,12,52,22,54,12,17,55,0,1,213,489,1540,0.525,839,1713,0.4897840046701693,232,487,1608,0.5192786069651741,0.4074074074074074
