,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,LONG-BEACH-STATE_homegame,LONG-BEACH-STATE_homegame2,LONG-BEACH-STATE_home,LONG-BEACH-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-08-19-fresno-state,40.9,9,11.1,5,117.9,61.5,24,0.449,59,0.373,22,0.39,23,0.7829999999999999,18,8,200,91.0,24.3,9,16,71,,9.0,7,0.373,22,0.409,9,43.4,33,0.508,19.7,17,37,0.35100000000000003,13,0.273,3,"December 8, 2018",44.4,16,10.8,4,91.0,75.7,28,0.547,75,0.48,36,0.17300000000000001,13,0.769,10,2,200,117.9,38.5,15,22,92,,14.1,11,0.4,30,0.33299999999999996,10,56.6,43,0.5670000000000001,12.9,12,45,0.578,26,0.778,7,"Save Mart Center, Fresno, California",LONG-BEACH-STATE,Long Beach State,78.1,Home,FRESNO-STATE,Fresno State,Cal State Long Beach,big-west,10,False,False,False,Away,False,9,13,59,33,76,10,26,75,0,1,67,177,612,0.4534313725490196,349,710,0.4915492957746479,70,204,624,0.4951923076923077,0.3
11,2018-12-10-22-pacific,47.6,10,5.1,2,101.4,75.9,22,0.531,48,0.43799999999999994,21,0.45799999999999996,22,0.773,17,9,200,93.2,15.4,4,18,68,,9.6,7,0.396,19,0.474,9,47.3,26,0.5820000000000001,23.8,18,29,0.414,12,0.25,3,"December 10, 2018",40.0,10,3.4,1,93.2,84.6,22,0.474,58,0.431,25,0.345,20,0.95,19,4,200,101.4,24.1,7,19,74,,16.4,12,0.32799999999999996,19,0.263,5,52.7,29,0.5479999999999999,16.3,13,39,0.513,20,0.667,8,"A.G. Spanos Center, Stockton, California",LONG-BEACH-STATE,Long Beach State,73.0,Home,PACIFIC,Pacific,Cal State Long Beach,big-west,11,False,False,False,Away,False,9,12,48,26,55,5,20,58,0,1,76,190,671,0.45305514157973176,382,786,0.4860050890585242,80,230,699,0.5007153075822603,0.2727272727272727
12,2018-12-20-22-long-beach-state,32.0,8,8.9,4,93.1,66.7,26,0.424,66,0.379,25,0.258,17,0.588,10,7,200,91.7,38.5,15,21,66,,5.6,4,0.409,27,0.222,6,52.6,41,0.445,13.0,11,39,0.48700000000000004,19,0.462,6,"December 20, 2018",52.0,13,17.9,7,91.7,61.5,24,0.406,64,0.391,25,0.391,25,0.6,15,9,200,93.1,33.3,13,18,67,,6.9,5,0.297,19,0.105,2,47.4,37,0.442,12.8,11,45,0.511,23,0.308,4,"The Walter Pyramid, Long Beach, California",PEPPERDINE,Pepperdine,72.0,Home,LONG-BEACH-STATE,Long Beach State,Cal State Long Beach,big-west,12,True,False,True,Home,True,2,23,64,37,78,6,19,66,1,0,85,202,719,0.45827538247566063,408,841,0.48513674197384066,85,250,757,0.4986789960369881,0.25
13,2018-12-22-17-long-beach-state,37.0,10,4.2,2,83.1,71.4,30,0.446,65,0.415,27,0.092,6,0.5,3,7,200,79.2,34.2,13,19,61,,9.1,7,0.308,20,0.2,4,53.8,43,0.45,24.5,22,45,0.511,23,0.41700000000000004,5,"December 22, 2018",47.8,11,4.4,2,79.2,65.8,25,0.405,63,0.365,23,0.33299999999999996,21,0.619,13,9,200,83.1,28.6,12,13,64,,10.4,8,0.23800000000000002,15,0.33299999999999996,5,46.3,37,0.439,18.1,16,48,0.375,18,0.35700000000000004,5,"The Walter Pyramid, Long Beach, California",COLORADO-STATE,Colorado State,76.9,Home,LONG-BEACH-STATE,Long Beach State,Cal State Long Beach,big-west,13,True,False,True,Home,True,5,18,63,37,80,4,23,65,1,0,87,225,783,0.4540229885057471,445,919,0.4842219804134929,91,269,823,0.49270959902794653,0.3076923076923077
14,2018-12-29-22-stanford,56.7,17,3.8,2,120.8,52.5,21,0.539,64,0.469,30,0.344,22,0.773,17,10,200,111.7,29.0,9,21,86,,3.9,3,0.344,22,0.409,9,42.3,30,0.578,15.0,13,42,0.5,21,0.33299999999999996,5,"December 29, 2018",38.5,15,7.1,3,111.7,71.0,22,0.581,74,0.527,39,0.284,21,0.33299999999999996,7,5,200,120.8,47.5,19,22,93,,7.8,6,0.297,22,0.364,8,57.7,41,0.5539999999999999,11.7,11,52,0.596,31,0.583,7,"Maples Pavilion, Stanford, California",LONG-BEACH-STATE,Long Beach State,77.2,Home,STANFORD,Stanford,Cal State Long Beach,big-west,14,False,False,False,Away,False,9,21,64,30,71,8,31,74,0,1,92,243,846,0.450354609929078,482,999,0.4824824824824825,95,292,888,0.48930180180180183,0.35714285714285715
15,2019-01-05-22-long-beach-state,26.3,5,0.0,0,144.2,61.8,21,0.331,65,0.292,19,0.231,15,0.6,9,0,200,60.5,17.8,8,17,52,,4.7,4,0.4,26,0.192,5,36.7,29,0.36,23.5,22,39,0.359,14,0.0,0,"January 5, 2019",68.1,32,20.5,8,60.5,82.2,37,0.7090000000000001,79,0.595,47,0.253,20,0.6,12,10,200,144.2,38.2,13,18,124,,19.8,17,0.456,36,0.5,18,63.3,50,0.701,10.2,10,43,0.674,29,0.375,6,"The Walter Pyramid, Long Beach, California","Bethesda University (CA)
			","Bethesda University (CA)
			",85.8,Home,LONG-BEACH-STATE,Long Beach State,Cal State Long Beach,big-west,15,True,False,True,Home,True,18,29,79,50,79,5,14,65,1,0,101,264,910,0.4565934065934066,512,1070,0.4785046728971963,103,323,962,0.49636174636174635,0.3333333333333333
16,2019-01-12-19-long-beach-state,46.4,13,0.0,0,113.9,69.6,16,0.578,58,0.483,28,0.24100000000000002,14,0.7140000000000001,10,12,200,106.9,34.5,10,33,77,,12.5,9,0.414,24,0.45799999999999996,11,50.0,26,0.596,21.9,18,34,0.5,17,0.25,4,"January 12, 2019",31.8,7,14.7,5,106.9,65.5,19,0.61,41,0.537,22,1.024,42,0.762,32,10,200,113.9,30.4,7,19,82,,11.1,8,0.366,15,0.4,6,50.0,26,0.6729999999999999,22.2,17,26,0.615,16,0.41200000000000003,7,"The Walter Pyramid, Long Beach, California",CALIFORNIA-DAVIS,UC-Davis,71.8,Home,LONG-BEACH-STATE,Long Beach State,Cal State Long Beach,big-west,16,True,False,True,Home,True,6,16,41,26,52,11,17,58,1,0,119,293,989,0.47674418604651164,562,1149,0.48912097476066146,108,337,1027,0.48588120740019475,0.375
17,2019-01-16-22-california-irvine,40.7,11,6.7,3,101.4,65.0,26,0.518,55,0.491,27,0.491,27,0.852,23,10,200,115.9,20.7,6,12,80,,5.8,4,0.2,11,0.273,3,46.4,32,0.59,7.0,5,44,0.545,24,0.444,8,"January 16, 2019",57.1,16,2.3,1,115.9,79.3,23,0.45,70,0.4,28,0.14300000000000002,10,0.7,7,5,200,101.4,35.0,14,22,70,,0.0,0,0.35700000000000004,25,0.28,7,53.6,37,0.46799999999999997,11.8,10,45,0.467,21,0.737,14,"Bren Events Center, Irvine, California",CALIFORNIA-IRVINE,UC-Irvine,68.8,Away,LONG-BEACH-STATE,Long Beach State,Cal State Long Beach,big-west,17,False,False,False,Away,True,3,24,55,32,69,7,21,70,1,0,125,309,1030,0.48203883495145633,588,1201,0.48959200666111574,119,354,1085,0.49078341013824883,0.4117647058823529
18,2019-01-19-22-long-beach-state,43.8,14,6.0,3,100.0,71.4,30,0.556,62,0.516,32,0.532,33,0.6970000000000001,23,12,225,102.2,22.9,8,23,92,,15.6,14,0.242,15,0.33299999999999996,5,49.4,38,0.5920000000000001,19.0,18,47,0.574,27,0.33299999999999996,6,"January 19, 2019",33.3,11,10.6,5,102.2,77.1,27,0.5,73,0.452,33,0.35600000000000004,26,0.654,17,11,225,100.0,28.6,12,25,90,,11.1,10,0.315,23,0.304,7,50.6,39,0.527,17.6,18,50,0.52,26,0.42100000000000004,8,"The Walter Pyramid, Long Beach, California",LONG-BEACH-STATE,Long Beach State,79.6,Away,CAL-STATE-FULLERTON,Cal State Fullerton,Cal State Long Beach,big-west,18,False,True,True,Home,False,7,26,73,39,77,5,27,62,0,1,128,333,1085,0.4838709677419355,620,1270,0.4881889763779528,126,375,1155,0.4883116883116883,0.4444444444444444
19,2019-01-23-22-cal-state-northridge,60.7,17,6.8,3,121.1,66.7,18,0.552,58,0.483,28,0.138,8,0.875,7,12,200,100.0,22.2,6,15,71,,8.5,6,0.276,16,0.5,8,44.4,24,0.574,19.6,15,42,0.47600000000000003,20,0.4,8,"January 23, 2019",57.6,19,9.5,4,100.0,77.8,21,0.569,65,0.508,33,0.215,14,0.857,12,12,200,121.1,33.3,9,14,86,,14.1,10,0.32299999999999995,21,0.381,8,55.6,30,0.6,11.2,9,44,0.568,25,0.429,9,"The Matadome, Northridge, California",LONG-BEACH-STATE,Long Beach State,71.2,Home,CAL-STATE-NORTHRIDGE,Cal State Northridge,Cal State Long Beach,big-west,19,False,False,False,Away,False,8,20,58,24,54,8,25,65,0,1,135,359,1158,0.4848877374784111,659,1347,0.4892353377876763,131,402,1217,0.4917830731306491,0.42105263157894735
20,2019-01-26-22-long-beach-state,53.3,16,10.5,4,102.9,65.8,25,0.54,63,0.47600000000000003,30,0.349,22,0.636,14,4,200,118.8,40.5,15,24,82,,10.1,7,0.317,20,0.4,8,53.3,40,0.5579999999999999,9.9,8,43,0.512,22,0.789,15,"January 26, 2019",52.2,12,9.3,4,118.8,59.5,22,0.46399999999999997,56,0.41100000000000003,23,0.625,35,0.5429999999999999,19,13,200,102.9,34.2,13,20,71,,4.3,3,0.321,18,0.33299999999999996,6,46.7,35,0.489,13.3,11,38,0.447,17,0.381,8,"The Walter Pyramid, Long Beach, California",LONG-BEACH-STATE,Long Beach State,68.5,Away,CALIFORNIA-SANTA-BARBARA,UCSB,Cal State Long Beach,big-west,20,False,True,True,Home,False,6,17,56,35,75,8,22,63,0,1,143,379,1216,0.48807565789473684,683,1401,0.4875089221984297,139,427,1282,0.4957098283931357,0.4
21,2019-01-31-23-hawaii,30.0,6,6.3,2,101.4,73.0,27,0.413,52,0.385,20,0.5770000000000001,30,0.467,14,14,200,78.1,15.2,5,21,57,,4.1,3,0.231,12,0.25,3,45.7,32,0.43,17.7,14,40,0.425,17,0.364,8,"January 31, 2019",56.0,14,5.0,2,78.1,84.8,28,0.475,60,0.41700000000000004,25,0.41700000000000004,25,0.68,17,7,200,101.4,27.0,10,27,74,,5.5,4,0.467,28,0.25,7,54.3,38,0.515,10.1,8,32,0.563,18,0.65,13,"Stan Sheriff Center, Honolulu, Hawaii",LONG-BEACH-STATE,Long Beach State,72.6,Home,HAWAII,Hawaii,Cal State Long Beach,big-west,21,False,False,False,Away,False,3,17,52,32,70,7,18,60,0,1,149,396,1272,0.48702830188679247,718,1476,0.48644986449864497,147,449,1345,0.4977695167286245,0.38095238095238093
22,2019-02-02-22-long-beach-state,54.5,18,15.4,6,109.6,75.0,21,0.5870000000000001,63,0.524,33,0.222,14,0.5710000000000001,8,5,200,112.3,25.0,8,20,82,,12.3,9,0.23800000000000002,15,0.5329999999999999,8,48.3,29,0.589,11.5,9,48,0.521,25,0.792,19,"February 2, 2019",41.7,10,8.3,4,112.3,75.0,24,0.5,56,0.429,24,0.5710000000000001,32,0.75,24,15,200,109.6,25.0,7,11,80,,9.6,7,0.304,17,0.47100000000000003,8,51.7,31,0.562,13.6,11,39,0.41,16,0.348,8,"The Walter Pyramid, Long Beach, California",LONG-BEACH-STATE,Long Beach State,72.9,Away,CALIFORNIA-IRVINE,UC-Irvine,Cal State Long Beach,big-west,22,False,True,True,Home,False,8,16,56,31,60,8,25,63,0,1,152,413,1324,0.48413897280966767,750,1546,0.4851228978007762,154,467,1405,0.496797153024911,0.36363636363636365
23,2019-02-07-22-long-beach-state,69.2,18,5.0,2,93.3,79.4,27,0.532,62,0.419,26,0.29,18,0.611,11,8,200,102.7,14.3,5,22,77,,8.0,6,0.435,27,0.519,14,46.4,32,0.546,11.4,9,35,0.34299999999999997,12,0.636,14,"February 7, 2019",26.9,7,2.9,1,102.7,85.7,30,0.518,56,0.46399999999999997,26,0.375,21,0.5710000000000001,12,16,200,93.3,20.6,7,17,70,,6.7,5,0.28600000000000003,16,0.375,6,53.6,37,0.531,19.7,16,40,0.5,20,0.33299999999999996,8,"The Walter Pyramid, Long Beach, California",LONG-BEACH-STATE,Long Beach State,74.8,Away,HAWAII,Hawaii,Cal State Long Beach,big-west,23,False,True,True,Home,False,6,20,56,37,69,14,12,62,0,1,160,429,1380,0.48478260869565215,781,1606,0.4863013698630137,162,492,1468,0.5006811989100818,0.34782608695652173
24,2019-02-09-22-cal-poly,57.1,12,7.8,4,88.3,68.9,31,0.451,51,0.41200000000000003,21,0.804,41,0.732,30,16,225,98.7,29.0,9,16,76,,6.5,5,0.17600000000000002,9,0.444,4,52.6,40,0.539,17.8,15,42,0.405,17,0.36,9,"February 9, 2019",24.0,6,9.5,4,98.7,71.0,22,0.382,72,0.34700000000000003,25,0.292,21,0.619,13,17,225,88.3,31.1,14,28,68,,15.6,12,0.292,21,0.23800000000000002,5,47.4,36,0.415,11.0,10,51,0.392,20,0.22699999999999998,5,"Robert A. Mott Gymnasium, San Luis Obispo, California",CAL-POLY,Cal Poly,68.6,Away,LONG-BEACH-STATE,Long Beach State,Cal State Long Beach,big-west,24,False,False,False,Away,True,4,17,51,40,76,5,20,72,1,0,166,449,1436,0.4860724233983287,818,1675,0.48835820895522386,176,504,1530,0.5019607843137255,0.3333333333333333
25,2019-02-13-22-cal-state-fullerton,54.8,17,5.4,2,103.7,67.9,19,0.524,62,0.5,31,0.371,23,0.7390000000000001,17,17,200,100.0,9.4,3,23,82,,2.4,2,0.258,16,0.188,3,36.7,22,0.562,16.3,14,46,0.609,28,0.34600000000000003,9,"February 13, 2019",71.4,20,6.5,3,100.0,90.6,29,0.563,56,0.5,28,0.5710000000000001,32,0.688,22,13,200,103.7,32.1,9,25,85,,9.8,8,0.33899999999999997,19,0.368,7,63.3,38,0.597,20.4,18,37,0.568,21,0.45799999999999996,11,"Titan Gym, Fullerton, California",LONG-BEACH-STATE,Long Beach State,82.1,Home,CAL-STATE-FULLERTON,Cal State Fullerton,Cal State Long Beach,big-west,25,False,False,False,Away,False,3,28,62,22,60,7,21,56,0,1,170,466,1487,0.48486886348352387,858,1751,0.49000571102227297,181,524,1602,0.4965667915106117,0.36
26,2019-02-16-22-california-davis,44.4,12,3.2,1,110.0,73.5,25,0.58,50,0.54,27,0.52,26,0.5770000000000001,15,18,200,104.3,17.9,5,20,73,,5.7,4,0.28,14,0.28600000000000003,4,48.4,30,0.585,17.5,13,36,0.639,23,0.33299999999999996,9,"February 16, 2019",71.4,20,2.8,1,104.3,82.1,23,0.586,58,0.483,28,0.276,16,0.563,9,14,200,110.0,26.5,9,21,77,,4.3,3,0.466,27,0.444,12,51.6,32,0.5870000000000001,17.7,14,31,0.516,16,0.41700000000000004,10,"The Pavilion, Davis, California",LONG-BEACH-STATE,Long Beach State,70.5,Home,CALIFORNIA-DAVIS,UC-Davis,Cal State Long Beach,big-west,26,False,False,False,Away,False,4,23,50,30,62,12,16,58,0,1,173,494,1549,0.486442866365397,880,1811,0.48591938155715075,188,545,1658,0.4987937273823884,0.34615384615384615
