,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,BUTLER_homegame,BUTLER_homegame2,BUTLER_home,BUTLER_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
11,2018-12-21-18-butler,22.2,4,8.8,3,104.4,76.9,20,0.373,51,0.353,18,0.41200000000000003,21,0.762,16,3,200,79.4,24.2,8,20,54,,10.3,7,0.33299999999999996,17,0.11800000000000001,2,47.5,28,0.44299999999999995,18.9,14,34,0.47100000000000003,16,0.7859999999999999,11,"December 21, 2018",47.6,10,8.8,3,79.4,75.8,25,0.5,51,0.41200000000000003,21,0.451,23,0.87,20,3,200,104.4,23.1,6,20,71,,4.4,3,0.33299999999999996,17,0.529,9,52.5,31,0.573,17.5,13,34,0.353,12,0.75,9,"Hinkle Fieldhouse, Indianapolis, Indiana",CALIFORNIA-IRVINE,UC-Irvine,68.0,Home,BUTLER,Butler,Butler,big-east,11,True,False,True,Home,True,9,12,51,31,59,2,16,51,1,0,102,197,632,0.5537974683544303,333,647,0.5146831530139103,78,170,572,0.5017482517482518,0.7272727272727273
12,2018-12-29-16-florida,46.7,7,5.7,2,124.2,50.0,12,0.35700000000000004,49,0.306,15,0.265,13,0.615,8,4,200,69.4,6.1,2,10,43,,11.3,7,0.49,24,0.20800000000000002,5,24.6,14,0.39,15.5,10,25,0.4,10,0.6920000000000001,9,"December 29, 2018",40.0,12,24.0,6,69.4,93.9,31,0.625,56,0.536,30,0.196,11,0.636,7,4,200,124.2,50.0,12,14,77,,9.7,6,0.375,21,0.47600000000000003,10,75.4,43,0.629,16.5,12,35,0.5710000000000001,20,0.667,8,"Stephen C. O'Connell Center, Gainesville, Florida",BUTLER,Butler,62.2,Home,FLORIDA,Florida,Butler,big-east,12,False,False,False,Away,False,5,10,49,14,57,10,20,56,0,1,111,209,683,0.5497803806734992,364,706,0.5155807365439093,80,186,623,0.4911717495987159,0.75
13,2019-01-02-19-butler,59.3,16,14.6,7,96.2,68.3,28,0.647,51,0.529,27,0.627,32,0.563,18,3,200,106.3,10.0,3,15,84,,8.9,7,0.431,22,0.545,12,43.7,31,0.634,18.7,15,29,0.517,15,0.7859999999999999,11,"January 2, 2019",43.3,13,6.9,2,106.3,90.0,27,0.473,73,0.41100000000000003,30,0.151,11,0.636,7,5,200,96.2,31.7,13,18,76,,11.4,9,0.342,25,0.36,9,56.3,40,0.486,16.2,15,48,0.43799999999999994,21,0.643,9,"Hinkle Fieldhouse, Indianapolis, Indiana",BUTLER,Butler,79.2,Away,GEORGETOWN,Georgetown,Butler,big-east,13,False,True,True,Home,False,9,21,73,40,71,12,15,51,0,1,116,219,732,0.5368852459016393,378,763,0.4954128440366973,90,206,679,0.5022091310751104,0.6923076923076923
14,2019-01-05-12-butler,52.2,12,6.5,2,120.0,78.1,25,0.52,51,0.451,23,0.47100000000000003,24,0.667,16,5,200,98.6,25.8,8,19,69,,7.1,5,0.529,27,0.259,7,52.4,33,0.5529999999999999,18.5,14,24,0.667,16,0.667,10,"January 5, 2019",45.2,14,12.5,3,98.6,74.2,23,0.598,61,0.508,31,0.27899999999999997,17,0.647,11,5,200,120.0,21.9,7,23,84,,17.1,12,0.49200000000000005,30,0.36700000000000005,11,47.6,30,0.608,11.6,9,31,0.645,20,0.667,10,"Hinkle Fieldhouse, Indianapolis, Indiana",CREIGHTON,Creighton,69.7,Home,BUTLER,Butler,Butler,big-east,14,True,False,True,Home,True,11,20,61,30,63,7,16,51,1,0,125,240,805,0.531055900621118,418,834,0.5011990407673861,102,221,730,0.5123287671232877,0.6428571428571429
15,2019-01-09-20-seton-hall,34.6,9,3.4,1,104.1,71.0,22,0.425,67,0.38799999999999996,26,0.32799999999999996,22,0.818,18,6,200,102.7,25.0,10,24,75,,8.2,6,0.299,20,0.25,5,45.1,32,0.484,9.4,8,47,0.447,21,0.625,10,"January 9, 2019",62.5,15,6.4,3,102.7,75.0,30,0.564,47,0.511,24,0.787,37,0.622,23,4,200,104.1,29.0,9,22,76,,5.5,4,0.38299999999999995,18,0.278,5,54.9,39,0.588,19.2,15,29,0.655,19,0.75,12,"Prudential Center, Newark, New Jersey",BUTLER,Butler,73.0,Home,SETON-HALL,Seton Hall,Butler,big-east,15,False,False,False,Away,False,5,21,67,32,71,5,19,47,0,1,136,260,866,0.535796766743649,448,897,0.49944258639910816,109,237,781,0.5128040973111395,0.6666666666666666
16,2019-01-13-12-xavier,61.5,16,7.1,2,109.4,57.6,19,0.555,55,0.473,26,0.218,12,0.667,8,7,200,107.8,26.9,7,24,69,,6.3,4,0.4,22,0.409,9,44.1,26,0.568,15.4,11,33,0.515,17,0.588,10,"January 13, 2019",72.7,16,18.2,6,107.8,73.1,19,0.455,56,0.39299999999999996,22,0.446,25,0.76,19,7,200,109.4,42.4,14,15,70,,6.3,4,0.5,28,0.25,7,55.9,33,0.516,13.0,10,28,0.536,15,0.611,11,"Cintas Center, Cincinnati, Ohio",BUTLER,Butler,64.3,Home,XAVIER,Xavier,Butler,big-east,16,False,False,False,Away,False,9,17,55,26,59,7,15,56,0,1,141,281,933,0.5278670953912111,480,968,0.49586776859504134,114,256,828,0.5157004830917874,0.625
17,2019-01-16-20-depaul,51.4,18,7.0,3,98.6,75.0,30,0.6920000000000001,60,0.583,35,0.067,4,1.0,4,7,200,124.3,21.7,5,15,87,,7.1,5,0.467,28,0.46399999999999997,13,55.6,35,0.703,17.4,13,32,0.688,22,0.611,11,"January 16, 2019",53.8,14,6.3,2,124.3,78.3,18,0.461,64,0.406,26,0.25,16,0.625,10,6,200,98.6,25.0,10,8,69,,10.0,7,0.32799999999999996,21,0.33299999999999996,7,44.4,28,0.48200000000000004,11.2,9,43,0.442,19,0.625,10,"Wintrust Arena, Chicago, Illinois",DEPAUL,DePaul,70.3,Away,BUTLER,Butler,Butler,big-east,17,False,False,False,Away,True,13,22,60,35,63,7,19,64,1,0,150,298,988,0.5293522267206477,506,1027,0.49269717624148,121,271,884,0.5118778280542986,0.5882352941176471
18,2019-01-19-16-butler,33.3,8,13.9,5,103.9,81.3,26,0.43700000000000006,63,0.381,24,0.317,20,0.8,16,4,201,92.2,18.9,7,20,71,,7.8,6,0.381,24,0.292,7,47.8,33,0.49,12.2,10,39,0.436,17,0.789,15,"January 19, 2019",46.4,13,5.1,2,92.2,81.1,30,0.5489999999999999,61,0.45899999999999996,28,0.32799999999999996,20,0.65,13,7,201,103.9,18.8,6,16,80,,5.2,4,0.41,25,0.44,11,52.2,36,0.5670000000000001,15.7,13,36,0.47200000000000003,17,0.632,12,"Hinkle Fieldhouse, Indianapolis, Indiana",ST-JOHNS-NY,St. John's (NY),76.1,Home,BUTLER,Butler,Butler,big-east,18,True,False,True,Home,True,11,17,61,36,69,7,17,63,1,0,163,320,1048,0.538645038167939,541,1090,0.4963302752293578,128,290,948,0.5084388185654009,0.6111111111111112
19,2019-01-22-19-butler,46.2,12,9.7,3,116.1,76.9,20,0.604,53,0.491,26,0.34,18,0.889,16,4,200,129.0,36.0,9,12,80,18.0,4.8,3,0.491,26,0.462,12,56.9,29,0.65,11.6,8,27,0.519,14,0.789,15,"January 22, 2019",44.8,13,3.7,1,129.0,64.0,16,0.575,60,0.483,29,0.083,5,0.6,3,8,200,116.1,23.1,6,15,72,,3.2,2,0.483,29,0.379,11,43.1,22,0.5770000000000001,11.4,8,31,0.581,18,0.6,12,"Hinkle Fieldhouse, Indianapolis, Indiana",BUTLER,Butler,62.5,Away,VILLANOVA,Villanova,Butler,big-east,19,False,True,True,Home,False,11,18,60,22,51,12,14,53,0,1,174,337,1109,0.539224526600541,577,1159,0.49784296807592754,135,307,1011,0.5039564787339268,0.631578947368421
20,2019-01-25-20-creighton,52.2,12,6.5,2,101.4,82.8,24,0.44,58,0.397,23,0.259,15,0.667,10,9,200,82.4,10.8,4,20,61,,10.8,8,0.379,22,0.22699999999999998,5,42.4,28,0.46799999999999997,15.7,12,36,0.5,18,0.5710000000000001,12,"January 25, 2019",66.7,18,5.6,2,82.4,89.2,33,0.565,54,0.5,27,0.33299999999999996,18,0.778,14,8,200,101.4,17.2,5,17,75,,8.1,6,0.426,23,0.304,7,57.6,38,0.6,22.5,18,31,0.645,20,0.6,12,"CenturyLink Center, Omaha, Nebraska",BUTLER,Butler,74.3,Home,CREIGHTON,Creighton,Butler,big-east,20,False,False,False,Away,False,5,18,58,28,66,7,20,54,0,1,185,355,1169,0.5410607356715141,599,1210,0.49504132231404957,147,321,1064,0.5089285714285714,0.6
21,2019-01-30-18-butler,27.6,8,14.3,5,85.3,72.5,29,0.647,51,0.569,29,0.255,13,0.769,10,3,200,111.8,22.7,5,17,76,10.0,5.9,4,0.314,16,0.5,8,54.8,34,0.665,18.6,13,35,0.6,21,0.8640000000000001,19,"January 30, 2019",30.0,6,2.9,1,111.8,77.3,17,0.377,61,0.32799999999999996,20,0.27899999999999997,17,0.706,12,10,200,85.3,27.5,11,15,58,,8.8,6,0.426,26,0.231,6,45.2,28,0.42,14.9,12,35,0.4,14,0.545,12,"Hinkle Fieldhouse, Indianapolis, Indiana",BUTLER,Butler,67.6,Away,MARQUETTE,Marquette,Butler,big-east,21,False,True,True,Home,False,6,14,61,28,62,8,21,51,0,1,190,373,1227,0.5362673186634067,627,1276,0.49137931034482757,154,341,1118,0.5116279069767442,0.5714285714285714
22,2019-02-02-12-butler,50.0,14,3.6,1,107.7,84.6,22,0.552,58,0.483,28,0.121,7,0.5710000000000001,4,9,200,104.6,20.0,5,16,68,,7.7,5,0.36200000000000004,21,0.381,8,52.9,27,0.5539999999999999,14.1,10,37,0.541,20,0.591,13,"February 2, 2019",50.0,13,10.8,4,104.6,80.0,20,0.604,53,0.491,26,0.18899999999999997,10,0.6,6,10,200,107.7,15.4,4,12,70,,4.6,3,0.47200000000000003,25,0.48,12,47.1,24,0.606,13.6,9,28,0.5,14,0.565,13,"Hinkle Fieldhouse, Indianapolis, Indiana",SETON-HALL,Seton Hall,64.5,Home,BUTLER,Butler,Butler,big-east,22,True,False,True,Home,True,12,14,53,24,51,8,20,58,1,0,196,387,1288,0.5287267080745341,655,1338,0.48953662182361735,162,362,1169,0.5175363558597091,0.5454545454545454
23,2019-02-09-12-georgetown,52.0,13,5.1,2,101.5,66.7,26,0.526,57,0.439,25,0.316,18,0.722,13,10,200,107.4,21.2,7,18,73,,5.9,4,0.456,26,0.385,10,45.8,33,0.557,12.2,9,31,0.484,15,0.583,14,"February 9, 2019",56.5,13,9.7,3,107.4,78.8,26,0.426,61,0.377,23,0.361,22,0.773,17,9,200,101.5,33.3,13,17,69,,4.4,3,0.361,22,0.273,6,54.2,39,0.483,12.4,10,39,0.436,17,0.625,15,"Capital One Arena, Washington, District of Columbia",GEORGETOWN,Georgetown,68.0,Away,BUTLER,Butler,Butler,big-east,23,False,False,False,Away,True,10,15,57,33,72,6,17,61,1,0,208,401,1341,0.5316927665920954,679,1389,0.4888408927285817,170,382,1227,0.5191524042379788,0.5652173913043478
24,2019-02-12-20-st-johns-ny,46.4,13,0.0,0,97.5,86.8,33,0.478,67,0.418,28,0.149,10,0.9,9,11,225,92.4,24.2,8,15,73,,6.3,5,0.493,33,0.242,8,57.7,41,0.509,20.1,18,34,0.588,20,0.56,14,"February 12, 2019",42.3,11,5.9,2,92.4,75.8,25,0.484,64,0.406,26,0.313,20,0.75,15,7,225,97.5,13.2,5,12,77,,15.2,12,0.406,26,0.385,10,42.3,30,0.524,9.9,8,38,0.42100000000000004,16,0.72,18,"Carnesecca Arena, Jamaica, New York",BUTLER,Butler,70.3,Home,ST-JOHNS-NY,St. John's (NY),Butler,big-east,24,False,False,False,Away,False,8,20,67,41,71,10,16,64,0,1,218,416,1398,0.5314735336194564,712,1461,0.487337440109514,176,399,1288,0.514751552795031,0.5833333333333334
25,2019-02-16-20-butler,53.6,15,10.3,3,135.8,66.7,18,0.627,51,0.5489999999999999,28,0.41200000000000003,21,0.667,14,11,200,116.4,13.0,3,23,78,,4.5,3,0.294,15,0.5329999999999999,8,42.0,21,0.64,11.7,8,36,0.556,20,0.542,13,"February 16, 2019",58.1,18,2.8,1,116.4,87.0,20,0.649,57,0.544,31,0.439,25,0.68,17,11,200,135.8,33.3,9,19,91,,7.5,5,0.491,28,0.429,12,58.0,29,0.6609999999999999,10.5,8,29,0.655,19,0.5770000000000001,15,"Hinkle Fieldhouse, Indianapolis, Indiana",DEPAUL,DePaul,66.9,Home,BUTLER,Butler,Butler,big-east,25,True,False,True,Home,True,12,19,57,29,50,8,20,51,1,0,226,436,1465,0.5290102389078498,753,1532,0.4915143603133159,186,415,1352,0.5133136094674556,0.56
26,2019-02-20-21-marquette,40.0,10,2.8,1,112.9,63.3,19,0.483,60,0.41700000000000004,25,0.2,12,0.917,11,12,200,98.6,29.4,10,17,69,,10.0,7,0.4,24,0.33299999999999996,8,45.3,29,0.525,18.7,15,36,0.47200000000000003,17,0.556,15,"February 20, 2019",50.0,14,16.7,6,98.6,70.6,24,0.57,57,0.491,28,0.316,18,0.778,14,4,200,112.9,36.7,11,15,79,11.0,7.1,5,0.368,21,0.429,9,54.7,35,0.603,18.8,15,36,0.528,19,0.846,22,"Fiserv Forum, Milwaukee, Wisconsin",BUTLER,Butler,70.1,Home,MARQUETTE,Marquette,Butler,big-east,26,False,False,False,Away,False,8,17,60,29,64,9,19,57,0,1,238,455,1522,0.533508541392904,782,1582,0.4943109987357775,194,435,1403,0.5174625801853172,0.5769230769230769
27,2019-02-26-19-butler,58.3,14,16.7,6,85.9,80.6,29,0.457,58,0.414,24,0.466,27,0.741,20,13,225,93.6,23.3,7,22,73,,9.0,7,0.431,25,0.2,5,54.5,36,0.515,15.7,13,33,0.5760000000000001,19,0.552,16,"February 26, 2019",36.8,7,9.1,3,93.6,76.7,23,0.36700000000000005,60,0.317,19,0.483,29,0.7929999999999999,23,13,225,85.9,19.4,7,20,67,,9.0,7,0.4,24,0.25,6,45.5,30,0.45399999999999996,14.2,12,36,0.361,13,0.536,15,"Hinkle Fieldhouse, Indianapolis, Indiana",BUTLER,Butler,69.2,Away,PROVIDENCE,Providence,Butler,big-east,27,False,True,True,Home,False,6,13,60,30,66,5,19,58,0,1,246,472,1582,0.5316055625790139,811,1646,0.49270959902794653,203,454,1460,0.5195205479452055,0.5555555555555556
