,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,IOWA_homegame,IOWA_homegame2,IOWA_home,IOWA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-18-21-iowa,52.4,11,0.0,0,111.4,77.8,21,0.57,43,0.488,21,0.419,18,0.611,11,10,200,85.7,26.1,6,24,60,,5.7,4,0.37200000000000005,16,0.43799999999999994,7,54.0,27,0.5820000000000001,31.1,23,27,0.519,14,0.231,3,"December 18, 2018",65.2,15,29.6,8,85.7,73.9,17,0.52,49,0.469,23,0.755,37,0.73,27,2,200,111.4,22.2,6,13,78,23.0,14.3,10,0.36700000000000005,18,0.278,5,46.0,23,0.586,13.3,10,31,0.581,18,0.818,9,"Carver-Hawkeye Arena, Iowa City, Iowa",WESTERN-CAROLINA,Western Carolina,69.6,Home,IOWA,Iowa,Iowa,big-ten,10,True,False,True,Home,True,5,18,49,23,50,7,14,43,1,0,78,181,560,0.5321428571428571,355,661,0.5370650529500757,67,207,629,0.4888712241653418,0.8
11,2018-12-22-13-iowa,64.0,16,3.6,1,141.0,75.8,25,0.434,68,0.368,25,0.132,9,0.556,5,11,200,82.1,22.7,10,17,64,,3.8,3,0.485,33,0.273,9,45.5,35,0.44299999999999995,18.2,16,35,0.457,16,0.214,3,"December 22, 2018",76.9,30,5.7,2,82.1,77.3,34,0.693,70,0.557,39,0.314,22,0.591,13,2,200,141.0,24.2,8,10,110,23.0,10.3,8,0.6,42,0.452,19,54.5,42,0.684,7.0,6,28,0.7140000000000001,20,0.833,10,"Carver-Hawkeye Arena, Iowa City, Iowa",SAVANNAH-STATE,Savannah State,78.4,Home,IOWA,Iowa,Iowa,big-ten,11,True,False,True,Home,True,19,20,70,42,77,9,16,68,1,0,83,199,609,0.5311986863711001,378,711,0.5316455696202531,74,221,672,0.49404761904761907,0.8181818181818182
12,2018-12-29-20-iowa,40.0,10,0.0,0,116.1,67.9,19,0.517,58,0.431,25,0.207,12,0.583,7,8,200,108.1,33.3,11,23,67,,4.8,3,0.44799999999999995,26,0.385,10,49.2,30,0.526,13.6,10,32,0.469,15,0.273,3,"December 29, 2018",76.2,16,21.9,7,108.1,66.7,22,0.5539999999999999,46,0.457,21,0.674,31,0.677,21,2,200,116.1,32.1,9,13,72,24.0,9.7,6,0.5429999999999999,25,0.36,9,50.8,31,0.593,13.1,9,21,0.5710000000000001,12,0.846,11,"Carver-Hawkeye Arena, Iowa City, Iowa",BRYANT,Bryant,61.7,Home,IOWA,Iowa,Iowa,big-ten,12,True,False,True,Home,True,9,12,46,31,61,10,15,58,1,0,102,219,679,0.5478645066273933,420,788,0.5329949238578681,83,237,740,0.4885135135135135,0.8333333333333334
13,2019-01-03-19-purdue,62.5,15,10.5,4,130.3,64.0,16,0.54,50,0.48,24,0.38,19,0.8420000000000001,16,3,200,106.1,29.2,7,15,70,25.0,4.5,3,0.34,17,0.353,6,46.9,23,0.593,19.3,14,33,0.545,18,0.7859999999999999,11,"January 3, 2019",66.7,22,9.1,3,106.1,70.8,17,0.605,62,0.532,33,0.19399999999999998,12,0.917,11,5,200,130.3,36.0,9,18,86,,6.1,4,0.387,24,0.375,9,53.1,26,0.635,9.4,7,38,0.632,24,0.643,9,"Mackey Arena, West Lafayette, Indiana",IOWA,Iowa,65.9,Home,PURDUE,Purdue,Iowa,big-ten,13,False,False,False,Away,False,6,18,50,23,49,9,24,62,0,1,111,231,725,0.5482758620689655,451,849,0.5312131919905771,93,252,798,0.4906015037593985,0.8461538461538461
14,2019-01-06-17-iowa,56.7,17,8.1,3,122.4,64.5,20,0.49200000000000005,65,0.462,30,0.4,26,0.769,20,4,200,110.5,22.9,8,25,84,24.0,10.5,8,0.354,23,0.174,4,42.4,28,0.5429999999999999,8.4,7,42,0.619,26,0.733,11,"January 6, 2019",59.3,16,14.3,6,110.5,77.1,27,0.542,59,0.45799999999999996,27,0.542,32,0.9059999999999999,29,3,200,122.4,35.5,11,22,93,25.0,7.9,6,0.373,22,0.455,10,57.6,38,0.627,15.1,13,37,0.45899999999999996,17,0.8,12,"Carver-Hawkeye Arena, Iowa City, Iowa",NEBRASKA,Nebraska,76.3,Home,IOWA,Iowa,Iowa,big-ten,14,True,False,True,Home,True,10,17,59,38,66,4,26,65,1,0,117,249,775,0.547741935483871,474,898,0.5278396436525612,102,276,860,0.49883720930232556,0.7857142857142857
15,2019-01-09-21-northwestern,58.3,14,0.0,0,94.0,79.4,27,0.44799999999999995,58,0.414,24,0.44799999999999995,26,0.8079999999999999,21,3,200,109.0,28.1,9,15,73,,9.0,6,0.293,17,0.235,4,54.5,36,0.519,9.2,7,41,0.488,20,0.812,13,"January 9, 2019",59.1,13,9.8,4,109.0,71.9,23,0.447,57,0.386,22,0.281,16,0.75,12,6,200,94.0,20.6,7,21,63,,6.0,4,0.474,27,0.259,7,45.5,30,0.488,11.1,8,30,0.5,15,0.625,10,"Welsh-Ryan Arena, Evanston, Illinois",NORTHWESTERN,Northwestern,67.0,Away,IOWA,Iowa,Iowa,big-ten,15,False,False,False,Away,True,4,20,58,36,66,7,15,57,1,0,127,266,834,0.5473621103117506,512,964,0.5311203319502075,106,302,925,0.4983783783783784,0.8
16,2019-01-12-14-iowa,63.6,14,2.6,1,98.6,73.5,25,0.45799999999999996,59,0.373,22,0.18600000000000003,11,0.727,8,4,200,84.9,30.6,11,23,62,16.0,12.3,9,0.424,25,0.4,10,51.4,36,0.483,23.9,20,34,0.353,12,0.75,12,"January 12, 2019",60.0,15,17.6,6,84.9,69.4,25,0.491,55,0.455,25,0.455,25,0.72,18,3,200,98.6,26.5,9,15,72,,15.1,11,0.29100000000000004,16,0.25,4,48.6,34,0.5379999999999999,17.5,14,39,0.5379999999999999,21,0.8240000000000001,14,"Carver-Hawkeye Arena, Iowa City, Iowa",OHIO-STATE,Ohio State,72.6,Home,IOWA,Iowa,Iowa,big-ten,16,True,False,True,Home,True,4,21,55,34,70,10,12,59,1,0,131,286,892,0.5409192825112108,548,1030,0.5320388349514563,113,317,982,0.4954175152749491,0.8125
17,2019-01-16-19-penn-state,56.3,18,3.4,1,106.5,84.4,27,0.594,64,0.5,32,0.281,18,0.722,13,3,200,115.6,20.6,7,11,89,23.0,11.7,9,0.43799999999999994,28,0.429,12,51.5,34,0.613,13.3,11,36,0.556,20,0.833,15,"January 16, 2019",76.7,23,13.9,5,115.6,79.4,27,0.563,64,0.469,30,0.203,13,0.769,10,11,200,106.5,15.6,5,20,82,,7.8,6,0.547,35,0.34299999999999997,12,48.5,32,0.584,14.7,12,29,0.621,18,0.389,7,"Bryce Jordan Center, University Park, Pennsylvania",PENN-STATE,Penn State,76.9,Away,IOWA,Iowa,Iowa,big-ten,17,False,False,False,Away,True,12,20,64,34,66,12,18,64,1,0,135,307,947,0.5380147835269271,582,1100,0.5290909090909091,123,329,1041,0.4932756964457253,0.8235294117647058
18,2019-01-20-13-iowa,55.6,15,10.3,3,135.7,90.9,10,0.47100000000000003,69,0.391,27,0.13,9,0.667,6,13,200,101.4,37.5,15,18,71,,12.9,9,0.46399999999999997,32,0.344,11,49.0,25,0.484,13.1,11,37,0.43200000000000005,16,0.278,5,"January 20, 2019",85.3,29,13.5,5,101.4,62.5,25,0.83,50,0.68,34,0.32,16,0.75,12,3,200,135.7,9.1,1,11,95,23.0,4.3,3,0.42,21,0.7140000000000001,15,51.0,26,0.825,19.7,14,29,0.655,19,0.8420000000000001,16,"Carver-Hawkeye Arena, Iowa City, Iowa",ILLINOIS,Illinois,69.9,Home,IOWA,Iowa,Iowa,big-ten,18,True,False,True,Home,True,15,19,50,26,51,11,16,69,1,0,147,327,1011,0.5415430267062314,616,1166,0.5283018867924528,135,347,1105,0.4972850678733032,0.8333333333333334
19,2019-01-24-19-iowa,59.3,16,4.3,2,100.0,75.0,30,0.608,51,0.529,27,0.41200000000000003,21,0.9520000000000001,20,2,200,122.4,45.8,11,13,82,6.0,4.5,3,0.373,19,0.42100000000000004,8,64.1,41,0.672,21.0,16,32,0.594,19,0.9,18,"January 24, 2019",48.1,13,0.0,0,122.4,54.2,13,0.42100000000000004,70,0.386,27,0.114,8,1.0,8,4,200,100.0,25.0,10,16,67,19.0,13.4,9,0.34299999999999997,24,0.20800000000000002,5,35.9,23,0.45399999999999996,6.4,5,46,0.478,22,0.8,16,"Carver-Hawkeye Arena, Iowa City, Iowa",IOWA,Iowa,67.4,Away,MICHIGAN-STATE,Michigan State,Iowa,big-ten,19,False,True,True,Home,False,5,22,70,23,64,8,19,51,0,1,162,346,1061,0.5551366635249765,642,1217,0.5275267050123253,146,363,1174,0.4957410562180579,0.8421052631578947
20,2019-01-27-17-minnesota,71.9,23,2.6,1,126.0,78.6,22,0.627,59,0.542,32,0.35600000000000004,21,0.619,13,5,200,119.2,34.6,9,23,87,19.0,9.6,7,0.305,18,0.556,10,57.4,31,0.631,16.0,13,41,0.537,22,0.762,16,"January 27, 2019",78.1,25,7.3,3,119.2,65.4,17,0.634,56,0.5710000000000001,32,0.5539999999999999,31,0.677,21,5,200,126.0,21.4,6,17,92,,9.6,7,0.321,18,0.389,7,42.6,23,0.65,11.4,9,38,0.6579999999999999,25,0.75,15,"Williams Arena, Minneapolis, Minnesota",IOWA,Iowa,73.4,Home,MINNESOTA,Minnesota,Iowa,big-ten,20,False,False,False,Away,False,10,22,59,31,54,7,25,56,0,1,167,368,1131,0.5468611847922192,665,1281,0.5191256830601093,154,382,1225,0.5004081632653061,0.8
21,2019-02-01-19-iowa,52.4,11,7.0,3,102.8,80.6,29,0.385,65,0.32299999999999995,21,0.185,12,0.75,9,2,200,81.9,13.6,6,20,59,5.0,6.9,5,0.508,33,0.242,8,43.8,35,0.41700000000000004,10.2,8,32,0.406,13,0.909,20,"February 1, 2019",38.5,10,15.6,5,81.9,86.4,38,0.509,57,0.456,26,0.42100000000000004,24,0.667,16,5,200,102.8,19.4,7,14,74,,9.7,7,0.24600000000000002,14,0.429,6,56.3,45,0.541,11.8,9,43,0.465,20,0.773,17,"Carver-Hawkeye Arena, Iowa City, Iowa",MICHIGAN,Michigan,71.6,Home,IOWA,Iowa,Iowa,big-ten,21,True,False,True,Home,True,6,20,57,45,80,8,13,65,1,0,177,390,1190,0.5508403361344538,696,1335,0.5213483146067416,161,407,1281,0.5062451209992194,0.7619047619047619
22,2019-02-07-21-indiana,51.9,14,6.3,2,107.5,69.2,18,0.5329999999999999,60,0.45,27,0.28300000000000003,17,0.765,13,5,200,114.9,29.0,9,18,77,20.0,11.9,8,0.41700000000000004,25,0.4,10,47.4,27,0.5660000000000001,11.8,9,35,0.486,17,0.7829999999999999,18,"February 7, 2019",65.4,17,8.6,3,114.9,71.0,22,0.557,53,0.491,26,0.34,18,0.722,13,10,200,107.5,30.8,8,15,72,,10.4,7,0.396,21,0.33299999999999996,7,52.6,30,0.585,16.5,12,32,0.594,19,0.565,13,"Assembly Hall, Bloomington, Indiana",INDIANA,Indiana,66.8,Away,IOWA,Iowa,Iowa,big-ten,22,False,False,False,Away,True,10,17,60,27,57,7,19,53,1,0,183,410,1247,0.5489174017642342,741,1415,0.5236749116607774,169,420,1346,0.50037147102526,0.7727272727272727
23,2019-02-10-18-iowa,44.8,13,0.0,0,112.7,82.8,24,0.589,56,0.518,29,0.321,18,0.722,13,11,200,111.3,35.7,10,23,79,,7.0,5,0.41100000000000003,23,0.348,8,59.6,34,0.612,18.0,14,33,0.636,21,0.522,12,"February 10, 2019",50.0,13,0.0,0,111.3,64.3,18,0.555,55,0.473,26,0.455,25,0.76,19,5,200,112.7,17.2,5,15,80,20.0,8.5,6,0.309,17,0.529,9,40.4,23,0.598,14.3,11,38,0.447,17,0.792,19,"Carver-Hawkeye Arena, Iowa City, Iowa",NORTHWESTERN,Northwestern,70.7,Home,IOWA,Iowa,Iowa,big-ten,23,True,False,True,Home,True,9,17,55,23,57,8,21,56,1,0,193,427,1307,0.5482019892884469,768,1472,0.5217391304347826,176,439,1399,0.5025017869907077,0.782608695652174
24,2019-02-16-18-rutgers,48.0,12,13.5,5,104.5,59.4,19,0.537,54,0.46299999999999997,25,0.33299999999999996,18,0.722,13,5,200,107.6,35.7,10,15,71,21.0,9.1,6,0.389,21,0.381,8,48.3,29,0.568,19.5,15,33,0.515,17,0.8,20,"February 16, 2019",53.8,14,6.1,2,107.6,64.3,18,0.518,57,0.456,26,0.316,18,0.556,10,13,200,104.5,40.6,13,18,69,,15.2,10,0.35100000000000003,20,0.35,7,51.7,31,0.526,14.5,11,37,0.514,19,0.48,12,"Louis Brown Athletic Center, New Brunswick, New Jersey",RUTGERS,Rutgers,65.6,Away,IOWA,Iowa,Iowa,big-ten,24,False,False,False,Away,True,8,17,54,29,60,7,19,57,1,0,202,444,1362,0.5484581497797357,791,1529,0.5173315892740353,184,460,1455,0.5058419243986254,0.7916666666666666
25,2019-02-19-20-iowa,72.7,16,15.6,5,98.5,60.5,23,0.528,53,0.415,22,0.226,12,0.833,10,7,200,100.0,28.6,8,22,66,24.0,10.6,7,0.528,28,0.429,12,47.0,31,0.562,18.2,13,25,0.4,10,0.741,20,"February 19, 2019",63.2,12,12.0,3,100.0,71.4,20,0.397,58,0.32799999999999996,19,0.414,24,0.792,19,6,200,98.5,39.5,15,12,65,21.0,9.1,6,0.44799999999999995,26,0.308,8,53.0,35,0.46799999999999997,17.0,14,32,0.344,11,0.769,20,"Carver-Hawkeye Arena, Iowa City, Iowa",IOWA,Iowa,66.1,Away,MARYLAND,Maryland,Iowa,big-ten,25,False,True,True,Home,False,8,11,58,35,66,12,10,53,0,1,210,461,1416,0.5480225988700564,820,1589,0.5160478288231592,191,479,1512,0.5062830687830688,0.8
26,2019-02-22-21-iowa,38.5,10,21.6,8,105.6,66.7,24,0.46,63,0.413,26,0.349,22,0.545,12,14,225,97.2,27.9,12,21,70,,12.5,9,0.429,27,0.222,6,45.6,36,0.47700000000000004,13.1,11,36,0.556,20,0.48100000000000004,13,"February 22, 2019",69.2,18,11.1,4,97.2,72.1,31,0.47600000000000003,62,0.419,26,0.40299999999999997,25,0.68,17,6,225,105.6,33.3,12,18,76,21.0,5.6,4,0.40299999999999997,25,0.28,7,54.4,43,0.514,12.0,10,37,0.514,19,0.778,21,"Carver-Hawkeye Arena, Iowa City, Iowa",INDIANA,Indiana,64.1,Home,IOWA,Iowa,Iowa,big-ten,26,True,False,True,Home,True,7,19,62,43,79,6,20,63,1,0,218,472,1474,0.5420624151967436,855,1655,0.5166163141993958,203,489,1565,0.5070287539936102,0.7692307692307693
27,2019-02-26-19-ohio-state,38.5,10,3.8,1,128.6,72.4,21,0.527,55,0.473,26,0.255,14,0.857,12,7,200,100.0,13.8,4,18,70,22.0,5.7,4,0.345,19,0.316,6,43.1,25,0.568,14.1,10,36,0.556,20,0.75,21,"February 26, 2019",67.9,19,8.3,3,100.0,86.2,25,0.586,58,0.483,28,0.414,24,0.917,22,10,200,128.6,27.6,8,12,90,,10.0,7,0.552,32,0.375,12,56.9,33,0.648,12.7,10,26,0.615,16,0.643,18,"Value City Arena, Columbus, Ohio",IOWA,Iowa,69.5,Home,OHIO-STATE,Ohio State,Iowa,big-ten,27,False,False,False,Away,False,6,20,55,25,58,12,16,58,0,1,225,491,1536,0.5393880208333334,898,1734,0.5178777393310265,209,509,1628,0.5052211302211302,0.7777777777777778
