,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,CENTRAL-CONNECTICUT-STATE_homegame,CENTRAL-CONNECTICUT-STATE_homegame2,CENTRAL-CONNECTICUT-STATE_home,CENTRAL-CONNECTICUT-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
15,2019-01-10-19-fairleigh-dickinson,55.9,19,2.9,1,107.9,73.8,31,0.623,65,0.523,34,0.4,26,0.846,22,9,250,115.7,29.0,9,25,103,,6.7,6,0.446,29,0.44799999999999995,13,54.8,40,0.6659999999999999,19.1,18,36,0.583,21,0.43799999999999994,7,"January 10, 2019",45.5,15,5.6,2,115.7,71.0,22,0.542,72,0.45799999999999996,33,0.361,26,0.6920000000000001,18,9,250,107.9,26.2,11,25,96,,6.7,6,0.514,37,0.324,12,45.2,33,0.569,17.7,18,35,0.6,21,0.4,6,"Rothman Center, Teaneck, New Jersey",FAIRLEIGH-DICKINSON,Fairleigh Dickinson,71.1,Away,CENTRAL-CONNECTICUT-STATE,Central Connecticut,Central Connecticut State,northeast,15,False,False,False,Away,True,13,21,65,40,73,12,21,72,1,0,102,265,874,0.4782608695652174,464,967,0.47983453981385726,134,251,874,0.517162471395881,0.4
16,2019-01-12-16-mount-st-marys,60.9,14,4.3,1,100.0,76.5,26,0.542,48,0.479,23,0.625,30,0.833,25,9,200,113.2,45.5,10,18,77,,7.4,5,0.375,18,0.33299999999999996,6,64.3,36,0.618,17.5,13,30,0.5670000000000001,17,0.47100000000000003,8,"January 12, 2019",70.0,14,3.3,1,113.2,54.5,12,0.51,52,0.385,20,0.519,27,0.556,15,14,200,100.0,23.5,8,24,68,,4.4,3,0.5579999999999999,29,0.44799999999999995,13,35.7,20,0.524,16.9,13,23,0.304,7,0.17600000000000002,3,"Knott Arena, Emmitsburg, Maryland",MOUNT-ST-MARYS,Mount St. Mary's,67.5,Away,CENTRAL-CONNECTICUT-STATE,Central Connecticut,Central Connecticut State,northeast,16,False,False,False,Away,True,6,17,48,36,56,13,7,52,1,0,115,286,939,0.4882854100106496,504,1040,0.4846153846153846,146,272,946,0.5190274841437632,0.4375
17,2019-01-19-15-central-connecticut-state,55.6,15,10.3,4,95.8,73.5,25,0.564,55,0.491,27,0.473,26,0.6920000000000001,18,9,200,111.1,25.0,7,20,80,,4.2,3,0.382,21,0.381,8,51.6,32,0.594,17.4,14,34,0.5589999999999999,19,0.43799999999999994,7,"January 19, 2019",60.9,14,17.6,6,111.1,75.0,21,0.44299999999999995,61,0.377,23,0.32799999999999996,20,0.75,15,10,200,95.8,26.5,9,22,69,,8.3,6,0.361,22,0.364,8,48.4,30,0.489,10.3,8,39,0.385,15,0.444,8,"Detrick Gymnasium, New Britain, Connecticut",CENTRAL-CONNECTICUT-STATE,Central Connecticut,71.9,Away,SAINT-FRANCIS-PA,Saint Francis (PA),Central Connecticut State,northeast,17,False,True,True,Home,False,8,15,61,30,62,8,19,55,0,1,121,303,987,0.4908814589665654,540,1096,0.4927007299270073,159,279,998,0.5185370741482966,0.47058823529411764
18,2019-01-21-15-central-connecticut-state,59.1,13,6.9,2,86.8,80.0,24,0.52,50,0.44,22,0.56,28,0.643,18,9,200,102.9,19.4,6,19,70,,14.7,10,0.44,22,0.364,8,49.2,30,0.5529999999999999,13.8,10,28,0.5,14,0.526,10,"January 21, 2019",60.0,12,0.0,0,102.9,80.6,25,0.489,47,0.426,20,0.426,20,0.65,13,11,200,86.8,20.0,6,25,59,,5.9,4,0.38299999999999995,18,0.33299999999999996,6,50.8,31,0.522,24.4,18,29,0.483,14,0.42100000000000004,8,"Detrick Gymnasium, New Britain, Connecticut",CENTRAL-CONNECTICUT-STATE,Central Connecticut,67.9,Away,ROBERT-MORRIS,Robert Morris,Central Connecticut State,northeast,18,False,True,True,Home,False,6,14,47,31,61,8,14,50,0,1,129,318,1048,0.4880725190839695,570,1158,0.49222797927461137,167,298,1053,0.5208926875593543,0.4444444444444444
19,2019-01-24-19-bryant,32.0,8,17.9,5,100.0,83.3,25,0.444,62,0.40299999999999997,25,0.09699999999999999,6,0.833,5,12,200,95.2,30.6,11,14,60,,1.6,1,0.306,19,0.263,5,54.5,36,0.46299999999999997,13.4,10,43,0.465,20,0.4,8,"January 24, 2019",45.5,10,9.3,4,95.2,69.4,25,0.5,53,0.415,22,0.245,13,0.769,10,11,200,100.0,16.7,5,12,63,,7.9,5,0.47200000000000003,25,0.36,9,45.5,30,0.532,12.0,8,28,0.46399999999999997,13,0.389,7,"Chace Athletic Center , Smithfield, Rhode Island",CENTRAL-CONNECTICUT-STATE,Central Connecticut,63.0,Home,BRYANT,Bryant,Central Connecticut State,northeast,19,False,False,False,Away,False,5,20,62,36,66,9,13,53,0,1,135,332,1095,0.48812785388127855,601,1219,0.49302707136997537,175,312,1103,0.5208522212148685,0.42105263157894735
20,2019-01-26-13-central-connecticut-state,50.0,15,15.6,7,92.2,77.8,28,0.5479999999999999,62,0.484,30,0.33899999999999997,21,0.762,16,10,200,109.1,30.3,10,14,84,,14.3,11,0.419,26,0.308,8,55.1,38,0.584,15.4,13,36,0.611,22,0.5,10,"January 26, 2019",51.9,14,5.6,2,109.1,69.7,23,0.447,66,0.409,27,0.182,12,1.0,12,13,200,92.2,22.2,8,24,71,,10.4,8,0.318,21,0.23800000000000002,5,44.9,31,0.495,17.4,15,45,0.489,22,0.381,8,"Detrick Gymnasium, New Britain, Connecticut",CENTRAL-CONNECTICUT-STATE,Central Connecticut,76.8,Away,LONG-ISLAND-UNIVERSITY,LIU,Central Connecticut State,northeast,20,False,True,True,Home,False,5,22,66,31,69,8,22,62,0,1,140,352,1157,0.4857389801210026,637,1285,0.49571984435797667,184,325,1156,0.5198961937716263,0.4
21,2019-01-31-19-central-connecticut-state,66.7,16,11.6,5,102.6,69.4,25,0.5,60,0.4,24,0.267,16,0.75,12,9,200,94.7,18.2,6,21,72,,7.9,6,0.55,33,0.364,12,44.9,31,0.5329999999999999,18.3,15,27,0.444,12,0.591,13,"January 31, 2019",44.0,11,14.8,4,94.7,81.8,27,0.452,63,0.397,25,0.381,24,0.875,21,13,200,102.6,30.6,11,17,78,,13.2,10,0.317,20,0.35,7,55.1,38,0.524,14.0,12,43,0.419,18,0.409,9,"Detrick Gymnasium, New Britain, Connecticut",ST-FRANCIS-NY,St. Francis (NY),76.0,Home,CENTRAL-CONNECTICUT-STATE,Central Connecticut,Central Connecticut State,northeast,21,True,False,True,Home,True,7,18,63,38,69,12,12,60,1,0,145,374,1223,0.4836467702371218,668,1354,0.4933530280649926,192,347,1218,0.5213464696223317,0.38095238095238093
22,2019-02-02-15-central-connecticut-state,28.6,6,2.6,1,91.4,62.2,23,0.379,66,0.318,21,0.19699999999999998,13,0.6920000000000001,9,13,200,84.3,26.8,11,20,59,,8.6,6,0.47,31,0.258,8,43.6,34,0.409,13.3,11,35,0.371,13,0.381,8,"February 2, 2019",60.0,12,5.7,2,84.3,73.2,30,0.42,56,0.35700000000000004,20,0.375,21,0.81,17,13,200,91.4,37.8,14,15,64,,1.4,1,0.321,18,0.389,7,56.4,44,0.485,19.7,16,38,0.342,13,0.435,10,"Detrick Gymnasium, New Britain, Connecticut",BRYANT,Bryant,70.1,Home,CENTRAL-CONNECTICUT-STATE,Central Connecticut,Central Connecticut State,northeast,22,True,False,True,Home,True,7,13,56,44,78,8,13,66,1,0,152,392,1286,0.4821150855365474,706,1423,0.4961349262122277,204,359,1278,0.5203442879499217,0.4090909090909091
23,2019-02-07-17-saint-francis-pa,36.7,11,0.0,0,116.9,72.7,24,0.485,68,0.441,30,0.382,26,0.731,19,14,200,110.4,26.8,11,16,85,,10.4,8,0.294,20,0.3,6,47.3,35,0.529,10.2,9,48,0.5,24,0.41700000000000004,10,"February 7, 2019",74.2,23,8.3,4,110.4,73.2,30,0.589,62,0.5,31,0.387,24,0.708,17,11,200,116.9,27.3,9,22,90,,7.8,6,0.419,26,0.423,11,52.7,39,0.613,14.2,12,36,0.556,20,0.5,11,"DeGol Arena, Loretto, Pennsylvania",CENTRAL-CONNECTICUT-STATE,Central Connecticut,77.4,Home,SAINT-FRANCIS-PA,Saint Francis (PA),Central Connecticut State,northeast,23,False,False,False,Away,False,6,24,68,35,74,11,20,62,0,1,159,405,1342,0.47950819672131145,750,1501,0.4996668887408394,212,372,1344,0.5133928571428571,0.43478260869565216
24,2019-02-09-16-robert-morris,37.0,10,3.1,1,94.4,77.8,28,0.564,55,0.491,27,0.382,21,0.7140000000000001,15,14,200,106.9,30.0,9,15,77,,5.6,4,0.327,18,0.444,8,56.1,37,0.593,17.9,14,37,0.514,19,0.44,11,"February 9, 2019",52.0,13,2.7,1,106.9,70.0,21,0.452,63,0.397,25,0.254,16,0.688,11,12,200,94.4,22.2,8,24,68,,11.1,8,0.49200000000000005,31,0.226,7,43.9,29,0.48200000000000004,13.6,11,32,0.563,18,0.52,13,"North Athletic Complex, Pittsburgh, Pennsylvania",ROBERT-MORRIS,Robert Morris,71.8,Away,CENTRAL-CONNECTICUT-STATE,Central Connecticut,Central Connecticut State,northeast,24,False,False,False,Away,True,8,19,55,37,66,7,18,63,1,0,165,429,1410,0.4797872340425532,785,1575,0.4984126984126984,223,392,1406,0.5167140825035562,0.4166666666666667
25,2019-02-14-19-wagner,50.0,8,13.6,3,101.6,69.6,16,0.349,53,0.302,16,0.491,26,0.769,20,15,200,91.9,35.5,11,17,57,,4.8,3,0.491,26,0.192,5,50.0,27,0.436,11.0,8,27,0.40700000000000003,11,0.423,11,"February 14, 2019",65.0,13,18.5,5,91.9,64.5,20,0.521,48,0.41700000000000004,20,0.396,19,0.684,13,12,200,101.6,30.4,7,20,63,,6.5,4,0.542,26,0.385,10,50.0,27,0.552,16.3,11,22,0.455,10,0.5,12,"Spiro Sports Center, Staten Island, New York",CENTRAL-CONNECTICUT-STATE,Central Connecticut,61.7,Home,WAGNER,Wagner,Central Connecticut State,northeast,25,False,False,False,Away,False,5,11,53,27,54,10,10,48,0,1,173,448,1465,0.48293515358361777,822,1641,0.5009140767824497,230,410,1469,0.5139550714771953,0.44
