,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,ARIZONA-STATE_homegame,ARIZONA-STATE_homegame2,ARIZONA-STATE_home,ARIZONA-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-22-21-arizona-state,48.1,13,11.9,5,102.6,69.2,27,0.469,65,0.415,27,0.24600000000000002,16,0.938,15,1,200,97.4,29.4,10,22,76,1.0,7.7,6,0.431,28,0.25,7,50.7,37,0.523,18.2,16,37,0.541,20,0.909,10,"December 22, 2018",50.0,13,13.5,5,97.4,70.6,24,0.47600000000000003,63,0.413,26,0.508,32,0.625,20,2,200,102.6,30.8,12,12,80,18.0,11.5,9,0.33299999999999996,21,0.381,8,49.3,36,0.512,12.5,11,42,0.429,18,0.818,9,"Wells Fargo Arena, Tempe, Arizona",KANSAS,Kansas,77.9,Home,ARIZONA-STATE,Arizona State,Arizona State,pac-12,10,True,False,True,Home,True,8,18,63,36,73,7,20,65,1,0,66,211,622,0.4983922829581994,400,692,0.5780346820809249,82,155,593,0.4688026981450253,0.8
11,2018-12-29-16-arizona-state,65.0,13,4.3,2,93.0,71.8,28,0.439,57,0.35100000000000003,20,0.386,22,0.773,17,5,201,94.4,24.3,9,24,67,,2.8,2,0.544,31,0.32299999999999995,10,48.7,37,0.49700000000000005,14.2,11,26,0.385,10,0.583,7,"December 29, 2018",40.0,8,30.8,8,94.4,75.7,28,0.33899999999999997,62,0.32299999999999995,20,0.516,32,0.75,24,3,201,93.0,28.2,11,17,66,17.0,5.6,4,0.242,15,0.133,2,51.3,39,0.42700000000000005,7.3,6,47,0.38299999999999995,18,0.75,9,"Wells Fargo Arena, Tempe, Arizona",ARIZONA-STATE,Arizona State,70.5,Away,PRINCETON,Princeton,Arizona State,pac-12,11,False,True,True,Home,False,2,18,62,39,76,10,10,57,0,1,74,229,685,0.49635036496350365,436,765,0.5699346405228758,89,175,658,0.4688449848024316,0.8181818181818182
12,2019-01-03-20-arizona-state,65.5,19,8.1,3,111.7,78.4,29,0.649,57,0.509,29,0.474,27,0.815,22,6,200,124.7,20.7,6,21,96,,9.1,7,0.526,30,0.5329999999999999,16,53.0,35,0.687,14.8,12,27,0.48100000000000004,13,0.5379999999999999,7,"January 3, 2019",50.0,15,18.5,5,124.7,79.3,23,0.546,65,0.462,30,0.385,25,0.6,15,4,200,111.7,21.6,8,18,86,,7.8,6,0.431,28,0.39299999999999996,11,47.0,31,0.5589999999999999,10.6,9,37,0.514,19,0.6920000000000001,9,"Wells Fargo Arena, Tempe, Arizona",ARIZONA-STATE,Arizona State,76.9,Away,UTAH,Utah,Arizona State,pac-12,12,False,True,True,Home,False,11,19,65,31,66,16,13,57,0,1,76,247,747,0.48326639892904955,475,841,0.5648038049940547,99,185,715,0.4664335664335664,0.75
13,2019-01-05-18-arizona-state,52.6,10,11.4,4,118.6,56.0,14,0.371,58,0.32799999999999996,19,0.379,22,0.818,18,5,200,87.1,29.7,11,21,61,,14.3,10,0.44799999999999995,26,0.192,5,40.3,25,0.446,16.1,13,32,0.43799999999999994,14,0.643,9,"January 5, 2019",75.0,24,3.1,1,87.1,70.3,26,0.634,56,0.5710000000000001,32,0.33899999999999997,19,0.632,12,4,200,118.6,44.0,11,19,83,,11.4,8,0.375,21,0.33299999999999996,7,59.7,37,0.638,18.9,15,35,0.7140000000000001,25,0.7140000000000001,10,"Wells Fargo Arena, Tempe, Arizona",COLORADO,Colorado,69.7,Home,ARIZONA-STATE,Arizona State,Arizona State,pac-12,13,True,False,True,Home,True,7,25,56,37,62,5,14,58,1,0,87,266,812,0.4883004926108374,506,907,0.557883131201764,115,198,772,0.4799222797927461,0.6923076923076923
14,2019-01-09-21-california,57.1,16,6.5,2,95.7,75.0,24,0.542,59,0.475,28,0.39,23,0.696,16,4,200,115.9,21.9,7,20,80,,8.7,6,0.441,26,0.308,8,48.4,31,0.5720000000000001,9.2,7,33,0.606,20,0.733,11,"January 9, 2019",40.0,8,6.1,2,115.9,78.1,25,0.462,52,0.385,20,0.462,24,0.75,18,10,200,95.7,25.0,8,20,66,,2.9,2,0.40399999999999997,21,0.381,8,51.6,33,0.521,17.2,13,31,0.387,12,0.33299999999999996,5,"Haas Pavilion, Berkeley, California",CALIFORNIA,California,69.2,Away,ARIZONA-STATE,Arizona State,Arizona State,pac-12,14,False,False,False,Away,True,8,20,59,31,64,8,12,52,1,0,94,291,868,0.4976958525345622,543,969,0.5603715170278638,120,212,830,0.472289156626506,0.7142857142857143
15,2019-01-12-18-stanford,32.1,9,2.7,1,109.0,74.2,23,0.478,68,0.41200000000000003,28,0.25,17,0.353,6,5,200,91.0,34.2,13,19,71,,9.0,7,0.294,20,0.45,9,52.2,36,0.467,18.4,17,48,0.396,19,0.688,11,"January 12, 2019",56.3,18,14.6,7,91.0,65.8,25,0.608,60,0.5329999999999999,32,0.317,19,0.632,12,8,200,109.0,25.8,8,17,85,,11.5,9,0.38299999999999995,23,0.391,9,47.8,33,0.616,17.0,14,37,0.622,23,0.5,8,"Maples Pavilion, Stanford, California",ARIZONA-STATE,Arizona State,77.6,Home,STANFORD,Stanford,Arizona State,pac-12,15,False,False,False,Away,False,9,19,68,36,69,9,23,60,0,1,102,311,927,0.5005393743257821,574,1033,0.5556631171345595,128,224,882,0.47165532879818595,0.7333333333333333
16,2019-01-17-22-arizona-state,77.3,17,6.3,2,102.9,67.6,23,0.48200000000000004,56,0.39299999999999996,22,0.35700000000000004,20,0.65,13,5,200,98.5,15.6,5,19,67,,10.3,7,0.518,29,0.345,10,42.4,28,0.511,12.2,9,27,0.444,12,0.688,11,"January 17, 2019",60.0,15,7.4,2,98.5,84.4,27,0.526,57,0.439,25,0.386,22,0.455,10,5,200,102.9,32.4,11,21,70,,4.4,3,0.439,25,0.4,10,57.6,38,0.519,14.2,11,32,0.469,15,0.706,12,"Wells Fargo Arena, Tempe, Arizona",OREGON-STATE,Oregon State,68.5,Home,ARIZONA-STATE,Arizona State,Arizona State,pac-12,16,True,False,True,Home,True,10,15,57,38,66,10,12,56,1,0,111,330,995,0.49899497487437183,610,1102,0.5535390199637024,137,247,942,0.48036093418259024,0.6875
17,2019-01-19-21-arizona-state,52.4,11,4.8,1,113.0,72.7,16,0.413,63,0.33299999999999996,21,0.20600000000000002,13,0.9229999999999999,12,7,200,92.8,41.2,14,22,64,,7.2,5,0.49200000000000005,31,0.32299999999999995,10,53.6,30,0.46299999999999997,17.9,15,32,0.344,11,0.611,11,"January 19, 2019",68.0,17,9.4,3,92.8,58.8,20,0.622,49,0.51,25,0.429,21,0.81,17,5,200,113.0,27.3,6,15,78,,8.7,6,0.5710000000000001,28,0.39299999999999996,11,46.4,26,0.6609999999999999,20.5,15,21,0.667,14,0.722,13,"Wells Fargo Arena, Tempe, Arizona",OREGON,Oregon,69.1,Home,ARIZONA-STATE,Arizona State,Arizona State,pac-12,17,True,False,True,Home,True,11,14,49,26,56,10,11,63,1,0,121,345,1052,0.5004752851711026,648,1168,0.5547945205479452,147,259,998,0.4804609218436874,0.7058823529411765
18,2019-01-24-23-ucla,58.1,18,2.4,1,91.3,72.5,29,0.5,69,0.449,31,0.304,21,0.7140000000000001,15,5,200,105.0,36.6,15,21,84,,6.3,5,0.391,27,0.259,7,54.3,44,0.532,17.8,17,42,0.5710000000000001,24,0.737,14,"January 24, 2019",63.0,17,4.8,2,105.0,63.4,26,0.47700000000000004,66,0.409,27,0.318,21,0.47600000000000003,10,9,200,91.3,27.5,11,20,73,,8.8,7,0.379,25,0.36,9,45.7,37,0.48,16.6,15,41,0.439,18,0.526,10,"Pauley Pavilion, Los Angeles, California",UCLA,UCLA,80.5,Away,ARIZONA-STATE,Arizona State,Arizona State,pac-12,18,False,False,False,Away,True,7,24,69,44,81,9,18,66,1,0,132,359,1101,0.5059037238873751,674,1224,0.5506535947712419,157,270,1061,0.4764373232799246,0.7222222222222222
19,2019-01-26-20-southern-california,52.6,10,2.9,1,92.0,87.2,34,0.363,62,0.306,19,0.40299999999999997,25,0.88,22,6,200,89.3,33.3,13,17,67,,6.7,5,0.33899999999999997,21,0.33299999999999996,7,60.3,47,0.45299999999999996,17.0,15,41,0.293,12,0.7,14,"January 26, 2019",56.0,14,4.9,2,89.3,66.7,26,0.483,60,0.41700000000000004,25,0.3,18,0.611,11,8,200,92.0,12.8,5,21,69,,12.0,9,0.433,26,0.308,8,39.7,31,0.503,12.8,10,34,0.5,17,0.6,12,"Galen Center, Los Angeles, California",ARIZONA-STATE,Arizona State,74.7,Home,SOUTHERN-CALIFORNIA,USC,Arizona State,pac-12,19,False,False,False,Away,False,7,12,62,47,78,8,17,60,0,1,139,383,1170,0.5055555555555555,718,1305,0.550191570881226,166,288,1127,0.4764862466725821,0.7368421052631579
20,2019-01-31-21-arizona-state,55.6,15,0.0,0,128.4,63.0,17,0.507,67,0.40299999999999997,27,0.40299999999999997,27,0.741,20,8,225,118.9,34.1,14,26,88,,10.8,8,0.418,28,0.5,14,45.6,31,0.551,10.2,9,39,0.33299999999999996,13,0.636,14,"January 31, 2019",60.0,18,10.3,4,118.9,65.9,27,0.639,54,0.556,30,0.648,35,0.743,26,6,225,128.4,37.0,10,23,95,,6.8,5,0.35200000000000004,19,0.474,9,54.4,37,0.6729999999999999,15.8,13,35,0.6,21,0.7140000000000001,15,"Wells Fargo Arena, Tempe, Arizona",ARIZONA,Arizona,66.0,Home,ARIZONA-STATE,Arizona State,Arizona State,pac-12,20,True,False,True,Home,True,9,21,54,37,68,14,13,67,1,0,146,395,1232,0.49837662337662336,765,1383,0.5531453362255966,174,305,1187,0.476832350463353,0.7
21,2019-02-07-20-arizona-state,84.6,22,14.3,5,81.4,72.5,37,0.5329999999999999,60,0.433,26,0.55,33,0.818,27,14,200,105.8,26.5,9,24,91,,12.8,11,0.5,30,0.4,12,54.1,46,0.601,19.5,18,30,0.467,14,0.391,9,"February 7, 2019",47.8,11,6.7,2,105.8,73.5,25,0.375,68,0.33799999999999997,23,0.485,33,0.5760000000000001,19,7,200,81.4,27.5,14,23,70,,17.4,15,0.485,33,0.152,5,45.9,39,0.418,17.1,17,35,0.514,18,0.682,15,"Wells Fargo Arena, Tempe, Arizona",ARIZONA-STATE,Arizona State,85.7,Away,WASHINGTON-STATE,Washington State,Arizona State,pac-12,21,False,True,True,Home,False,5,18,68,39,85,12,14,60,0,1,155,416,1286,0.5042768273716952,802,1451,0.5527222605099931,188,318,1254,0.4784688995215311,0.7142857142857143
22,2019-02-09-22-arizona-state,47.6,10,6.7,2,100.0,66.7,14,0.456,57,0.368,21,0.35100000000000003,20,0.55,11,5,200,84.0,16.7,6,22,63,,16.0,12,0.561,32,0.313,10,35.1,20,0.474,20.5,17,25,0.44,11,0.792,19,"February 9, 2019",62.1,18,16.0,4,84.0,83.3,30,0.6809999999999999,47,0.617,29,0.40399999999999997,19,0.579,11,7,200,100.0,33.3,7,19,75,,8.0,6,0.36200000000000004,17,0.353,6,64.9,37,0.669,30.2,24,30,0.767,23,0.696,16,"Wells Fargo Arena, Tempe, Arizona",WASHINGTON,Washington,75.3,Home,ARIZONA-STATE,Arizona State,Arizona State,pac-12,22,True,False,True,Home,True,6,23,47,37,57,10,11,57,1,0,160,434,1354,0.4977843426883309,841,1536,0.5475260416666666,200,332,1314,0.4809741248097412,0.6818181818181818
23,2019-02-13-22-colorado,44.0,11,5.1,2,110.0,77.8,21,0.508,59,0.424,25,0.373,22,0.591,13,8,200,104.3,24.3,9,20,73,,10.0,7,0.39,23,0.435,10,46.9,30,0.526,12.7,10,36,0.41700000000000004,15,0.667,16,"February 13, 2019",57.1,16,2.8,1,104.3,75.7,28,0.535,57,0.491,28,0.368,21,0.762,16,9,200,110.0,22.2,6,16,77,,5.7,4,0.316,18,0.278,5,53.1,34,0.575,12.0,9,39,0.59,23,0.625,15,"Coors Events/Conference Center, Boulder, Colorado",ARIZONA-STATE,Arizona State,70.2,Home,COLORADO,Colorado,Arizona State,pac-12,23,False,False,False,Away,False,10,15,59,30,64,5,23,57,0,1,166,457,1401,0.5039257673090649,878,1593,0.5511613308223478,210,343,1371,0.4799416484318016,0.6956521739130435
24,2019-02-16-22-utah,38.2,13,10.3,3,113.0,79.3,23,0.619,63,0.54,34,0.381,24,0.833,20,8,200,127.3,28.0,7,26,98,,7.8,6,0.349,22,0.455,10,55.6,30,0.659,12.0,10,41,0.585,24,0.68,17,"February 16, 2019",50.0,14,19.5,8,127.3,72.0,18,0.615,52,0.5379999999999999,28,0.6920000000000001,36,0.639,23,11,200,113.0,20.7,6,21,87,,9.1,7,0.442,23,0.348,8,44.4,24,0.63,16.1,13,29,0.69,20,0.56,14,"Jon M. Huntsman Center, Salt Lake City, Utah",UTAH,Utah,76.8,Away,ARIZONA-STATE,Arizona State,Arizona State,pac-12,24,False,False,False,Away,True,10,24,63,30,54,8,20,52,1,0,176,472,1460,0.5041095890410959,908,1657,0.547978273989137,215,366,1428,0.48214285714285715,0.6666666666666666
25,2019-02-20-21-arizona-state,47.6,10,6.5,2,114.3,75.0,21,0.39299999999999996,56,0.375,21,0.518,29,0.621,18,12,200,88.6,29.7,11,26,62,,7.1,5,0.375,21,0.095,2,49.2,32,0.444,14.9,12,35,0.5429999999999999,19,0.5379999999999999,14,"February 20, 2019",48.1,13,11.4,4,88.6,70.3,26,0.606,52,0.519,27,0.519,27,0.63,17,8,200,114.3,25.0,7,24,80,,4.3,3,0.40399999999999997,21,0.429,9,50.8,33,0.617,15.8,12,31,0.581,18,0.6920000000000001,18,"Wells Fargo Arena, Tempe, Arizona",STANFORD,Stanford,70.3,Home,ARIZONA-STATE,Arizona State,Arizona State,pac-12,25,True,False,True,Home,True,9,18,52,33,65,2,19,56,1,0,186,496,1523,0.5088640840446487,938,1711,0.5482174167153712,223,386,1480,0.4868243243243243,0.68
26,2019-02-24-18-arizona-state,55.0,11,14.7,5,107.8,64.5,20,0.45399999999999996,54,0.37,20,0.222,12,0.833,10,22,200,92.2,28.1,9,16,59,,9.4,6,0.37,20,0.45,9,46.0,29,0.494,19.1,14,34,0.324,11,0.185,5,"February 24, 2019",52.2,12,5.9,2,92.2,71.9,23,0.48200000000000004,55,0.418,23,0.382,21,0.762,16,8,200,107.8,35.5,11,12,69,,10.9,7,0.382,21,0.33299999999999996,7,54.0,34,0.531,13.5,10,34,0.47100000000000003,16,0.7040000000000001,19,"Wells Fargo Arena, Tempe, Arizona",CALIFORNIA,California,64.3,Home,ARIZONA-STATE,Arizona State,Arizona State,pac-12,26,True,False,True,Home,True,7,16,55,34,63,9,11,54,1,0,195,514,1575,0.5120634920634921,971,1776,0.5467342342342343,225,405,1536,0.4833984375,0.6923076923076923
