,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NJIT_homegame,NJIT_homegame2,NJIT_home,NJIT_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-08-16-njit,38.1,8,11.4,5,113.9,71.4,25,0.358,67,0.313,21,0.254,17,0.706,12,4,200,83.3,25.0,11,24,60,,0.0,0,0.418,28,0.214,6,45.6,36,0.4,10.8,9,39,0.385,15,0.556,5,"December 8, 2018",42.3,11,15.4,6,83.3,75.0,33,0.467,60,0.433,26,0.55,33,0.7879999999999999,26,2,200,113.9,28.6,10,18,82,,5.6,4,0.267,16,0.25,4,54.4,43,0.542,7.5,6,44,0.5,22,0.818,9,"NJIT Wellness and Events Center, Newark, New Jersey",ST-FRANCIS-NY,St. Francis (NY),72.4,Home,NJIT,NJIT,NJIT,atlantic-sun,10,True,False,True,Home,True,4,22,60,43,79,6,15,67,1,0,66,188,553,0.5189873417721519,306,639,0.4788732394366197,74,164,565,0.48672566371681414,0.8
11,2018-12-11-20-fordham,68.8,11,6.3,2,76.9,76.5,26,0.41700000000000004,42,0.381,16,0.643,27,0.667,18,2,200,81.5,13.3,4,11,53,,13.8,9,0.31,13,0.231,3,46.9,30,0.483,20.6,14,29,0.44799999999999995,13,0.833,10,"December 11, 2018",33.3,7,17.2,5,81.5,86.7,26,0.43,57,0.368,21,0.053,3,0.33299999999999996,1,3,200,76.9,23.5,8,20,50,,4.6,3,0.439,25,0.28,7,53.1,34,0.428,19.4,14,32,0.43799999999999994,14,0.7,7,"Rose Hill Gym, Bronx, New York",FORDHAM,Fordham,64.6,Away,NJIT,NJIT,NJIT,atlantic-sun,11,False,False,False,Away,True,3,13,42,30,64,7,14,57,1,0,70,210,613,0.5138662316476346,349,718,0.4860724233983287,80,179,632,0.47310126582278483,0.8181818181818182
12,2018-12-15-19-fairleigh-dickinson,48.0,12,5.7,2,114.3,83.3,25,0.59,50,0.5,25,0.7,35,0.8859999999999999,31,2,200,128.6,30.8,8,19,90,,7.1,5,0.38,19,0.474,9,58.9,33,0.675,14.4,11,31,0.516,16,0.846,11,"December 15, 2018",59.3,16,12.9,4,128.6,69.2,18,0.5429999999999999,58,0.466,27,0.379,22,0.773,17,5,200,114.3,16.7,5,23,80,,5.7,4,0.397,23,0.391,9,41.1,23,0.584,9.4,7,35,0.514,18,0.444,4,"Rothman Center, Teaneck, New Jersey",FAIRLEIGH-DICKINSON,Fairleigh Dickinson,70.0,Away,NJIT,NJIT,NJIT,atlantic-sun,12,False,False,False,Away,True,9,16,50,33,56,9,18,58,1,0,73,223,655,0.5076335877862596,379,782,0.4846547314578005,87,193,689,0.4695210449927431,0.8333333333333334
13,2018-12-29-16-houston,45.0,9,0.0,0,108.1,73.5,25,0.402,61,0.32799999999999996,20,0.262,16,0.625,10,3,200,79.7,11.9,5,11,59,,6.8,5,0.49200000000000005,30,0.3,9,39.5,30,0.43,13.9,11,31,0.355,11,0.7859999999999999,11,"December 29, 2018",41.2,14,19.4,6,79.7,88.1,37,0.551,68,0.5,34,0.10300000000000001,7,0.7140000000000001,5,0,200,108.1,26.5,9,18,80,22.0,9.5,7,0.353,24,0.292,7,60.5,46,0.561,14.4,12,44,0.614,27,1.0,13,"Hofheinz Pavilion, Houston, Texas",NJIT,NJIT,74.5,Home,HOUSTON,Houston,NJIT,atlantic-sun,13,False,False,False,Away,False,9,11,61,30,76,7,27,68,0,1,82,239,705,0.5134751773049645,412,838,0.4916467780429594,96,211,747,0.47523427041499333,0.8461538461538461
14,2018-12-31-14-duquesne,67.9,19,5.1,2,90.5,63.6,28,0.542,59,0.475,28,0.28800000000000003,17,0.8240000000000001,14,3,200,105.4,41.9,13,16,78,,12.2,9,0.33899999999999997,20,0.4,8,54.7,41,0.581,24.0,21,39,0.513,20,0.8,12,"December 31, 2018",54.2,13,10.3,4,105.4,58.1,18,0.40299999999999997,67,0.358,24,0.299,20,0.65,13,4,200,90.5,36.4,16,18,67,,13.5,10,0.418,28,0.214,6,45.3,34,0.43799999999999994,14.6,13,39,0.462,18,0.6920000000000001,9,"A.J. Palumbo Center, Pittsburgh, Pennsylvania",DUQUESNE,Duquesne,74.3,Away,NJIT,NJIT,NJIT,atlantic-sun,14,False,False,False,Away,True,8,20,59,41,75,6,18,67,1,0,91,250,766,0.5045691906005222,442,914,0.48358862144420134,103,238,815,0.4815950920245399,0.7857142857142857
15,2019-01-05-16-njit,47.4,9,0.0,0,105.9,88.2,30,0.325,63,0.302,19,0.27,17,0.647,11,13,200,76.5,27.9,12,15,52,,8.8,6,0.19,12,0.25,3,54.5,42,0.366,12.4,10,51,0.314,16,0.188,3,"January 5, 2019",38.5,10,5.9,3,76.5,72.1,31,0.5539999999999999,56,0.46399999999999997,26,0.28600000000000003,16,0.625,10,3,200,105.9,11.8,4,15,72,,10.3,7,0.446,25,0.4,10,45.5,35,0.5660000000000001,11.3,8,31,0.516,16,0.812,13,"NJIT Wellness and Events Center, Newark, New Jersey",KENNESAW-STATE,Kennesaw State,68.3,Home,NJIT,NJIT,NJIT,atlantic-sun,15,True,False,True,Home,True,10,16,56,35,77,3,16,63,1,0,99,270,825,0.5072727272727273,483,989,0.4883720930232558,109,256,882,0.4756235827664399,0.8
16,2019-01-12-16-north-alabama,44.4,8,8.8,3,82.4,74.3,26,0.429,49,0.36700000000000005,18,0.429,21,0.619,13,4,200,74.3,9.1,3,21,55,,10.8,8,0.449,22,0.273,6,42.6,29,0.466,23.6,18,27,0.444,12,0.765,13,"January 12, 2019",47.1,8,7.4,2,74.3,90.9,30,0.365,52,0.327,17,0.635,33,0.6970000000000001,23,13,200,82.4,25.7,9,20,61,,10.8,8,0.34600000000000003,18,0.222,4,57.4,39,0.451,19.4,16,34,0.382,13,0.278,5,"Flowers Hall, Florence, Alabama",NJIT,NJIT,74.3,Home,NORTH-ALABAMA,North Alabama,NJIT,atlantic-sun,16,False,False,False,Away,False,6,12,49,29,68,4,13,52,0,1,109,286,881,0.5102156640181612,518,1066,0.48592870544090055,112,272,945,0.4656084656084656,0.8125
17,2019-01-16-19-njit,55.2,16,8.8,3,70.3,85.3,29,0.552,58,0.5,29,0.19,11,0.545,6,4,200,94.6,17.9,5,14,70,,16.2,12,0.345,20,0.3,6,54.8,34,0.5539999999999999,22.3,18,38,0.605,23,0.765,13,"January 16, 2019",30.0,6,10.5,4,94.6,82.1,23,0.418,55,0.364,20,0.145,8,0.75,6,5,200,70.3,14.7,5,13,52,,12.2,9,0.382,21,0.28600000000000003,6,45.2,28,0.442,23.5,18,34,0.41200000000000003,14,0.722,13,"NJIT Wellness and Events Center, Newark, New Jersey",NJIT,NJIT,74.0,Away,LIPSCOMB,Lipscomb,NJIT,atlantic-sun,17,False,True,True,Home,False,6,14,55,28,62,6,23,58,0,1,115,298,930,0.5059139784946236,547,1134,0.48236331569664903,116,285,997,0.46038114343029085,0.7647058823529411
18,2019-01-19-16-njit,29.6,8,14.6,6,91.7,83.8,31,0.461,64,0.42200000000000004,27,0.406,26,0.5770000000000001,15,12,200,88.1,26.2,11,22,74,,14.3,12,0.281,18,0.278,5,53.2,42,0.485,20.1,19,46,0.478,22,0.4,8,"January 19, 2019",56.0,14,8.7,4,88.1,73.8,31,0.475,61,0.41,25,0.39299999999999996,24,0.792,19,5,200,91.7,16.2,6,21,77,,9.5,8,0.32799999999999996,20,0.4,8,46.8,37,0.532,19.2,17,41,0.415,17,0.737,14,"NJIT Wellness and Events Center, Newark, New Jersey",JACKSONVILLE,Jacksonville,83.9,Home,NJIT,NJIT,NJIT,atlantic-sun,18,True,False,True,Home,True,8,17,61,37,79,5,22,64,1,0,121,312,985,0.5010152284263959,575,1196,0.4807692307692308,122,308,1055,0.4654028436018957,0.7222222222222222
19,2019-01-21-19-north-florida,60.0,15,0.0,0,98.6,74.4,29,0.483,60,0.41700000000000004,25,0.4,24,0.75,18,5,200,104.1,34.3,12,14,76,,9.6,7,0.35,21,0.381,8,55.4,41,0.532,13.5,11,39,0.436,17,0.75,15,"January 21, 2019",40.7,11,7.7,3,104.1,65.7,23,0.47700000000000004,66,0.409,27,0.22699999999999998,15,0.6,9,12,200,98.6,25.6,10,23,72,,8.2,6,0.409,27,0.33299999999999996,9,44.6,33,0.49200000000000005,14.2,12,39,0.462,18,0.429,9,"UNF Arena , Jacksonville, Florida",NORTH-FLORIDA,North Florida,72.8,Away,NJIT,NJIT,NJIT,atlantic-sun,19,False,False,False,Away,True,8,17,60,41,74,9,18,66,1,0,129,329,1046,0.49952198852772467,612,1275,0.48,127,330,1119,0.4651474530831099,0.7368421052631579
20,2019-01-24-19-stetson,73.3,22,7.5,3,83.1,82.1,32,0.72,50,0.6,30,0.32,16,0.625,10,5,200,115.5,17.4,4,18,82,,8.5,6,0.44,22,0.545,12,58.1,36,0.7120000000000001,20.8,15,28,0.643,18,0.762,16,"January 24, 2019",45.5,10,0.0,0,115.5,82.6,19,0.40399999999999997,57,0.386,22,0.386,22,0.591,13,17,200,83.1,17.9,7,15,59,,15.5,11,0.298,17,0.11800000000000001,2,41.9,26,0.43700000000000006,16.3,13,40,0.5,20,0.19,4,"Edmunds Center, DeLand, Florida",STETSON,Stetson,71.0,Away,NJIT,NJIT,NJIT,atlantic-sun,20,False,False,False,Away,True,12,18,50,36,62,2,20,57,1,0,137,346,1106,0.4986437613019892,653,1349,0.4840622683469237,136,348,1185,0.46582278481012657,0.75
21,2019-01-27-16-njit,45.8,11,10.3,3,101.3,80.0,24,0.42700000000000005,62,0.387,24,0.387,24,0.708,17,15,222,93.3,19.4,7,22,70,,12.0,9,0.32299999999999995,20,0.25,5,47.0,31,0.47700000000000004,11.0,9,42,0.452,19,0.348,8,"January 27, 2019",52.2,12,19.0,8,93.3,80.6,29,0.5,53,0.434,23,0.509,27,0.852,23,5,222,101.3,20.0,6,19,76,,6.7,5,0.45299999999999996,24,0.292,7,53.0,35,0.5770000000000001,17.7,14,29,0.552,16,0.773,17,"NJIT Wellness and Events Center, Newark, New Jersey",NORTH-ALABAMA,North Alabama,67.2,Home,NJIT,NJIT,NJIT,atlantic-sun,21,True,False,True,Home,True,7,16,53,35,66,5,19,62,1,0,149,364,1156,0.5082179930795848,689,1411,0.4883061658398299,138,368,1242,0.46296296296296297,0.7619047619047619
22,2019-01-30-19-njit,56.5,13,10.3,4,97.1,73.5,25,0.564,47,0.489,23,0.085,4,0.25,1,15,200,79.4,4.2,1,15,54,,8.8,6,0.511,24,0.292,7,44.8,26,0.552,28.0,19,23,0.696,16,0.348,8,"January 30, 2019",28.0,7,0.0,0,79.4,95.8,23,0.509,56,0.446,25,0.304,17,0.529,9,5,200,97.1,26.5,9,9,66,,13.2,9,0.304,17,0.41200000000000003,7,55.2,32,0.515,19.1,15,39,0.462,18,0.7829999999999999,18,"NJIT Wellness and Events Center, Newark, New Jersey",FLORIDA-GULF-COAST,Florida Gulf Coast,68.5,Home,NJIT,NJIT,NJIT,atlantic-sun,22,True,False,True,Home,True,7,18,56,32,58,7,16,47,1,0,156,380,1209,0.5078577336641853,724,1477,0.4901828029790115,143,387,1304,0.4612730061349693,0.7727272727272727
23,2019-02-02-19-liberty,47.6,10,6.7,2,126.2,70.8,17,0.48200000000000004,55,0.382,21,0.109,6,0.667,4,6,200,93.4,16.1,5,15,57,,6.6,4,0.455,25,0.44,11,40.0,22,0.493,12.2,8,30,0.33299999999999996,10,0.75,18,"February 2, 2019",53.6,15,3.3,1,93.4,83.9,26,0.62,54,0.519,28,0.204,11,0.909,10,5,200,126.2,29.2,7,8,77,,6.6,4,0.444,24,0.45799999999999996,11,60.0,33,0.65,13.3,9,30,0.5670000000000001,17,0.792,19,"Vines Center, Lynchburg, Virginia",NJIT,NJIT,61.0,Home,LIBERTY,Liberty,NJIT,atlantic-sun,23,False,False,False,Away,False,11,10,55,22,55,11,17,54,0,1,163,398,1265,0.5079051383399209,756,1535,0.49250814332247556,150,403,1351,0.46484085862324204,0.782608695652174
24,2019-02-09-16-kennesaw-state,39.1,9,8.2,4,100.0,68.8,22,0.521,48,0.479,23,0.354,17,0.706,12,7,200,98.4,20.8,5,18,62,,4.8,3,0.33299999999999996,16,0.25,4,48.2,27,0.5529999999999999,14.0,9,32,0.594,19,0.72,18,"February 9, 2019",52.2,12,9.4,3,98.4,79.2,19,0.41700000000000004,60,0.38299999999999995,23,0.3,18,0.722,13,20,200,100.0,31.3,10,18,63,,4.8,3,0.183,11,0.364,4,51.8,29,0.46,10.5,8,49,0.38799999999999996,19,0.2,5,"KSU Convocation Center , Kennesaw, Georgia",NJIT,NJIT,63.3,Home,KENNESAW-STATE,Kennesaw State,NJIT,atlantic-sun,24,False,False,False,Away,False,4,19,48,27,56,4,19,60,0,1,174,408,1320,0.5068181818181818,778,1590,0.48930817610062893,161,420,1405,0.4708185053380783,0.75
25,2019-02-13-19-florida-gulf-coast,60.0,12,8.3,2,91.9,78.6,22,0.426,54,0.37,20,0.259,14,0.643,9,8,200,88.7,20.6,7,20,55,,8.1,5,0.48100000000000004,26,0.231,6,46.8,29,0.45299999999999996,11.7,8,28,0.5,14,0.6920000000000001,18,"February 13, 2019",55.6,10,21.4,6,88.7,79.4,27,0.489,44,0.409,18,0.591,26,0.5379999999999999,14,16,200,91.9,21.4,6,13,57,,6.5,4,0.455,20,0.35,7,53.2,33,0.506,16.6,11,24,0.45799999999999996,11,0.40700000000000003,11,"Alico Arena, Fort Myers, Florida",NJIT,NJIT,61.5,Home,FLORIDA-GULF-COAST,Florida Gulf Coast,NJIT,atlantic-sun,25,False,False,False,Away,False,6,14,54,29,62,7,11,44,0,1,178,427,1368,0.5073099415204678,805,1646,0.4890643985419198,165,439,1465,0.4686006825938567,0.72
26,2019-02-16-16-njit,54.2,13,7.9,3,92.6,75.0,21,0.491,56,0.429,24,0.321,18,0.5,9,16,200,94.1,27.8,10,16,64,,10.3,7,0.375,21,0.33299999999999996,7,48.4,31,0.496,16.9,13,35,0.486,17,0.429,12,"February 16, 2019",56.5,13,8.6,3,94.1,72.2,26,0.439,57,0.40399999999999997,23,0.228,13,1.0,13,9,200,92.6,25.0,7,21,63,,7.4,5,0.33299999999999996,19,0.21100000000000002,4,51.6,33,0.499,17.2,13,38,0.5,19,0.667,18,"NJIT Wellness and Events Center, Newark, New Jersey",NJIT,NJIT,68.4,Away,NORTH-FLORIDA,North Florida,NJIT,atlantic-sun,26,False,True,True,Home,False,4,19,57,33,64,7,17,56,0,1,184,441,1422,0.5042194092827004,834,1708,0.4882903981264637,172,450,1509,0.4691848906560636,0.6923076923076923
27,2019-02-20-19-njit,41.4,12,15.6,5,117.1,83.3,25,0.523,65,0.446,29,0.16899999999999998,11,0.818,9,22,200,110.0,22.9,8,17,77,,5.7,4,0.33799999999999997,22,0.455,10,50.8,33,0.5479999999999999,11.4,9,43,0.442,19,0.214,6,"February 20, 2019",66.7,18,4.7,2,110.0,77.1,27,0.573,55,0.491,27,0.473,26,0.731,19,9,200,117.1,16.7,5,13,82,,5.7,4,0.418,23,0.391,9,49.2,32,0.609,8.3,6,32,0.563,18,0.679,19,"NJIT Wellness and Events Center, Newark, New Jersey",STETSON,Stetson,69.8,Home,NJIT,NJIT,NJIT,atlantic-sun,27,True,False,True,Home,True,9,18,55,32,65,10,19,65,1,0,188,460,1479,0.5016903313049358,867,1772,0.48927765237020315,179,467,1565,0.4699680511182109,0.6666666666666666
