,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,KENTUCKY_homegame,KENTUCKY_homegame2,KENTUCKY_home,KENTUCKY_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
13,2019-01-08-19-kentucky,29.6,8,7.9,3,114.9,74.1,20,0.5539999999999999,56,0.48200000000000004,27,0.23199999999999998,13,0.9229999999999999,12,7,200,100.0,20.8,5,19,74,,10.8,8,0.304,17,0.47100000000000003,8,49.0,25,0.595,23.5,19,39,0.48700000000000004,19,0.462,6,"January 8, 2019",55.2,16,12.8,5,100.0,79.2,19,0.5710000000000001,56,0.518,29,0.41100000000000003,23,0.9129999999999999,21,3,200,114.9,25.9,7,13,85,18.0,14.9,11,0.321,18,0.33299999999999996,6,51.0,26,0.635,15.4,12,38,0.605,23,0.7859999999999999,11,"Rupp Arena, Lexington, Kentucky",TEXAS-AM,Texas A&M,74.1,Home,KENTUCKY,Kentucky,Kentucky,sec,13,True,False,True,Home,True,6,23,56,26,51,8,19,56,1,0,82,288,759,0.541501976284585,471,821,0.5736906211936662,111,218,773,0.4974126778783959,0.7692307692307693
14,2019-01-12-20-kentucky,35.3,6,14.3,4,100.0,60.9,14,0.436,47,0.36200000000000004,17,0.255,12,0.5,6,6,200,83.9,18.8,6,14,47,,7.1,4,0.532,25,0.28,7,36.4,20,0.446,16.1,10,22,0.455,10,0.6,9,"January 12, 2019",45.5,10,22.7,5,83.9,81.3,26,0.545,44,0.5,22,0.318,14,0.5710000000000001,8,3,200,100.0,39.1,9,14,56,18.0,8.9,5,0.364,16,0.25,4,63.6,35,0.5529999999999999,21.8,14,28,0.643,18,0.8,12,"Rupp Arena, Lexington, Kentucky",VANDERBILT,Vanderbilt,56.2,Home,KENTUCKY,Kentucky,Kentucky,sec,14,True,False,True,Home,True,4,18,44,35,55,7,10,47,1,0,88,311,815,0.5435582822085889,497,872,0.569954128440367,119,237,829,0.5012062726176115,0.7857142857142857
15,2019-01-15-19-georgia,50.0,14,13.8,4,74.2,71.1,27,0.469,64,0.43799999999999994,28,0.172,11,0.818,9,3,200,104.5,37.1,13,14,69,12.0,12.1,8,0.172,11,0.364,4,54.8,40,0.498,11.6,9,53,0.45299999999999996,24,0.812,13,"January 15, 2019",70.6,12,7.5,4,104.5,62.9,22,0.33899999999999997,56,0.304,17,0.28600000000000003,16,0.688,11,7,200,74.2,28.9,11,15,49,,7.6,5,0.48200000000000004,27,0.14800000000000002,4,45.2,33,0.385,18.2,14,29,0.44799999999999995,13,0.562,9,"Stegeman Coliseum, Athens, Georgia",GEORGIA,Georgia,65.9,Away,KENTUCKY,Kentucky,Kentucky,sec,15,False,False,False,Away,True,4,24,64,40,73,4,13,56,1,0,92,329,859,0.5436554132712457,532,927,0.5738942826321467,126,247,876,0.4977168949771689,0.8
16,2019-01-19-16-auburn,53.8,14,7.7,2,115.9,77.4,24,0.604,48,0.542,26,0.688,33,0.727,24,3,200,118.8,32.0,8,20,82,12.0,10.1,7,0.313,15,0.4,6,57.1,32,0.644,17.2,13,33,0.606,20,0.8240000000000001,14,"January 19, 2019",65.4,17,12.1,4,118.8,68.0,17,0.58,56,0.46399999999999997,26,0.35700000000000004,20,0.75,15,4,200,115.9,22.6,7,25,80,14.0,7.2,5,0.536,30,0.433,13,42.9,24,0.611,14.5,11,26,0.5,13,0.765,13,"Auburn Arena, Auburn, Alabama",AUBURN,Auburn,69.1,Away,KENTUCKY,Kentucky,Kentucky,sec,16,False,False,False,Away,True,6,20,48,32,56,13,13,56,1,0,96,353,923,0.5384615384615384,572,1000,0.572,130,260,932,0.48819742489270385,0.8125
17,2019-01-22-19-kentucky,26.3,5,14.0,6,107.0,58.8,20,0.336,61,0.311,19,0.295,18,0.778,14,4,200,77.5,35.0,14,18,55,22.0,11.3,8,0.32799999999999996,20,0.15,3,45.9,34,0.395,17.9,15,41,0.39,16,0.778,14,"January 22, 2019",53.8,14,19.5,8,77.5,65.0,26,0.508,59,0.441,26,0.373,22,0.727,16,3,200,107.0,41.2,14,17,76,8.0,11.3,8,0.271,16,0.5,8,54.1,40,0.547,18.9,16,43,0.419,18,0.833,15,"Rupp Arena, Lexington, Kentucky",MISSISSIPPI-STATE,Mississippi State,71.0,Home,KENTUCKY,Kentucky,Kentucky,sec,17,True,False,True,Home,True,8,18,59,40,74,3,16,61,1,0,102,373,971,0.5417095777548918,604,1056,0.571969696969697,143,273,988,0.4934210526315789,0.8235294117647058
18,2019-01-26-18-kentucky,39.1,9,4.3,2,102.9,63.4,26,0.43700000000000006,63,0.365,23,0.175,11,0.727,8,4,200,91.3,22.0,9,21,63,9.0,5.8,4,0.365,23,0.391,9,42.7,35,0.462,10.5,8,40,0.35,14,0.8,16,"January 26, 2019",56.0,14,20.0,8,91.3,78.0,32,0.42200000000000004,64,0.391,25,0.359,23,0.7390000000000001,17,3,200,102.9,36.6,15,13,71,8.0,5.8,4,0.281,18,0.222,4,57.3,47,0.474,12.9,11,46,0.457,21,0.8420000000000001,16,"Rupp Arena, Lexington, Kentucky",KANSAS,Kansas,69.1,Home,KENTUCKY,Kentucky,Kentucky,sec,18,True,False,True,Home,True,4,21,64,47,82,9,14,63,1,0,110,391,1030,0.5398058252427185,644,1130,0.5699115044247788,146,289,1049,0.48427073403241183,0.8333333333333334
19,2019-01-29-21-vanderbilt,60.0,18,27.3,6,78.8,79.3,23,0.648,54,0.556,30,0.426,23,0.7390000000000001,17,3,200,131.8,24.0,6,20,87,7.0,10.6,7,0.315,17,0.588,10,53.7,29,0.67,8.6,6,37,0.541,20,0.85,17,"January 29, 2019",58.8,10,8.1,3,131.8,76.0,19,0.467,46,0.37,17,0.391,18,0.5,9,11,200,78.8,20.7,6,19,52,,3.0,2,0.522,24,0.375,9,46.3,25,0.47700000000000004,26.1,19,22,0.364,8,0.45,9,"Memorial Gymnasium, Nashville, Tennessee",VANDERBILT,Vanderbilt,66.2,Away,KENTUCKY,Kentucky,Kentucky,sec,19,False,False,False,Away,True,10,20,54,29,54,9,8,46,1,0,114,412,1094,0.5329067641681902,691,1212,0.5701320132013201,155,303,1112,0.48156474820143885,0.8421052631578947
20,2019-02-02-16-florida,56.5,13,4.5,2,83.1,73.2,30,0.46399999999999997,56,0.41100000000000003,23,0.28600000000000003,16,0.813,13,3,200,100.0,36.4,12,12,65,7.0,6.2,4,0.375,21,0.28600000000000003,6,56.8,42,0.511,16.0,12,35,0.486,17,0.857,18,"February 2, 2019",31.8,7,17.1,6,100.0,63.6,21,0.389,63,0.349,22,0.159,10,0.5,5,9,200,83.1,26.8,11,15,54,,10.8,7,0.302,19,0.263,5,43.2,32,0.39899999999999997,11.8,9,44,0.386,17,0.5710000000000001,12,"Stephen C. O'Connell Center, Gainesville, Florida",FLORIDA,Florida,64.7,Away,KENTUCKY,Kentucky,Kentucky,sec,20,False,False,False,Away,True,6,17,56,42,74,5,17,63,1,0,124,432,1148,0.5383275261324042,720,1266,0.5687203791469194,164,311,1158,0.48100172711571676,0.85
21,2019-02-05-19-kentucky,52.6,10,4.4,2,108.6,48.6,17,0.406,53,0.358,19,0.264,14,0.35700000000000004,5,11,200,68.6,22.2,8,19,48,,8.6,6,0.321,17,0.294,5,35.2,25,0.402,24.3,19,36,0.389,14,0.5,11,"February 5, 2019",44.0,11,2.8,1,68.6,77.8,28,0.451,61,0.41,25,0.44299999999999995,27,0.778,21,3,200,108.6,51.4,18,17,76,5.0,15.7,11,0.262,16,0.313,5,64.8,46,0.515,16.1,14,45,0.444,20,0.8640000000000001,19,"Rupp Arena, Lexington, Kentucky",SOUTH-CAROLINA,South Carolina,70.2,Home,KENTUCKY,Kentucky,Kentucky,sec,21,True,False,True,Home,True,5,20,61,46,71,5,14,53,1,0,130,449,1204,0.5348837209302325,762,1340,0.5686567164179105,169,328,1221,0.4762489762489763,0.8571428571428571
22,2019-02-09-13-mississippi-state,48.1,13,10.8,4,104.7,76.7,23,0.535,57,0.474,27,0.298,17,0.588,10,3,200,110.9,33.3,10,18,71,5.0,6.3,4,0.316,18,0.389,7,55.0,33,0.546,12.2,9,39,0.513,20,0.87,20,"February 9, 2019",30.4,7,15.4,6,110.9,66.7,20,0.5,53,0.434,23,0.34,18,0.778,14,7,200,104.7,23.3,7,19,67,,10.9,7,0.302,16,0.43799999999999994,7,45.0,27,0.544,12.9,9,37,0.43200000000000005,16,0.696,16,"Humphrey Coliseum, Starkville, Mississippi",MISSISSIPPI-STATE,Mississippi State,63.8,Away,KENTUCKY,Kentucky,Kentucky,sec,22,False,False,False,Away,True,7,20,57,33,60,7,16,53,1,0,135,469,1265,0.5308300395256917,808,1411,0.5726435152374203,174,342,1274,0.47331240188383045,0.8636363636363636
23,2019-02-12-19-kentucky,45.8,11,9.8,4,107.6,62.5,20,0.48200000000000004,56,0.429,24,0.39299999999999996,22,0.8640000000000001,19,4,200,110.6,29.0,9,17,73,19.0,12.1,8,0.375,21,0.28600000000000003,6,46.0,29,0.5489999999999999,9.6,7,35,0.514,18,0.833,20,"February 12, 2019",56.0,14,2.9,1,110.6,71.0,22,0.45799999999999996,60,0.41700000000000004,25,0.38299999999999995,23,0.696,16,4,200,107.6,37.5,12,17,71,5.0,4.5,3,0.317,19,0.263,5,54.0,34,0.501,11.4,9,41,0.488,20,0.833,20,"Rupp Arena, Lexington, Kentucky",KENTUCKY,Kentucky,66.2,Away,LOUISIANA-STATE,LSU,Kentucky,sec,23,False,True,True,Home,False,5,20,60,34,63,6,18,56,0,1,142,489,1322,0.5310136157337367,841,1471,0.5717199184228416,181,358,1327,0.474378296910324,0.8695652173913043
24,2019-02-16-20-kentucky,45.8,11,2.5,1,126.5,57.7,15,0.466,59,0.40700000000000003,24,0.305,18,0.778,14,2,200,101.5,25.0,9,25,69,1.0,5.9,4,0.424,25,0.28,7,38.7,24,0.511,11.9,9,34,0.5,17,0.92,23,"February 16, 2019",48.3,14,17.6,6,101.5,75.0,27,0.594,53,0.547,29,0.623,33,0.6970000000000001,23,4,200,126.5,42.3,11,15,86,5.0,8.8,6,0.245,13,0.385,5,61.3,38,0.626,12.9,10,40,0.6,24,0.84,21,"Rupp Arena, Lexington, Kentucky",TENNESSEE,Tennessee,67.6,Home,KENTUCKY,Kentucky,Kentucky,sec,24,True,False,True,Home,True,5,24,53,38,62,7,17,59,1,0,147,509,1382,0.5278581765557163,875,1534,0.5704041720990873,187,376,1383,0.4746926970354302,0.8333333333333334
25,2019-02-19-21-missouri,50.0,10,9.4,3,96.7,61.8,21,0.56,42,0.47600000000000003,20,0.524,22,0.8640000000000001,19,4,200,110.0,27.3,6,16,66,4.0,5.0,3,0.452,19,0.368,7,48.2,27,0.629,18.8,12,23,0.565,13,0.846,22,"February 19, 2019",50.0,11,0.0,0,110.0,72.7,16,0.449,59,0.373,22,0.11900000000000001,7,0.7140000000000001,5,13,200,96.7,38.2,13,21,58,,6.7,4,0.45799999999999996,27,0.33299999999999996,9,51.8,29,0.465,16.2,12,32,0.406,13,0.48,12,"Mizzou Arena, Columbia, Missouri",MISSOURI,Missouri,59.9,Away,KENTUCKY,Kentucky,Kentucky,sec,25,False,False,False,Away,True,7,13,42,27,56,9,13,59,1,0,152,533,1435,0.5303135888501742,913,1596,0.5720551378446115,194,393,1442,0.47434119278779474,0.84
26,2019-02-23-13-kentucky,42.1,8,3.2,1,123.1,66.7,16,0.397,58,0.32799999999999996,19,0.19,11,0.636,7,9,200,81.5,12.8,5,12,53,,9.2,6,0.466,27,0.29600000000000004,8,33.3,21,0.419,12.5,9,31,0.355,11,0.667,18,"February 23, 2019",50.0,15,22.6,7,81.5,87.2,34,0.645,55,0.545,30,0.218,12,0.75,9,4,200,123.1,33.3,8,10,80,4.0,7.7,5,0.436,24,0.45799999999999996,11,66.7,42,0.659,14.2,10,31,0.613,19,0.852,23,"Rupp Arena, Lexington, Kentucky",AUBURN,Auburn,65.0,Home,KENTUCKY,Kentucky,Kentucky,sec,26,True,False,True,Home,True,11,19,55,42,63,8,11,58,1,0,159,546,1477,0.531144211238998,940,1652,0.5690072639225182,203,406,1501,0.47335109926715524,0.8461538461538461
