,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MASSACHUSETTS_homegame,MASSACHUSETTS_homegame2,MASSACHUSETTS_home,MASSACHUSETTS_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-12-19-temple,40.0,10,2.3,1,89.0,76.3,29,0.466,59,0.424,25,0.16899999999999998,10,0.8,8,5,200,86.3,27.6,8,17,63,,4.1,3,0.40700000000000003,24,0.20800000000000002,5,55.2,37,0.494,21.1,17,35,0.5710000000000001,20,0.545,6,"December 12, 2018",30.4,7,8.6,3,86.3,72.4,21,0.39299999999999996,61,0.377,23,0.344,21,0.81,17,2,200,89.0,23.7,9,16,65,,15.1,11,0.295,18,0.111,2,44.8,30,0.45799999999999996,13.5,11,43,0.488,21,0.8,8,"Liacouras Center, Philadelphia, Pennsylvania",MASSACHUSETTS,UMass,72.9,Home,TEMPLE,Temple,Massachusetts,atlantic-10,10,False,False,False,Away,False,5,20,59,37,67,2,21,61,0,1,96,188,599,0.5542570951585977,329,633,0.5197472353870458,76,188,598,0.5050167224080268,0.6
11,2018-12-21-15-massachusetts,57.7,15,14.3,5,116.4,74.1,20,0.545,55,0.473,26,0.564,31,0.774,24,6,200,115.1,27.6,8,20,84,,12.3,9,0.364,20,0.4,8,50.0,28,0.602,12.7,10,35,0.514,18,0.455,5,"December 21, 2018",64.5,20,2.9,1,115.1,72.4,21,0.657,54,0.574,31,0.556,30,0.467,14,5,200,116.4,25.9,7,19,85,,8.2,6,0.35200000000000004,19,0.474,9,50.0,28,0.623,16.2,13,35,0.629,22,0.583,7,"Mullins Center, Amherst, Massachusetts",FAIRLEIGH-DICKINSON,Fairleigh Dickinson,73.0,Home,MASSACHUSETTS,UMass,Massachusetts,atlantic-10,11,True,False,True,Home,True,9,22,54,28,56,8,18,55,1,0,101,208,658,0.5463525835866262,366,700,0.5228571428571429,78,209,659,0.4946889226100152,0.5454545454545454
12,2018-12-30-18-georgia,30.8,8,3.0,1,126.4,61.5,16,0.45899999999999996,61,0.426,26,0.44299999999999995,27,0.593,16,6,200,100.0,25.6,10,24,72,,8.3,6,0.361,22,0.182,4,40.0,26,0.488,11.0,9,39,0.564,22,0.5379999999999999,7,"December 30, 2018",42.9,12,10.3,4,100.0,74.4,29,0.604,53,0.528,28,0.585,31,0.871,27,4,200,126.4,38.5,10,23,91,,8.3,6,0.377,20,0.4,8,60.0,39,0.672,17.4,14,33,0.606,20,0.667,8,"Stegeman Coliseum, Athens, Georgia",MASSACHUSETTS,UMass,72.3,Home,GEORGIA,Georgia,Massachusetts,atlantic-10,12,False,False,False,Away,False,4,22,61,26,65,8,20,53,0,1,110,230,712,0.5547752808988764,394,756,0.5211640211640212,86,227,714,0.49859943977591037,0.5833333333333334
13,2019-01-05-13-massachusetts,71.4,15,10.7,3,78.9,83.9,26,0.46399999999999997,55,0.382,21,0.382,21,0.857,18,10,200,90.8,9.7,3,19,69,,14.5,11,0.4,22,0.409,9,46.8,29,0.531,18.9,15,33,0.364,12,0.231,3,"January 5, 2019",42.1,8,21.2,7,90.8,90.3,28,0.433,52,0.365,19,0.365,19,0.789,15,7,200,78.9,16.1,5,21,60,,11.8,9,0.462,24,0.292,7,53.2,33,0.49200000000000005,23.0,18,28,0.429,12,0.5,7,"Mullins Center, Amherst, Massachusetts",MASSACHUSETTS,UMass,75.5,Away,LA-SALLE,La Salle,Massachusetts,atlantic-10,13,False,True,True,Home,False,7,12,52,33,62,9,12,55,0,1,114,252,773,0.5472186287192755,420,821,0.5115712545676004,94,247,767,0.5058670143415906,0.5384615384615384
14,2019-01-09-21-saint-louis,50.0,11,12.8,5,98.5,66.7,24,0.545,44,0.5,22,0.47700000000000004,21,0.667,14,8,200,93.9,20.8,5,25,62,,4.5,3,0.273,12,0.33299999999999996,4,48.3,29,0.574,23.1,16,32,0.563,18,0.467,7,"January 9, 2019",68.2,15,18.8,6,93.9,79.2,19,0.41100000000000003,56,0.39299999999999996,22,0.536,30,0.633,19,4,200,98.5,33.3,12,22,65,,13.6,9,0.304,17,0.11800000000000001,2,51.7,31,0.46299999999999997,10.4,8,39,0.513,20,0.733,11,"Chaifetz Arena, St. Louis, Missouri",MASSACHUSETTS,UMass,65.6,Home,SAINT-LOUIS,Saint Louis,Massachusetts,atlantic-10,14,False,False,False,Away,False,4,18,44,29,60,2,20,56,0,1,121,264,825,0.54,453,883,0.5130237825594564,103,259,822,0.5030413625304136,0.5
15,2019-01-13-15-dayton,44.4,12,12.5,4,110.8,90.0,27,0.552,58,0.466,27,0.069,4,0.75,3,9,200,103.1,21.4,6,19,67,,6.2,4,0.431,25,0.4,10,56.9,33,0.5589999999999999,15.5,11,33,0.515,17,0.43799999999999994,7,"January 13, 2019",75.0,18,12.1,4,103.1,78.6,22,0.578,51,0.47100000000000003,24,0.41200000000000003,21,0.619,13,5,200,110.8,10.0,3,11,72,,10.8,7,0.373,19,0.579,11,43.1,25,0.59,10.4,7,32,0.406,13,0.688,11,"University of Dayton Arena, Dayton, Ohio",MASSACHUSETTS,UMass,64.9,Home,DAYTON,Dayton,Massachusetts,atlantic-10,15,False,False,False,Away,False,10,17,58,33,58,11,13,51,0,1,125,282,869,0.5402761795166858,482,943,0.5111346765641569,105,279,878,0.4971526195899772,0.4666666666666667
16,2019-01-16-19-massachusetts,59.1,13,2.9,1,92.6,63.4,26,0.47100000000000003,51,0.431,22,0.431,22,0.909,20,8,200,100.0,17.2,5,16,68,,8.8,6,0.353,18,0.222,4,44.3,31,0.5529999999999999,14.1,10,33,0.545,18,0.556,10,"January 16, 2019",66.7,16,15.2,5,100.0,82.8,24,0.43200000000000005,66,0.364,24,0.212,14,0.429,6,10,200,92.6,36.6,15,19,63,,5.9,4,0.485,32,0.281,9,55.7,39,0.434,14.3,12,34,0.441,15,0.41200000000000003,7,"Mullins Center, Amherst, Massachusetts",MASSACHUSETTS,UMass,68.1,Away,GEORGE-MASON,George Mason,Massachusetts,atlantic-10,16,False,True,True,Home,False,9,15,66,39,70,4,18,51,0,1,135,299,927,0.5409924487594391,515,1001,0.5144855144855145,116,292,929,0.5016146393972013,0.4375
17,2019-01-19-18-virginia-commonwealth,58.8,10,13.8,4,95.8,70.8,17,0.336,58,0.293,17,0.293,17,0.647,11,11,200,70.4,30.8,12,29,50,,11.3,8,0.36200000000000004,21,0.23800000000000002,5,46.0,29,0.37799999999999995,21.6,18,37,0.324,12,0.389,7,"January 19, 2019",63.2,12,18.9,7,70.4,69.2,27,0.524,42,0.452,19,0.762,32,0.75,24,5,200,95.8,29.2,7,21,68,,9.9,7,0.31,13,0.462,6,54.0,34,0.594,25.3,19,29,0.44799999999999995,13,0.722,13,"Stuart Siegel Center, Richmond, Virginia",MASSACHUSETTS,UMass,70.6,Home,VIRGINIA-COMMONWEALTH,VCU,Massachusetts,atlantic-10,17,False,False,False,Away,False,5,12,58,29,63,6,13,42,0,1,144,314,993,0.5337361530715005,554,1071,0.5172735760971056,120,310,980,0.5,0.4117647058823529
18,2019-01-23-19-massachusetts,65.2,15,19.0,4,82.3,72.7,24,0.51,52,0.442,23,0.25,13,0.9229999999999999,12,12,200,104.8,30.0,6,11,65,,9.7,6,0.34600000000000003,18,0.389,7,56.6,30,0.5589999999999999,17.2,12,34,0.47100000000000003,16,0.368,7,"January 23, 2019",63.2,12,2.9,1,104.8,70.0,14,0.444,54,0.35200000000000004,19,0.09300000000000001,5,0.6,3,12,200,82.3,27.3,9,14,51,,11.3,7,0.611,33,0.303,10,43.4,23,0.452,17.6,12,21,0.429,9,0.368,7,"Mullins Center, Amherst, Massachusetts",MASSACHUSETTS,UMass,61.8,Away,ST-BONAVENTURE,St. Bonaventure,Massachusetts,atlantic-10,18,False,True,True,Home,False,10,9,54,23,53,7,16,52,0,1,149,326,1051,0.5228353948620361,583,1134,0.5141093474426808,126,323,1022,0.5009784735812133,0.3888888888888889
19,2019-01-27-14-massachusetts,72.0,18,6.7,2,118.5,76.2,16,0.5820000000000001,49,0.51,25,0.327,16,0.813,13,8,200,107.7,28.6,6,18,70,,7.7,5,0.429,21,0.33299999999999996,7,52.4,22,0.618,22.2,16,28,0.643,18,0.579,11,"January 27, 2019",70.4,19,14.3,4,107.7,71.4,15,0.618,51,0.529,27,0.353,18,0.778,14,12,200,118.5,23.8,5,17,77,,4.6,3,0.41200000000000003,21,0.429,9,47.6,20,0.647,12.0,8,30,0.6,18,0.4,8,"Mullins Center, Amherst, Massachusetts",RHODE-ISLAND,Rhode Island,64.6,Home,MASSACHUSETTS,UMass,Massachusetts,atlantic-10,19,True,False,True,Home,True,9,18,51,20,42,7,18,49,1,0,159,335,1105,0.5190045248868779,606,1187,0.510530749789385,133,339,1074,0.5013966480446927,0.3684210526315789
20,2019-01-30-19-la-salle,56.3,9,0.0,0,92.3,72.2,26,0.254,71,0.225,16,0.239,17,0.882,15,13,200,78.5,43.8,21,18,51,,12.3,8,0.324,23,0.174,4,56.0,47,0.322,9.3,8,48,0.25,12,0.381,8,"January 30, 2019",66.7,12,20.8,10,78.5,56.3,27,0.434,53,0.34,18,0.358,19,0.737,14,14,200,92.3,27.8,10,17,60,,4.6,3,0.528,28,0.35700000000000004,10,44.0,37,0.484,16.4,12,25,0.32,8,0.263,5,"Tom Gola Arena, Philadelphia, Pennsylvania",MASSACHUSETTS,UMass,65.1,Home,LA-SALLE,La Salle,Massachusetts,atlantic-10,20,False,False,False,Away,False,4,12,71,47,84,10,8,53,0,1,168,353,1156,0.523356401384083,626,1229,0.5093572009764036,140,357,1123,0.5048975957257347,0.4
21,2019-02-02-16-saint-josephs,73.9,17,3.0,1,94.1,70.0,28,0.51,50,0.46,23,0.32,16,0.688,11,14,200,91.2,23.1,6,22,62,,4.4,3,0.34,17,0.294,5,51.5,34,0.5379999999999999,24.0,18,33,0.545,18,0.364,8,"February 2, 2019",57.9,11,12.1,4,91.2,76.9,20,0.375,56,0.33899999999999997,19,0.48200000000000004,27,0.815,22,12,200,94.1,30.0,12,15,64,,14.7,10,0.41100000000000003,23,0.174,4,48.5,32,0.465,12.8,10,33,0.455,15,0.455,10,"Hagan Arena, Philadelphia, Pennsylvania",MASSACHUSETTS,UMass,68.2,Home,SAINT-JOSEPHS,St. Joseph's,Massachusetts,atlantic-10,21,False,False,False,Away,False,5,18,50,34,66,4,15,56,0,1,172,365,1227,0.5077424612876935,673,1313,0.5125666412795126,150,365,1176,0.5017006802721088,0.38095238095238093
22,2019-02-06-19-massachusetts,67.6,23,9.5,2,111.7,70.0,14,0.705,56,0.607,34,0.179,10,0.6,6,12,200,141.7,31.8,7,15,85,,13.3,8,0.35700000000000004,20,0.55,11,50.0,21,0.7,9.0,6,36,0.639,23,0.455,10,"February 6, 2019",60.0,12,5.6,2,141.7,68.2,15,0.585,41,0.488,20,0.537,22,0.8640000000000001,19,15,200,111.7,30.0,6,12,67,,5.0,3,0.488,20,0.4,8,50.0,21,0.6509999999999999,22.8,15,21,0.5710000000000001,12,0.348,8,"Mullins Center, Amherst, Massachusetts",MASSACHUSETTS,UMass,60.1,Away,FORDHAM,Fordham,Massachusetts,atlantic-10,22,False,True,True,Home,False,8,12,41,21,42,11,23,56,0,1,177,383,1277,0.5078308535630384,707,1379,0.5126903553299492,154,380,1232,0.49594155844155846,0.36363636363636365
23,2019-02-09-13-massachusetts,78.9,15,9.7,3,98.2,61.8,21,0.467,45,0.42200000000000004,19,0.33299999999999996,15,0.6,9,6,200,92.7,16.0,4,12,51,,5.5,3,0.311,14,0.28600000000000003,4,42.4,25,0.489,13.4,8,31,0.484,15,0.7390000000000001,17,"February 9, 2019",65.0,13,3.2,1,92.7,84.0,21,0.462,52,0.385,20,0.231,12,0.5,6,15,200,98.2,38.2,13,19,54,,3.6,2,0.40399999999999997,21,0.381,8,57.6,34,0.46799999999999997,13.6,9,31,0.387,12,0.375,9,"Mullins Center, Amherst, Massachusetts",DAVIDSON,Davidson,54.9,Home,MASSACHUSETTS,UMass,Massachusetts,atlantic-10,23,True,False,True,Home,True,8,12,52,34,59,4,15,45,1,0,185,395,1318,0.5102427921092565,728,1421,0.5123152709359606,165,403,1288,0.5050465838509317,0.34782608695652173
24,2019-02-13-19-george-mason,64.3,18,4.3,2,111.1,70.6,24,0.569,58,0.483,28,0.276,16,0.563,9,16,225,104.2,38.7,12,27,75,,12.5,9,0.379,22,0.455,10,55.4,36,0.5720000000000001,20.7,17,36,0.5,18,0.36,9,"February 13, 2019",40.0,10,13.9,5,104.2,61.3,19,0.48200000000000004,55,0.455,25,0.655,36,0.75,27,10,225,111.1,29.4,10,14,80,,8.3,6,0.145,8,0.375,3,44.6,29,0.555,13.4,11,47,0.46799999999999997,22,0.6,15,"EagleBank Arena, Fairfax, Virginia",MASSACHUSETTS,UMass,63.9,Home,GEORGE-MASON,George Mason,Massachusetts,atlantic-10,24,False,False,False,Away,False,10,18,58,36,65,3,22,55,0,1,193,407,1370,0.5083941605839416,762,1480,0.5148648648648648,169,418,1333,0.5037509377344336,0.375
25,2019-02-20-19-george-washington,69.6,16,2.6,1,112.9,91.3,21,0.474,57,0.40399999999999997,23,0.281,16,0.813,13,17,200,95.7,17.6,6,20,67,,10.0,7,0.42100000000000004,24,0.33299999999999996,8,47.4,27,0.519,16.9,13,33,0.455,15,0.34600000000000003,9,"February 20, 2019",40.7,11,15.2,5,95.7,82.4,28,0.602,49,0.551,27,0.5710000000000001,28,0.7140000000000001,20,18,200,112.9,8.7,2,15,79,,10.0,7,0.22399999999999998,11,0.455,5,52.6,30,0.634,12.8,9,38,0.579,22,0.308,8,"Charles E. Smith Center, Washington, District of Columbia",MASSACHUSETTS,UMass,70.5,Home,GEORGE-WASHINGTON,George Washington,Massachusetts,atlantic-10,25,False,False,False,Away,False,8,15,57,27,57,5,22,49,0,1,203,425,1428,0.5108543417366946,798,1545,0.516504854368932,172,440,1388,0.5028818443804035,0.36
26,2019-02-23-14-massachusetts,70.8,17,0.0,0,117.6,83.3,15,0.604,48,0.5,24,0.5,24,0.875,21,16,200,116.2,8.7,2,11,79,,8.8,6,0.5,24,0.41700000000000004,10,41.5,17,0.665,14.6,10,24,0.583,14,0.40700000000000003,11,"February 23, 2019",74.2,23,8.3,2,116.2,91.3,21,0.667,54,0.574,31,0.185,10,0.8,8,17,200,117.6,16.7,3,15,80,,4.4,3,0.389,21,0.47600000000000003,10,58.5,24,0.6809999999999999,17.0,12,33,0.636,21,0.37,10,"Mullins Center, Amherst, Massachusetts",SAINT-JOSEPHS,St. Joseph's,67.6,Home,MASSACHUSETTS,UMass,Massachusetts,atlantic-10,26,True,False,True,Home,True,10,21,54,24,41,10,14,48,1,0,211,440,1485,0.5094276094276095,825,1602,0.5149812734082397,177,462,1437,0.5062630480167014,0.34615384615384615
