,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,TEXAS-SAN-ANTONIO_homegame,TEXAS-SAN-ANTONIO_homegame2,TEXAS-SAN-ANTONIO_home,TEXAS-SAN-ANTONIO_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-17-20-texas-san-antonio,39.3,11,2.3,1,118.8,82.4,28,0.49200000000000005,66,0.424,28,0.273,18,0.667,12,0,200,90.6,15.8,6,16,77,,2.4,2,0.439,29,0.31,9,47.2,34,0.516,18.7,17,37,0.514,19,0.0,0,"December 17, 2018",45.9,17,0.0,0,90.6,84.2,32,0.614,70,0.529,37,0.257,18,0.833,15,7,200,118.8,17.6,6,15,101,,11.8,10,0.386,27,0.444,12,52.8,38,0.643,13.3,12,43,0.581,25,0.364,4,"Convocation Center, San Antonio, Texas","Bethany College (KS)
			","Bethany College (KS)
			",85.1,Home,TEXAS-SAN-ANTONIO,UTSA,UTSA,cusa,10,True,False,True,Home,True,12,25,70,38,72,9,19,66,1,0,78,186,652,0.4647239263803681,342,703,0.4864864864864865,79,197,623,0.5064205457463884,0.3
11,2018-12-20-20-texas-am-corpus-christi,37.5,9,13.3,4,69.4,60.5,23,0.491,56,0.429,24,0.25,14,0.643,9,7,200,88.9,22.9,8,22,64,,13.9,10,0.41100000000000003,23,0.304,7,42.5,31,0.511,21.5,17,33,0.515,17,0.41700000000000004,5,"December 20, 2018",46.7,7,12.1,4,88.9,77.1,27,0.327,52,0.28800000000000003,15,0.48100000000000004,25,0.64,16,6,200,69.4,39.5,15,19,50,,8.3,6,0.423,22,0.182,4,57.5,42,0.391,26.7,23,30,0.36700000000000005,11,0.455,5,"American Bank Center, Corpus Christi, Texas",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,71.8,Away,TEXAS-SAN-ANTONIO,UTSA,UTSA,cusa,11,False,False,False,Away,True,7,17,56,31,73,4,11,52,1,0,90,211,722,0.4792243767313019,380,775,0.49032258064516127,88,216,689,0.5050798258345428,0.36363636363636365
12,2018-12-29-16-texas-san-antonio,46.4,13,5.7,2,89.7,82.4,28,0.47100000000000003,69,0.406,28,0.028999999999999998,2,1.0,2,0,200,85.9,10.0,4,17,67,,9.0,7,0.435,30,0.3,9,43.2,32,0.479,15.7,13,39,0.48700000000000004,19,0.0,0,"December 29, 2018",47.8,11,10.3,4,85.9,90.0,36,0.473,55,0.418,23,0.436,24,0.75,18,7,200,89.7,17.6,6,12,70,,11.5,9,0.364,20,0.3,6,56.8,42,0.527,20.6,17,35,0.486,17,0.462,6,"Convocation Center, San Antonio, Texas","SE Oklahoma St.
			","SE Oklahoma St.
			",78.2,Home,TEXAS-SAN-ANTONIO,UTSA,UTSA,cusa,12,True,False,True,Home,True,6,17,55,42,74,9,19,69,1,0,97,228,778,0.4800771208226221,411,848,0.4846698113207547,92,227,741,0.4925775978407557,0.4166666666666667
13,2019-01-03-20-texas-san-antonio,35.3,6,8.0,4,98.7,74.4,29,0.36,50,0.34,17,0.58,29,0.828,24,7,200,78.9,22.9,8,19,60,,2.6,2,0.34,17,0.11800000000000001,2,50.0,37,0.47,22.3,18,33,0.455,15,0.41700000000000004,5,"January 3, 2019",34.5,10,21.2,7,78.9,77.1,27,0.451,71,0.408,29,0.239,17,0.647,11,7,200,98.7,25.6,10,24,75,,9.2,7,0.29600000000000004,21,0.28600000000000003,6,50.0,37,0.474,11.3,10,50,0.46,23,0.5,7,"Convocation Center, San Antonio, Texas",TEXAS-EL-PASO,UTEP,76.4,Home,TEXAS-SAN-ANTONIO,UTSA,UTSA,cusa,13,True,False,True,Home,True,6,23,71,37,74,2,15,50,1,0,103,245,833,0.47959183673469385,453,922,0.4913232104121475,101,246,810,0.49074074074074076,0.46153846153846156
14,2019-01-05-21-texas-el-paso,44.0,11,6.7,2,86.3,81.1,30,0.43200000000000005,66,0.379,25,0.182,12,0.833,10,7,200,91.8,23.8,10,13,67,,11.0,8,0.33299999999999996,22,0.318,7,50.6,40,0.467,14.4,12,44,0.409,18,0.5329999999999999,8,"January 5, 2019",50.0,11,6.8,3,91.8,76.2,32,0.48200000000000004,56,0.39299999999999996,22,0.25,14,0.643,9,8,200,86.3,18.9,7,16,63,,4.1,3,0.46399999999999997,26,0.385,10,49.4,39,0.503,20.5,16,30,0.4,12,0.385,5,"Don Haskins Center, El Paso, Texas",TEXAS-EL-PASO,UTEP,72.7,Away,TEXAS-SAN-ANTONIO,UTSA,UTSA,cusa,14,False,False,False,Away,True,7,18,66,40,79,10,12,56,1,0,109,268,904,0.47732300884955753,490,996,0.4919678714859438,103,261,860,0.4831395348837209,0.5
15,2019-01-10-20-texas-san-antonio,39.3,11,11.9,5,120.3,73.3,22,0.49200000000000005,63,0.444,28,0.381,24,0.708,17,10,200,100.0,30.3,10,16,79,,3.8,3,0.381,24,0.25,6,50.8,32,0.531,16.9,15,39,0.564,22,0.41200000000000003,7,"January 10, 2019",61.1,22,12.8,5,100.0,69.7,23,0.575,73,0.493,36,0.17800000000000002,13,0.846,11,7,200,120.3,26.7,8,16,95,,12.7,10,0.425,31,0.387,12,49.2,31,0.6,9.2,8,42,0.5710000000000001,24,0.562,9,"Convocation Center, San Antonio, Texas",RICE,Rice,79.3,Home,TEXAS-SAN-ANTONIO,UTSA,UTSA,cusa,15,True,False,True,Home,True,12,24,73,31,63,6,22,63,1,0,116,286,970,0.4742268041237113,530,1075,0.4930232558139535,113,273,916,0.48307860262008734,0.5333333333333333
16,2019-01-12-16-texas-san-antonio,46.2,12,7.0,3,96.2,87.9,29,0.469,64,0.406,26,0.266,17,0.8240000000000001,14,2,200,93.7,23.7,9,17,74,,5.1,4,0.45299999999999996,29,0.276,8,53.5,38,0.513,17.3,15,35,0.514,18,0.889,16,"January 12, 2019",42.9,12,8.6,3,93.7,76.3,29,0.484,62,0.452,28,0.32299999999999995,20,0.8,16,7,200,96.2,12.1,4,17,76,,7.6,6,0.306,19,0.21100000000000002,4,46.5,33,0.531,14.5,12,43,0.5579999999999999,24,0.588,10,"Convocation Center, San Antonio, Texas",NORTH-TEXAS,North Texas,78.8,Home,TEXAS-SAN-ANTONIO,UTSA,UTSA,cusa,16,True,False,True,Home,True,4,24,62,33,71,8,18,64,1,0,128,310,1043,0.4813039309683605,561,1138,0.4929701230228471,119,295,979,0.48365679264555667,0.5625
17,2019-01-17-19-middle-tennessee,41.2,14,3.8,1,112.7,88.5,23,0.513,80,0.425,34,0.08800000000000001,7,0.5710000000000001,4,8,200,108.9,34.0,16,23,86,,11.4,9,0.46299999999999997,37,0.37799999999999995,14,53.4,39,0.516,11.7,11,43,0.465,20,0.556,10,"January 17, 2019",55.6,15,7.0,3,108.9,66.0,31,0.609,55,0.491,27,0.509,28,0.7859999999999999,22,14,200,112.7,11.5,3,14,89,,1.3,1,0.527,29,0.44799999999999995,13,46.6,34,0.652,18.2,15,26,0.5379999999999999,14,0.222,4,"Murphy Athletic Center, Murfreesboro, Tennessee",TEXAS-SAN-ANTONIO,UTSA,79.3,Home,MIDDLE-TENNESSEE,Middle Tennessee,UTSA,cusa,17,False,False,False,Away,False,14,20,80,39,73,13,14,55,0,1,132,334,1105,0.481447963800905,594,1209,0.4913151364764268,127,313,1043,0.4827420901246405,0.5882352941176471
18,2019-01-19-20-alabama-birmingham,57.7,15,2.9,1,115.3,83.9,26,0.45899999999999996,73,0.35600000000000004,26,0.11,8,0.75,6,9,200,101.4,25.0,11,18,73,,5.6,4,0.562,41,0.366,15,49.3,37,0.475,10.5,9,32,0.344,11,0.526,10,"January 19, 2019",30.0,9,12.5,4,101.4,75.0,33,0.589,56,0.536,30,0.41100000000000003,23,0.7390000000000001,17,7,200,115.3,16.1,5,13,83,,11.1,8,0.39299999999999996,22,0.273,6,50.7,38,0.62,10.8,8,34,0.706,24,0.632,12,"Bartow Arena, Birmingham, Alabama",TEXAS-SAN-ANTONIO,UTSA,72.4,Home,ALABAMA-BIRMINGHAM,Alabama-Birmingham,UTSA,cusa,18,False,False,False,Away,False,15,11,73,37,75,6,24,56,0,1,146,354,1185,0.4835443037974684,633,1282,0.49375975039001563,140,327,1098,0.4890710382513661,0.5555555555555556
19,2019-01-24-20-texas-san-antonio,37.5,6,9.7,3,135.4,60.0,15,0.324,54,0.29600000000000004,16,0.278,15,0.5329999999999999,8,14,200,66.2,28.2,11,17,43,,9.2,6,0.40700000000000003,22,0.136,3,40.6,26,0.35200000000000004,20.9,16,32,0.406,13,0.263,5,"January 24, 2019",44.1,15,18.8,6,66.2,71.8,28,0.6559999999999999,61,0.557,34,0.23,14,0.5710000000000001,8,9,200,135.4,40.0,10,17,88,,10.8,7,0.49200000000000005,30,0.4,12,59.4,38,0.65,9.4,7,31,0.71,22,0.55,11,"Convocation Center, San Antonio, Texas",CHARLOTTE,Charlotte,65.4,Home,TEXAS-SAN-ANTONIO,UTSA,UTSA,cusa,19,True,False,True,Home,True,12,22,61,38,64,3,13,54,1,0,161,365,1258,0.48211446740858505,670,1357,0.4937361827560796,146,351,1154,0.49393414211438474,0.5263157894736842
20,2019-01-26-16-texas-san-antonio,52.2,12,21.4,6,97.4,97.1,34,0.45799999999999996,59,0.39,23,0.508,30,0.633,19,6,200,96.1,24.2,8,18,73,,6.6,5,0.441,26,0.308,8,61.8,42,0.498,14.3,12,33,0.455,15,0.727,16,"January 26, 2019",70.8,17,3.0,1,96.1,75.8,25,0.542,59,0.40700000000000003,24,0.305,18,0.556,10,9,200,97.4,2.9,1,22,74,,3.9,3,0.525,31,0.516,16,38.2,26,0.5479999999999999,11.9,9,28,0.28600000000000003,8,0.5710000000000001,12,"Convocation Center, San Antonio, Texas",OLD-DOMINION,Old Dominion,76.4,Home,TEXAS-SAN-ANTONIO,UTSA,UTSA,cusa,20,True,False,True,Home,True,16,8,59,26,68,8,15,59,1,0,173,387,1319,0.49014404852160726,708,1421,0.49824067558057705,149,364,1208,0.486341059602649,0.55
21,2019-01-31-20-western-kentucky,61.3,19,4.9,2,124.7,61.1,22,0.565,69,0.449,31,0.203,14,0.7140000000000001,10,10,225,114.3,20.0,7,21,88,,2.6,2,0.449,31,0.516,16,40.8,29,0.5820000000000001,10.7,9,38,0.395,15,0.545,12,"January 31, 2019",53.1,17,7.9,3,114.3,80.0,28,0.514,72,0.444,32,0.375,27,0.815,22,10,225,124.7,38.9,14,14,96,,6.5,5,0.431,31,0.32299999999999995,10,59.2,42,0.5660000000000001,6.7,6,41,0.537,22,0.545,12,"E.A. Diddle Arena, Bowling Green, Kentucky",TEXAS-SAN-ANTONIO,UTSA,68.7,Home,WESTERN-KENTUCKY,Western Kentucky,UTSA,cusa,21,False,False,False,Away,False,16,15,69,29,71,10,22,72,0,1,189,395,1378,0.4923802612481858,734,1489,0.49294828744123576,157,379,1267,0.48500394632991317,0.5714285714285714
22,2019-02-02-19-marshall,30.8,12,8.7,4,109.3,87.8,36,0.611,72,0.542,39,0.486,35,0.8,28,10,225,119.6,23.5,8,18,116,,8.2,8,0.319,23,0.435,10,58.7,44,0.654,16.3,17,49,0.5920000000000001,29,0.565,13,"February 2, 2019",35.7,15,6.1,3,119.6,76.5,26,0.584,83,0.506,42,0.18100000000000002,15,0.6,9,10,225,109.3,12.2,5,25,106,,10.3,10,0.446,37,0.35100000000000003,13,41.3,31,0.588,11.8,12,46,0.63,29,0.565,13,"Henderson Center, Huntington, West Virginia",MARSHALL,Marshall,86.6,Away,TEXAS-SAN-ANTONIO,UTSA,UTSA,cusa,22,False,False,False,Away,True,10,29,72,44,75,13,29,83,1,0,205,410,1447,0.4958534899792674,763,1560,0.4891025641025641,167,401,1339,0.4865571321882001,0.5454545454545454
23,2019-02-07-20-texas-san-antonio,34.6,9,11.6,5,125.0,71.4,20,0.43799999999999994,65,0.4,26,0.308,20,0.5,10,10,200,83.8,23.3,10,11,67,,11.3,9,0.431,28,0.179,5,42.3,30,0.45,16.9,15,37,0.568,21,0.583,14,"February 7, 2019",55.0,22,10.8,4,83.8,76.7,33,0.652,69,0.58,40,0.174,12,0.833,10,10,200,125.0,28.6,8,17,100,,7.5,6,0.377,26,0.385,10,57.7,41,0.669,15.9,14,43,0.698,30,0.583,14,"Convocation Center, San Antonio, Texas",FLORIDA-INTERNATIONAL,Florida International,80.1,Home,TEXAS-SAN-ANTONIO,UTSA,UTSA,cusa,23,True,False,True,Home,True,10,30,69,41,71,5,21,65,1,0,215,439,1519,0.5013166556945359,807,1635,0.4935779816513762,180,430,1422,0.49226441631504925,0.5652173913043478
24,2019-02-09-16-texas-san-antonio,64.0,16,6.7,2,116.2,82.9,29,0.49200000000000005,61,0.41,25,0.295,18,0.778,14,11,200,100.0,21.2,7,17,74,,4.1,3,0.557,34,0.294,10,52.9,36,0.532,14.8,12,27,0.556,15,0.56,14,"February 9, 2019",58.6,17,0.0,0,100.0,78.8,26,0.581,62,0.46799999999999997,29,0.29,18,0.778,14,10,200,116.2,17.1,6,17,86,,6.8,5,0.516,32,0.43799999999999994,14,47.1,32,0.609,10.3,8,30,0.5,15,0.6,15,"Convocation Center, San Antonio, Texas",FLORIDA-ATLANTIC,Florida Atlantic,73.6,Home,TEXAS-SAN-ANTONIO,UTSA,UTSA,cusa,24,True,False,True,Home,True,14,15,62,32,68,10,15,61,1,0,225,469,1588,0.5078715365239295,848,1706,0.4970691676436108,185,451,1487,0.4899125756556826,0.5833333333333334
25,2019-02-14-20-southern-mississippi,30.4,7,8.3,4,108.3,71.4,25,0.42700000000000005,62,0.371,23,0.355,22,0.818,18,11,200,98.6,25.6,10,19,71,,8.3,6,0.435,27,0.259,7,47.3,35,0.49,11.2,9,35,0.457,16,0.5770000000000001,15,"February 14, 2019",60.7,17,11.4,4,98.6,74.4,29,0.5,61,0.45899999999999996,28,0.377,23,0.7390000000000001,17,9,200,108.3,28.6,10,19,78,,8.3,6,0.213,13,0.385,5,52.7,39,0.542,12.3,10,48,0.479,23,0.64,16,"Reed Green Coliseum, Hattiesburg, Mississippi",TEXAS-SAN-ANTONIO,UTSA,71.7,Home,SOUTHERN-MISSISSIPPI,Southern Miss,UTSA,cusa,25,False,False,False,Away,False,7,16,62,35,74,5,23,61,0,1,239,484,1650,0.5106060606060606,880,1774,0.496054114994363,195,466,1548,0.4899870801033592,0.6
