,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,ALCORN-STATE_homegame,ALCORN-STATE_homegame2,ALCORN-STATE_home,ALCORN-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-18-16-alabama-birmingham,43.8,7,3.3,1,122.6,77.8,14,0.38,50,0.32,16,0.26,13,0.846,11,7,200,79.0,16.7,5,12,49,,8.1,5,0.44,22,0.273,6,39.6,19,0.436,17.7,12,28,0.35700000000000004,10,0.364,4,"December 18, 2018",51.7,15,7.1,2,79.0,83.3,25,0.677,48,0.604,29,0.313,15,0.733,11,4,200,122.6,22.2,4,15,76,,9.7,6,0.375,18,0.389,7,60.4,29,0.6890000000000001,15.5,10,30,0.733,22,0.636,7,"Bartow Arena, Birmingham, Alabama",ALCORN-STATE,Alcorn State,62.2,Home,ALABAMA-BIRMINGHAM,Alabama-Birmingham,Alcorn State,swac,10,False,False,False,Away,False,6,10,50,19,48,7,22,48,0,1,92,161,595,0.5025210084033613,341,654,0.5214067278287462,76,168,570,0.49473684210526314,0.4
11,2018-12-21-19-south-florida,37.5,6,17.8,8,116.9,45.9,17,0.354,48,0.33299999999999996,16,0.45799999999999996,22,0.455,10,8,200,62.0,27.8,10,18,44,,11.3,8,0.313,15,0.133,2,37.0,27,0.376,26.7,21,33,0.424,14,0.33299999999999996,4,"December 21, 2018",65.6,21,6.1,2,62.0,72.2,26,0.522,69,0.46399999999999997,32,0.261,18,0.611,11,2,200,116.9,54.1,20,18,83,,15.5,11,0.348,24,0.33299999999999996,8,63.0,46,0.535,15.4,14,45,0.5329999999999999,24,0.818,9,"Sun Dome, Tampa, Florida",ALCORN-STATE,Alcorn State,70.5,Home,SOUTH-FLORIDA,South Florida,Alcorn State,swac,11,False,False,False,Away,False,2,14,48,27,73,8,24,69,0,1,98,171,645,0.4930232558139535,360,702,0.5128205128205128,83,190,618,0.5088996763754046,0.36363636363636365
12,2019-01-05-19-alcorn-state,72.7,24,7.1,3,93.3,74.4,29,0.65,60,0.55,33,0.267,16,0.563,9,8,200,116.0,36.7,11,18,87,,9.3,7,0.38299999999999995,23,0.522,12,58.0,40,0.643,20.2,17,37,0.568,21,0.429,6,"January 5, 2019",61.5,16,10.8,4,116.0,63.3,19,0.483,60,0.433,26,0.36700000000000005,22,0.545,12,9,200,93.3,25.6,10,19,70,,17.3,13,0.3,18,0.33299999999999996,6,42.0,29,0.49700000000000005,17.7,15,42,0.47600000000000003,20,0.308,4,"Davey L. Whitney Complex, Alcorn State, Mississippi",ALCORN-STATE,Alcorn State,74.5,Away,TEXAS-SOUTHERN,Texas Southern,Alcorn State,swac,12,False,True,True,Home,False,6,20,60,29,69,12,21,60,0,1,100,185,693,0.4834054834054834,387,775,0.4993548387096774,91,214,687,0.5101892285298398,0.3333333333333333
13,2019-01-07-20-alcorn-state,60.0,12,10.5,4,78.3,61.1,22,0.423,52,0.385,20,0.462,24,0.542,13,11,200,82.6,29.7,11,19,57,,15.9,11,0.25,13,0.308,4,45.2,33,0.45,22.3,18,39,0.41,16,0.267,4,"January 7, 2019",57.9,11,15.4,6,82.6,70.3,26,0.39799999999999996,54,0.35200000000000004,19,0.33299999999999996,18,0.611,11,10,200,78.3,38.9,14,21,54,,11.6,8,0.29600000000000004,16,0.313,5,54.8,40,0.43200000000000005,24.4,20,38,0.368,14,0.28600000000000003,4,"Davey L. Whitney Complex, Alcorn State, Mississippi",ALCORN-STATE,Alcorn State,69.5,Away,PRAIRIE-VIEW,Prairie View,Alcorn State,swac,13,False,True,True,Home,False,5,14,54,40,73,4,16,52,0,1,106,205,753,0.48339973439575035,416,844,0.4928909952606635,103,235,747,0.5214190093708166,0.3076923076923077
14,2019-01-12-18-jackson-state,55.0,11,6.3,2,93.7,67.7,21,0.452,52,0.385,20,0.17300000000000001,9,0.556,5,11,200,82.5,23.5,8,22,52,,14.3,9,0.40399999999999997,21,0.33299999999999996,7,44.6,29,0.462,15.2,10,31,0.419,13,0.267,4,"January 12, 2019",52.6,10,12.9,4,82.5,76.5,26,0.392,51,0.373,19,0.569,29,0.655,19,11,200,93.7,32.3,10,12,59,,4.8,3,0.373,19,0.105,2,55.4,36,0.455,16.9,13,32,0.531,17,0.312,5,"Lee E. Williams Athletics and Assembly Center, Jackson, Mississippi",ALCORN-STATE,Alcorn State,63.0,Home,JACKSON-STATE,Jackson State,Alcorn State,swac,14,False,False,False,Away,False,7,13,52,29,65,2,17,51,0,1,111,219,807,0.47769516728624534,456,917,0.49727371864776443,107,251,799,0.5150187734668336,0.2857142857142857
15,2019-01-14-20-grambling,41.2,7,15.6,5,105.5,64.0,16,0.287,68,0.25,17,0.059000000000000004,4,0.75,3,12,200,57.5,25.0,12,12,42,,13.7,10,0.309,21,0.23800000000000002,5,38.4,28,0.3,17.7,15,47,0.255,12,0.25,4,"January 14, 2019",74.1,20,10.6,5,57.5,75.0,36,0.593,54,0.5,27,0.278,15,0.867,13,9,200,105.5,36.0,9,12,77,,13.7,10,0.40700000000000003,22,0.455,10,61.6,45,0.63,25.7,21,32,0.531,17,0.47100000000000003,8,"Assembly Center, Grambling, Louisiana",ALCORN-STATE,Alcorn State,73.0,Home,GRAMBLING,Grambling,Alcorn State,swac,15,False,False,False,Away,False,5,12,68,28,73,10,17,54,0,1,118,232,859,0.47613504074505236,485,982,0.4938900203665988,109,268,850,0.5076470588235295,0.26666666666666666
16,2019-01-19-18-alcorn-state,77.3,17,0.0,0,92.6,73.3,22,0.425,60,0.36700000000000005,22,0.3,18,0.33299999999999996,6,15,200,83.8,26.8,11,18,57,,4.4,3,0.4,24,0.292,7,46.5,33,0.41600000000000004,13.9,11,36,0.41700000000000004,15,0.16699999999999998,3,"January 19, 2019",63.6,14,16.7,6,83.8,73.2,30,0.48,51,0.431,22,0.392,20,0.7,14,12,200,92.6,26.7,8,16,63,,8.8,6,0.314,16,0.313,5,53.5,38,0.521,20.1,15,35,0.486,17,0.294,5,"Davey L. Whitney Complex, Alcorn State, Mississippi",MISSISSIPPI-VALLEY-STATE,Mississippi Valley State,68.0,Home,ALCORN-STATE,Alcorn State,Alcorn State,swac,16,True,False,True,Home,True,5,17,51,38,71,7,15,60,1,0,123,244,927,0.4622437971952535,513,1055,0.48625592417061614,119,285,904,0.5127212389380531,0.25
17,2019-01-21-20-alcorn-state,77.3,17,3.1,1,110.4,58.1,18,0.48200000000000004,55,0.4,22,0.436,24,0.667,16,12,200,103.0,34.4,11,25,69,,9.0,6,0.364,20,0.45,9,46.0,29,0.52,15.5,12,35,0.371,13,0.33299999999999996,6,"January 21, 2019",87.0,20,8.6,3,103.0,65.6,21,0.519,52,0.442,23,0.5770000000000001,30,0.667,20,12,200,110.4,41.9,13,22,74,,10.4,7,0.385,20,0.4,8,54.0,34,0.5579999999999999,17.7,14,32,0.469,15,0.33299999999999996,6,"Davey L. Whitney Complex, Alcorn State, Mississippi",ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,67.3,Home,ALCORN-STATE,Alcorn State,Alcorn State,swac,17,True,False,True,Home,True,8,15,52,34,63,9,13,55,1,0,128,261,978,0.46319018404907975,551,1126,0.48934280639431615,126,300,964,0.5072614107883817,0.29411764705882354
18,2019-01-26-18-alabama-state,42.1,8,8.6,3,105.7,69.2,18,0.384,56,0.33899999999999997,19,0.304,17,0.941,16,13,200,84.3,31.3,10,16,59,,10.0,7,0.39299999999999996,22,0.22699999999999998,5,48.3,28,0.46,20.1,16,34,0.41200000000000003,14,0.316,6,"January 26, 2019",42.9,12,11.8,4,84.3,68.8,22,0.5529999999999999,57,0.491,28,0.281,16,0.688,11,10,200,105.7,30.8,8,17,74,,15.7,11,0.386,22,0.318,7,51.7,30,0.573,16.9,13,35,0.6,21,0.41200000000000003,7,,ALCORN-STATE,Alcorn State,69.8,Home,ALABAMA-STATE,Alabama State,Alcorn State,swac,18,False,False,False,Away,False,5,14,56,28,58,7,21,57,0,1,136,276,1030,0.46601941747572817,585,1189,0.4920100925147183,135,313,1019,0.5058881256133464,0.3333333333333333
19,2019-01-28-20-alabama-am,50.0,12,2.6,1,101.4,75.8,25,0.48200000000000004,56,0.429,24,0.214,12,0.667,8,14,200,88.6,22.6,7,19,62,,10.0,7,0.429,24,0.25,6,50.0,32,0.502,19.7,15,32,0.563,18,0.3,6,"January 28, 2019",70.4,19,0.0,0,88.6,77.4,24,0.484,61,0.44299999999999995,27,0.311,19,0.632,12,17,200,101.4,24.2,8,14,71,,11.4,8,0.361,22,0.22699999999999998,5,50.0,32,0.507,11.5,9,39,0.564,22,0.19,4,"Elmore Health Science Building , Normal, Alabama",ALCORN-STATE,Alcorn State,70.4,Home,ALABAMA-AM,Alabama A&M,Alcorn State,swac,19,False,False,False,Away,False,6,18,56,32,64,5,22,61,0,1,141,290,1086,0.4617863720073665,613,1247,0.491579791499599,142,334,1076,0.508364312267658,0.3157894736842105
20,2019-02-02-18-alcorn-state,69.2,18,7.7,2,113.4,71.4,15,0.528,54,0.48100000000000004,26,0.259,14,0.5,7,19,200,95.5,17.9,5,18,64,,14.9,10,0.24100000000000002,13,0.385,5,40.8,20,0.528,17.8,13,41,0.512,21,0.136,3,"February 2, 2019",80.0,20,14.6,6,95.5,82.1,23,0.7090000000000001,43,0.581,25,0.442,19,0.789,15,14,200,113.4,28.6,6,16,76,,11.9,8,0.395,17,0.647,11,59.2,29,0.73,27.0,19,26,0.5379999999999999,14,0.33299999999999996,7,"Davey L. Whitney Complex, Alcorn State, Mississippi",SOUTHERN,Southern,66.8,Home,ALCORN-STATE,Alcorn State,Alcorn State,swac,20,True,False,True,Home,True,11,14,43,29,49,5,21,54,1,0,147,308,1142,0.462784588441331,645,1311,0.4919908466819222,147,356,1137,0.5070360598065083,0.3
21,2019-02-09-18-alcorn-state,52.4,11,20.7,6,110.0,58.3,14,0.379,58,0.36200000000000004,21,0.22399999999999998,13,0.615,8,14,200,86.7,18.4,7,12,52,,10.0,6,0.276,16,0.125,2,33.9,21,0.405,7.3,5,42,0.452,19,0.391,9,"February 9, 2019",78.3,18,9.5,4,86.7,81.6,31,0.565,46,0.5,23,0.348,16,0.875,14,14,200,110.0,41.7,10,11,66,,5.0,3,0.37,17,0.353,6,66.1,41,0.616,22.0,15,29,0.586,17,0.364,8,"Davey L. Whitney Complex, Alcorn State, Mississippi",JACKSON-STATE,Jackson State,60.4,Home,ALCORN-STATE,Alcorn State,Alcorn State,swac,21,True,False,True,Home,True,6,17,46,41,62,2,19,58,1,0,158,322,1185,0.47172995780590715,674,1360,0.49558823529411766,152,377,1191,0.5079764903442485,0.3333333333333333
22,2019-02-11-20-alcorn-state,42.9,9,10.0,4,77.9,67.5,27,0.479,48,0.43799999999999994,21,0.479,23,0.826,19,11,200,95.6,20.8,5,14,65,,13.2,9,0.25,12,0.33299999999999996,4,50.0,32,0.552,18.3,13,36,0.47200000000000003,17,0.542,13,"February 11, 2019",85.0,17,11.1,4,95.6,79.2,19,0.36700000000000005,60,0.33299999999999996,20,0.267,16,0.563,9,15,200,77.9,32.5,13,16,53,,5.9,4,0.33299999999999996,20,0.2,4,50.0,32,0.392,17.3,14,40,0.4,16,0.348,8,"Davey L. Whitney Complex, Alcorn State, Mississippi",ALCORN-STATE,Alcorn State,67.8,Away,GRAMBLING,Grambling,Alcorn State,swac,22,False,True,True,Home,False,4,16,60,32,64,4,17,48,0,1,164,339,1231,0.4752233956133225,715,1422,0.5028129395218003,154,396,1249,0.5020016012810248,0.36363636363636365
23,2019-02-16-17-mississippi-valley-state,17.9,5,15.0,6,104.1,80.0,24,0.428,69,0.406,28,0.188,13,0.6920000000000001,9,16,200,93.2,38.5,15,23,68,,6.8,5,0.24600000000000002,17,0.17600000000000002,3,56.5,39,0.452,15.8,14,52,0.48100000000000004,25,0.33299999999999996,8,"February 16, 2019",46.2,12,7.7,4,93.2,61.5,24,0.519,53,0.491,26,0.547,29,0.7240000000000001,21,22,200,104.1,20.0,6,15,76,,8.2,6,0.245,13,0.231,3,43.5,30,0.569,15.4,12,40,0.575,23,0.154,4,"Harrison HPER Complex, Itta Bena, Mississippi",ALCORN-STATE,Alcorn State,73.5,Home,MISSISSIPPI-VALLEY-STATE,Mississippi Valley State,Alcorn State,swac,23,False,False,False,Away,False,3,25,69,39,69,3,23,53,0,1,168,355,1291,0.4701781564678544,747,1486,0.5026917900403769,158,413,1297,0.5011565150346955,0.34782608695652173
24,2019-02-18-19-arkansas-pine-bluff,17.4,4,14.3,5,115.9,54.2,13,0.48100000000000004,53,0.434,23,0.264,14,0.7859999999999999,11,17,200,98.4,28.6,8,16,62,,11.1,7,0.34,18,0.278,5,40.4,21,0.52,16.9,12,35,0.514,18,0.32,8,"February 18, 2019",62.5,15,8.6,3,98.4,71.4,20,0.53,50,0.48,24,0.44,22,0.909,20,15,200,115.9,45.8,11,14,73,,7.9,5,0.3,15,0.33299999999999996,5,59.6,31,0.604,17.9,13,35,0.5429999999999999,19,0.423,11,"H.O. Clemmons Arena, Pine Bluff, Arkansas",ALCORN-STATE,Alcorn State,63.1,Home,ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,Alcorn State,swac,24,False,False,False,Away,False,5,18,53,21,52,5,19,50,0,1,171,380,1360,0.46801470588235294,786,1555,0.5054662379421222,161,436,1350,0.5018518518518519,0.3333333333333333
25,2019-02-23-18-alcorn-state,61.9,13,0.0,0,101.4,64.7,22,0.418,61,0.344,21,0.39299999999999996,24,0.75,18,14,225,94.5,27.8,10,19,69,,6.8,5,0.49200000000000005,30,0.3,9,45.7,32,0.47700000000000004,12.3,10,31,0.387,12,0.41700000000000004,10,"February 23, 2019",58.6,17,16.1,5,94.5,72.2,26,0.517,60,0.483,29,0.35,21,0.5710000000000001,12,17,225,101.4,35.3,12,23,74,,11.0,8,0.33299999999999996,20,0.2,4,54.3,38,0.529,18.8,16,40,0.625,25,0.34600000000000003,9,"Davey L. Whitney Complex, Alcorn State, Mississippi",ALABAMA-STATE,Alabama State,65.1,Home,ALCORN-STATE,Alcorn State,Alcorn State,swac,25,True,False,True,Home,True,4,25,60,38,70,9,12,61,1,0,176,398,1413,0.46850672328379334,807,1607,0.5021779713752333,166,455,1400,0.5028571428571429,0.32
26,2019-02-25-20-alcorn-state,42.9,9,8.6,3,100.0,51.4,18,0.44,50,0.42,21,0.3,15,0.733,11,23,200,90.2,25.0,7,18,55,,18.0,11,0.26,13,0.154,2,39.7,25,0.48100000000000004,16.3,11,37,0.514,19,0.179,5,"February 25, 2019",47.6,10,8.1,3,90.2,75.0,21,0.49,49,0.429,21,0.49,24,0.542,13,17,200,100.0,48.6,17,13,61,,13.1,8,0.28600000000000003,14,0.429,6,60.3,38,0.505,22.2,17,35,0.429,15,0.37,10,"Davey L. Whitney Complex, Alcorn State, Mississippi",ALABAMA-AM,Alabama A&M,60.8,Home,ALCORN-STATE,Alcorn State,Alcorn State,swac,26,True,False,True,Home,True,6,15,49,38,63,2,19,50,1,0,180,423,1473,0.47046843177189407,845,1677,0.5038759689922481,175,467,1461,0.499315537303217,0.34615384615384615
