,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,HIGH-POINT_homegame,HIGH-POINT_homegame2,HIGH-POINT_home,HIGH-POINT_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-17-19-high-point,58.6,17,10.0,5,109.8,67.3,33,0.5539999999999999,65,0.446,29,0.292,19,0.684,13,0,225,103.7,14.6,6,19,85,,4.9,4,0.47700000000000004,31,0.452,14,43.3,39,0.574,16.0,14,34,0.441,15,0.0,0,"December 17, 2018",69.7,23,14.7,5,103.7,85.4,35,0.5,76,0.434,33,0.355,27,0.519,14,5,225,109.8,32.7,16,17,90,,9.8,8,0.342,26,0.385,10,56.7,51,0.507,9.3,9,50,0.46,23,0.545,6,"Millis Center, High Point, North Carolina","North Carolina Wesleyan
			","North Carolina Wesleyan
			",72.8,Home,HIGH-POINT,High Point,High Point,big-south,10,True,False,True,Home,True,10,23,76,51,90,14,15,65,1,0,52,198,546,0.5054945054945055,313,588,0.532312925170068,83,159,537,0.5279329608938548,0.5
11,2018-12-22-14-richmond,54.5,12,4.8,1,112.1,90.9,20,0.47,50,0.44,22,0.46,23,0.522,12,6,200,89.4,25.0,8,20,59,,10.6,7,0.32,16,0.188,3,51.9,28,0.484,18.9,14,34,0.5589999999999999,19,0.5,6,"December 22, 2018",76.2,16,17.6,6,89.4,75.0,24,0.595,42,0.5,21,0.667,28,0.857,24,7,200,112.1,9.1,2,21,74,,12.1,8,0.5,21,0.381,8,48.1,26,0.669,18.1,12,21,0.619,13,0.41700000000000004,5,"St. Elizabeths East Entertainment & Sports Arena, Washington, District of Columbia",HIGH-POINT,High Point,66.1,Home,RICHMOND,Richmond,High Point,big-south,11,False,False,False,Away,False,3,19,50,28,54,8,13,42,0,1,62,221,622,0.5048231511254019,364,678,0.5368731563421829,97,174,602,0.5307308970099668,0.5454545454545454
12,2018-12-29-12-ohio-state,45.8,11,0.0,0,117.1,83.3,25,0.48100000000000004,54,0.444,24,0.29600000000000004,16,0.75,12,7,200,91.4,30.0,9,24,64,,10.0,7,0.24100000000000002,13,0.308,4,56.7,34,0.519,20.8,16,41,0.488,20,0.462,6,"December 29, 2018",63.3,19,7.3,3,91.4,70.0,21,0.657,54,0.556,30,0.40700000000000003,22,0.5,11,1,200,117.1,16.7,5,14,82,13.0,7.1,5,0.46299999999999997,25,0.44,11,43.3,26,0.636,14.7,11,29,0.655,19,0.9229999999999999,12,"Value City Arena, Columbus, Ohio",HIGH-POINT,High Point,69.5,Home,OHIO-STATE,Ohio State,High Point,big-south,12,False,False,False,Away,False,4,20,54,34,60,11,19,54,0,1,65,240,672,0.5022321428571429,392,732,0.5355191256830601,105,187,644,0.5349378881987578,0.5
13,2019-01-02-19-high-point,42.9,9,5.9,2,132.9,51.6,16,0.366,67,0.313,21,0.239,16,0.688,11,0,200,78.9,25.0,12,28,60,,6.6,5,0.38799999999999996,26,0.26899999999999996,7,35.4,28,0.402,16.8,15,41,0.341,14,0.0,0,"January 2, 2019",60.6,20,14.6,6,78.9,75.0,36,0.636,59,0.5589999999999999,33,0.7120000000000001,42,0.619,26,7,200,132.9,48.4,15,17,101,,9.2,7,0.424,25,0.36,9,64.6,51,0.64,12.4,11,34,0.706,24,0.5,7,"Millis Center, High Point, North Carolina","Washington College
			","Washington College
			",76.3,Home,HIGH-POINT,High Point,High Point,big-south,13,True,False,True,Home,True,9,24,59,51,79,7,14,67,1,0,69,260,726,0.5006887052341598,426,792,0.5378787878787878,116,206,698,0.5444126074498568,0.46153846153846156
14,2019-01-05-17-charleston-southern,68.8,11,24.0,6,86.2,69.0,29,0.391,46,0.348,16,0.5,23,0.652,15,7,200,87.9,44.4,12,18,51,,0.0,0,0.326,15,0.267,4,59.4,41,0.44799999999999995,17.6,12,31,0.387,12,0.5329999999999999,8,"January 5, 2019",47.4,9,9.7,3,87.9,55.6,15,0.373,63,0.302,19,0.127,8,0.375,3,8,200,86.2,31.0,13,22,50,,6.9,4,0.603,38,0.237,9,40.6,28,0.374,8.3,6,25,0.4,10,0.429,6,"CSU Fieldhouse, Charleston, South Carolina",CHARLESTON-SOUTHERN,Charleston Southern,58.4,Away,HIGH-POINT,High Point,High Point,big-south,14,False,False,False,Away,True,4,12,46,41,69,9,10,63,1,0,78,284,785,0.510828025477707,477,871,0.547646383467279,123,220,765,0.5287581699346405,0.5
15,2019-01-10-19-high-point,65.0,13,0.0,0,105.7,67.6,25,0.39299999999999996,61,0.32799999999999996,20,0.213,13,0.769,10,8,200,82.9,12.8,5,16,58,,11.4,8,0.541,33,0.242,8,39.5,30,0.43200000000000005,11.9,9,28,0.429,12,0.529,9,"January 10, 2019",50.0,13,3.6,1,82.9,87.2,34,0.518,57,0.456,26,0.439,25,0.6,15,7,200,105.7,32.4,12,13,74,,5.7,4,0.40399999999999997,23,0.304,7,60.5,46,0.537,13.9,11,34,0.5589999999999999,19,0.562,9,"Millis Center, High Point, North Carolina",PRESBYTERIAN,Presbyterian,69.5,Home,HIGH-POINT,High Point,High Point,big-south,15,True,False,True,Home,True,7,19,57,46,76,8,12,61,1,0,82,296,831,0.5042117930204573,518,940,0.551063829787234,132,230,828,0.5169082125603864,0.5333333333333333
16,2019-01-12-14-winthrop,31.8,7,0.0,0,112.7,78.8,26,0.373,63,0.349,22,0.317,20,0.8,16,8,200,88.7,25.6,10,16,63,,4.2,3,0.397,25,0.12,3,50.0,36,0.434,11.1,9,38,0.5,19,0.529,9,"January 12, 2019",43.3,13,5.3,2,88.7,74.4,29,0.555,64,0.469,30,0.203,13,0.6920000000000001,9,5,200,112.7,21.2,7,14,80,,5.6,4,0.578,37,0.297,11,50.0,36,0.57,9.1,7,27,0.7040000000000001,19,0.688,11,"Winthrop Coliseum, Rock Hill, South Carolina",HIGH-POINT,High Point,70.8,Home,WINTHROP,Winthrop,High Point,big-south,16,False,False,False,Away,False,3,19,63,36,72,11,19,64,0,1,89,315,888,0.5050675675675675,564,1016,0.5551181102362205,140,242,889,0.5084364454443194,0.5625
17,2019-01-16-19-high-point,33.3,7,14.0,6,102.9,63.3,19,0.385,61,0.344,21,0.131,8,0.875,7,14,200,78.3,11.8,4,15,54,,4.3,3,0.39299999999999996,24,0.20800000000000002,5,35.9,23,0.41700000000000004,12.2,9,37,0.43200000000000005,16,0.263,5,"January 16, 2019",50.0,15,18.9,7,78.3,88.2,30,0.525,61,0.49200000000000005,30,0.18,11,0.636,7,8,200,102.9,36.7,11,11,71,,4.3,3,0.295,18,0.222,4,64.1,41,0.536,15.4,12,43,0.605,26,0.556,10,"Millis Center, High Point, North Carolina",SOUTH-CAROLINA-UPSTATE,USC Upstate,68.5,Home,HIGH-POINT,High Point,High Point,big-south,17,True,False,True,Home,True,4,26,61,41,64,5,16,61,1,0,92,334,951,0.49631966351209256,600,1088,0.5514705882352942,151,261,953,0.5115424973767051,0.5294117647058824
18,2019-01-24-19-longwood,33.3,6,8.7,2,83.3,81.1,30,0.32299999999999995,62,0.29,18,0.32299999999999995,20,0.55,11,9,200,77.3,31.0,13,17,51,,9.1,6,0.355,22,0.182,4,54.4,43,0.35700000000000004,10.2,8,40,0.35,14,0.526,10,"January 24, 2019",44.4,8,10.0,4,77.3,69.0,29,0.39799999999999996,54,0.33299999999999996,18,0.35200000000000004,19,0.632,12,9,200,83.3,18.9,7,19,55,,3.0,2,0.574,31,0.226,7,45.6,36,0.436,13.8,10,23,0.478,11,0.591,13,"Willett Hall, Farmville, Virginia",HIGH-POINT,High Point,66.3,Home,LONGWOOD,Longwood,High Point,big-south,18,False,False,False,Away,False,4,14,62,43,79,7,11,54,0,1,96,360,1012,0.4980237154150198,641,1152,0.5564236111111112,156,277,1014,0.5039447731755424,0.5555555555555556
19,2019-01-26-19-high-point,45.5,10,10.5,4,106.6,55.2,16,0.491,54,0.40700000000000003,22,0.204,11,0.727,8,19,200,100.0,29.4,10,15,61,,14.8,9,0.46299999999999997,25,0.36,9,41.3,26,0.515,15.8,11,29,0.44799999999999995,13,0.095,2,"January 26, 2019",50.0,12,24.1,7,100.0,70.6,24,0.491,53,0.45299999999999996,24,0.34,18,0.722,13,9,200,106.6,44.8,13,11,65,,13.1,8,0.28300000000000003,15,0.267,4,58.7,37,0.528,18.7,14,38,0.526,20,0.55,11,"Millis Center, High Point, North Carolina",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,61.4,Home,HIGH-POINT,High Point,High Point,big-south,19,True,False,True,Home,True,4,20,53,37,63,9,13,54,1,0,100,374,1074,0.48789571694599626,684,1231,0.5556458164094232,163,288,1068,0.49859550561797755,0.5263157894736842
20,2019-01-30-19-gardner-webb,59.3,16,17.9,5,104.5,86.2,25,0.518,55,0.491,27,0.29100000000000004,16,0.625,10,10,200,101.5,41.4,12,12,67,,12.1,8,0.327,18,0.16699999999999998,3,63.8,37,0.535,20.5,16,37,0.649,24,0.524,11,"January 30, 2019",68.0,17,10.8,4,101.5,58.6,17,0.596,52,0.48100000000000004,25,0.231,12,0.583,7,9,200,104.5,13.8,4,15,69,,13.6,9,0.462,24,0.5,12,36.2,21,0.598,17.3,12,28,0.46399999999999997,13,0.591,13,"Paul Porter Arena, Boiling Springs, North Carolina",HIGH-POINT,High Point,66.2,Home,GARDNER-WEBB,Gardner-Webb,High Point,big-south,20,False,False,False,Away,False,3,24,55,37,58,12,13,52,0,1,104,394,1127,0.4880212954747116,721,1294,0.5571870170015456,172,301,1122,0.4982174688057041,0.55
21,2019-02-02-19-high-point,32.0,8,11.4,5,125.0,42.9,12,0.469,65,0.385,25,0.138,9,0.889,8,11,200,101.5,25.7,9,18,69,,8.8,6,0.523,34,0.324,11,33.3,21,0.498,11.5,9,31,0.452,14,0.47600000000000003,10,"February 2, 2019",59.4,19,3.2,1,101.5,74.3,26,0.563,63,0.508,32,0.28600000000000003,18,0.778,14,10,200,125.0,57.1,16,13,85,,8.8,6,0.302,19,0.368,7,66.7,42,0.594,14.5,12,44,0.568,25,0.545,12,"Millis Center, High Point, North Carolina",HAMPTON,Hampton,68.4,Home,HIGH-POINT,High Point,High Point,big-south,21,True,False,True,Home,True,7,25,63,42,63,11,14,65,1,0,107,418,1182,0.48942470389170895,758,1352,0.5606508875739645,184,314,1174,0.5025553662691652,0.5238095238095238
22,2019-02-07-19-high-point,57.9,11,15.4,4,100.0,61.5,16,0.40399999999999997,52,0.365,19,0.308,16,0.875,14,10,200,98.2,30.0,9,11,56,,17.5,10,0.5,26,0.154,4,44.6,25,0.47,9.2,6,26,0.5770000000000001,15,0.565,13,"February 7, 2019",57.9,11,0.0,0,98.2,70.0,21,0.489,46,0.413,19,0.304,14,0.857,12,10,200,100.0,38.5,10,13,57,,7.0,4,0.435,20,0.35,7,55.4,31,0.541,21.2,14,26,0.462,12,0.565,13,"Millis Center, High Point, North Carolina",CAMPBELL,Campbell,56.6,Home,HIGH-POINT,High Point,High Point,big-south,22,True,False,True,Home,True,7,12,46,31,56,4,15,52,1,0,114,443,1245,0.4931726907630522,800,1415,0.5653710247349824,195,328,1239,0.5008071025020178,0.5454545454545454
23,2019-02-09-16-radford,53.8,14,5.7,2,104.5,66.0,31,0.565,54,0.48100000000000004,26,0.185,10,0.5,5,11,225,100.0,22.2,6,20,66,,3.0,2,0.389,21,0.429,9,50.0,37,0.562,18.2,13,33,0.515,17,0.542,13,"February 9, 2019",52.4,11,12.1,4,100.0,77.8,21,0.381,67,0.313,21,0.358,24,0.75,18,7,225,104.5,34.0,16,11,69,,4.5,3,0.478,32,0.281,9,50.0,37,0.44,3.7,3,35,0.34299999999999997,12,0.72,18,"Donald N. Dedmon Center, Radford, Virginia",HIGH-POINT,High Point,58.3,Home,RADFORD,Radford,High Point,big-south,23,False,False,False,Away,False,9,17,54,37,74,9,12,67,0,1,121,455,1291,0.4930286599535244,831,1471,0.5649218218898708,199,343,1291,0.49690162664601084,0.5652173913043478
24,2019-02-13-19-high-point,40.9,9,0.0,0,95.2,66.7,18,0.5,53,0.415,22,0.18899999999999997,10,0.9,9,13,200,100.0,23.1,6,15,62,,8.1,5,0.509,27,0.33299999999999996,9,45.3,24,0.537,18.5,13,26,0.5,13,0.519,14,"February 13, 2019",42.1,8,11.5,3,100.0,76.9,20,0.467,45,0.42200000000000004,19,0.444,20,0.85,17,12,200,95.2,33.3,9,15,59,,11.3,7,0.42200000000000004,19,0.21100000000000002,4,54.7,29,0.541,20.6,14,26,0.5770000000000001,15,0.52,13,"Millis Center, High Point, North Carolina",HIGH-POINT,High Point,62.1,Away,LONGWOOD,Longwood,High Point,big-south,24,False,True,True,Home,False,4,15,45,29,53,9,13,53,0,1,130,472,1345,0.49591078066914496,868,1545,0.5618122977346278,208,355,1358,0.49116347569955815,0.5416666666666666
25,2019-02-16-18-hampton,58.3,14,7.0,3,94.2,75.0,24,0.466,59,0.40700000000000003,24,0.644,38,0.816,31,12,225,100.0,25.0,8,21,86,,3.5,3,0.39,23,0.304,7,50.0,32,0.5579999999999999,17.4,16,36,0.47200000000000003,17,0.5379999999999999,14,"February 16, 2019",39.3,11,13.9,5,100.0,75.0,24,0.43700000000000006,71,0.39399999999999996,28,0.31,22,0.8640000000000001,19,15,225,94.2,25.0,8,28,81,,11.6,10,0.39399999999999996,28,0.214,6,50.0,32,0.49700000000000005,13.9,13,43,0.512,22,0.4,10,"Hampton Convocation Center, Hampton, Virginia",HAMPTON,Hampton,76.2,Away,HIGH-POINT,High Point,High Point,big-south,25,False,False,False,Away,True,7,17,59,32,64,6,22,71,1,0,134,487,1390,0.4949640287769784,897,1598,0.5613266583229036,217,368,1411,0.49149539333805814,0.52
26,2019-02-21-21-campbell,52.9,9,3.4,1,100.0,78.4,29,0.38,50,0.34,17,0.28,14,0.7140000000000001,10,13,200,78.7,30.0,9,14,48,,3.3,2,0.34,17,0.235,4,56.7,38,0.424,21.1,15,33,0.39399999999999996,13,0.519,14,"February 21, 2019",56.5,13,21.2,7,78.7,70.0,21,0.441,59,0.39,23,0.18600000000000003,11,0.818,9,11,200,100.0,21.6,8,12,61,,14.8,9,0.508,30,0.2,6,43.3,29,0.475,5.9,4,29,0.586,17,0.593,16,"John W. Pope Jr. Convocation Center, Buies Creek, North Carolina",HIGH-POINT,High Point,61.4,Home,CAMPBELL,Campbell,High Point,big-south,26,False,False,False,Away,False,4,13,50,38,67,6,17,59,0,1,141,504,1449,0.4937888198757764,929,1662,0.558965102286402,223,390,1482,0.4888663967611336,0.5384615384615384
27,2019-02-23-19-high-point,42.3,11,7.7,3,138.1,51.9,14,0.7,45,0.578,26,0.556,25,0.64,16,11,200,125.4,21.7,5,17,79,,3.2,2,0.511,23,0.478,11,38.0,19,0.695,16.4,11,22,0.682,15,0.621,18,"February 23, 2019",74.2,23,0.0,0,125.4,78.3,18,0.607,61,0.508,31,0.262,16,0.813,13,13,200,138.1,48.1,13,16,87,,6.3,4,0.361,22,0.545,12,62.0,31,0.634,9.3,7,39,0.48700000000000004,19,0.536,15,"Millis Center, High Point, North Carolina",GARDNER-WEBB,Gardner-Webb,62.7,Home,HIGH-POINT,High Point,High Point,big-south,27,True,False,True,Home,True,12,19,61,31,50,11,15,45,1,0,145,517,1499,0.48999332888592395,967,1729,0.5592828224407171,229,407,1541,0.48702141466580146,0.5185185185185185
