,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,TOWSON_homegame,TOWSON_homegame2,TOWSON_home,TOWSON_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-21-17-tulane,37.0,10,14.8,4,83.3,92.9,26,0.49200000000000005,60,0.45,27,0.317,19,0.737,14,7,200,110.6,47.1,16,14,73,,3.0,2,0.25,15,0.33299999999999996,5,67.7,42,0.529,18.0,15,45,0.489,22,0.364,4,"December 21, 2018",72.2,13,6.7,3,110.6,52.9,18,0.447,47,0.38299999999999995,18,0.36200000000000004,17,0.765,13,7,200,83.3,7.1,2,18,55,,13.6,9,0.426,20,0.3,6,32.3,20,0.499,16.8,11,27,0.444,12,0.364,4,"Boardwalk Hall, Atlantic City, New Jersey",TULANE,Tulane,66.1,Away,TOWSON,Towson,Towson,colonial,10,False,False,False,Away,True,5,22,60,42,62,6,12,47,1,0,60,181,559,0.4847942754919499,345,633,0.5450236966824644,93,157,576,0.5147569444444444,0.3
11,2018-12-22-14-la-salle,14.3,3,12.1,4,87.7,75.7,28,0.42200000000000004,51,0.41200000000000003,21,0.21600000000000003,11,0.727,8,8,200,78.5,37.9,11,18,51,,3.1,2,0.196,10,0.1,1,59.1,39,0.45399999999999996,24.4,18,41,0.488,20,0.33299999999999996,4,"December 22, 2018",41.2,7,0.0,0,78.5,62.1,18,0.342,57,0.298,17,0.386,22,0.818,18,10,200,87.7,24.3,9,15,57,,15.4,10,0.42100000000000004,24,0.20800000000000002,5,40.9,27,0.423,10.7,8,33,0.364,12,0.16699999999999998,2,"Boardwalk Hall, Atlantic City, New Jersey",TOWSON,Towson,64.8,Home,LA-SALLE,La Salle,Towson,colonial,11,False,False,False,Away,False,1,20,51,39,66,5,12,57,0,1,65,203,619,0.48546042003231016,387,695,0.5568345323741007,99,169,623,0.5096308186195827,0.36363636363636365
12,2018-12-28-19-elon,51.9,14,9.7,3,93.8,93.1,27,0.542,59,0.45799999999999996,27,0.237,14,0.929,13,8,200,120.3,32.1,9,15,77,,6.3,4,0.28800000000000003,17,0.588,10,63.2,36,0.586,8.4,6,42,0.405,17,0.385,5,"December 28, 2018",47.8,11,2.4,1,120.3,67.9,19,0.529,51,0.451,23,0.157,8,0.75,6,10,200,93.8,6.9,2,18,60,,6.3,4,0.392,20,0.4,8,36.8,21,0.547,18.0,12,31,0.484,15,0.28600000000000003,4,"Schar Center, Elon, North Carolina",ELON,Elon,63.7,Away,TOWSON,Towson,Towson,colonial,12,False,False,False,Away,True,10,17,59,36,57,8,15,51,1,0,66,223,670,0.48059701492537316,426,761,0.5597897503285151,104,181,680,0.49558823529411766,0.3333333333333333
13,2018-12-30-16-william-mary,11.5,3,16.7,4,110.9,81.8,18,0.45799999999999996,59,0.441,26,0.136,8,0.875,7,9,200,95.3,39.3,11,14,61,,7.8,5,0.237,14,0.14300000000000002,2,58.0,29,0.486,19.3,15,45,0.5329999999999999,24,0.35700000000000004,5,"December 30, 2018",88.0,22,13.3,6,95.3,60.7,17,0.5870000000000001,52,0.48100000000000004,25,0.25,13,0.769,10,8,200,110.9,18.2,4,12,71,,9.4,6,0.5379999999999999,28,0.39299999999999996,11,42.0,21,0.61,12.2,8,24,0.583,14,0.429,6,"Kaplan Arena at William and Mary Hall, Williamsburg, Virginia",TOWSON,Towson,64.5,Home,WILLIAM-MARY,William & Mary,Towson,colonial,13,False,False,False,Away,False,2,24,59,29,50,11,14,52,0,1,76,240,729,0.48559670781893005,462,818,0.5647921760391198,112,196,731,0.49794801641586867,0.38461538461538464
14,2019-01-03-19-towson,52.0,13,2.9,1,88.7,69.7,23,0.48100000000000004,53,0.47200000000000003,25,0.321,17,0.941,16,2,200,108.1,26.9,7,11,67,,9.7,6,0.226,12,0.083,1,50.8,30,0.5489999999999999,10.4,7,41,0.585,24,0.867,13,"January 3, 2019",52.4,11,12.2,5,108.1,73.1,19,0.42100000000000004,57,0.368,21,0.158,9,0.778,7,10,200,88.7,30.3,10,17,55,,4.8,3,0.40399999999999997,23,0.261,6,49.2,29,0.449,15.3,11,34,0.441,15,0.33299999999999996,5,"SECU Arena, Towson, Maryland",TOWSON,Towson,61.7,Away,COLLEGE-OF-CHARLESTON,College of Charleston,Towson,colonial,14,False,True,True,Home,False,6,15,57,29,59,1,24,53,0,1,78,264,788,0.48350253807106597,491,868,0.565668202764977,123,210,783,0.5038314176245211,0.35714285714285715
15,2019-01-05-14-towson,80.8,21,8.5,4,92.4,63.2,24,0.5,60,0.433,26,0.16699999999999998,10,0.7,7,10,200,101.5,31.3,10,13,67,,3.0,2,0.4,24,0.33299999999999996,8,48.6,34,0.517,14.6,11,36,0.5,18,0.375,6,"January 5, 2019",34.8,8,2.8,1,101.5,68.8,22,0.397,63,0.365,23,0.222,14,0.7859999999999999,11,11,200,92.4,36.8,14,16,61,,7.6,5,0.254,16,0.25,4,51.4,36,0.43799999999999994,13.7,11,47,0.40399999999999997,19,0.312,5,"SECU Arena, Towson, Maryland",TOWSON,Towson,66.2,Away,NORTH-CAROLINA-WILMINGTON,UNC Wilmington,Towson,colonial,15,False,True,True,Home,False,4,19,63,36,70,8,18,60,0,1,84,279,845,0.47928994082840237,520,927,0.5609492988133765,124,234,836,0.5023923444976076,0.3333333333333333
16,2019-01-09-19-towson,64.5,20,15.9,7,101.4,83.3,30,0.636,59,0.525,31,0.322,19,0.579,11,8,200,117.8,21.9,7,11,86,,2.7,2,0.508,30,0.433,13,54.4,37,0.632,11.8,9,29,0.621,18,0.5,8,"January 9, 2019",46.7,14,3.4,1,117.8,78.1,25,0.486,71,0.423,30,0.155,11,0.455,5,12,200,101.4,16.7,6,15,74,,8.2,6,0.38,27,0.33299999999999996,9,45.6,31,0.485,6.2,5,44,0.47700000000000004,21,0.294,5,"SECU Arena, Towson, Maryland",TOWSON,Towson,72.6,Away,CORNELL,Cornell,Towson,colonial,16,False,True,True,Home,False,9,21,71,31,68,13,18,59,0,1,88,298,908,0.473568281938326,556,997,0.5576730190571715,132,252,896,0.5022321428571429,0.3125
17,2019-01-12-16-james-madison,29.6,8,10.0,2,121.3,69.6,16,0.46,63,0.429,27,0.20600000000000002,13,0.5379999999999999,7,13,200,106.6,39.4,13,20,65,,6.6,4,0.23800000000000002,15,0.267,4,51.8,29,0.47,8.0,6,48,0.479,23,0.278,5,"January 12, 2019",66.7,14,16.7,8,106.6,60.6,20,0.556,45,0.467,21,0.622,28,0.857,24,9,200,121.3,30.4,7,16,74,,4.9,3,0.556,25,0.32,8,48.2,27,0.635,12.2,8,20,0.65,13,0.5,9,"JMU Convocation Center, Harrisonburg, Virginia",TOWSON,Towson,60.7,Home,JAMES-MADISON,James Madison,Towson,colonial,17,False,False,False,Away,False,4,23,63,29,56,8,13,45,0,1,97,319,979,0.47446373850868234,587,1065,0.5511737089201878,145,270,955,0.5104712041884817,0.29411764705882354
18,2019-01-17-19-drexel,54.5,12,9.7,3,107.5,74.2,23,0.382,68,0.324,22,0.324,22,0.636,14,14,200,98.5,31.3,15,16,66,,3.0,2,0.309,21,0.381,8,48.1,38,0.42100000000000004,6.0,5,47,0.298,14,0.263,5,"January 17, 2019",70.8,17,6.4,3,98.5,68.8,33,0.475,59,0.40700000000000003,24,0.33899999999999997,20,0.8,16,11,200,107.5,25.8,8,19,72,,1.5,1,0.475,28,0.28600000000000003,8,51.9,41,0.526,8.1,6,31,0.516,16,0.45,9,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",TOWSON,Towson,67.5,Home,DREXEL,Drexel,Towson,colonial,18,False,False,False,Away,False,8,14,68,38,79,8,16,59,0,1,101,342,1042,0.4736084452975048,616,1121,0.5495093666369313,153,283,1000,0.5125,0.2777777777777778
19,2019-01-19-19-delaware,44.4,12,8.6,3,108.6,79.4,27,0.536,56,0.48200000000000004,27,0.125,7,0.5710000000000001,4,14,200,110.3,31.0,9,17,64,,0.0,0,0.23199999999999998,13,0.462,6,57.1,36,0.539,10.6,7,43,0.488,21,0.3,6,"January 19, 2019",52.4,11,4.7,2,110.3,69.0,20,0.436,55,0.382,21,0.364,20,0.75,15,8,200,108.6,20.6,7,13,63,,3.4,2,0.364,20,0.3,6,42.9,27,0.488,3.0,2,35,0.429,15,0.619,13,"Bob Carpenter Center, Newark, Delaware",DELAWARE,Delaware,58.4,Away,TOWSON,Towson,Towson,colonial,19,False,False,False,Away,True,6,21,56,36,63,6,15,55,1,0,109,356,1110,0.468018018018018,654,1200,0.545,161,299,1059,0.5103871576959396,0.2631578947368421
20,2019-01-24-19-towson,56.5,13,10.4,5,111.9,38.5,10,0.536,55,0.418,23,0.309,17,0.765,13,9,200,107.5,26.7,8,19,72,,6.0,4,0.5820000000000001,32,0.406,13,32.1,18,0.5710000000000001,17.2,13,23,0.435,10,0.55,11,"January 24, 2019",27.6,8,21.7,5,107.5,73.3,22,0.517,58,0.5,29,0.36200000000000004,21,0.7140000000000001,15,14,200,111.9,61.5,16,17,75,,11.9,8,0.172,10,0.2,2,67.9,38,0.552,16.2,13,48,0.563,27,0.33299999999999996,7,"SECU Arena, Towson, Maryland",NORTHEASTERN,Northeastern,66.5,Home,TOWSON,Towson,Towson,colonial,20,True,False,True,Home,True,2,27,58,38,56,13,10,55,1,0,115,377,1166,0.4712692967409949,690,1263,0.5463182897862233,167,314,1114,0.5067324955116697,0.3
21,2019-01-26-14-towson,44.8,13,0.0,0,95.3,62.1,18,0.632,53,0.547,29,0.358,19,0.895,17,3,200,131.3,36.0,9,16,84,,10.9,7,0.45299999999999996,24,0.375,9,50.0,27,0.677,16.4,12,29,0.69,20,0.8640000000000001,19,"January 26, 2019",33.3,8,0.0,0,131.3,64.0,16,0.5,53,0.45299999999999996,24,0.264,14,0.5710000000000001,8,15,200,95.3,37.9,11,19,61,,6.3,4,0.28300000000000003,15,0.33299999999999996,5,50.0,27,0.511,20.2,15,38,0.5,19,0.318,7,"SECU Arena, Towson, Maryland",TOWSON,Towson,64.3,Away,HOFSTRA,Hofstra,Towson,colonial,21,False,True,True,Home,False,5,19,53,27,54,9,20,53,0,1,117,404,1224,0.47344771241830064,728,1319,0.5519332827899924,180,324,1169,0.5081266039349872,0.3333333333333333
22,2019-01-31-19-north-carolina-wilmington,46.7,14,13.5,5,116.9,73.5,25,0.657,51,0.588,30,0.353,18,0.556,10,15,200,118.5,29.2,7,23,77,,6.2,4,0.294,15,0.467,7,55.2,32,0.647,14.5,10,36,0.639,23,0.348,8,"January 31, 2019",58.3,14,0.0,0,118.5,70.8,17,0.491,57,0.42100000000000004,24,0.474,27,0.741,20,15,200,116.9,26.5,9,20,76,,7.7,5,0.35100000000000003,20,0.4,8,44.8,26,0.544,9.2,7,37,0.43200000000000005,16,0.348,8,"Trask Coliseum, Wilmington, North Carolina",NORTH-CAROLINA-WILMINGTON,UNC Wilmington,65.2,Away,TOWSON,Towson,Towson,colonial,22,False,False,False,Away,True,7,23,51,32,58,8,16,57,1,0,122,423,1277,0.4745497259201253,755,1373,0.549890750182083,189,344,1222,0.5135024549918167,0.3181818181818182
23,2019-02-02-16-college-of-charleston,35.0,7,17.2,5,100.0,71.0,22,0.5,45,0.444,20,0.311,14,0.5710000000000001,8,16,200,98.1,28.0,7,10,53,,9.3,5,0.311,14,0.35700000000000004,5,51.8,29,0.513,15.0,9,31,0.484,15,0.33299999999999996,8,"February 2, 2019",60.0,12,0.0,0,98.1,72.0,18,0.48,51,0.392,20,0.17600000000000002,9,0.556,5,6,200,100.0,29.0,9,13,54,,9.3,5,0.431,22,0.409,9,48.2,27,0.488,14.1,9,29,0.379,11,0.75,18,"TD Arena, Charleston, South Carolina",TOWSON,Towson,54.5,Home,COLLEGE-OF-CHARLESTON,College of Charleston,Towson,colonial,23,False,False,False,Away,False,5,15,45,29,56,9,11,51,0,1,129,446,1328,0.4815512048192771,787,1431,0.5499650593990216,197,360,1279,0.5125097732603596,0.34782608695652173
24,2019-02-09-16-towson,50.0,12,0.0,0,108.2,82.8,24,0.44299999999999995,61,0.39299999999999996,24,0.14800000000000002,9,0.556,5,15,200,96.7,29.4,10,21,59,,6.6,4,0.361,22,0.273,6,54.0,34,0.452,11.0,8,39,0.462,18,0.4,10,"February 9, 2019",45.8,11,12.8,5,96.7,70.6,24,0.585,47,0.511,24,0.40399999999999997,19,0.579,11,16,200,108.2,17.2,5,14,66,,3.3,2,0.36200000000000004,17,0.41200000000000003,7,46.0,29,0.589,11.2,7,30,0.5670000000000001,17,0.36,9,"SECU Arena, Towson, Maryland",JAMES-MADISON,James Madison,60.7,Home,TOWSON,Towson,Towson,colonial,24,True,False,True,Home,True,7,17,47,29,63,6,18,61,1,0,134,461,1373,0.48215586307356156,816,1487,0.5487558843308675,206,371,1330,0.5112781954887218,0.3333333333333333
25,2019-02-14-19-towson,66.7,14,2.0,1,87.7,66.7,30,0.43,64,0.32799999999999996,21,0.45299999999999996,29,0.7929999999999999,23,11,250,96.3,21.6,8,15,78,,4.9,4,0.547,35,0.371,13,46.3,38,0.501,14.5,13,29,0.276,8,0.593,16,"February 14, 2019",24.0,6,20.7,6,96.3,78.4,29,0.375,76,0.32899999999999996,25,0.22399999999999998,17,0.8240000000000001,14,17,250,87.7,33.3,15,23,71,,7.4,6,0.355,27,0.259,7,53.7,44,0.42200000000000004,11.6,11,49,0.36700000000000005,18,0.34600000000000003,9,"SECU Arena, Towson, Maryland",TOWSON,Towson,65.1,Away,DELAWARE,Delaware,Towson,colonial,25,False,True,True,Home,False,7,18,76,44,82,13,8,64,0,1,141,478,1420,0.48556338028169016,845,1550,0.5451612903225806,212,389,1391,0.5082674335010784,0.36
26,2019-02-16-14-towson,50.0,12,8.3,3,121.1,76.0,19,0.537,54,0.444,24,0.5,27,0.7040000000000001,19,16,200,101.3,13.8,4,25,77,,6.6,5,0.519,28,0.35700000000000004,10,42.6,23,0.5760000000000001,15.4,12,26,0.5379999999999999,14,0.429,12,"February 16, 2019",46.4,13,15.4,4,101.3,86.2,25,0.579,57,0.491,28,0.544,31,0.8390000000000001,26,17,200,121.1,24.0,6,21,92,,10.5,8,0.368,21,0.47600000000000003,10,57.4,31,0.6409999999999999,13.5,11,36,0.5,18,0.37,10,"SECU Arena, Towson, Maryland",DREXEL,Drexel,75.8,Home,TOWSON,Towson,Towson,colonial,26,True,False,True,Home,True,10,18,57,31,54,10,14,54,1,0,148,496,1496,0.4799465240641711,889,1632,0.5447303921568627,225,397,1455,0.5048109965635739,0.34615384615384615
27,2019-02-21-19-hofstra,41.7,15,7.1,2,112.3,67.6,23,0.48700000000000004,79,0.456,36,0.139,11,0.455,5,18,250,101.2,38.1,16,20,82,,7.4,6,0.228,18,0.278,5,51.3,39,0.48700000000000004,13.4,13,61,0.508,31,0.35700000000000004,10,"February 21, 2019",75.9,22,11.5,7,101.2,61.9,26,0.529,68,0.426,29,0.368,25,0.76,19,5,250,112.3,32.4,11,12,91,,9.9,8,0.588,40,0.35,14,48.7,37,0.57,12.2,11,28,0.536,15,0.821,23,"Mack Sports Complex, Hempstead, New York",TOWSON,Towson,64.4,Home,HOFSTRA,Hofstra,Towson,colonial,27,False,False,False,Away,False,5,31,79,39,76,14,15,68,0,1,158,514,1553,0.48358016741790083,920,1686,0.5456702253855279,235,411,1509,0.5059642147117296,0.37037037037037035
