,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,WYOMING_homegame,WYOMING_homegame2,WYOMING_home,WYOMING_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-21-19-wyoming,45.2,14,16.7,5,65.4,87.2,34,0.493,68,0.456,31,0.20600000000000002,14,0.643,9,4,200,93.8,32.4,12,26,76,,9.9,8,0.309,21,0.23800000000000002,5,60.5,46,0.509,21.2,20,47,0.5529999999999999,26,0.6920000000000001,9,"December 21, 2018",62.5,10,4.3,2,93.8,67.6,25,0.39399999999999996,52,0.308,16,0.385,20,0.6,12,8,200,65.4,12.8,5,16,53,,7.4,6,0.423,22,0.409,9,39.5,30,0.431,26.6,22,30,0.233,7,0.273,3,"Don Haskins Center, El Paso, Texas",WYOMING,Wyoming,80.6,Away,EAST-TENNESSEE-STATE,ETSU,Wyoming,mwc,10,False,True,True,Home,False,9,7,52,30,76,5,26,68,0,1,79,166,568,0.5008802816901409,299,655,0.45648854961832064,76,201,610,0.5163934426229508,0.3
11,2018-12-22-19-texas-el-paso,42.1,8,11.5,3,105.6,79.3,23,0.43,50,0.38,19,0.52,26,0.846,22,9,200,90.3,19.2,5,19,65,,11.1,8,0.28,14,0.35700000000000004,5,50.9,28,0.521,21.7,17,36,0.389,14,0.25,3,"December 22, 2018",72.0,18,8.3,3,90.3,80.8,21,0.585,53,0.47200000000000003,25,0.34,18,0.778,14,6,200,105.6,20.7,6,19,76,,9.7,7,0.509,27,0.444,12,49.1,27,0.617,18.7,14,26,0.5,13,0.455,5,"Don Haskins Center, El Paso, Texas",WYOMING,Wyoming,72.0,Home,TEXAS-EL-PASO,UTEP,Wyoming,mwc,11,False,False,False,Away,False,5,14,50,28,55,12,13,53,0,1,88,173,620,0.49193548387096775,329,731,0.45006839945280436,81,227,678,0.5140117994100295,0.2727272727272727
12,2018-12-29-18-wyoming,57.9,11,9.5,2,97.0,82.1,23,0.42700000000000005,55,0.345,19,0.382,21,0.762,16,0,200,94.0,22.2,8,26,63,,14.9,10,0.527,29,0.31,9,48.4,31,0.485,12.3,9,26,0.385,10,0.0,0,"December 29, 2018",50.0,9,15.4,4,94.0,77.8,28,0.5,43,0.419,18,0.674,29,0.759,22,9,200,97.0,17.9,5,19,65,,6.0,4,0.512,22,0.318,7,51.6,33,0.5720000000000001,22.3,16,21,0.524,11,0.308,4,"Arena-Auditorium, Laramie, Wyoming","Dixie State
			","Dixie State
			",66.9,Home,WYOMING,Wyoming,Wyoming,mwc,12,True,False,True,Home,True,7,11,43,33,64,9,10,55,1,0,93,187,670,0.4873134328358209,357,786,0.4541984732824427,93,240,731,0.5191518467852257,0.25
13,2019-01-02-21-wyoming,52.0,13,8.3,2,88.7,84.6,22,0.49200000000000005,59,0.424,25,0.254,15,0.733,11,8,200,111.3,32.3,10,19,69,,12.9,8,0.441,26,0.308,8,56.1,32,0.522,8.4,6,33,0.515,17,0.429,6,"January 2, 2019",50.0,7,0.0,0,111.3,67.7,21,0.425,40,0.35,14,0.6,24,0.875,21,10,200,88.7,15.4,4,15,55,,3.2,2,0.4,16,0.375,6,43.9,25,0.535,22.9,15,24,0.33299999999999996,8,0.28600000000000003,4,"Arena-Auditorium, Laramie, Wyoming",WYOMING,Wyoming,62.3,Away,BOISE-STATE,Boise State,Wyoming,mwc,13,False,True,True,Home,False,6,8,40,25,57,8,17,59,0,1,100,198,713,0.48807854137447404,390,850,0.4588235294117647,102,250,786,0.5127226463104325,0.3076923076923077
14,2019-01-05-22-nevada-las-vegas,20.0,4,12.5,4,100.0,73.5,25,0.45899999999999996,49,0.408,20,0.34700000000000003,17,0.647,11,11,200,82.4,19.4,6,17,56,,8.8,6,0.306,15,0.33299999999999996,5,47.7,31,0.491,23.1,17,34,0.441,15,0.267,4,"January 5, 2019",86.4,19,17.6,6,82.4,80.6,25,0.456,57,0.386,22,0.368,21,0.762,16,6,200,100.0,26.5,9,16,68,,13.2,9,0.439,25,0.32,8,52.3,34,0.508,13.1,10,32,0.43799999999999994,14,0.5710000000000001,8,"Thomas & Mack Center, Las Vegas, Nevada",WYOMING,Wyoming,68.0,Home,NEVADA-LAS-VEGAS,UNLV,Wyoming,mwc,14,False,False,False,Away,False,5,15,49,31,65,8,14,57,0,1,106,206,753,0.4847277556440903,415,907,0.45755237045203967,110,267,845,0.5112426035502958,0.2857142857142857
15,2019-01-08-22-san-diego-state,37.5,6,12.1,4,116.7,75.0,18,0.413,46,0.348,16,0.63,29,0.552,16,12,200,75.0,8.3,3,16,54,,5.6,4,0.435,20,0.3,6,35.0,21,0.452,20.3,15,26,0.385,10,0.25,4,"January 8, 2019",69.0,20,7.7,2,75.0,91.7,33,0.614,57,0.509,29,0.298,17,0.8240000000000001,14,6,200,116.7,25.0,6,26,84,,8.3,6,0.42100000000000004,24,0.5,12,65.0,39,0.645,17.8,14,33,0.515,17,0.6,9,"Viejas Arena, San Diego, California",WYOMING,Wyoming,72.4,Home,SAN-DIEGO-STATE,San Diego State,Wyoming,mwc,15,False,False,False,Away,False,6,10,46,21,60,12,17,57,0,1,111,221,802,0.48316708229426436,446,972,0.4588477366255144,118,281,902,0.5077605321507761,0.26666666666666666
16,2019-01-12-18-wyoming,48.1,13,10.0,3,85.9,96.4,27,0.535,57,0.474,27,0.298,17,0.588,10,5,200,110.9,24.2,8,16,71,,6.3,4,0.42100000000000004,24,0.292,7,57.4,35,0.546,9.8,7,33,0.606,20,0.706,12,"January 12, 2019",35.0,7,12.1,4,110.9,75.8,25,0.47,50,0.4,20,0.26,13,0.615,8,13,200,85.9,3.6,1,15,55,,3.1,2,0.4,20,0.35,7,42.6,26,0.49,12.6,8,30,0.433,13,0.235,4,"Arena-Auditorium, Laramie, Wyoming",WYOMING,Wyoming,63.6,Away,UTAH-STATE,Utah State,Wyoming,mwc,16,False,True,True,Home,False,7,13,50,26,61,7,20,57,0,1,117,231,848,0.4793632075471698,467,1032,0.45251937984496127,130,298,959,0.5140771637122002,0.25
17,2019-01-19-18-new-mexico,52.6,10,12.9,4,103.8,79.2,19,0.40700000000000003,54,0.35200000000000004,19,0.33299999999999996,18,0.5,9,14,200,66.3,8.3,3,16,53,,12.5,10,0.40700000000000003,22,0.273,6,36.7,22,0.424,22.5,18,32,0.406,13,0.222,4,"January 19, 2019",71.4,20,18.8,6,66.3,91.7,33,0.56,58,0.483,28,0.397,23,0.7829999999999999,18,9,200,103.8,20.8,5,17,83,,11.3,9,0.466,27,0.33299999999999996,9,63.3,38,0.602,20.9,18,31,0.613,19,0.5,9,"The Pit, Albuquerque, New Mexico",WYOMING,Wyoming,79.7,Home,NEW-MEXICO,New Mexico,Wyoming,mwc,17,False,False,False,Away,False,6,13,54,22,60,9,19,58,0,1,124,244,898,0.47884187082405344,493,1093,0.45105215004574567,137,318,1016,0.515255905511811,0.23529411764705882
18,2019-01-23-21-wyoming,70.6,12,0.0,0,98.3,89.5,17,0.375,52,0.327,17,0.26899999999999996,14,0.5,7,15,200,76.7,41.2,14,14,46,,11.7,7,0.40399999999999997,21,0.23800000000000002,5,58.5,31,0.392,21.6,16,31,0.387,12,0.16699999999999998,3,"January 23, 2019",60.9,14,9.7,3,76.7,58.8,20,0.6709999999999999,41,0.561,23,0.195,8,0.5,4,14,200,98.3,10.5,2,15,59,,16.7,10,0.585,24,0.375,9,41.5,22,0.6579999999999999,27.6,17,17,0.8240000000000001,14,0.263,5,"Arena-Auditorium, Laramie, Wyoming",SAN-JOSE-STATE,San Jose State,60.2,Home,WYOMING,Wyoming,Wyoming,mwc,18,True,False,True,Home,True,9,14,41,22,53,5,12,52,1,0,130,257,952,0.47478991596638653,515,1153,0.44666088464874243,146,337,1074,0.5176908752327747,0.2222222222222222
19,2019-01-26-16-boise-state,52.9,9,11.1,3,104.1,64.3,18,0.419,43,0.395,17,0.488,21,0.762,16,15,200,70.3,8.3,2,23,52,,10.8,8,0.37200000000000005,16,0.125,2,38.5,20,0.491,31.5,24,27,0.556,15,0.25,5,"January 26, 2019",62.5,15,0.0,0,70.3,91.7,22,0.5379999999999999,53,0.45299999999999996,24,0.509,27,0.741,20,11,200,104.1,35.7,10,20,77,,14.9,11,0.491,26,0.34600000000000003,9,61.5,32,0.585,21.7,18,27,0.556,15,0.45,9,"Taco Bell Arena, Boise, Idaho",WYOMING,Wyoming,74.4,Home,BOISE-STATE,Boise State,Wyoming,mwc,19,False,False,False,Away,False,2,15,43,20,52,9,15,53,0,1,139,271,993,0.4828801611278953,537,1206,0.44527363184079605,151,349,1126,0.511101243339254,0.2631578947368421
20,2019-01-30-21-wyoming,48.0,12,11.1,3,96.9,73.9,17,0.585,53,0.47200000000000003,25,0.358,19,0.684,13,5,200,117.2,28.1,9,16,75,,17.2,11,0.47200000000000003,25,0.48,12,47.3,26,0.605,14.0,10,28,0.46399999999999997,13,0.75,15,"January 30, 2019",54.5,12,10.7,3,117.2,71.9,23,0.5429999999999999,46,0.478,22,0.326,15,0.8,12,16,200,96.9,26.1,6,18,62,,9.4,6,0.413,19,0.316,6,52.7,29,0.584,24.4,17,27,0.593,16,0.23800000000000002,5,"Arena-Auditorium, Laramie, Wyoming",WYOMING,Wyoming,63.6,Away,FRESNO-STATE,Fresno State,Wyoming,mwc,20,False,True,True,Home,False,6,16,46,29,55,12,13,53,0,1,141,286,1036,0.4802123552123552,557,1258,0.44276629570747217,160,364,1179,0.5122985581000848,0.25
21,2019-02-06-21-air-force,53.8,14,2.2,1,112.5,80.0,24,0.598,56,0.46399999999999997,26,0.196,11,0.818,9,17,200,105.6,0.0,0,17,76,,4.2,3,0.6609999999999999,37,0.405,15,43.6,24,0.621,17.6,13,19,0.579,11,0.22699999999999998,5,"February 6, 2019",46.9,15,5.3,1,105.6,100.0,25,0.5670000000000001,60,0.5329999999999999,32,0.35,21,0.619,13,13,200,112.5,20.0,6,11,81,,13.9,10,0.233,14,0.28600000000000003,4,56.4,31,0.579,6.7,5,46,0.609,28,0.435,10,"Clune Arena , Colorado Springs, Colorado",WYOMING,Wyoming,71.6,Home,AIR-FORCE,Air Force,Wyoming,mwc,21,False,False,False,Away,False,15,11,56,24,55,4,28,60,0,1,147,302,1082,0.48290203327171904,586,1313,0.4463061690784463,172,377,1232,0.515422077922078,0.23809523809523808
22,2019-02-09-14-wyoming,45.5,10,12.5,3,112.1,84.6,22,0.49,52,0.423,22,0.423,22,0.682,15,15,200,100.0,24.1,7,14,66,,12.1,8,0.40399999999999997,21,0.33299999999999996,7,52.7,29,0.528,15.1,11,31,0.484,15,0.375,9,"February 9, 2019",52.2,12,9.7,3,100.0,75.9,22,0.615,48,0.479,23,0.375,18,0.833,15,17,200,112.1,15.4,4,17,74,,7.6,5,0.5,24,0.542,13,47.3,26,0.654,17.7,12,24,0.41700000000000004,10,0.261,6,"Arena-Auditorium, Laramie, Wyoming",COLORADO-STATE,Colorado State,65.5,Home,WYOMING,Wyoming,Wyoming,mwc,22,True,False,True,Home,True,13,10,48,26,55,7,15,52,1,0,162,313,1138,0.48857644991212656,610,1368,0.44590643274853803,176,405,1292,0.5178018575851393,0.22727272727272727
23,2019-02-13-21-utah-state,47.6,10,3.4,1,118.8,70.4,19,0.51,49,0.429,21,0.245,12,0.75,9,18,200,92.2,3.8,1,21,59,,9.4,6,0.408,20,0.4,8,37.7,20,0.539,16.9,11,29,0.44799999999999995,13,0.25,6,"February 13, 2019",87.5,21,17.2,5,92.2,96.2,25,0.5920000000000001,49,0.49,24,0.51,25,0.72,18,6,200,118.8,29.6,8,10,76,,7.8,5,0.408,20,0.5,10,62.3,33,0.624,15.5,11,29,0.483,14,0.76,19,"Dee Glen Smith Spectrum, Logan, Utah",WYOMING,Wyoming,64.3,Home,UTAH-STATE,Utah State,Wyoming,mwc,23,False,False,False,Away,False,8,13,49,20,53,10,14,49,0,1,175,323,1186,0.4936762225969646,636,1423,0.44694307800421645,183,420,1344,0.5167410714285714,0.2608695652173913
24,2019-02-16-22-wyoming,45.2,14,7.7,2,71.0,86.1,31,0.623,57,0.544,31,0.298,17,0.647,11,1,200,118.8,26.7,8,17,82,7.0,10.1,7,0.40399999999999997,23,0.391,9,59.1,39,0.63,16.8,13,34,0.647,22,0.96,24,"February 16, 2019",46.7,7,2.9,1,118.8,73.3,22,0.36,50,0.3,15,0.36,18,0.722,13,19,200,71.0,13.9,5,19,49,,8.7,6,0.48,24,0.25,6,40.9,27,0.418,20.6,15,26,0.34600000000000003,9,0.24,6,"Arena-Auditorium, Laramie, Wyoming",WYOMING,Wyoming,69.3,Away,NEVADA,Nevada,Wyoming,mwc,24,False,True,True,Home,False,6,9,50,27,66,9,22,57,0,1,183,336,1235,0.494331983805668,656,1476,0.4444444444444444,193,434,1393,0.5193826274228285,0.25
25,2019-02-19-22-wyoming,43.5,10,10.0,2,80.0,96.4,27,0.47200000000000003,53,0.434,23,0.302,16,1.0,16,11,200,94.3,18.2,4,13,66,,10.0,7,0.415,22,0.182,4,62.0,31,0.545,18.9,14,31,0.613,19,0.5770000000000001,15,"February 19, 2019",57.9,11,3.2,1,94.3,81.8,18,0.489,46,0.413,19,0.304,14,0.7859999999999999,11,20,200,80.0,3.6,1,14,56,,8.6,6,0.565,26,0.26899999999999996,7,38.0,19,0.532,25.7,18,20,0.6,12,0.231,6,"Arena-Auditorium, Laramie, Wyoming",WYOMING,Wyoming,70.1,Away,NEVADA-LAS-VEGAS,UNLV,Wyoming,mwc,25,False,True,True,Home,False,7,12,46,19,50,4,19,53,0,1,189,345,1285,0.48910505836575874,683,1542,0.44293125810635536,202,456,1450,0.523448275862069,0.24
26,2019-02-23-14-colorado-state,43.8,7,7.1,2,115.3,78.6,22,0.327,52,0.308,16,0.26899999999999996,14,1.0,14,21,200,66.7,8.3,3,19,48,,9.7,7,0.462,24,0.083,2,39.1,25,0.409,20.5,15,28,0.5,14,0.222,6,"February 23, 2019",69.0,20,7.1,2,66.7,91.7,33,0.612,58,0.5,29,0.259,15,0.8,12,16,200,115.3,21.4,6,15,83,,12.5,9,0.517,30,0.433,13,60.9,39,0.637,18.8,15,28,0.5710000000000001,16,0.40700000000000003,11,"Moby Arena, Fort Collins, Colorado",WYOMING,Wyoming,72.4,Home,COLORADO-STATE,Colorado State,Wyoming,mwc,26,False,False,False,Away,False,2,14,52,25,64,13,16,58,0,1,196,357,1331,0.48910593538692715,702,1592,0.44095477386934673,206,475,1503,0.5216234198270127,0.23076923076923078
27,2019-02-27-22-fresno-state,50.0,11,16.7,4,109.2,63.4,26,0.5,52,0.423,22,0.25,13,0.615,8,22,200,92.3,18.8,6,18,60,,7.7,5,0.462,24,0.33299999999999996,8,43.8,32,0.516,17.2,12,28,0.5,14,0.214,6,"February 27, 2019",62.5,15,14.3,4,92.3,81.3,26,0.462,65,0.369,24,0.231,15,0.733,11,8,200,109.2,36.6,15,12,71,,15.4,10,0.631,41,0.293,12,56.2,41,0.49200000000000005,11.2,9,24,0.5,12,0.7140000000000001,20,"Save Mart Center, Fresno, California",WYOMING,Wyoming,65.2,Home,FRESNO-STATE,Fresno State,Wyoming,mwc,27,False,False,False,Away,False,8,14,52,32,73,12,12,65,0,1,198,371,1383,0.48300795372378885,727,1656,0.4390096618357488,219,491,1561,0.5249839846252402,0.2222222222222222
