,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MASSACHUSETTS-LOWELL_homegame,MASSACHUSETTS-LOWELL_homegame2,MASSACHUSETTS-LOWELL_home,MASSACHUSETTS-LOWELL_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-04-19-boston-university,44.0,11,4.4,2,105.3,66.7,18,0.44799999999999995,58,0.431,25,0.22399999999999998,13,0.615,8,6,200,80.0,21.2,7,16,60,,12.0,9,0.276,16,0.125,2,41.7,25,0.467,22.0,18,42,0.5479999999999999,23,0.455,5,"December 4, 2018",45.2,14,7.1,3,80.0,78.8,26,0.569,58,0.534,31,0.293,17,0.765,13,4,200,105.3,33.3,9,18,79,,9.3,7,0.22399999999999998,13,0.308,4,58.3,35,0.598,21.6,18,45,0.6,27,0.6,6,"Case Gym, Boston, Massachusetts",MASSACHUSETTS-LOWELL,UMass-Lowell,75.1,Home,BOSTON-UNIVERSITY,Boston University,Massachusetts-Lowell,america-east,10,False,False,False,Away,False,2,23,58,25,60,4,27,58,0,1,79,212,596,0.5545302013422819,323,654,0.4938837920489297,73,223,644,0.5163043478260869,0.5
11,2018-12-07-19-massachusetts-lowell,44.0,11,2.3,1,129.4,65.8,25,0.384,69,0.36200000000000004,25,0.23199999999999998,16,0.625,10,0,200,74.1,26.1,12,16,63,,8.2,7,0.188,13,0.231,3,44.0,37,0.41100000000000003,21.6,21,56,0.39299999999999996,22,0.0,0,"December 7, 2018",69.0,29,8.9,5,74.1,73.9,34,0.636,77,0.545,42,0.23399999999999999,18,0.667,12,6,200,129.4,34.2,13,13,110,,10.6,9,0.442,34,0.41200000000000003,14,56.0,47,0.643,11.5,11,43,0.6509999999999999,28,0.5,6,"Tsongas Center, Lowell, Massachusetts","Maine-Fort Kent
			","Maine-Fort Kent
			",84.6,Home,MASSACHUSETTS-LOWELL,UMass-Lowell,Massachusetts-Lowell,america-east,11,True,False,True,Home,True,14,28,77,47,84,3,22,69,1,0,81,235,654,0.5451070336391437,348,714,0.48739495798319327,77,250,702,0.5206552706552706,0.45454545454545453
12,2018-12-11-19-st-francis-ny,34.6,9,15.8,6,110.3,74.4,29,0.423,65,0.4,26,0.292,19,0.737,14,7,200,101.5,31.6,12,18,69,,4.4,3,0.33799999999999997,22,0.136,3,53.2,41,0.466,8.7,7,43,0.535,23,0.462,6,"December 11, 2018",22.2,6,16.3,7,101.5,68.4,26,0.516,61,0.44299999999999995,27,0.32799999999999996,20,0.6,12,4,200,110.3,25.6,10,18,75,,2.9,2,0.377,23,0.391,9,46.8,36,0.532,9.1,7,38,0.474,18,0.6,6,"Pope Physical Education Center, Brooklyn Heights, New York",MASSACHUSETTS-LOWELL,UMass-Lowell,68.3,Home,ST-FRANCIS-NY,St. Francis (NY),Massachusetts-Lowell,america-east,12,False,False,False,Away,False,3,23,65,41,77,9,18,61,0,1,95,263,731,0.554719562243502,395,798,0.4949874686716792,80,272,771,0.5084306095979247,0.5
13,2018-12-21-19-massachusetts-lowell,42.9,12,5.6,2,121.3,80.0,20,0.508,61,0.45899999999999996,28,0.32799999999999996,20,0.85,17,8,200,98.8,15.2,5,22,79,,10.0,8,0.295,18,0.33299999999999996,6,43.1,25,0.56,17.7,15,43,0.512,22,0.33299999999999996,4,"December 21, 2018",54.3,19,4.7,2,98.8,84.8,28,0.69,58,0.603,35,0.414,24,0.708,17,7,200,121.3,20.0,5,18,97,,8.8,7,0.379,22,0.455,10,56.9,33,0.6990000000000001,18.9,16,36,0.6940000000000001,25,0.5,7,"Costello Athletic Center, Lowell, Massachusetts",LOYOLA-MD,Loyola (MD),80.5,Home,MASSACHUSETTS-LOWELL,UMass-Lowell,Massachusetts-Lowell,america-east,13,True,False,True,Home,True,10,25,58,33,58,6,22,61,1,0,98,286,796,0.5439698492462312,436,875,0.4982857142857143,89,290,832,0.5090144230769231,0.46153846153846156
14,2018-12-29-14-sacred-heart,54.3,19,7.3,4,103.4,57.1,20,0.596,68,0.515,35,0.441,30,0.633,19,7,225,113.6,30.6,11,22,100,,10.2,9,0.353,24,0.45799999999999996,11,43.7,31,0.608,17.3,17,44,0.545,24,0.5329999999999999,8,"December 29, 2018",35.3,12,4.5,2,113.6,69.4,25,0.493,74,0.45899999999999996,34,0.37799999999999995,28,0.643,18,9,225,103.4,42.9,15,25,91,,9.1,8,0.257,19,0.263,5,56.3,40,0.521,15.6,16,55,0.527,29,0.308,4,"William H. Pitt Center, Fairfield, Connecticut",SACRED-HEART,Sacred Heart,78.5,Away,MASSACHUSETTS-LOWELL,UMass-Lowell,Massachusetts-Lowell,america-east,14,False,False,False,Away,True,11,24,68,31,71,5,29,74,1,0,108,311,854,0.5538641686182669,469,933,0.5026795284030011,95,312,893,0.5089585666293394,0.5
15,2019-01-05-13-massachusetts-lowell,40.0,10,20.0,4,81.8,85.3,29,0.467,61,0.41,25,0.32799999999999996,20,0.9,18,3,200,97.4,28.1,9,21,75,,9.1,7,0.32799999999999996,20,0.35,7,57.6,38,0.532,18.6,16,41,0.439,18,0.812,13,"January 5, 2019",68.4,13,4.9,2,97.4,71.9,23,0.418,55,0.345,19,0.4,22,0.773,17,8,200,81.8,14.7,5,18,63,,6.5,5,0.636,35,0.22899999999999998,8,42.4,28,0.48100000000000004,19.8,16,20,0.55,11,0.5,8,"Costello Athletic Center, Lowell, Massachusetts",MASSACHUSETTS-LOWELL,UMass-Lowell,77.0,Away,STONY-BROOK,Stony Brook,Massachusetts-Lowell,america-east,15,False,True,True,Home,False,8,11,55,28,66,7,18,61,0,1,119,335,922,0.556941431670282,500,1004,0.49800796812749004,100,341,967,0.5077559462254395,0.5333333333333333
16,2019-01-09-19-new-hampshire,33.3,6,0.0,0,95.8,84.8,28,0.43,50,0.36,18,0.52,26,0.8079999999999999,21,9,200,90.1,21.9,7,14,64,,7.0,5,0.46,23,0.304,7,53.8,35,0.513,20.7,16,27,0.40700000000000003,11,0.47100000000000003,8,"January 9, 2019",52.0,13,7.4,2,90.1,78.1,25,0.475,60,0.41700000000000004,25,0.233,14,0.7859999999999999,11,12,200,95.8,15.2,5,20,68,,7.0,5,0.467,28,0.25,7,46.2,30,0.51,12.0,9,32,0.563,18,0.2,3,"Lundholm Gymnasium, Durham, New Hampshire",MASSACHUSETTS-LOWELL,UMass-Lowell,71.0,Home,NEW-HAMPSHIRE,New Hampshire,Massachusetts-Lowell,america-east,16,False,False,False,Away,False,7,11,50,35,65,7,18,60,0,1,127,346,977,0.5491299897645855,528,1070,0.4934579439252336,107,359,1028,0.5053501945525292,0.5
17,2019-01-12-17-massachusetts-lowell,31.8,7,11.1,3,107.2,76.0,19,0.435,54,0.40700000000000003,22,0.389,21,0.762,16,9,200,91.3,34.5,10,23,63,,14.5,10,0.29600000000000004,16,0.188,3,53.7,29,0.49200000000000005,18.1,14,38,0.5,19,0.5,9,"January 12, 2019",56.5,13,2.6,1,91.3,65.5,19,0.552,48,0.479,23,0.5,24,0.875,21,9,200,107.2,24.0,6,18,74,,5.8,4,0.43799999999999994,21,0.33299999999999996,7,46.3,25,0.623,21.5,16,27,0.593,16,0.5,9,"Costello Athletic Center, Lowell, Massachusetts",MARYLAND-BALTIMORE-COUNTY,UMBC,68.7,Home,MASSACHUSETTS-LOWELL,UMass-Lowell,Massachusetts-Lowell,america-east,17,True,False,True,Home,True,7,16,48,25,54,3,19,54,1,0,134,357,1027,0.5433300876338851,563,1135,0.4960352422907489,114,377,1088,0.5036764705882353,0.47058823529411764
18,2019-01-16-19-massachusetts-lowell,46.4,13,2.9,1,133.3,66.7,16,0.5710000000000001,56,0.5,28,0.161,9,0.889,8,13,200,114.3,26.9,7,18,72,,6.3,4,0.39299999999999996,22,0.364,8,46.0,23,0.597,16.7,12,34,0.588,20,0.278,5,"January 16, 2019",45.2,14,8.8,3,114.3,73.1,19,0.66,53,0.585,31,0.302,16,0.875,14,9,200,133.3,33.3,8,17,84,,4.8,3,0.358,19,0.42100000000000004,8,54.0,27,0.693,13.0,9,34,0.6759999999999999,23,0.526,10,"Costello Athletic Center, Lowell, Massachusetts",ALBANY-NY,Albany (NY),63.4,Home,MASSACHUSETTS-LOWELL,UMass-Lowell,Massachusetts-Lowell,america-east,18,True,False,True,Home,True,8,23,53,27,50,8,20,56,1,0,141,373,1075,0.5437209302325582,588,1189,0.4945332211942809,117,396,1142,0.5004378283712785,0.5
19,2019-01-19-14-hartford,64.0,16,7.5,3,107.4,68.8,22,0.6,50,0.5,25,0.38,19,0.8420000000000001,16,9,200,111.8,20.8,5,14,76,,5.9,4,0.46,23,0.435,10,48.2,27,0.644,18.2,13,27,0.556,15,0.55,11,"January 19, 2019",51.7,15,18.5,5,111.8,79.2,19,0.524,63,0.46,29,0.19,12,0.583,7,10,200,107.4,31.3,10,18,73,,11.8,8,0.365,23,0.348,8,51.8,29,0.531,13.9,11,40,0.525,21,0.474,9,"Chase Family Arena, Hartford, Connecticut",HARTFORD,Hartford,68.4,Away,MASSACHUSETTS-LOWELL,UMass-Lowell,Massachusetts-Lowell,america-east,19,False,False,False,Away,True,10,15,50,27,56,8,21,63,1,0,149,396,1128,0.5492021276595744,615,1239,0.4963680387409201,125,416,1198,0.5037562604340567,0.5263157894736842
20,2019-01-23-19-binghamton,64.3,18,6.3,2,108.2,75.0,24,0.493,71,0.39399999999999996,28,0.268,19,0.789,15,9,200,116.4,28.9,11,16,85,,11.0,8,0.507,36,0.389,14,50.0,35,0.531,7.0,6,35,0.4,14,0.5710000000000001,12,"January 23, 2019",21.4,6,25.7,9,116.4,71.1,27,0.561,57,0.491,28,0.368,21,0.7140000000000001,15,15,200,108.2,25.0,8,19,79,,6.8,5,0.439,25,0.32,8,50.0,35,0.59,15.3,12,32,0.625,20,0.25,5,"Binghamton University Events Center, Vestal, New York",BINGHAMTON,Binghamton,73.0,Away,MASSACHUSETTS-LOWELL,UMass-Lowell,Massachusetts-Lowell,america-east,20,False,False,False,Away,True,14,14,71,35,70,8,20,57,1,0,159,411,1178,0.551358234295416,642,1295,0.4957528957528958,133,437,1261,0.5047581284694687,0.55
21,2019-01-30-19-massachusetts-lowell,68.8,22,3.4,1,88.1,84.0,21,0.54,62,0.516,32,0.21,13,0.846,11,18,200,116.4,37.9,11,13,78,,17.9,12,0.29,18,0.16699999999999998,3,59.3,32,0.5720000000000001,11.7,9,44,0.659,29,0.182,4,"January 30, 2019",78.3,18,2.3,1,116.4,62.1,18,0.54,50,0.46,23,0.1,5,1.0,5,10,200,88.1,16.0,4,13,59,,6.0,4,0.42,21,0.381,8,40.7,22,0.563,27.7,20,29,0.517,15,0.545,12,"Costello Athletic Center, Lowell, Massachusetts",MASSACHUSETTS-LOWELL,UMass-Lowell,67.3,Away,MAINE,Maine,Massachusetts-Lowell,america-east,21,False,True,True,Home,False,8,15,50,22,54,3,29,62,0,1,173,425,1249,0.5480384307445957,677,1365,0.495970695970696,141,457,1318,0.5072078907435509,0.5714285714285714
22,2019-02-02-17-massachusetts-lowell,33.3,8,19.4,7,89.0,85.7,30,0.455,56,0.429,24,0.5,28,0.821,23,5,200,101.4,30.0,9,18,74,,6.8,5,0.28600000000000003,16,0.188,3,60.0,39,0.534,14.9,12,40,0.525,21,0.773,17,"February 2, 2019",50.0,12,7.5,3,101.4,70.0,21,0.466,59,0.40700000000000003,24,0.322,19,0.526,10,11,200,89.0,14.3,5,24,65,,6.8,5,0.39,23,0.304,7,40.0,26,0.478,12.9,10,36,0.47200000000000003,17,0.522,12,"Tsongas Center, Lowell, Massachusetts",MASSACHUSETTS-LOWELL,UMass-Lowell,72.7,Away,VERMONT,Vermont,Massachusetts-Lowell,america-east,22,False,True,True,Home,False,7,17,59,26,65,3,21,56,0,1,181,440,1299,0.5477290223248653,699,1419,0.492600422832981,144,486,1380,0.508695652173913,0.5454545454545454
23,2019-02-06-19-massachusetts-lowell,41.7,10,6.1,2,114.3,75.9,22,0.43200000000000005,66,0.364,24,0.182,12,0.41700000000000004,5,19,200,98.4,26.7,12,20,62,,4.8,3,0.53,35,0.257,9,45.9,34,0.43200000000000005,6.6,5,31,0.484,15,0.136,3,"February 6, 2019",37.5,9,6.5,2,98.4,73.3,33,0.541,49,0.49,24,0.5710000000000001,28,0.679,19,11,200,114.3,24.1,7,19,72,,3.2,2,0.327,16,0.313,5,54.1,40,0.578,8.9,6,33,0.5760000000000001,19,0.542,13,"Costello Athletic Center, Lowell, Massachusetts",NEW-HAMPSHIRE,New Hampshire,63.0,Home,MASSACHUSETTS-LOWELL,UMass-Lowell,Massachusetts-Lowell,america-east,23,True,False,True,Home,True,5,19,49,40,74,9,15,66,1,0,188,457,1358,0.5441826215022091,725,1484,0.488544474393531,147,507,1436,0.5066155988857939,0.5217391304347826
24,2019-02-09-19-stony-brook,61.9,13,10.3,4,100.0,81.8,27,0.429,56,0.375,21,0.375,21,0.81,17,12,200,85.5,9.7,3,21,65,,3.9,3,0.41100000000000003,23,0.261,6,46.9,30,0.493,17.7,14,33,0.455,15,0.52,13,"February 9, 2019",50.0,13,12.1,4,85.5,90.3,28,0.518,55,0.473,26,0.473,26,0.731,19,5,200,100.0,18.2,6,22,76,,9.2,7,0.29100000000000004,16,0.313,5,53.1,34,0.564,16.4,13,39,0.5379999999999999,21,0.8,20,"Island Federal Credit Union, Stony Brook, New York",MASSACHUSETTS-LOWELL,UMass-Lowell,75.7,Home,STONY-BROOK,Stony Brook,Massachusetts-Lowell,america-east,24,False,False,False,Away,False,6,15,56,30,64,5,21,55,0,1,193,476,1407,0.5440653873489695,765,1558,0.4910141206675225,156,522,1502,0.5033288948069241,0.5416666666666666
25,2019-02-13-19-albany-ny,61.8,21,17.1,6,74.0,81.6,31,0.644,59,0.5760000000000001,34,0.22,13,0.769,10,12,200,117.8,39.1,9,15,86,,12.3,9,0.35600000000000004,21,0.381,8,65.6,40,0.66,21.8,18,38,0.684,26,0.5379999999999999,14,"February 13, 2019",78.3,18,10.5,4,117.8,60.9,14,0.41,61,0.377,23,0.16399999999999998,10,0.4,4,17,200,74.0,18.4,7,15,54,,13.7,10,0.426,26,0.154,4,34.4,21,0.41100000000000003,17.6,14,35,0.5429999999999999,19,0.32,8,"SEFCU Arena, Albany, New York",ALBANY-NY,Albany (NY),73.5,Away,MASSACHUSETTS-LOWELL,UMass-Lowell,Massachusetts-Lowell,america-east,25,False,False,False,Away,True,8,26,59,40,61,4,19,61,1,0,199,491,1463,0.5396445659603555,795,1622,0.49013563501849566,161,543,1557,0.5038535645472062,0.52
