,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,CAL-POLY_homegame,CAL-POLY_homegame2,CAL-POLY_home,CAL-POLY_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-21-22-cal-poly,47.8,11,13.3,4,86.4,75.0,24,0.44799999999999995,58,0.397,23,0.586,34,0.6759999999999999,23,8,225,92.6,27.3,9,17,75,,14.8,12,0.36200000000000004,21,0.28600000000000003,6,50.8,33,0.506,19.8,18,37,0.45899999999999996,17,0.33299999999999996,4,"December 21, 2018",46.2,12,8.1,3,92.6,72.7,24,0.5,62,0.419,26,0.19399999999999998,12,0.667,8,8,225,86.4,25.0,8,29,70,,13.6,11,0.516,32,0.313,10,49.2,32,0.517,22.9,20,30,0.5329999999999999,16,0.273,3,"Robert A. Mott Gymnasium, San Luis Obispo, California",CAL-POLY,Cal Poly,72.4,Away,TEXAS-ARLINGTON,Texas-Arlington,Cal Poly,big-west,10,False,True,True,Home,False,10,16,62,32,65,6,17,58,0,1,83,155,566,0.49381625441696114,298,637,0.46781789638932497,80,183,592,0.5118243243243243,0.3
11,2018-12-29-14-siena,56.5,13,0.0,0,121.0,80.8,21,0.51,52,0.442,23,0.038,2,0.5,1,9,200,87.1,14.3,4,18,54,,6.5,4,0.26899999999999996,14,0.5,7,46.3,25,0.51,19.7,13,38,0.42100000000000004,16,0.25,3,"December 29, 2018",65.4,17,5.3,2,87.1,85.7,24,0.647,51,0.51,26,0.275,14,0.643,9,8,200,121.0,19.2,5,10,75,,6.5,4,0.569,29,0.483,14,53.7,29,0.65,13.6,9,22,0.545,12,0.385,5,"Times Union Center , Albany, New York",CAL-POLY,Cal Poly,61.8,Home,SIENA,Siena,Cal Poly,big-west,11,False,False,False,Away,False,7,16,52,25,54,14,12,51,0,1,93,171,628,0.49442675159235666,330,702,0.4700854700854701,86,200,650,0.5061538461538462,0.2727272727272727
12,2019-01-04-22-cal-poly,73.3,11,2.6,1,104.6,71.4,25,0.35600000000000004,52,0.28800000000000003,15,0.231,12,0.833,10,0,200,72.3,16.7,5,13,47,,0.0,0,0.40399999999999997,21,0.33299999999999996,7,46.2,30,0.40700000000000003,20.8,15,31,0.258,8,0.0,0,"January 4, 2019",29.6,8,12.9,4,72.3,83.3,25,0.508,62,0.435,27,0.161,10,0.5,5,9,200,104.6,28.6,10,13,68,,20.0,13,0.371,23,0.391,9,53.8,35,0.509,8.3,6,39,0.462,18,0.308,4,"Robert A. Mott Gymnasium, San Luis Obispo, California","Holy Names
			","Holy Names
			",65.2,Home,CAL-POLY,Cal Poly,Cal Poly,big-west,12,True,False,True,Home,True,9,18,62,35,65,7,8,52,1,0,100,187,680,0.49558823529411766,355,756,0.4695767195767196,100,212,701,0.5164051355206848,0.25
13,2019-01-09-22-california-santa-barbara,47.8,11,15.4,6,100.0,62.5,20,0.434,61,0.377,23,0.115,7,0.429,3,10,200,86.2,20.6,7,19,56,,3.1,2,0.41,25,0.28,7,40.9,27,0.435,11.1,8,36,0.444,16,0.28600000000000003,4,"January 9, 2019",62.5,15,8.3,3,86.2,79.4,27,0.45799999999999996,60,0.4,24,0.267,16,0.625,10,3,200,100.0,37.5,12,17,65,,4.6,3,0.35,21,0.33299999999999996,7,59.1,39,0.48100000000000004,13.0,10,39,0.436,17,0.8,12,"The Thunderdome, Santa Barbara, California",CAL-POLY,Cal Poly,65.5,Home,CALIFORNIA-SANTA-BARBARA,UCSB,Cal Poly,big-west,13,False,False,False,Away,False,7,16,61,27,66,7,17,60,0,1,109,205,742,0.49663072776280326,390,821,0.47503045066991473,107,220,753,0.5053120849933599,0.3076923076923077
14,2019-01-12-22-cal-poly,62.1,18,20.0,7,93.7,75.6,34,0.55,60,0.483,29,0.433,26,0.462,12,10,225,98.7,16.7,6,14,78,,6.3,5,0.33299999999999996,20,0.4,8,49.4,40,0.539,12.3,10,40,0.525,21,0.444,8,"January 12, 2019",36.0,9,20.0,8,98.7,83.3,30,0.43200000000000005,73,0.342,25,0.21899999999999997,16,0.688,11,11,225,93.7,24.4,11,19,74,,6.3,5,0.521,38,0.342,13,50.6,41,0.45899999999999996,13.0,12,35,0.34299999999999997,12,0.267,4,"Robert A. Mott Gymnasium, San Luis Obispo, California",CAL-POLY,Cal Poly,70.2,Away,CAL-STATE-NORTHRIDGE,Cal State Northridge,Cal Poly,big-west,14,False,True,True,Home,False,13,12,73,41,81,8,21,60,0,1,116,221,803,0.4919053549190536,417,887,0.4701240135287486,114,237,813,0.5018450184501845,0.2857142857142857
15,2019-01-19-20-california-davis,47.8,11,8.6,3,110.3,75.0,21,0.5,54,0.426,23,0.259,14,0.643,9,12,200,92.6,18.2,6,22,63,,2.9,2,0.46299999999999997,25,0.32,8,44.3,27,0.519,17.8,13,29,0.517,15,0.25,4,"January 19, 2019",61.5,16,6.9,2,92.6,81.8,27,0.557,53,0.491,26,0.45299999999999996,24,0.667,16,13,200,110.3,25.0,7,15,75,,11.8,8,0.34,18,0.389,7,55.7,34,0.5820000000000001,13.6,10,35,0.5429999999999999,19,0.278,5,"The Pavilion, Davis, California",CAL-POLY,Cal Poly,67.5,Home,CALIFORNIA-DAVIS,UC-Davis,Cal Poly,big-west,15,False,False,False,Away,False,8,15,54,27,61,7,19,53,0,1,129,233,876,0.4868721461187215,458,968,0.4731404958677686,122,258,873,0.5051546391752577,0.26666666666666666
16,2019-01-23-22-cal-poly,55.2,16,0.0,0,81.0,85.7,30,0.586,58,0.5,29,0.121,7,0.857,6,13,200,117.5,46.4,13,10,74,,4.8,3,0.345,20,0.5,10,68.3,43,0.603,18.6,14,38,0.5,19,0.381,8,"January 23, 2019",55.0,11,7.9,3,117.5,53.6,15,0.40700000000000003,59,0.33899999999999997,20,0.102,6,0.5,3,13,200,81.0,14.3,5,11,51,,9.5,6,0.542,32,0.25,8,31.7,20,0.41200000000000003,8.9,6,27,0.444,12,0.235,4,"Robert A. Mott Gymnasium, San Luis Obispo, California",CAL-POLY,Cal Poly,62.6,Away,CALIFORNIA-RIVERSIDE,UC-Riverside,Cal Poly,big-west,16,False,True,True,Home,False,8,12,59,20,63,10,19,58,0,1,137,248,930,0.4876344086021505,485,1029,0.4713313896987366,129,277,926,0.5080993520518359,0.25
17,2019-01-26-22-cal-poly,34.6,9,11.9,5,98.4,72.2,26,0.5870000000000001,46,0.565,26,0.7609999999999999,35,0.743,26,12,200,125.0,42.3,11,15,80,,6.3,4,0.217,10,0.2,2,59.7,37,0.639,14.0,10,36,0.667,24,0.4,8,"January 26, 2019",37.0,10,5.6,2,125.0,57.7,15,0.469,64,0.42200000000000004,27,0.141,9,0.33299999999999996,3,14,200,98.4,27.8,10,23,63,,7.8,5,0.344,22,0.273,6,40.3,25,0.461,10.5,8,42,0.5,21,0.222,4,"Robert A. Mott Gymnasium, San Luis Obispo, California",CAL-POLY,Cal Poly,64.0,Away,CAL-STATE-FULLERTON,Cal State Fullerton,Cal Poly,big-west,17,False,True,True,Home,False,6,21,64,25,62,2,24,46,0,1,145,260,989,0.4828109201213347,505,1092,0.4624542124542125,139,296,984,0.5127032520325203,0.23529411764705882
18,2019-01-31-22-california-riverside,63.0,17,9.4,3,78.9,76.9,20,0.635,52,0.519,27,0.17300000000000001,9,0.556,5,14,200,124.6,18.2,4,12,71,,1.8,1,0.423,22,0.545,12,50.0,24,0.631,11.1,7,30,0.5,15,0.263,5,"January 31, 2019",58.8,10,30.0,9,124.6,81.8,18,0.38299999999999995,47,0.36200000000000004,17,0.23399999999999999,11,0.818,9,15,200,78.9,23.1,6,17,45,,7.0,4,0.319,15,0.133,2,50.0,24,0.431,13.4,8,32,0.469,15,0.348,8,"UC Riverside Student Recreation Center, Riverside, California",CALIFORNIA-RIVERSIDE,UC-Riverside,56.8,Away,CAL-POLY,Cal Poly,Cal Poly,big-west,18,False,False,False,Away,True,12,15,52,24,48,2,15,47,1,0,151,281,1053,0.4819563152896486,530,1154,0.4592720970537262,141,320,1030,0.5160194174757281,0.2222222222222222
19,2019-02-02-22-cal-state-northridge,33.3,8,8.7,4,125.8,72.7,24,0.451,61,0.39299999999999996,24,0.361,22,0.455,10,15,200,98.5,35.9,14,19,65,,3.0,2,0.344,21,0.33299999999999996,7,52.8,38,0.455,9.0,7,40,0.425,17,0.25,5,"February 2, 2019",46.4,13,12.5,5,98.5,64.1,25,0.508,62,0.452,28,0.371,23,0.87,20,13,200,125.8,27.3,9,19,83,,4.5,3,0.258,16,0.43799999999999994,7,47.2,34,0.569,4.0,3,46,0.457,21,0.435,10,"The Matadome, Northridge, California",CAL-POLY,Cal Poly,65.7,Home,CAL-STATE-NORTHRIDGE,Cal State Northridge,Cal Poly,big-west,19,False,False,False,Away,False,7,17,61,38,72,7,21,62,0,1,163,296,1105,0.48914027149321265,554,1202,0.46089850249584025,143,335,1077,0.510213556174559,0.2631578947368421
20,2019-02-07-22-cal-poly,50.0,12,22.2,8,80.3,79.3,23,0.5760000000000001,46,0.522,24,0.304,14,0.7140000000000001,10,14,200,95.5,8.7,2,11,63,,3.0,2,0.326,15,0.33299999999999996,5,48.1,25,0.598,22.3,15,31,0.613,19,0.33299999999999996,7,"February 7, 2019",45.5,10,16.1,5,95.5,91.3,21,0.445,55,0.4,22,0.091,5,0.8,4,16,200,80.3,20.7,6,15,53,,12.1,8,0.345,19,0.263,5,51.9,27,0.462,19.7,14,36,0.47200000000000003,17,0.23800000000000002,5,"Robert A. Mott Gymnasium, San Luis Obispo, California",CAL-POLY,Cal Poly,65.5,Away,CALIFORNIA-DAVIS,UC-Davis,Cal Poly,big-west,20,False,True,True,Home,False,5,17,55,27,52,5,19,46,0,1,170,313,1166,0.48713550600343053,592,1274,0.46467817896389324,150,356,1139,0.5100965759438104,0.25
21,2019-02-09-22-cal-poly,57.1,12,7.8,4,88.3,68.9,31,0.451,51,0.41200000000000003,21,0.804,41,0.732,30,16,225,98.7,29.0,9,16,76,,6.5,5,0.17600000000000002,9,0.444,4,52.6,40,0.539,17.8,15,42,0.405,17,0.36,9,"February 9, 2019",24.0,6,9.5,4,98.7,71.0,22,0.382,72,0.34700000000000003,25,0.292,21,0.619,13,17,225,88.3,31.1,14,28,68,,15.6,12,0.292,21,0.23800000000000002,5,47.4,36,0.415,11.0,10,51,0.392,20,0.22699999999999998,5,"Robert A. Mott Gymnasium, San Luis Obispo, California",CAL-POLY,Cal Poly,68.6,Away,LONG-BEACH-STATE,Long Beach State,Cal Poly,big-west,21,False,True,True,Home,False,5,20,72,36,76,4,17,51,0,1,175,330,1221,0.48525798525798525,619,1326,0.46681749622926094,155,375,1185,0.5126582278481012,0.23809523809523808
22,2019-02-14-23-hawaii,40.0,8,4.9,2,115.4,75.9,22,0.425,53,0.377,20,0.302,16,0.563,9,18,200,83.1,26.7,8,22,54,,9.2,6,0.415,22,0.22699999999999998,5,50.8,30,0.446,15.5,11,31,0.484,15,0.217,5,"February 14, 2019",62.1,18,6.5,2,83.1,73.3,22,0.589,56,0.518,29,0.321,18,0.5,9,9,200,115.4,24.1,7,15,75,,9.2,6,0.268,15,0.5329999999999999,8,49.2,29,0.581,12.3,9,41,0.512,21,0.625,15,"Stan Sheriff Center, Honolulu, Hawaii",CAL-POLY,Cal Poly,65.1,Home,HAWAII,Hawaii,Cal Poly,big-west,22,False,False,False,Away,False,5,15,53,30,59,8,21,56,0,1,180,350,1293,0.4795050270688322,655,1402,0.46718972895863053,159,392,1236,0.5101132686084142,0.22727272727272727
23,2019-02-21-22-california-irvine,27.8,5,0.0,0,115.6,73.9,17,0.311,61,0.295,18,0.213,13,0.6920000000000001,9,19,200,73.4,26.2,11,16,47,,3.1,2,0.262,16,0.125,2,43.1,28,0.35,11.9,9,45,0.35600000000000004,16,0.20800000000000002,5,"February 21, 2019",41.4,12,4.4,2,73.4,73.8,31,0.615,52,0.5579999999999999,29,0.26899999999999996,14,0.7140000000000001,10,5,200,115.6,26.1,6,18,74,,7.8,5,0.28800000000000003,15,0.4,6,56.9,37,0.631,14.7,10,37,0.622,23,0.821,23,"Bren Events Center, Irvine, California",CAL-POLY,Cal Poly,63.9,Home,CALIFORNIA-IRVINE,UC-Irvine,Cal Poly,big-west,23,False,False,False,Away,False,2,16,61,28,65,6,23,52,0,1,185,365,1346,0.4773402674591382,685,1461,0.46885694729637234,167,413,1292,0.5135448916408669,0.21739130434782608
24,2019-02-23-22-cal-poly,66.7,18,11.1,4,131.3,78.6,22,0.5,62,0.435,27,0.355,22,0.818,18,11,200,119.4,25.0,9,15,80,,6.0,4,0.355,22,0.364,8,48.4,31,0.552,5.3,4,40,0.475,19,0.593,16,"February 23, 2019",37.5,12,10.0,4,119.4,75.0,27,0.65,60,0.5329999999999999,32,0.217,13,0.769,10,19,200,131.3,21.4,6,18,88,,1.5,1,0.4,24,0.583,14,51.6,33,0.665,8.4,6,36,0.5,18,0.24,6,"Robert A. Mott Gymnasium, San Luis Obispo, California",HAWAII,Hawaii,66.8,Home,CAL-POLY,Cal Poly,Cal Poly,big-west,24,True,False,True,Home,True,14,18,60,33,64,8,19,62,1,0,187,381,1407,0.4701492537313433,713,1526,0.4672346002621232,173,436,1344,0.5174851190476191,0.20833333333333334
25,2019-02-28-22-cal-state-fullerton,19.2,5,2.7,1,116.2,62.9,22,0.466,58,0.44799999999999995,26,0.569,33,0.636,21,20,200,101.4,20.0,7,29,75,,5.4,4,0.24100000000000002,14,0.14300000000000002,2,41.4,29,0.509,8.8,7,44,0.545,24,0.231,6,"February 28, 2019",34.8,8,6.8,3,101.4,80.0,28,0.48100000000000004,53,0.434,23,0.925,49,0.7140000000000001,35,14,200,116.2,37.1,13,24,86,,2.7,2,0.302,16,0.313,5,58.6,41,0.564,12.9,11,37,0.486,18,0.5,14,"Titan Gym, Fullerton, California",CAL-POLY,Cal Poly,74.0,Home,CAL-STATE-FULLERTON,Cal State Fullerton,Cal Poly,big-west,25,False,False,False,Away,False,2,24,58,29,70,5,18,53,0,1,201,399,1467,0.4775051124744376,746,1590,0.4691823899371069,181,455,1406,0.5167140825035562,0.24
26,2019-03-02-22-long-beach-state,27.6,8,4.2,2,113.3,84.4,27,0.478,67,0.433,29,0.38799999999999996,26,0.8079999999999999,21,21,200,102.4,31.6,12,31,85,,7.2,6,0.373,25,0.24,6,55.7,39,0.536,16.1,15,42,0.5479999999999999,23,0.222,6,"March 2, 2019",34.5,10,9.5,4,102.4,68.4,26,0.49200000000000005,61,0.475,29,0.672,41,0.8290000000000001,34,18,200,113.3,15.6,5,22,94,,10.8,9,0.213,13,0.154,2,44.3,31,0.584,9.2,8,48,0.563,27,0.419,13,"The Walter Pyramid, Long Beach, California",CAL-POLY,Cal Poly,82.9,Home,LONG-BEACH-STATE,Long Beach State,Cal Poly,big-west,26,False,False,False,Away,False,6,23,67,39,70,2,27,61,0,1,203,423,1525,0.47704918032786886,775,1660,0.46686746987951805,186,473,1459,0.5154215215901302,0.23076923076923078
