,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,IONA_homegame,IONA_homegame2,IONA_home,IONA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-30-13-iona,62.1,18,15.4,6,107.6,71.9,23,0.63,54,0.537,29,0.24100000000000002,13,0.769,10,4,200,118.2,28.0,7,17,78,,7.6,5,0.444,24,0.41700000000000004,10,52.6,30,0.648,17.9,13,30,0.633,19,0.6920000000000001,9,"December 30, 2018",28.6,8,10.0,3,118.2,72.0,18,0.535,57,0.491,28,0.298,17,0.588,10,9,200,107.6,28.1,9,15,71,,6.1,4,0.316,18,0.278,5,47.4,27,0.546,12.2,9,39,0.59,23,0.182,2,"Hynes Athletics Center, New Rochelle, New York",IONA,Iona,65.6,Away,HOLY-CROSS,Holy Cross,Iona,maac,10,False,True,True,Home,False,5,23,57,27,57,10,19,54,0,1,81,175,587,0.5051107325383305,297,661,0.4493192133131619,98,197,627,0.5486443381180224,0.2
11,2019-01-03-19-iona,42.9,12,22.7,5,133.8,79.2,19,0.5589999999999999,59,0.475,28,0.542,32,0.563,18,13,200,109.1,19.4,7,25,84,,5.2,4,0.373,22,0.455,10,43.3,26,0.5660000000000001,12.0,10,37,0.486,18,0.071,1,"January 3, 2019",58.1,18,8.1,3,109.1,80.6,29,0.745,53,0.585,31,0.642,34,0.706,24,9,200,133.8,20.8,5,24,103,,10.4,8,0.585,31,0.5479999999999999,17,56.7,34,0.745,15.0,12,22,0.636,14,0.25,3,"Hynes Athletics Center, New Rochelle, New York",MONMOUTH,Monmouth,76.7,Home,IONA,Iona,Iona,maac,11,True,False,True,Home,True,17,14,53,34,60,10,18,59,1,0,86,198,644,0.5077639751552795,324,718,0.45125348189415043,108,216,681,0.5550660792951542,0.18181818181818182
12,2019-01-05-13-iona,67.7,21,7.5,3,119.0,74.3,26,0.609,64,0.484,31,0.172,11,0.818,9,11,200,110.1,26.5,9,25,87,,7.6,6,0.516,33,0.485,16,50.7,35,0.628,20.7,18,31,0.484,15,0.214,3,"January 5, 2019",54.8,17,0.0,0,110.1,73.5,25,0.563,64,0.484,31,0.45299999999999996,29,0.759,22,9,200,119.0,25.7,9,16,94,,13.9,11,0.375,24,0.41700000000000004,10,49.3,34,0.604,12.5,11,40,0.525,21,0.308,4,"Hynes Athletics Center, New Rochelle, New York",FAIRFIELD,Fairfield,79.0,Home,IONA,Iona,Iona,maac,12,True,False,True,Home,True,10,21,64,34,69,16,15,64,1,0,103,212,697,0.5258249641319943,358,778,0.4601542416452442,118,234,740,0.5554054054054054,0.25
13,2019-01-11-19-niagara,40.0,14,4.4,2,117.3,61.9,26,0.59,67,0.522,35,0.254,17,0.647,11,10,200,111.1,9.1,3,18,90,,14.8,12,0.32799999999999996,22,0.409,9,38.7,29,0.599,9.7,8,45,0.578,26,0.28600000000000003,4,"January 11, 2019",50.0,18,6.7,3,111.1,90.9,30,0.552,77,0.46799999999999997,36,0.16899999999999998,13,0.769,10,8,200,117.3,38.1,16,17,95,,3.7,3,0.41600000000000004,32,0.406,13,61.3,46,0.5710000000000001,14.5,14,45,0.511,23,0.5,8,"Gallagher Center, Niagara University, New York",IONA,Iona,80.6,Home,NIAGARA,Niagara,Iona,maac,13,False,False,False,Away,False,9,26,67,29,75,13,23,77,0,1,113,233,761,0.5289093298291722,392,847,0.4628099173553719,134,249,804,0.5597014925373134,0.3076923076923077
14,2019-01-13-14-canisius,56.7,17,6.3,2,92.1,85.3,29,0.6609999999999999,56,0.536,30,0.268,15,0.9329999999999999,14,10,200,115.8,23.1,6,22,88,,2.6,2,0.46399999999999997,26,0.5379999999999999,14,58.3,35,0.6970000000000001,20.4,16,30,0.5329999999999999,16,0.33299999999999996,5,"January 13, 2019",62.5,15,3.3,1,115.8,76.9,20,0.429,63,0.381,24,0.349,22,0.727,16,11,200,92.1,14.7,5,18,70,,9.2,7,0.49200000000000005,31,0.19399999999999998,6,41.7,25,0.47700000000000004,12.1,10,32,0.563,18,0.312,5,"Koessler Athletic Center, Buffalo, New York",CANISIUS,Canisius,75.8,Away,IONA,Iona,Iona,maac,14,False,False,False,Away,True,14,16,56,35,60,6,18,63,1,0,122,259,828,0.533816425120773,421,922,0.4566160520607375,147,272,881,0.5590238365493757,0.2857142857142857
15,2019-01-18-19-iona,60.0,15,8.0,2,128.6,71.4,20,0.552,58,0.431,25,0.276,16,0.813,13,11,200,110.0,25.8,8,24,77,,2.9,2,0.552,32,0.43799999999999994,14,47.5,28,0.5870000000000001,17.7,14,26,0.423,11,0.353,6,"January 18, 2019",51.9,14,11.5,3,110.0,74.2,23,0.589,56,0.48200000000000004,27,0.46399999999999997,26,0.9229999999999999,24,10,200,128.6,28.6,8,18,90,,5.7,4,0.5539999999999999,31,0.387,12,52.5,31,0.6579999999999999,11.8,9,25,0.6,15,0.375,6,"Hynes Athletics Center, New Rochelle, New York",MARIST,Marist,70.5,Home,IONA,Iona,Iona,maac,15,True,False,True,Home,True,12,15,56,31,59,14,11,58,1,0,136,275,884,0.5418552036199095,456,982,0.46435845213849286,153,290,944,0.5503177966101694,0.3333333333333333
16,2019-01-20-12-monmouth,69.6,16,2.4,1,109.2,61.1,22,0.509,56,0.41100000000000003,23,0.518,29,0.828,24,11,200,106.6,23.3,7,27,81,,9.2,7,0.589,33,0.33299999999999996,11,43.9,29,0.58,15.9,13,23,0.522,12,0.353,6,"January 20, 2019",65.4,17,17.4,4,106.6,76.7,23,0.475,60,0.433,26,0.65,39,0.667,26,14,200,109.2,38.9,14,24,83,,6.6,5,0.3,18,0.278,5,56.1,37,0.528,12.5,11,42,0.5,21,0.3,6,"Multipurpose Activity Center, West Long Branch, New Jersey",IONA,Iona,75.7,Home,MONMOUTH,Monmouth,Iona,maac,16,False,False,False,Away,False,11,12,56,29,66,5,21,60,0,1,148,290,940,0.5446808510638298,487,1041,0.4678194044188281,167,301,1002,0.5503992015968064,0.375
17,2019-01-25-19-iona,60.0,15,16.3,7,98.7,83.9,26,0.44,67,0.373,25,0.313,21,0.5710000000000001,12,8,200,91.0,31.0,13,15,71,,10.3,8,0.40299999999999997,27,0.33299999999999996,9,53.4,39,0.461,12.6,11,40,0.4,16,0.556,10,"January 25, 2019",45.2,14,15.0,6,91.0,69.0,29,0.516,64,0.484,31,0.266,17,0.647,11,11,200,98.7,16.1,5,17,77,,6.4,5,0.32799999999999996,21,0.19,4,46.6,34,0.534,15.4,13,43,0.628,27,0.389,7,"Hynes Athletics Center, New Rochelle, New York",RIDER,Rider,77.5,Home,IONA,Iona,Iona,maac,17,True,False,True,Home,True,4,27,64,34,73,9,16,67,1,0,159,302,996,0.5426706827309237,516,1107,0.46612466124661245,172,322,1062,0.5461393596986818,0.35294117647058826
18,2019-01-27-13-fairfield,25.0,6,7.5,3,108.1,72.4,21,0.52,49,0.49,24,0.551,27,0.63,17,12,200,91.9,22.2,6,23,68,,5.4,4,0.28600000000000003,14,0.214,3,48.2,27,0.55,23.8,19,35,0.6,21,0.368,7,"January 27, 2019",44.4,12,5.7,2,91.9,77.8,21,0.508,59,0.45799999999999996,27,0.424,25,0.8,20,15,200,108.1,27.6,8,23,80,,10.8,8,0.322,19,0.316,6,51.8,29,0.564,13.6,11,40,0.525,21,0.28600000000000003,6,"Webster Bank Arena, Bridgeport, Connecticut",IONA,Iona,74.4,Home,FAIRFIELD,Fairfield,Iona,maac,18,False,False,False,Away,False,3,21,49,27,56,6,21,59,0,1,163,329,1060,0.5410377358490566,550,1180,0.4661016949152542,181,338,1129,0.5398582816651905,0.3888888888888889
19,2019-01-31-19-marist,50.0,12,17.6,6,108.3,68.8,22,0.5,59,0.40700000000000003,24,0.305,18,0.833,15,13,200,102.8,33.3,11,16,74,,6.9,5,0.49200000000000005,29,0.379,11,50.8,33,0.5479999999999999,17.3,14,30,0.433,13,0.35,7,"January 31, 2019",56.0,14,16.7,5,102.8,66.7,22,0.526,58,0.431,25,0.379,22,0.773,17,13,200,108.3,31.3,10,20,78,,8.3,6,0.414,24,0.45799999999999996,11,49.2,32,0.57,18.1,15,34,0.41200000000000003,14,0.381,8,"McCann Recreation Center, Poughkeepsie, New York",IONA,Iona,72.0,Home,MARIST,Marist,Iona,maac,19,False,False,False,Away,False,11,13,59,33,65,11,14,58,0,1,166,350,1109,0.5401262398557258,577,1236,0.46682847896440127,187,359,1188,0.5382996632996633,0.3684210526315789
20,2019-02-02-13-iona,33.3,7,4.3,1,91.5,71.4,25,0.48,51,0.41200000000000003,21,0.196,10,0.7,7,12,200,94.9,19.2,5,15,56,,6.8,4,0.431,22,0.318,7,49.2,30,0.502,15.3,10,29,0.483,14,0.455,10,"February 2, 2019",55.6,10,10.3,3,94.9,80.8,21,0.42,50,0.36,18,0.38,19,0.632,12,14,200,91.5,28.6,10,9,54,,5.1,3,0.54,27,0.222,6,50.8,31,0.457,12.1,8,23,0.522,12,0.33299999999999996,7,"Hynes Athletics Center, New Rochelle, New York",IONA,Iona,58.9,Away,SIENA,Siena,Iona,maac,20,False,True,True,Home,False,6,12,50,31,61,7,14,51,0,1,177,363,1168,0.5380993150684932,610,1301,0.46887009992313605,198,373,1246,0.5377207062600321,0.35
21,2019-02-08-19-iona,46.2,12,7.1,3,97.0,82.1,32,0.49200000000000005,59,0.441,26,0.16899999999999998,10,0.8,8,10,200,98.5,30.0,9,10,66,,3.0,2,0.39,23,0.261,6,59.4,41,0.518,15.9,12,36,0.556,20,0.545,12,"February 8, 2019",44.4,12,16.7,6,98.5,70.0,21,0.44,67,0.40299999999999997,27,0.11900000000000001,8,0.75,6,15,200,97.0,17.9,7,11,65,,10.4,7,0.373,25,0.2,5,40.6,28,0.45899999999999996,5.4,4,42,0.524,22,0.318,7,"Hynes Athletics Center, New Rochelle, New York",IONA,Iona,67.3,Away,QUINNIPIAC,Quinnipiac,Iona,maac,21,False,True,True,Home,False,5,22,67,28,69,6,20,59,0,1,183,375,1218,0.5332512315270936,641,1362,0.47063142437591776,205,387,1297,0.5354664610639939,0.3333333333333333
22,2019-02-10-13-iona,46.2,12,8.6,3,108.2,75.0,24,0.578,58,0.44799999999999995,26,0.207,12,0.75,9,14,200,104.1,17.2,5,19,76,,6.8,5,0.483,28,0.536,15,47.5,29,0.597,20.2,16,30,0.36700000000000005,11,0.44,11,"February 10, 2019",50.0,14,13.3,4,104.1,82.8,24,0.5329999999999999,60,0.467,28,0.33299999999999996,20,0.75,15,15,200,108.2,25.0,8,14,79,,8.2,6,0.41700000000000004,25,0.32,8,52.5,32,0.568,12.7,10,35,0.5710000000000001,20,0.348,8,"Hynes Athletics Center, New Rochelle, New York",NIAGARA,Niagara,73.1,Home,IONA,Iona,Iona,maac,22,True,False,True,Home,True,8,20,60,32,61,15,11,58,1,0,188,397,1285,0.5284046692607004,669,1431,0.46750524109014674,211,407,1356,0.5335545722713865,0.3181818181818182
23,2019-02-13-19-siena,42.9,9,3.3,1,81.3,79.4,27,0.47100000000000003,52,0.40399999999999997,21,0.212,11,0.727,8,15,200,89.1,24.1,7,9,57,,12.5,8,0.365,19,0.368,7,54.0,34,0.498,20.9,15,33,0.424,14,0.375,9,"February 13, 2019",52.4,11,18.2,6,89.1,75.9,22,0.43799999999999994,56,0.375,21,0.08900000000000001,5,0.6,3,13,200,81.3,20.6,7,10,52,,17.2,11,0.46399999999999997,26,0.26899999999999996,7,46.0,29,0.445,15.9,11,30,0.467,14,0.5,13,"Times Union Center , Albany, New York",SIENA,Siena,63.8,Away,IONA,Iona,Iona,maac,23,False,False,False,Away,True,7,14,52,34,63,7,14,56,1,0,196,417,1345,0.5286245353159851,701,1492,0.4698391420911528,226,418,1414,0.5353606789250354,0.34782608695652173
24,2019-02-15-19-iona,50.0,9,27.8,10,98.4,70.6,24,0.415,53,0.34,18,0.132,7,0.28600000000000003,2,18,200,73.0,18.8,6,10,46,,3.2,2,0.377,20,0.4,8,45.5,30,0.408,18.8,13,33,0.303,10,0.25,6,"February 15, 2019",69.6,16,18.2,6,73.0,81.3,26,0.45799999999999996,60,0.38299999999999995,23,0.133,8,0.875,7,15,200,98.4,29.4,10,11,62,,12.7,8,0.4,24,0.375,9,54.5,36,0.486,12.4,9,36,0.389,14,0.4,10,"Hynes Athletics Center, New Rochelle, New York",SAINT-PETERS,St. Peter's,63.1,Home,IONA,Iona,Iona,maac,24,True,False,True,Home,True,9,14,60,36,66,8,10,53,1,0,203,431,1397,0.5264853256979242,735,1555,0.47266881028938906,233,432,1470,0.5316326530612245,0.375
25,2019-02-19-19-quinnipiac,55.6,15,9.1,2,102.7,77.8,35,0.517,60,0.45,27,0.433,26,0.731,19,15,200,108.0,17.6,6,18,81,,4.0,3,0.467,28,0.28600000000000003,8,51.9,41,0.56,11.2,9,32,0.594,19,0.423,11,"February 19, 2019",50.0,13,3.1,1,108.0,82.4,28,0.486,71,0.366,26,0.239,17,0.47100000000000003,8,12,200,102.7,22.2,10,21,77,,5.3,4,0.69,49,0.34700000000000003,17,48.1,38,0.48700000000000004,7.1,6,22,0.409,9,0.5379999999999999,14,"TD Bank Sports Center, Hamden, Connecticut",QUINNIPIAC,Quinnipiac,75.2,Away,IONA,Iona,Iona,maac,25,False,False,False,Away,True,8,19,60,41,79,17,9,71,1,0,212,445,1457,0.5236787920384351,771,1621,0.4756323257248612,241,442,1523,0.5275771503611294,0.4
26,2019-02-22-19-manhattan,47.6,10,4.2,1,83.9,67.6,23,0.509,54,0.389,21,0.29600000000000004,16,0.688,11,15,200,106.5,31.3,10,12,66,,12.9,8,0.593,32,0.406,13,50.0,33,0.536,15.3,11,22,0.364,8,0.444,12,"February 22, 2019",60.0,12,27.3,6,106.5,68.8,22,0.43799999999999994,56,0.35700000000000004,20,0.161,9,0.33299999999999996,3,18,200,83.9,32.4,11,18,52,,11.3,7,0.5710000000000001,32,0.281,9,50.0,33,0.431,17.8,13,24,0.45799999999999996,11,0.33299999999999996,9,"Draddy Gymnasium, Riverdale, New York",MANHATTAN,Manhattan,62.4,Away,IONA,Iona,Iona,maac,26,False,False,False,Away,True,13,8,54,33,66,9,11,56,1,0,220,464,1517,0.5234014502307185,812,1700,0.4776470588235294,258,451,1594,0.5257214554579673,0.4230769230769231
27,2019-02-24-13-iona,58.1,18,13.3,4,131.8,57.9,11,0.6,60,0.517,31,0.2,12,0.667,8,15,200,121.2,25.0,7,20,80,,6.1,4,0.433,26,0.385,10,38.3,18,0.609,10.9,8,34,0.618,21,0.46399999999999997,13,"February 24, 2019",40.7,11,14.7,5,121.2,75.0,21,0.615,52,0.519,27,0.462,24,0.958,23,15,200,131.8,42.1,8,10,87,,6.1,4,0.423,22,0.455,10,61.7,29,0.6859999999999999,12.6,9,30,0.5670000000000001,17,0.46399999999999997,13,"Hynes Athletics Center, New Rochelle, New York",CANISIUS,Canisius,65.6,Home,IONA,Iona,Iona,maac,27,True,False,True,Home,True,10,17,52,29,47,10,21,60,1,0,233,472,1571,0.5229153405474221,845,1766,0.4784824462061155,267,462,1650,0.5227272727272727,0.4444444444444444
