,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,VIRGINIA-COMMONWEALTH_homegame,VIRGINIA-COMMONWEALTH_homegame2,VIRGINIA-COMMONWEALTH_home,VIRGINIA-COMMONWEALTH_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
13,2019-01-05-14-fordham,56.7,17,3.2,1,76.1,70.6,24,0.7440000000000001,45,0.667,30,0.222,10,0.9,9,4,200,113.4,14.3,2,20,76,,11.9,8,0.35600000000000004,16,0.43799999999999994,7,54.2,26,0.764,27.8,19,29,0.7929999999999999,23,0.7140000000000001,10,"January 5, 2019",64.7,11,3.4,1,113.4,85.7,12,0.385,52,0.327,17,0.327,17,0.647,11,5,200,76.1,29.4,10,11,51,,9.0,6,0.40399999999999997,21,0.28600000000000003,6,45.8,22,0.424,22.2,17,31,0.355,11,0.643,9,"Rose Hill Gym, Bronx, New York",FORDHAM,Fordham,66.9,Away,VIRGINIA-COMMONWEALTH,VCU,Virginia Commonwealth,atlantic-10,13,False,False,False,Away,True,7,23,45,26,48,6,11,52,1,0,99,215,768,0.4733072916666667,441,887,0.4971815107102593,69,213,744,0.4254032258064516,0.6923076923076923
14,2019-01-09-19-virginia-commonwealth,47.6,10,5.6,2,90.8,69.2,27,0.39799999999999996,59,0.35600000000000004,21,0.33899999999999997,20,0.8,16,11,200,82.9,28.9,11,27,63,,13.2,10,0.33899999999999997,20,0.25,5,49.4,38,0.46,21.9,19,39,0.41,16,0.214,3,"January 9, 2019",65.0,13,23.1,9,82.9,71.1,27,0.425,53,0.377,20,0.642,34,0.706,24,4,200,90.8,30.8,12,19,69,,7.9,6,0.321,17,0.294,5,50.6,39,0.499,20.9,18,36,0.41700000000000004,15,0.733,11,"Stuart Siegel Center, Richmond, Virginia",LA-SALLE,La Salle,75.8,Home,VIRGINIA-COMMONWEALTH,VCU,Virginia Commonwealth,atlantic-10,14,True,False,True,Home,True,5,15,53,39,77,5,16,59,1,0,106,238,813,0.4883148831488315,467,935,0.4994652406417112,75,224,796,0.42273869346733667,0.7142857142857143
15,2019-01-12-14-davidson,31.6,6,11.4,4,94.1,81.8,27,0.41200000000000003,51,0.373,19,0.392,20,0.75,15,5,200,83.8,17.9,5,19,57,,7.4,5,0.47100000000000003,24,0.16699999999999998,4,52.5,32,0.47100000000000003,17.9,13,27,0.556,15,0.688,11,"January 12, 2019",52.4,11,3.7,1,83.8,82.1,23,0.445,55,0.382,21,0.345,19,0.789,15,4,200,94.1,18.2,6,15,64,,4.4,3,0.364,20,0.35,7,47.5,29,0.5,12.4,9,35,0.4,14,0.75,12,"Belk Arena, Davidson, North Carolina",VIRGINIA-COMMONWEALTH,VCU,67.8,Home,DAVIDSON,Davidson,Virginia Commonwealth,atlantic-10,15,False,False,False,Away,False,4,15,51,32,61,7,14,55,0,1,111,253,866,0.48441108545034645,506,1012,0.5,80,240,855,0.42105263157894735,0.7333333333333333
16,2019-01-16-20-virginia-commonwealth,61.5,16,7.5,3,110.1,65.7,23,0.509,55,0.473,26,0.418,23,0.652,15,6,200,102.9,21.2,7,21,71,,4.3,3,0.29100000000000004,16,0.25,4,44.1,30,0.5379999999999999,15.6,12,39,0.564,22,0.647,11,"January 16, 2019",44.4,12,10.3,4,102.9,78.8,26,0.534,59,0.45799999999999996,27,0.373,22,0.591,13,5,200,110.1,34.3,12,19,76,,7.2,5,0.322,19,0.474,9,55.9,38,0.547,11.6,9,40,0.45,18,0.706,12,"Stuart Siegel Center, Richmond, Virginia",DAYTON,Dayton,68.7,Home,VIRGINIA-COMMONWEALTH,VCU,Virginia Commonwealth,atlantic-10,16,True,False,True,Home,True,9,18,59,38,68,4,22,55,1,0,115,268,917,0.480370774263904,538,1073,0.5013979496738118,87,254,910,0.4225274725274725,0.6875
17,2019-01-19-18-virginia-commonwealth,58.8,10,13.8,4,95.8,70.8,17,0.336,58,0.293,17,0.293,17,0.647,11,11,200,70.4,30.8,12,29,50,,11.3,8,0.36200000000000004,21,0.23800000000000002,5,46.0,29,0.37799999999999995,21.6,18,37,0.324,12,0.389,7,"January 19, 2019",63.2,12,18.9,7,70.4,69.2,27,0.524,42,0.452,19,0.762,32,0.75,24,5,200,95.8,29.2,7,21,68,,9.9,7,0.31,13,0.462,6,54.0,34,0.594,25.3,19,29,0.44799999999999995,13,0.722,13,"Stuart Siegel Center, Richmond, Virginia",MASSACHUSETTS,UMass,70.6,Home,VIRGINIA-COMMONWEALTH,VCU,Virginia Commonwealth,atlantic-10,17,True,False,True,Home,True,6,13,42,34,63,5,12,58,1,0,124,286,976,0.48360655737704916,576,1141,0.5048203330411919,91,276,965,0.4274611398963731,0.7058823529411765
18,2019-01-23-19-rhode-island,31.8,7,17.3,9,97.3,64.9,24,0.451,51,0.431,22,0.49,25,0.76,19,6,200,89.0,25.8,8,22,65,,11.0,8,0.235,12,0.16699999999999998,2,47.1,32,0.517,22.5,18,39,0.513,20,0.684,13,"January 23, 2019",36.0,9,10.3,4,89.0,74.2,23,0.418,61,0.41,25,0.426,26,0.769,20,7,200,97.3,35.1,13,20,71,,8.2,6,0.14800000000000002,9,0.111,1,52.9,36,0.484,15.2,13,52,0.462,24,0.611,11,"Ryan Center, Kingston, Rhode Island",VIRGINIA-COMMONWEALTH,VCU,73.1,Home,RHODE-ISLAND,Rhode Island,Virginia Commonwealth,atlantic-10,18,False,False,False,Away,False,2,20,51,32,68,1,24,61,0,1,130,299,1018,0.48526522593320237,610,1204,0.5066445182724253,96,288,1023,0.4222873900293255,0.7222222222222222
19,2019-01-26-14-duquesne,51.9,14,13.3,4,98.7,78.4,29,0.509,56,0.48200000000000004,27,0.5710000000000001,32,0.7190000000000001,23,6,200,106.7,41.9,13,20,80,,13.3,10,0.23199999999999998,13,0.231,3,61.8,42,0.562,15.6,13,43,0.5579999999999999,24,0.7,14,"January 26, 2019",64.0,16,18.6,8,106.7,58.1,18,0.526,57,0.439,25,0.439,25,0.56,14,6,200,98.7,21.6,8,25,74,,8.0,6,0.474,27,0.37,10,38.2,26,0.537,20.0,17,30,0.5,15,0.7,14,"A.J. Palumbo Center, Pittsburgh, Pennsylvania",DUQUESNE,Duquesne,74.5,Away,VIRGINIA-COMMONWEALTH,VCU,Virginia Commonwealth,atlantic-10,19,False,False,False,Away,True,3,24,56,42,68,10,15,57,1,0,132,319,1069,0.48362956033676335,642,1272,0.5047169811320755,97,312,1084,0.42204797047970477,0.6842105263157895
20,2019-02-02-18-virginia-commonwealth,40.0,10,0.0,0,106.8,90.6,29,0.44799999999999995,58,0.431,25,0.32799999999999996,19,0.579,11,9,200,85.1,17.6,6,23,63,,10.8,8,0.32799999999999996,19,0.105,2,53.0,35,0.47,17.4,14,39,0.59,23,0.591,13,"February 2, 2019",80.8,21,15.4,6,85.1,82.4,28,0.573,55,0.473,26,0.418,23,0.696,16,6,200,106.8,9.4,3,18,79,,9.5,7,0.5820000000000001,32,0.344,11,47.0,31,0.599,14.5,11,23,0.652,15,0.7140000000000001,15,"Stuart Siegel Center, Richmond, Virginia",GEORGE-MASON,George Mason,74.5,Home,VIRGINIA-COMMONWEALTH,VCU,Virginia Commonwealth,atlantic-10,20,True,False,True,Home,True,11,15,55,31,66,2,23,58,1,0,135,343,1125,0.48488888888888887,684,1340,0.5104477611940299,107,327,1141,0.42725679228746716,0.7
21,2019-02-06-19-george-washington,52.2,12,6.7,2,78.1,80.6,25,0.45399999999999996,54,0.426,23,0.33299999999999996,18,0.611,11,6,200,93.8,37.1,13,20,60,,9.4,6,0.37,20,0.15,3,57.6,38,0.48,18.4,14,34,0.588,20,0.727,16,"February 6, 2019",66.7,10,2.9,1,93.8,62.9,22,0.375,44,0.341,15,0.5,22,0.773,17,15,200,78.1,19.4,6,18,50,,9.4,6,0.318,14,0.214,3,42.4,28,0.45899999999999996,23.0,16,30,0.4,12,0.318,7,"Charles E. Smith Center, Washington, District of Columbia",GEORGE-WASHINGTON,George Washington,64.0,Away,VIRGINIA-COMMONWEALTH,VCU,Virginia Commonwealth,atlantic-10,21,False,False,False,Away,True,3,20,54,38,66,3,12,44,1,0,146,358,1180,0.48898305084745763,715,1406,0.5085348506401138,109,350,1199,0.42827356130108424,0.7142857142857143
22,2019-02-09-14-st-bonaventure,41.9,13,13.0,6,72.4,71.4,35,0.557,61,0.508,31,0.377,23,0.7390000000000001,17,6,200,111.8,38.7,12,22,85,,11.8,9,0.361,22,0.273,6,58.8,47,0.591,18.4,16,39,0.6409999999999999,25,0.7390000000000001,17,"February 9, 2019",29.4,5,7.7,3,111.8,61.3,19,0.273,64,0.266,17,0.42200000000000004,27,0.741,20,14,200,72.4,28.6,14,19,55,,7.9,6,0.281,18,0.055999999999999994,1,41.3,33,0.358,14.6,13,46,0.348,16,0.391,9,"Reilly Center, St. Bonaventure, New York",ST-BONAVENTURE,St. Bonaventure,75.9,Away,VIRGINIA-COMMONWEALTH,VCU,Virginia Commonwealth,atlantic-10,22,False,False,False,Away,True,6,25,61,47,80,1,16,64,1,0,149,378,1234,0.4874392220421394,753,1472,0.5115489130434783,112,362,1243,0.4263877715205149,0.7272727272727273
23,2019-02-13-19-virginia-commonwealth,60.0,12,4.0,1,124.6,63.2,12,0.535,43,0.465,20,0.628,27,0.519,14,15,200,92.3,25.0,7,20,60,,16.9,11,0.326,14,0.429,6,40.4,19,0.537,21.5,15,29,0.483,14,0.4,10,"February 13, 2019",70.4,19,17.2,5,92.3,75.0,21,0.6809999999999999,47,0.574,27,0.489,23,0.7390000000000001,17,6,200,124.6,36.8,7,23,81,,13.8,9,0.46799999999999997,22,0.455,10,59.6,28,0.6990000000000001,20.8,15,25,0.68,17,0.75,18,"Stuart Siegel Center, Richmond, Virginia",RICHMOND,Richmond,64.9,Home,VIRGINIA-COMMONWEALTH,VCU,Virginia Commonwealth,atlantic-10,23,True,False,True,Home,True,10,17,47,28,47,6,14,43,1,0,155,403,1295,0.49073359073359074,800,1552,0.5154639175257731,113,378,1307,0.4188982402448355,0.7391304347826086
24,2019-02-16-16-dayton,55.6,15,11.4,4,104.6,80.8,21,0.544,57,0.474,27,0.158,9,0.778,7,6,200,106.2,43.3,13,17,69,,9.2,6,0.40399999999999997,23,0.348,8,60.7,34,0.563,18.7,14,34,0.5589999999999999,19,0.76,19,"February 16, 2019",64.0,16,5.9,2,106.2,56.7,17,0.57,50,0.5,25,0.36,18,0.611,11,9,200,104.6,19.2,5,13,68,,7.7,5,0.3,15,0.467,7,39.3,22,0.581,19.5,14,35,0.514,18,0.64,16,"University of Dayton Arena, Dayton, Ohio",DAYTON,Dayton,64.9,Away,VIRGINIA-COMMONWEALTH,VCU,Virginia Commonwealth,atlantic-10,24,False,False,False,Away,True,8,19,57,34,56,7,18,50,1,0,165,420,1342,0.4973919523099851,828,1599,0.5178236397748592,119,392,1350,0.4225925925925926,0.75
25,2019-02-19-20-virginia-commonwealth,61.5,8,5.7,2,122.6,75.0,21,0.326,43,0.302,13,0.419,18,0.778,14,13,200,67.7,28.1,9,15,42,,4.8,3,0.256,11,0.182,2,50.0,30,0.40700000000000003,27.2,19,32,0.344,11,0.48,12,"February 19, 2019",74.2,23,3.1,1,67.7,71.9,23,0.589,62,0.5,31,0.065,4,0.75,3,6,200,122.6,25.0,7,19,76,,16.1,10,0.435,27,0.40700000000000003,11,50.0,30,0.595,8.6,6,35,0.5710000000000001,20,0.769,20,"Stuart Siegel Center, Richmond, Virginia",RHODE-ISLAND,Rhode Island,62.2,Home,VIRGINIA-COMMONWEALTH,VCU,Virginia Commonwealth,atlantic-10,25,True,False,True,Home,True,11,20,62,30,60,2,11,43,1,0,173,439,1399,0.4992852037169407,862,1655,0.5208459214501511,126,410,1400,0.4278571428571429,0.76
