,away_defensive_rating,away_effective_field_goal_percentage,away_free_throw_attempt_rate,away_offensive_rating,away_three_point_field_goal_percentage,away_total_rebound_percentage,away_true_shooting_percentage,away_turnover_percentage,away_win_percentage,date,home_defensive_rating,home_effective_field_goal_percentage,home_free_throw_attempt_rate,home_free_throw_percentage,home_offensive_rating,home_three_point_field_goal_percentage,home_total_rebound_percentage,home_true_shooting_percentage,home_turnover_percentage,home_wins,location,losing_abbr,losing_name,pace,winning_abbr,winning_name,team_name,conf,boxscore,Unnamed: 0.1,winner,home_team,away_team
22,115.2,0.453,0.172,101.5,0.35700000000000004,56.3,0.484,15.9,0.28600000000000003,"December 1, 2018",101.5,0.541,0.5920000000000001,0.7929999999999999,115.2,0.375,43.8,0.605,10.2,5,"Save Mart Center, Fresno, California",CAL-POLY,Cal Poly,65.5,FRESNO-STATE,Fresno State,Cal Poly,big-west,2018-12-01-15-fresno-state,2018-12-01-15-fresno-state,Home,FRESNO-STATE,CAL-POLY
24,94.7,0.373,0.451,69.3,0.2,40.5,0.42,21.8,0.625,"December 5, 2018",69.3,0.5,0.246,0.667,94.7,0.318,59.5,0.521,19.1,6,"Save Mart Center, Fresno, California",WEBER-STATE,Weber State,74.5,FRESNO-STATE,Fresno State,Fresno State,mwc,2018-12-05-22-fresno-state,2018-12-05-22-fresno-state,Home,FRESNO-STATE,WEBER-STATE
26,94.7,0.373,0.451,69.3,0.2,40.5,0.42,21.8,0.625,"December 5, 2018",69.3,0.5,0.246,0.667,94.7,0.318,59.5,0.521,19.1,6,"Save Mart Center, Fresno, California",WEBER-STATE,Weber State,74.5,FRESNO-STATE,Fresno State,Weber State,big-sky,2018-12-05-22-fresno-state,2018-12-05-22-fresno-state,Home,FRESNO-STATE,WEBER-STATE
28,117.9,0.449,0.39,91.0,0.409,43.4,0.508,19.7,0.273,"December 8, 2018",91.0,0.547,0.173,0.769,117.9,0.333,56.6,0.5670000000000001,12.9,7,"Save Mart Center, Fresno, California",LONG-BEACH-STATE,Long Beach State,78.1,FRESNO-STATE,Fresno State,Fresno State,mwc,2018-12-08-19-fresno-state,2018-12-08-19-fresno-state,Home,FRESNO-STATE,LONG-BEACH-STATE
30,117.9,0.449,0.39,91.0,0.409,43.4,0.508,19.7,0.273,"December 8, 2018",91.0,0.547,0.173,0.769,117.9,0.333,56.6,0.5670000000000001,12.9,7,"Save Mart Center, Fresno, California",LONG-BEACH-STATE,Long Beach State,78.1,FRESNO-STATE,Fresno State,Cal State Long Beach,big-west,2018-12-08-19-fresno-state,2018-12-08-19-fresno-state,Home,FRESNO-STATE,LONG-BEACH-STATE
32,125.0,0.518,0.316,96.1,0.2,41.1,0.557,16.7,0.4,"December 19, 2018",96.1,0.579,0.667,0.763,125.0,0.381,58.9,0.633,15.0,8,"Save Mart Center, Fresno, California",CALIFORNIA,California,75.8,FRESNO-STATE,Fresno State,Fresno State,mwc,2018-12-19-22-fresno-state,2018-12-19-22-fresno-state,Home,FRESNO-STATE,CALIFORNIA
34,125.0,0.518,0.316,96.1,0.2,41.1,0.557,16.7,0.4,"December 19, 2018",96.1,0.579,0.667,0.763,125.0,0.381,58.9,0.633,15.0,8,"Save Mart Center, Fresno, California",CALIFORNIA,California,75.8,FRESNO-STATE,Fresno State,California,pac-12,2018-12-19-22-fresno-state,2018-12-19-22-fresno-state,Home,FRESNO-STATE,CALIFORNIA
36,129.2,0.373,0.127,73.6,0.227,50.0,0.397,20.4,0.5,"December 22, 2018",73.6,0.652,0.152,0.7,129.2,0.412,50.0,0.657,10.2,9,"Save Mart Center, Fresno, California",TENNESSEE-MARTIN,UT-Martin,71.8,FRESNO-STATE,Fresno State,Fresno State,mwc,2018-12-22-19-fresno-state,2018-12-22-19-fresno-state,Home,FRESNO-STATE,TENNESSEE-MARTIN
38,129.2,0.373,0.127,73.6,0.227,50.0,0.397,20.4,0.5,"December 22, 2018",73.6,0.652,0.152,0.7,129.2,0.412,50.0,0.657,10.2,9,"Save Mart Center, Fresno, California",TENNESSEE-MARTIN,UT-Martin,71.8,FRESNO-STATE,Fresno State,Tennessee-Martin,ovc,2018-12-22-19-fresno-state,2018-12-22-19-fresno-state,Home,FRESNO-STATE,TENNESSEE-MARTIN
40,84.5,0.49,0.327,90.1,0.17600000000000002,45.2,0.5329999999999999,17.9,0.733,"December 29, 2018",90.1,0.396,0.528,0.643,84.5,0.273,54.8,0.452,18.7,9,"Save Mart Center, Fresno, California",FRESNO-STATE,Fresno State,70.7,UTAH-VALLEY,Utah Valley,Fresno State,mwc,2018-12-29-19-fresno-state,2018-12-29-19-fresno-state,Away,UTAH-VALLEY,FRESNO-STATE
42,84.5,0.49,0.327,90.1,0.17600000000000002,45.2,0.5329999999999999,17.9,0.733,"December 29, 2018",90.1,0.396,0.528,0.643,84.5,0.273,54.8,0.452,18.7,9,"Save Mart Center, Fresno, California",FRESNO-STATE,Fresno State,70.7,UTAH-VALLEY,Utah Valley,Utah Valley,wac,2018-12-29-19-fresno-state,2018-12-29-19-fresno-state,Away,UTAH-VALLEY,FRESNO-STATE
44,77.9,0.62,0.13,107.4,0.379,50.9,0.637,20.8,0.769,"January 2, 2019",107.4,0.422,0.255,0.769,77.9,0.368,49.1,0.463,22.0,3,"San Jose State Event Center, San Jose, California",SAN-JOSE-STATE,San Jose State,67.8,FRESNO-STATE,Fresno State,Fresno State,mwc,2019-01-02-22-san-jose-state,2019-01-02-22-san-jose-state,Away,FRESNO-STATE,SAN-JOSE-STATE
46,77.9,0.62,0.13,107.4,0.379,50.9,0.637,20.8,0.769,"January 2, 2019",107.4,0.422,0.255,0.769,77.9,0.368,49.1,0.463,22.0,3,"San Jose State Event Center, San Jose, California",SAN-JOSE-STATE,San Jose State,67.8,FRESNO-STATE,Fresno State,San Jose State,mwc,2019-01-02-22-san-jose-state,2019-01-02-22-san-jose-state,Away,FRESNO-STATE,SAN-JOSE-STATE
48,108.3,0.452,0.5,93.1,0.158,49.2,0.521,15.9,0.333,"January 5, 2019",93.1,0.561,0.316,0.778,108.3,0.364,50.8,0.595,13.3,11,"Save Mart Center, Fresno, California",COLORADO-STATE,Colorado State,72.0,FRESNO-STATE,Fresno State,Fresno State,mwc,2019-01-05-22-fresno-state,2019-01-05-22-fresno-state,Home,FRESNO-STATE,COLORADO-STATE
50,108.3,0.452,0.5,93.1,0.158,49.2,0.521,15.9,0.333,"January 5, 2019",93.1,0.561,0.316,0.778,108.3,0.364,50.8,0.595,13.3,11,"Save Mart Center, Fresno, California",COLORADO-STATE,Colorado State,72.0,FRESNO-STATE,Fresno State,Colorado State,mwc,2019-01-05-22-fresno-state,2019-01-05-22-fresno-state,Home,FRESNO-STATE,COLORADO-STATE
52,108.5,0.568,0.091,109.9,0.484,47.6,0.5660000000000001,12.7,0.8,"January 9, 2019",109.9,0.5710000000000001,0.612,0.7,108.5,0.3,52.4,0.609,15.0,11,"Dee Glen Smith Spectrum, Logan, Utah",UTAH-STATE,Utah State,71.1,FRESNO-STATE,Fresno State,Fresno State,mwc,2019-01-09-21-utah-state,2019-01-09-21-utah-state,Away,FRESNO-STATE,UTAH-STATE
54,108.5,0.568,0.091,109.9,0.484,47.6,0.5660000000000001,12.7,0.8,"January 9, 2019",109.9,0.5710000000000001,0.612,0.7,108.5,0.3,52.4,0.609,15.0,11,"Dee Glen Smith Spectrum, Logan, Utah",UTAH-STATE,Utah State,71.1,FRESNO-STATE,Fresno State,Utah State,mwc,2019-01-09-21-utah-state,2019-01-09-21-utah-state,Away,FRESNO-STATE,UTAH-STATE
56,100.0,0.462,0.292,115.6,0.27,55.6,0.5,8.7,0.941,"January 12, 2019",115.6,0.529,0.333,0.588,100.0,0.4,44.4,0.542,17.0,12,"Save Mart Center, Fresno, California",FRESNO-STATE,Fresno State,64.1,NEVADA,Nevada,Fresno State,mwc,2019-01-12-20-fresno-state,2019-01-12-20-fresno-state,Away,NEVADA,FRESNO-STATE
58,100.0,0.462,0.292,115.6,0.27,55.6,0.5,8.7,0.941,"January 12, 2019",115.6,0.529,0.333,0.588,100.0,0.4,44.4,0.542,17.0,12,"Save Mart Center, Fresno, California",FRESNO-STATE,Fresno State,64.1,NEVADA,Nevada,Nevada,mwc,2019-01-12-20-fresno-state,2019-01-12-20-fresno-state,Away,NEVADA,FRESNO-STATE
60,80.3,0.51,0.231,95.5,0.304,60.9,0.546,21.8,0.765,"January 19, 2019",95.5,0.451,0.157,0.875,80.3,0.19,39.1,0.484,22.7,8,"Taco Bell Arena, Boise, Idaho",BOISE-STATE,Boise State,65.8,FRESNO-STATE,Fresno State,Fresno State,mwc,2019-01-19-17-boise-state,2019-01-19-17-boise-state,Away,FRESNO-STATE,BOISE-STATE
62,80.3,0.51,0.231,95.5,0.304,60.9,0.546,21.8,0.765,"January 19, 2019",95.5,0.451,0.157,0.875,80.3,0.19,39.1,0.484,22.7,8,"Taco Bell Arena, Boise, Idaho",BOISE-STATE,Boise State,65.8,FRESNO-STATE,Fresno State,Boise State,mwc,2019-01-19-17-boise-state,2019-01-19-17-boise-state,Away,FRESNO-STATE,BOISE-STATE
64,98.5,0.5,0.28300000000000003,92.5,0.227,38.5,0.516,15.6,0.556,"January 22, 2019",92.5,0.481,0.407,0.636,98.5,0.37,61.5,0.512,20.1,14,"Save Mart Center, Fresno, California",SAN-DIEGO-STATE,San Diego State,67.3,FRESNO-STATE,Fresno State,Fresno State,mwc,2019-01-22-23-fresno-state,2019-01-22-23-fresno-state,Home,FRESNO-STATE,SAN-DIEGO-STATE
66,98.5,0.5,0.28300000000000003,92.5,0.227,38.5,0.516,15.6,0.556,"January 22, 2019",92.5,0.481,0.407,0.636,98.5,0.37,61.5,0.512,20.1,14,"Save Mart Center, Fresno, California",SAN-DIEGO-STATE,San Diego State,67.3,FRESNO-STATE,Fresno State,San Diego State,mwc,2019-01-22-23-fresno-state,2019-01-22-23-fresno-state,Home,FRESNO-STATE,SAN-DIEGO-STATE
68,100.0,0.422,0.281,87.8,0.267,47.4,0.448,14.3,0.737,"January 26, 2019",87.8,0.5489999999999999,0.627,0.563,100.0,0.5,52.6,0.5589999999999999,16.6,8,"Moby Arena, Fort Collins, Colorado",FRESNO-STATE,Fresno State,73.9,COLORADO-STATE,Colorado State,Fresno State,mwc,2019-01-26-16-colorado-state,2019-01-26-16-colorado-state,Home,COLORADO-STATE,FRESNO-STATE
70,100.0,0.422,0.281,87.8,0.267,47.4,0.448,14.3,0.737,"January 26, 2019",87.8,0.5489999999999999,0.627,0.563,100.0,0.5,52.6,0.5589999999999999,16.6,8,"Moby Arena, Fort Collins, Colorado",FRESNO-STATE,Fresno State,73.9,COLORADO-STATE,Colorado State,Colorado State,mwc,2019-01-26-16-colorado-state,2019-01-26-16-colorado-state,Home,COLORADO-STATE,FRESNO-STATE
72,96.9,0.585,0.358,117.2,0.48,47.3,0.605,14.0,0.75,"January 30, 2019",117.2,0.5429999999999999,0.326,0.8,96.9,0.316,52.7,0.584,24.4,5,"Arena-Auditorium, Laramie, Wyoming",WYOMING,Wyoming,63.6,FRESNO-STATE,Fresno State,Fresno State,mwc,2019-01-30-21-wyoming,2019-01-30-21-wyoming,Away,FRESNO-STATE,WYOMING
74,96.9,0.585,0.358,117.2,0.48,47.3,0.605,14.0,0.75,"January 30, 2019",117.2,0.5429999999999999,0.326,0.8,96.9,0.316,52.7,0.584,24.4,5,"Arena-Auditorium, Laramie, Wyoming",WYOMING,Wyoming,63.6,FRESNO-STATE,Fresno State,Wyoming,mwc,2019-01-30-21-wyoming,2019-01-30-21-wyoming,Away,FRESNO-STATE,WYOMING
76,102.5,0.377,0.362,87.5,0.21600000000000005,43.5,0.433,11.1,0.429,"February 2, 2019",87.5,0.476,0.508,0.688,102.5,0.2,56.5,0.524,15.4,16,"Save Mart Center, Fresno, California",NEW-MEXICO,New Mexico,80.0,FRESNO-STATE,Fresno State,Fresno State,mwc,2019-02-02-22-fresno-state,2019-02-02-22-fresno-state,Home,FRESNO-STATE,NEW-MEXICO
78,102.5,0.377,0.362,87.5,0.21600000000000005,43.5,0.433,11.1,0.429,"February 2, 2019",87.5,0.476,0.508,0.688,102.5,0.2,56.5,0.524,15.4,16,"Save Mart Center, Fresno, California",NEW-MEXICO,New Mexico,80.0,FRESNO-STATE,Fresno State,New Mexico,mwc,2019-02-02-22-fresno-state,2019-02-02-22-fresno-state,Home,FRESNO-STATE,NEW-MEXICO
80,126.6,0.655,0.236,128.1,0.462,53.6,0.67,14.1,0.7829999999999999,"February 5, 2019",128.1,0.593,0.237,0.7859999999999999,126.6,0.444,46.4,0.617,13.3,16,"Save Mart Center, Fresno, California",FRESNO-STATE,Fresno State,64.4,UTAH-STATE,Utah State,Fresno State,mwc,2019-02-05-22-fresno-state,2019-02-05-22-fresno-state,Away,UTAH-STATE,FRESNO-STATE
82,126.6,0.655,0.236,128.1,0.462,53.6,0.67,14.1,0.7829999999999999,"February 5, 2019",128.1,0.593,0.237,0.7859999999999999,126.6,0.444,46.4,0.617,13.3,16,"Save Mart Center, Fresno, California",FRESNO-STATE,Fresno State,64.4,UTAH-STATE,Utah State,Utah State,mwc,2019-02-05-22-fresno-state,2019-02-05-22-fresno-state,Away,UTAH-STATE,FRESNO-STATE
84,101.6,0.6759999999999999,0.259,129.7,0.517,57.9,0.684,14.3,0.7390000000000001,"February 9, 2019",129.7,0.509,0.35200000000000004,0.526,101.6,0.2,42.1,0.516,13.8,12,"Thomas & Mack Center, Las Vegas, Nevada",NEVADA-LAS-VEGAS,UNLV,64.3,FRESNO-STATE,Fresno State,Fresno State,mwc,2019-02-09-17-nevada-las-vegas,2019-02-09-17-nevada-las-vegas,Away,FRESNO-STATE,NEVADA-LAS-VEGAS
86,101.6,0.6759999999999999,0.259,129.7,0.517,57.9,0.684,14.3,0.7390000000000001,"February 9, 2019",129.7,0.509,0.35200000000000004,0.526,101.6,0.2,42.1,0.516,13.8,12,"Thomas & Mack Center, Las Vegas, Nevada",NEVADA-LAS-VEGAS,UNLV,64.3,FRESNO-STATE,Fresno State,Nevada-Las Vegas,mwc,2019-02-09-17-nevada-las-vegas,2019-02-09-17-nevada-las-vegas,Away,FRESNO-STATE,NEVADA-LAS-VEGAS
88,100.0,0.392,0.28300000000000003,96.9,0.17600000000000002,51.6,0.463,11.8,0.44,"February 13, 2019",96.9,0.5429999999999999,0.426,0.7,100.0,0.321,48.4,0.575,17.7,18,"Save Mart Center, Fresno, California",BOISE-STATE,Boise State,65.3,FRESNO-STATE,Fresno State,Fresno State,mwc,2019-02-13-22-fresno-state,2019-02-13-22-fresno-state,Home,FRESNO-STATE,BOISE-STATE
90,100.0,0.392,0.28300000000000003,96.9,0.17600000000000002,51.6,0.463,11.8,0.44,"February 13, 2019",96.9,0.5429999999999999,0.426,0.7,100.0,0.321,48.4,0.575,17.7,18,"Save Mart Center, Fresno, California",BOISE-STATE,Boise State,65.3,FRESNO-STATE,Fresno State,Boise State,mwc,2019-02-13-22-fresno-state,2019-02-13-22-fresno-state,Home,FRESNO-STATE,BOISE-STATE
92,101.4,0.525,0.361,112.5,0.378,45.6,0.5670000000000001,7.8,0.76,"February 16, 2019",112.5,0.45,0.74,0.757,101.4,0.412,54.4,0.54,16.4,11,"The Pit, Albuquerque, New Mexico",NEW-MEXICO,New Mexico,71.5,FRESNO-STATE,Fresno State,Fresno State,mwc,2019-02-16-19-new-mexico,2019-02-16-19-new-mexico,Away,FRESNO-STATE,NEW-MEXICO
94,101.4,0.525,0.361,112.5,0.378,45.6,0.5670000000000001,7.8,0.76,"February 16, 2019",112.5,0.45,0.74,0.757,101.4,0.412,54.4,0.54,16.4,11,"The Pit, Albuquerque, New Mexico",NEW-MEXICO,New Mexico,71.5,FRESNO-STATE,Fresno State,New Mexico,mwc,2019-02-16-19-new-mexico,2019-02-16-19-new-mexico,Away,FRESNO-STATE,NEW-MEXICO
96,83.6,0.5,0.339,87.7,0.32299999999999995,49.3,0.4920000000000001,15.7,0.423,"February 20, 2019",87.7,0.456,0.211,0.75,83.6,0.387,50.7,0.486,19.4,19,"Save Mart Center, Fresno, California",FRESNO-STATE,Fresno State,73.4,AIR-FORCE,Air Force,Fresno State,mwc,2019-02-20-22-fresno-state,2019-02-20-22-fresno-state,Away,AIR-FORCE,FRESNO-STATE
98,83.6,0.5,0.339,87.7,0.32299999999999995,49.3,0.4920000000000001,15.7,0.423,"February 20, 2019",87.7,0.456,0.211,0.75,83.6,0.387,50.7,0.486,19.4,19,"Save Mart Center, Fresno, California",FRESNO-STATE,Fresno State,73.4,AIR-FORCE,Air Force,Air Force,mwc,2019-02-20-22-fresno-state,2019-02-20-22-fresno-state,Away,AIR-FORCE,FRESNO-STATE
100,105.7,0.5429999999999999,0.172,97.1,0.423,47.5,0.542,21.4,0.7040000000000001,"February 23, 2019",97.1,0.542,0.6459999999999999,0.71,105.7,0.417,52.5,0.59,18.5,25,"Lawlor Events Center, Reno, Nevada",FRESNO-STATE,Fresno State,69.7,NEVADA,Nevada,Fresno State,mwc,2019-02-23-20-nevada,2019-02-23-20-nevada,Home,NEVADA,FRESNO-STATE
102,105.7,0.5429999999999999,0.172,97.1,0.423,47.5,0.542,21.4,0.7040000000000001,"February 23, 2019",97.1,0.542,0.6459999999999999,0.71,105.7,0.417,52.5,0.59,18.5,25,"Lawlor Events Center, Reno, Nevada",FRESNO-STATE,Fresno State,69.7,NEVADA,Nevada,Nevada,mwc,2019-02-23-20-nevada,2019-02-23-20-nevada,Home,NEVADA,FRESNO-STATE
104,109.2,0.5,0.25,92.3,0.333,43.8,0.516,17.2,0.214,"February 27, 2019",92.3,0.462,0.231,0.733,109.2,0.293,56.2,0.4920000000000001,11.2,20,"Save Mart Center, Fresno, California",WYOMING,Wyoming,65.2,FRESNO-STATE,Fresno State,Fresno State,mwc,2019-02-27-22-fresno-state,2019-02-27-22-fresno-state,Home,FRESNO-STATE,WYOMING
106,109.2,0.5,0.25,92.3,0.333,43.8,0.516,17.2,0.214,"February 27, 2019",92.3,0.462,0.231,0.733,109.2,0.293,56.2,0.4920000000000001,11.2,20,"Save Mart Center, Fresno, California",WYOMING,Wyoming,65.2,FRESNO-STATE,Fresno State,Wyoming,mwc,2019-02-27-22-fresno-state,2019-02-27-22-fresno-state,Home,FRESNO-STATE,WYOMING
108,98.7,0.5,0.306,101.3,0.345,40.8,0.535,14.6,0.7240000000000001,"March 6, 2019",101.3,0.449,0.475,0.75,98.7,0.278,59.2,0.512,16.4,19,"Viejas Arena, San Diego, California",SAN-DIEGO-STATE,San Diego State,75.2,FRESNO-STATE,Fresno State,Fresno State,mwc,2019-03-06-22-san-diego-state,2019-03-06-22-san-diego-state,Away,FRESNO-STATE,SAN-DIEGO-STATE
110,98.7,0.5,0.306,101.3,0.345,40.8,0.535,14.6,0.7240000000000001,"March 6, 2019",101.3,0.449,0.475,0.75,98.7,0.278,59.2,0.512,16.4,19,"Viejas Arena, San Diego, California",SAN-DIEGO-STATE,San Diego State,75.2,FRESNO-STATE,Fresno State,San Diego State,mwc,2019-03-06-22-san-diego-state,2019-03-06-22-san-diego-state,Away,FRESNO-STATE,SAN-DIEGO-STATE
112,157.1,0.605,0.404,105.2,0.379,42.1,0.596,18.3,0.133,"March 9, 2019",105.2,0.831,0.387,0.75,157.1,0.605,57.9,0.8240000000000001,12.1,22,"Save Mart Center, Fresno, California",SAN-JOSE-STATE,San Jose State,76.7,FRESNO-STATE,Fresno State,Fresno State,mwc,2019-03-09-19-fresno-state,2019-03-09-19-fresno-state,Home,FRESNO-STATE,SAN-JOSE-STATE
114,157.1,0.605,0.404,105.2,0.379,42.1,0.596,18.3,0.133,"March 9, 2019",105.2,0.831,0.387,0.75,157.1,0.605,57.9,0.8240000000000001,12.1,22,"Save Mart Center, Fresno, California",SAN-JOSE-STATE,San Jose State,76.7,FRESNO-STATE,Fresno State,San Jose State,mwc,2019-03-09-19-fresno-state,2019-03-09-19-fresno-state,Home,FRESNO-STATE,SAN-JOSE-STATE
116,113.4,0.429,0.245,74.6,0.222,45.5,0.457,23.8,0.438,"March 14, 2019",74.6,0.59,0.115,0.5710000000000001,113.4,0.421,54.5,0.591,12.3,23,"Thomas & Mack Center, Las Vegas, Nevada",AIR-FORCE,Air Force,66.5,FRESNO-STATE,Fresno State,Fresno State,mwc,2019-03-14-23-fresno-state,2019-03-14-23-fresno-state,Home,FRESNO-STATE,AIR-FORCE
118,113.4,0.429,0.245,74.6,0.222,45.5,0.457,23.8,0.438,"March 14, 2019",74.6,0.59,0.115,0.5710000000000001,113.4,0.421,54.5,0.591,12.3,23,"Thomas & Mack Center, Las Vegas, Nevada",AIR-FORCE,Air Force,66.5,FRESNO-STATE,Fresno State,Air Force,mwc,2019-03-14-23-fresno-state,2019-03-14-23-fresno-state,Home,FRESNO-STATE,AIR-FORCE
120,125.0,0.447,0.193,88.2,0.192,40.9,0.482,13.9,0.7190000000000001,"March 15, 2019",88.2,0.583,0.16699999999999998,0.727,125.0,0.419,59.1,0.597,10.1,27,"Thomas & Mack Center, Las Vegas, Nevada",FRESNO-STATE,Fresno State,67.7,UTAH-STATE,Utah State,Fresno State,mwc,2019-03-15-23-utah-state,2019-03-15-23-utah-state,Home,UTAH-STATE,FRESNO-STATE
122,125.0,0.447,0.193,88.2,0.192,40.9,0.482,13.9,0.7190000000000001,"March 15, 2019",88.2,0.583,0.16699999999999998,0.727,125.0,0.419,59.1,0.597,10.1,27,"Thomas & Mack Center, Las Vegas, Nevada",FRESNO-STATE,Fresno State,67.7,UTAH-STATE,Utah State,Utah State,mwc,2019-03-15-23-utah-state,2019-03-15-23-utah-state,Home,UTAH-STATE,FRESNO-STATE
124,150.0,0.457,0.191,70.6,0.273,41.4,0.468,28.2,0.0,"November 6, 2018",70.6,0.654,0.309,0.619,150.0,0.382,58.6,0.654,3.7,1,"Timmons Arena, Greenville, South Carolina","Bob Jones University
			","Bob Jones University
			",67.6,FURMAN,Furman,Furman,southern,2018-11-06-19-furman,2018-11-06-19-furman,Home,FURMAN,"Bob Jones University
			"
125,78.4,0.436,0.309,81.1,0.273,47.0,0.476,20.4,1.0,"November 9, 2018",81.1,0.398,0.463,0.6,78.4,0.15,53.0,0.44,16.7,1,"Joseph J. Gentile Center, Chicago, Illinois",LOYOLA-IL,Loyola (IL),74.0,FURMAN,Furman,Furman,southern,2018-11-09-20-loyola-il,2018-11-09-20-loyola-il,Away,FURMAN,LOYOLA-IL
