,arena,boxscore_index,date,datetime,game,location,opponent_abbr,opponent_conference,opponent_name,opponent_rank,overtimes,points_against,points_for,result,season_losses,season_wins,streak,time,type
2010-02-20-new-mexico,The Pit/Bob King Court,2010-02-20-new-mexico,"Sat, Feb 20, 2010",2010-02-20,25,Away,new-mexico,MWC,New Mexico,12,0,59,56,Loss,16,9,L 5,,Reg
2010-02-24-air-force,Clune Arena,2010-02-24-air-force,"Wed, Feb 24, 2010",2010-02-24,26,Home,utah,MWC,Utah,,0,54,43,Loss,17,9,L 6,,Reg
2010-02-27-air-force,Clune Arena,2010-02-27-air-force,"Sat, Feb 27, 2010",2010-02-27,27,Home,nevada-las-vegas,MWC,Nevada-Las Vegas,,0,77,47,Loss,18,9,L 7,,Reg
2010-03-02-wyoming,Arena-Auditorium,2010-03-02-wyoming,"Tue, Mar 2, 2010",2010-03-02,28,Away,wyoming,MWC,Wyoming,,0,58,49,Loss,19,9,L 8,,Reg
2010-03-06-air-force,Clune Arena,2010-03-06-air-force,"Sat, Mar 6, 2010",2010-03-06,29,Home,san-diego-state,MWC,San Diego State,,0,61,42,Loss,20,9,L 9,,Reg
2010-03-10-wyoming,Thomas & Mack Center,2010-03-10-wyoming,"Wed, Mar 10, 2010",2010-03-10,30,Neutral,wyoming,MWC,Wyoming,,0,40,59,Win,20,10,W 1,,Conf-Tourney
2010-03-11-air-force,Thomas & Mack Center,2010-03-11-air-force,"Thu, Mar 11, 2010",2010-03-11,31,Neutral,new-mexico,MWC,New Mexico,8,0,75,69,Loss,21,10,L 1,,Conf-Tourney
2009-11-15-akron,James A. Rhodes Arena,2009-11-15-akron,"Sun, Nov 15, 2009",2009-11-15,1,Home,austin-peay,OVC,Austin Peay,,0,80,77,Loss,1,0,L 1,,Reg
2009-11-20-akron,Ocean Center,2009-11-20-akron,"Fri, Nov 20, 2009",2009-11-20,2,Neutral,north-carolina-state,ACC,NC State,,0,66,45,Loss,2,0,L 2,,Reg
2009-11-21-drake,Ocean Center,2009-11-21-drake,"Sat, Nov 21, 2009",2009-11-21,3,Neutral,drake,MVC,Drake,,0,59,63,Win,2,1,W 1,,Reg
2009-11-22-howard,Ocean Center,2009-11-22-howard,"Sun, Nov 22, 2009",2009-11-22,4,Neutral,howard,MEAC,Howard,,0,52,69,Win,2,2,W 2,,Reg
2009-11-27-akron,James A. Rhodes Arena,2009-11-27-akron,"Fri, Nov 27, 2009",2009-11-27,5,Home,arkansas-pine-bluff,SWAC,Arkansas-Pine Bluff,,0,65,68,Win,2,3,W 3,,Reg
2009-11-29-akron,James A. Rhodes Arena,2009-11-29-akron,"Sun, Nov 29, 2009",2009-11-29,6,Home,niagara,MAAC,Niagara,,0,68,80,Win,2,4,W 4,,Reg
2009-12-04-texas-am,Reed Arena,2009-12-04-texas-am,"Fri, Dec 4, 2009",2009-12-04,7,Away,texas-am,Big 12,Texas A&M,19,0,74,62,Loss,3,4,L 1,,Reg
2009-12-12-akron,James A. Rhodes Arena,2009-12-12-akron,"Sat, Dec 12, 2009",2009-12-12,8,Home,Malone,Non-DI School,Malone,,0,30,62,Win,3,5,W 1,,Reg
