,arena,boxscore_index,date,datetime,game,location,opponent_abbr,opponent_conference,opponent_name,opponent_rank,overtimes,points_against,points_for,result,season_losses,season_wins,streak,time,type
2010-12-01-detroit-mercy,Calihan Hall,2010-12-01-detroit-mercy,"Wed, Dec 1, 2010",2010-12-01,5,Away,detroit-mercy,Horizon,Detroit Mercy,,0,69,77,Win,2,3,W 1,,Reg
2010-12-04-illinois-chicago,UIC Pavilion,2010-12-04-illinois-chicago,"Sat, Dec 4, 2010",2010-12-04,6,Away,illinois-chicago,Horizon,Illinois-Chicago,,0,52,54,Win,2,4,W 2,,Reg
2010-12-12-temple,Liacouras Center,2010-12-12-temple,"Sun, Dec 12, 2010",2010-12-12,7,Away,temple,A-10,Temple,,0,82,47,Loss,3,4,L 1,,Reg
2010-12-15-minnesota,Williams Arena,2010-12-15-minnesota,"Wed, Dec 15, 2010",2010-12-15,8,Away,minnesota,Big Ten,Minnesota,21,0,66,58,Loss,4,4,L 2,,Reg
2010-12-18-akron,James A. Rhodes Arena,2010-12-18-akron,"Sat, Dec 18, 2010",2010-12-18,9,Home,bethune-cookman,MEAC,Bethune-Cookman,,1,66,77,Win,4,5,W 1,,Reg
2010-12-21-arkansas-little-rock,South Point Arena,2010-12-21-arkansas-little-rock,"Tue, Dec 21, 2010",2010-12-21,10,Neutral,arkansas-little-rock,Sun Belt,Little Rock,,0,61,75,Win,4,6,W 2,,Reg
2010-12-22-akron,South Point Arena,2010-12-22-akron,"Wed, Dec 22, 2010",2010-12-22,11,Neutral,stetson,A-Sun,Stetson,,0,56,72,Win,4,7,W 3,,Reg
2010-12-23-miami-fl,South Point Arena,2010-12-23-miami-fl,"Thu, Dec 23, 2010",2010-12-23,12,Neutral,miami-fl,ACC,Miami (FL),,0,69,61,Loss,5,7,L 1,,Reg
2010-12-29-akron,James A. Rhodes Arena,2010-12-29-akron,"Wed, Dec 29, 2010",2010-12-29,13,Home,arkansas-pine-bluff,SWAC,Arkansas-Pine Bluff,,0,60,87,Win,5,8,W 1,,Reg
2011-01-03-akron,James A. Rhodes Arena,2011-01-03-akron,"Mon, Jan 3, 2011",2011-01-03,14,Home,oral-roberts,Summit,Oral Roberts,,0,80,84,Win,5,9,W 2,,Reg
2011-01-08-akron,James A. Rhodes Arena,2011-01-08-akron,"Sat, Jan 8, 2011",2011-01-08,15,Home,kent-state,MAC,Kent State,,0,62,65,Win,5,10,W 3,,Reg
2011-01-12-akron,James A. Rhodes Arena,2011-01-12-akron,"Wed, Jan 12, 2011",2011-01-12,16,Home,ohio,MAC,Ohio,,0,79,70,Loss,6,10,L 1,,Reg
2011-01-16-buffalo,Alumni Arena,2011-01-16-buffalo,"Sun, Jan 16, 2011",2011-01-16,17,Away,buffalo,MAC,Buffalo,,0,73,70,Loss,7,10,L 2,,Reg
2011-01-19-miami-oh,Millett Hall,2011-01-19-miami-oh,"Wed, Jan 19, 2011",2011-01-19,18,Away,miami-oh,MAC,Miami (OH),,0,84,76,Loss,8,10,L 3,,Reg
2011-01-22-akron,James A. Rhodes Arena,2011-01-22-akron,"Sat, Jan 22, 2011",2011-01-22,19,Home,bowling-green-state,MAC,Bowling Green State,,0,58,63,Win,8,11,W 1,,Reg
2011-01-26-northern-illinois,Convocation Center,2011-01-26-northern-illinois,"Wed, Jan 26, 2011",2011-01-26,20,Away,northern-illinois,MAC,Northern Illinois,,0,83,74,Loss,9,11,L 1,,Reg
2011-01-30-akron,James A. Rhodes Arena,2011-01-30-akron,"Sun, Jan 30, 2011",2011-01-30,21,Home,central-michigan,MAC,Central Michigan,,0,43,63,Win,9,12,W 1,,Reg
2011-02-02-eastern-michigan,Convocation Center,2011-02-02-eastern-michigan,"Wed, Feb 2, 2011",2011-02-02,22,Away,eastern-michigan,MAC,Eastern Michigan,,0,60,56,Loss,10,12,L 1,,Reg
2011-02-05-toledo,John F. Savage Hall,2011-02-05-toledo,"Sat, Feb 5, 2011",2011-02-05,23,Away,toledo,MAC,Toledo,,0,41,59,Win,10,13,W 1,,Reg
2011-02-09-akron,James A. Rhodes Arena,2011-02-09-akron,"Wed, Feb 9, 2011",2011-02-09,24,Home,western-michigan,MAC,Western Michigan,,0,71,83,Win,10,14,W 2,,Reg
2011-02-12-akron,James A. Rhodes Arena,2011-02-12-akron,"Sat, Feb 12, 2011",2011-02-12,25,Home,ball-state,MAC,Ball State,,0,60,75,Win,10,15,W 3,,Reg
2011-02-15-bowling-green-state,Anderson Arena,2011-02-15-bowling-green-state,"Tue, Feb 15, 2011",2011-02-15,26,Away,bowling-green-state,MAC,Bowling Green State,,0,54,89,Win,10,16,W 4,,Reg
2011-02-19-akron,James A. Rhodes Arena,2011-02-19-akron,"Sat, Feb 19, 2011",2011-02-19,27,Home,creighton,MVC,Creighton,,0,67,76,Win,10,17,W 5,,Reg
2011-02-23-akron,James A. Rhodes Arena,2011-02-23-akron,"Wed, Feb 23, 2011",2011-02-23,28,Home,miami-oh,MAC,Miami (OH),,0,55,72,Win,10,18,W 6,,Reg
2011-02-26-akron,James A. Rhodes Arena,2011-02-26-akron,"Sat, Feb 26, 2011",2011-02-26,29,Home,buffalo,MAC,Buffalo,,0,60,69,Win,10,19,W 7,,Reg
2011-03-01-ohio,Convocation Center,2011-03-01-ohio,"Tue, Mar 1, 2011",2011-03-01,30,Away,ohio,MAC,Ohio,,0,80,55,Loss,11,19,L 1,,Reg
2011-03-04-kent-state,Memorial Athletic & Convocation Center,2011-03-04-kent-state,"Fri, Mar 4, 2011",2011-03-04,31,Away,kent-state,MAC,Kent State,,0,79,68,Loss,12,19,L 2,,Reg
2011-03-08-akron,James A. Rhodes Arena,2011-03-08-akron,"Tue, Mar 8, 2011",2011-03-08,32,Home,eastern-michigan,MAC,Eastern Michigan,,0,53,67,Win,12,20,W 1,,Conf-Tourney
2011-03-10-miami-oh,Quicken Loans Arena,2011-03-10-miami-oh,"Thu, Mar 10, 2011",2011-03-10,33,Neutral,miami-oh,MAC,Miami (OH),,2,75,82,Win,12,21,W 2,,Conf-Tourney
2011-03-11-western-michigan,Quicken Loans Arena,2011-03-11-western-michigan,"Fri, Mar 11, 2011",2011-03-11,34,Away,western-michigan,MAC,Western Michigan,,0,68,79,Win,12,22,W 3,,Conf-Tourney
2011-03-12-kent-state,Quicken Loans Arena,2011-03-12-kent-state,"Sat, Mar 12, 2011",2011-03-12,35,Neutral,kent-state,MAC,Kent State,,1,65,66,Win,12,23,W 4,,Conf-Tourney
2011-03-18-akron,United Center,2011-03-18-akron,"Fri, Mar 18, 2011",2011-03-18,36,Neutral,notre-dame,Big East,Notre Dame,5,0,69,56,Loss,13,23,L 1,,NCAA
2010-11-13-alabama-am,Elmore Health Science Building,2010-11-13-alabama-am,"Sat, Nov 13, 2010",2010-11-13,1,Home,Talladega,Non-DI School,Talladega,,0,77,93,Win,0,1,W 1,,Reg
2010-11-15-western-kentucky,E.A. Diddle Arena,2010-11-15-western-kentucky,"Mon, Nov 15, 2010",2010-11-15,2,Away,western-kentucky,Sun Belt,Western Kentucky,,0,83,61,Loss,1,1,L 1,,Reg
2010-11-20-alabama-am,Elmore Health Science Building,2010-11-20-alabama-am,"Sat, Nov 20, 2010",2010-11-20,3,Home,Tuskegee,Non-DI School,Tuskegee,,0,67,70,Win,1,2,W 1,,Reg
2010-11-27-alabama,Coleman Coliseum,2010-11-27-alabama,"Sat, Nov 27, 2010",2010-11-27,4,Away,alabama,SEC,Alabama,,0,76,50,Loss,2,2,L 1,,Reg
2010-12-04-alabama-am,Elmore Health Science Building,2010-12-04-alabama-am,"Sat, Dec 4, 2010",2010-12-04,5,Home,Martin Methodist,Non-DI School,Martin Methodist,,0,70,75,Win,2,3,W 1,,Reg
2010-12-07-alabama-am,Elmore Health Science Building,2010-12-07-alabama-am,"Tue, Dec 7, 2010",2010-12-07,6,Home,tennessee-state,OVC,Tennessee State,,0,74,68,Loss,3,3,L 1,,Reg
2010-12-13-wichita-state,Charles Koch Arena,2010-12-13-wichita-state,"Mon, Dec 13, 2010",2010-12-13,7,Away,wichita-state,MVC,Wichita State,,0,71,49,Loss,4,3,L 2,,Reg
2010-12-19-alabama-birmingham,Bartow Arena,2010-12-19-alabama-birmingham,"Sun, Dec 19, 2010",2010-12-19,8,Away,alabama-birmingham,CUSA,UAB,,0,58,40,Loss,5,3,L 3,,Reg
2010-12-28-north-carolina-state,RBC Center,2010-12-28-north-carolina-state,"Tue, Dec 28, 2010",2010-12-28,9,Away,north-carolina-state,ACC,NC State,,0,82,51,Loss,6,3,L 4,,Reg
2011-01-04-alabama-am,Elmore Health Science Building,2011-01-04-alabama-am,"Tue, Jan 4, 2011",2011-01-04,10,Home,grambling,SWAC,Grambling,,0,63,70,Win,6,4,W 1,,Reg
2011-01-06-alabama-am,Elmore Health Science Building,2011-01-06-alabama-am,"Thu, Jan 6, 2011",2011-01-06,11,Home,jackson-state,SWAC,Jackson State,,0,57,55,Loss,7,4,L 1,,Reg
2011-01-08-mississippi-valley-state,Harrison HPER Complex,2011-01-08-mississippi-valley-state,"Sat, Jan 8, 2011",2011-01-08,12,Away,mississippi-valley-state,SWAC,Mississippi Valley State,,0,60,72,Win,7,5,W 1,,Reg
2011-01-10-arkansas-pine-bluff,K.L. Johnson HPER Complex,2011-01-10-arkansas-pine-bluff,"Mon, Jan 10, 2011",2011-01-10,13,Away,arkansas-pine-bluff,SWAC,Arkansas-Pine Bluff,,0,61,53,Loss,8,5,L 1,,Reg
2011-01-15-alabama-am,Elmore Health Science Building,2011-01-15-alabama-am,"Sat, Jan 15, 2011",2011-01-15,14,Home,alabama-state,SWAC,Alabama State,,0,60,75,Win,8,6,W 1,,Reg
2011-01-22-alabama-am,Elmore Health Science Building,2011-01-22-alabama-am,"Sat, Jan 22, 2011",2011-01-22,15,Home,alcorn-state,SWAC,Alcorn State,,0,55,64,Win,8,7,W 2,,Reg
2011-01-24-alabama-am,Elmore Health Science Building,2011-01-24-alabama-am,"Mon, Jan 24, 2011",2011-01-24,16,Home,southern,SWAC,Southern,,0,58,68,Win,8,8,W 3,,Reg
2011-01-29-texas-southern,Health & Physical Education Arena,2011-01-29-texas-southern,"Sat, Jan 29, 2011",2011-01-29,17,Away,texas-southern,SWAC,Texas Southern,,0,65,61,Loss,9,8,L 1,,Reg
2011-01-31-prairie-view,William J. Nicks Building,2011-01-31-prairie-view,"Mon, Jan 31, 2011",2011-01-31,18,Away,prairie-view,SWAC,Prairie View,,0,53,62,Win,9,9,W 1,,Reg
2011-02-05-alabama-am,Elmore Health Science Building,2011-02-05-alabama-am,"Sat, Feb 5, 2011",2011-02-05,19,Home,mississippi-valley-state,SWAC,Mississippi Valley State,,0,63,60,Loss,10,9,L 1,,Reg
2011-02-07-alabama-am,Elmore Health Science Building,2011-02-07-alabama-am,"Mon, Feb 7, 2011",2011-02-07,20,Home,arkansas-pine-bluff,SWAC,Arkansas-Pine Bluff,,0,52,74,Win,10,10,W 1,,Reg
2011-02-12-alabama-state,ASU Acadome,2011-02-12-alabama-state,"Sat, Feb 12, 2011",2011-02-12,21,Away,alabama-state,SWAC,Alabama State,,0,82,68,Loss,11,10,L 1,,Reg
2011-02-19-alcorn-state,Davey L. Whitney Complex,2011-02-19-alcorn-state,"Sat, Feb 19, 2011",2011-02-19,22,Away,alcorn-state,SWAC,Alcorn State,,0,68,70,Win,11,11,W 1,,Reg
2011-02-21-southern,F. G. Clark Activity Center,2011-02-21-southern,"Mon, Feb 21, 2011",2011-02-21,23,Away,southern,SWAC,Southern,,0,45,64,Win,11,12,W 2,,Reg
2011-02-26-alabama-am,Elmore Health Science Building,2011-02-26-alabama-am,"Sat, Feb 26, 2011",2011-02-26,24,Home,texas-southern,SWAC,Texas Southern,,1,83,78,Loss,12,12,L 1,,Reg
2011-02-28-alabama-am,Elmore Health Science Building,2011-02-28-alabama-am,"Mon, Feb 28, 2011",2011-02-28,25,Home,prairie-view,SWAC,Prairie View,,0,58,63,Win,12,13,W 1,,Reg
2011-03-03-grambling,HPER Complex,2011-03-03-grambling,"Thu, Mar 3, 2011",2011-03-03,26,Away,grambling,SWAC,Grambling,,0,76,69,Loss,13,13,L 1,,Reg
2011-03-05-jackson-state,Lee E. Williams Athletics and Assembly Center,2011-03-05-jackson-state,"Sat, Mar 5, 2011",2011-03-05,27,Away,jackson-state,SWAC,Jackson State,,0,72,64,Loss,14,13,L 2,,Reg
2011-03-10-alabama-state,Curtis Culwell Center,2011-03-10-alabama-state,"Thu, Mar 10, 2011",2011-03-10,28,Neutral,alabama-state,SWAC,Alabama State,,0,81,61,Loss,15,13,L 3,,Conf-Tourney
2010-11-13-alabama-birmingham,Bartow Arena,2010-11-13-alabama-birmingham,"Sat, Nov 13, 2010",2010-11-13,1,Home,southeast-missouri-state,OVC,Southeast Missouri State,,0,56,78,Win,0,1,W 1,,Reg
2010-11-17-middle-tennessee,Murphy Athletic Center,2010-11-17-middle-tennessee,"Wed, Nov 17, 2010",2010-11-17,2,Away,middle-tennessee,Sun Belt,Middle Tennessee,,0,71,76,Win,0,2,W 2,,Reg
2010-11-20-arizona-state,Wells Fargo Arena,2010-11-20-arizona-state,"Sat, Nov 20, 2010",2010-11-20,3,Away,arizona-state,Pac-10,Arizona State,,0,69,66,Loss,1,2,L 1,,Reg
2010-11-23-alabama-birmingham,Bartow Arena,2010-11-23-alabama-birmingham,"Tue, Nov 23, 2010",2010-11-23,4,Home,south-alabama,Sun Belt,South Alabama,,0,58,82,Win,1,3,W 1,,Reg
2010-11-26-arkansas,Alltel Arena,2010-11-26-arkansas,"Fri, Nov 26, 2010",2010-11-26,5,Neutral,arkansas,SEC,Arkansas,,1,65,70,Win,1,4,W 2,,Reg
2010-11-29-troy,Trojan Arena,2010-11-29-troy,"Mon, Nov 29, 2010",2010-11-29,6,Away,troy,Sun Belt,Troy,,0,57,78,Win,1,5,W 3,,Reg
2010-12-01-alabama-birmingham,Bartow Arena,2010-12-01-alabama-birmingham,"Wed, Dec 1, 2010",2010-12-01,7,Home,jacksonville-state,OVC,Jacksonville State,,0,53,59,Win,1,6,W 4,,Reg
2010-12-03-georgia,Stegeman Coliseum,2010-12-03-georgia,"Fri, Dec 3, 2010",2010-12-03,8,Away,georgia,SEC,Georgia,,0,66,64,Loss,2,6,L 1,,Reg
2010-12-05-alabama-birmingham,Bartow Arena,2010-12-05-alabama-birmingham,"Sun, Dec 5, 2010",2010-12-05,9,Home,kent-state,MAC,Kent State,,0,59,75,Win,2,7,W 1,,Reg
2010-12-19-alabama-birmingham,Bartow Arena,2010-12-19-alabama-birmingham,"Sun, Dec 19, 2010",2010-12-19,10,Home,alabama-am,SWAC,Alabama A&M,,0,40,58,Win,2,8,W 2,,Reg
2010-12-21-alabama-birmingham,Bartow Arena,2010-12-21-alabama-birmingham,"Tue, Dec 21, 2010",2010-12-21,11,Home,virginia-commonwealth,CAA,Virginia Commonwealth,,0,65,68,Win,2,9,W 3,,Reg
2010-12-27-alabama-birmingham,Bartow Arena,2010-12-27-alabama-birmingham,"Mon, Dec 27, 2010",2010-12-27,12,Home,george-washington,A-10,George Washington,,0,44,79,Win,2,10,W 4,,Reg
2011-01-05-duke,Cameron Indoor Stadium,2011-01-05-duke,"Wed, Jan 5, 2011",2011-01-05,13,Away,duke,ACC,Duke,1,0,85,64,Loss,3,10,L 1,,Reg
2011-01-08-alabama-birmingham,Bartow Arena,2011-01-08-alabama-birmingham,"Sat, Jan 8, 2011",2011-01-08,14,Home,texas-el-paso,CUSA,UTEP,,3,97,100,Win,3,11,W 1,,Reg
2011-01-15-tulsa,Donald W. Reynolds Center,2011-01-15-tulsa,"Sat, Jan 15, 2011",2011-01-15,15,Away,tulsa,CUSA,Tulsa,,0,78,62,Loss,4,11,L 1,,Reg
2011-01-17-east-carolina,Williams Arena at Minges Coliseum,2011-01-17-east-carolina,"Mon, Jan 17, 2011",2011-01-17,16,Away,east-carolina,CUSA,East Carolina,,0,59,66,Win,4,12,W 1,,Reg
2011-01-19-alabama-birmingham,Bartow Arena,2011-01-19-alabama-birmingham,"Wed, Jan 19, 2011",2011-01-19,17,Home,southern-methodist,CUSA,Southern Methodist,,0,53,67,Win,4,13,W 2,,Reg
2011-01-22-alabama-birmingham,Bartow Arena,2011-01-22-alabama-birmingham,"Sat, Jan 22, 2011",2011-01-22,18,Home,memphis,CUSA,Memphis,,1,76,73,Loss,5,13,L 1,,Reg
2011-01-26-alabama-birmingham,Bartow Arena,2011-01-26-alabama-birmingham,"Wed, Jan 26, 2011",2011-01-26,19,Home,marshall,CUSA,Marshall,,0,56,60,Win,5,14,W 1,,Reg
2011-01-29-central-florida,New UCF Arena,2011-01-29-central-florida,"Sat, Jan 29, 2011",2011-01-29,20,Away,central-florida,CUSA,Central Florida,,0,69,74,Win,5,15,W 2,,Reg
2011-02-02-alabama-birmingham,Bartow Arena,2011-02-02-alabama-birmingham,"Wed, Feb 2, 2011",2011-02-02,21,Home,southern-mississippi,CUSA,Southern Mississippi,,0,75,71,Loss,6,15,L 1,,Reg
2011-02-05-tulane,Avron B. Fogelman Arena,2011-02-05-tulane,"Sat, Feb 5, 2011",2011-02-05,22,Away,tulane,CUSA,Tulane,,0,39,47,Win,6,16,W 1,,Reg
2011-02-09-marshall,Henderson Center,2011-02-09-marshall,"Wed, Feb 9, 2011",2011-02-09,23,Away,marshall,CUSA,Marshall,,0,48,64,Win,6,17,W 2,,Reg
2011-02-12-alabama-birmingham,Bartow Arena,2011-02-12-alabama-birmingham,"Sat, Feb 12, 2011",2011-02-12,24,Home,rice,CUSA,Rice,,0,68,74,Win,6,18,W 3,,Reg
2011-02-16-memphis,FedExForum,2011-02-16-memphis,"Wed, Feb 16, 2011",2011-02-16,25,Away,memphis,CUSA,Memphis,,0,62,58,Loss,7,18,L 1,,Reg
2011-02-19-alabama-birmingham,Bartow Arena,2011-02-19-alabama-birmingham,"Sat, Feb 19, 2011",2011-02-19,26,Home,central-florida,CUSA,Central Florida,,0,58,63,Win,7,19,W 1,,Reg
2011-02-26-houston,Hofheinz Pavilion,2011-02-26-houston,"Sat, Feb 26, 2011",2011-02-26,27,Away,houston,CUSA,Houston,,0,55,68,Win,7,20,W 2,,Reg
2011-03-02-southern-mississippi,Reed Green Coliseum,2011-03-02-southern-mississippi,"Wed, Mar 2, 2011",2011-03-02,28,Away,southern-mississippi,CUSA,Southern Mississippi,,0,66,67,Win,7,21,W 3,,Reg
2011-03-05-alabama-birmingham,Bartow Arena,2011-03-05-alabama-birmingham,"Sat, Mar 5, 2011",2011-03-05,29,Home,east-carolina,CUSA,East Carolina,,0,48,66,Win,7,22,W 4,,Reg
2011-03-10-alabama-birmingham,Don Haskins Center,2011-03-10-alabama-birmingham,"Thu, Mar 10, 2011",2011-03-10,30,Neutral,east-carolina,CUSA,East Carolina,,1,75,70,Loss,8,22,L 1,,Conf-Tourney
2011-03-15-alabama-birmingham,University of Dayton Arena,2011-03-15-alabama-birmingham,"Tue, Mar 15, 2011",2011-03-15,31,Neutral,clemson,ACC,Clemson,,0,70,52,Loss,9,22,L 2,,NCAA
2010-11-12-creighton,Qwest Center OMAHA,2010-11-12-creighton,"Fri, Nov 12, 2010",2010-11-12,1,Away,creighton,MVC,Creighton,,0,71,57,Loss,1,0,L 1,,Reg
2010-11-14-iowa-state,James H. Hilton Coliseum,2010-11-14-iowa-state,"Sun, Nov 14, 2010",2010-11-14,2,Away,iowa-state,Big 12,Iowa State,,0,74,47,Loss,2,0,L 2,,Reg
2010-11-16-northern-arizona,Tim's Toyota Center,2010-11-16-northern-arizona,"Tue, Nov 16, 2010",2010-11-16,3,Away,northern-arizona,Big Sky,Northern Arizona,,0,74,46,Loss,3,0,L 3,,Reg
2010-11-20-alabama-state,ASU Acadome,2010-11-20-alabama-state,"Sat, Nov 20, 2010",2010-11-20,4,Home,kennesaw-state,A-Sun,Kennesaw State,,0,59,74,Win,3,1,W 1,,Reg
2010-11-22-loyola-il,Joseph J. Gentile Center,2010-11-22-loyola-il,"Mon, Nov 22, 2010",2010-11-22,5,Away,loyola-il,Horizon,Loyola (IL),,0,74,46,Loss,4,1,L 1,,Reg
2010-11-27-central-florida,New UCF Arena,2010-11-27-central-florida,"Sat, Nov 27, 2010",2010-11-27,6,Away,central-florida,CUSA,Central Florida,,0,84,48,Loss,5,1,L 2,,Reg
