awayindex,date,home_turnover_percentage,home_wins,location,losing_abbr,losing_name,pace,winning_abbr,winning_name,team_name,conf,boxscore,winner,home_team,away_team,home_team_name,away_team_name,away_pregame_eFG,away_pregame_rebound_percentage,away_pregame_eFG_allowed,away_pregame_win_percentage,uid
2018-12-25-21-texas-christianIndiana State,"December 25, 2018",14.8,11,"Stan Sheriff Center, Honolulu, Hawaii",INDIANA-STATE,Indiana State,75.1,TEXAS-CHRISTIAN,TCU,Indiana State,mvc,2018-12-25-21-texas-christian,Home,TEXAS-CHRISTIAN,INDIANA-STATE,TCU,Indiana State,0.5182539682539683,0.507183908045977,0.4792944785276074,0.7272727272727273,10
2019-03-07-19-indiana-stateIndiana State,"March 7, 2019",17.4,15,"Scottrade Center, St. Louis, Missouri",INDIANA-STATE,Indiana State,69.3,VALPARAISO,Valparaiso,Indiana State,mvc,2019-03-07-19-indiana-state,Away,VALPARAISO,INDIANA-STATE,Valparaiso,Indiana State,0.4948826008428657,0.4790647090810223,0.5157480314960631,0.5,11
2019-01-02-21-loyola-ilIndiana State,"January 2, 2019",9.0,8,"Joseph J. Gentile Center, Chicago, Illinois",INDIANA-STATE,Indiana State,62.2,LOYOLA-IL,Loyola (IL),Indiana State,mvc,2019-01-02-21-loyola-il,Home,LOYOLA-IL,INDIANA-STATE,Loyola (IL),Indiana State,0.5204081632653061,0.5026666666666667,0.4852528089887641,0.6666666666666666,12
2019-01-19-14-indiana-stateIndiana State,"January 19, 2019",16.6,10,"Hulman Center, Terre Haute, Indiana",INDIANA-STATE,Indiana State,63.5,LOYOLA-IL,Loyola (IL),Indiana State,mvc,2019-01-19-14-indiana-state,Away,LOYOLA-IL,INDIANA-STATE,Loyola (IL),Indiana State,0.4915522703273496,0.4908759124087591,0.4843276036400405,0.5882352941176471,13
2018-12-05-19-indiana-stateIndiana State,"December 5, 2018",14.7,5,"Hulman Center, Terre Haute, Indiana",INDIANA-STATE,Indiana State,72.6,NORTH-TEXAS,North Texas,Indiana State,mvc,2018-12-05-19-indiana-state,Away,NORTH-TEXAS,INDIANA-STATE,North Texas,Indiana State,0.5178571428571429,0.5291005291005291,0.4438202247191011,0.8333333333333334,14
2018-11-06-19-ball-stateIndiana State,"November 6, 2018",10.9,1,"Worthen Arena, Muncie, Indiana",INDIANA-STATE,Indiana State,71.8,BALL-STATE,Ball State,Indiana State,mvc,2018-11-06-19-ball-state,Home,BALL-STATE,INDIANA-STATE,Ball State,Indiana State,,,,,15
2019-01-30-21-southern-illinoisIndiana State,"January 30, 2019",18.2,11,"The SIU Arena, Carbondale, Illinois",INDIANA-STATE,Indiana State,73.3,SOUTHERN-ILLINOIS,Southern Illinois,Indiana State,mvc,2019-01-30-21-southern-illinois,Home,SOUTHERN-ILLINOIS,INDIANA-STATE,Southern Illinois,Indiana State,0.4981634527089073,0.4915390813859791,0.4933920704845815,0.55,16
2019-02-16-12-indiana-stateIndiana State,"February 16, 2019",10.3,13,"Hulman Center, Terre Haute, Indiana",INDIANA-STATE,Indiana State,69.6,SOUTHERN-ILLINOIS,Southern Illinois,Indiana State,mvc,2019-02-16-12-indiana-state,Away,SOUTHERN-ILLINOIS,INDIANA-STATE,Southern Illinois,Indiana State,0.4981831395348838,0.4841628959276018,0.5110163468372424,0.52,17
2019-01-27-14-illinois-stateIndiana State,"January 27, 2019",11.4,12,"Redbird Arena, Normal, Illinois",INDIANA-STATE,Indiana State,63.3,ILLINOIS-STATE,Illinois State,Indiana State,mvc,2019-01-27-14-illinois-state,Home,ILLINOIS-STATE,INDIANA-STATE,Illinois State,Indiana State,0.4971264367816092,0.4895222129086337,0.4888991674375578,0.5789473684210527,18
2019-02-09-20-bradleyIndiana State,"February 9, 2019",15.9,13,"Carver Arena, Peoria, Illinois",INDIANA-STATE,Indiana State,76.2,BRADLEY,Bradley,Indiana State,mvc,2019-02-09-20-bradley,Home,BRADLEY,INDIANA-STATE,Bradley,Indiana State,0.5015961691939346,0.4929577464788733,0.5007686395080707,0.5217391304347826,19
2019-01-08-19-indiana-stateIndiana State,"January 8, 2019",27.7,9,"Hulman Center, Terre Haute, Indiana",INDIANA-STATE,Indiana State,71.6,MISSOURI-STATE,Missouri State,Indiana State,mvc,2019-01-08-19-indiana-state,Away,MISSOURI-STATE,INDIANA-STATE,Missouri State,Indiana State,0.5006385696040868,0.4938271604938271,0.4866989117291415,0.6428571428571429,20
2019-02-23-14-missouri-stateIndiana State,"February 23, 2019",18.8,16,"JQH Arena, Springfield, Missouri",INDIANA-STATE,Indiana State,63.7,MISSOURI-STATE,Missouri State,Indiana State,mvc,2019-02-23-14-missouri-state,Home,MISSOURI-STATE,INDIANA-STATE,Missouri State,Indiana State,0.4973262032085562,0.480072463768116,0.5156458055925432,0.5185185185185185,21
2019-01-16-20-northern-iowaIndiana State,"January 16, 2019",11.0,8,"McLeod Center, Cedar Falls, Iowa",INDIANA-STATE,Indiana State,66.8,NORTHERN-IOWA,Northern Iowa,Indiana State,mvc,2019-01-16-20-northern-iowa,Home,NORTHERN-IOWA,INDIANA-STATE,Northern Iowa,Indiana State,0.4938820912124583,0.4932432432432433,0.4856230031948882,0.625,22
2019-02-02-14-indiana-stateIndiana State,"February 2, 2019",10.7,11,"Hulman Center, Terre Haute, Indiana",INDIANA-STATE,Indiana State,72.1,DRAKE,Drake,Indiana State,mvc,2019-02-02-14-indiana-state,Away,DRAKE,INDIANA-STATE,Drake,Indiana State,0.5,0.4918918918918919,0.5033585222502099,0.5238095238095238,23
2019-02-27-20-drakeIndiana State,"February 27, 2019",19.4,22,"Knapp Center, Des Moines, Iowa",INDIANA-STATE,Indiana State,71.5,DRAKE,Drake,Indiana State,mvc,2019-02-27-20-drake,Home,DRAKE,INDIANA-STATE,Drake,Indiana State,0.4964332036316472,0.4815897136177674,0.5164728682170543,0.5,24
2019-02-09-14-iowa-stateIowa State,"February 9, 2019",17.1,18,"James H. Hilton Coliseum , Ames, Iowa",IOWA-STATE,Iowa State,76.9,TEXAS-CHRISTIAN,TCU,Iowa State,big-12,2019-02-09-14-iowa-state,Away,TEXAS-CHRISTIAN,IOWA-STATE,TCU,Iowa State,0.5551876379690949,0.5166780122532335,0.4742268041237113,0.7826086956521741,25
2019-02-23-14-texas-christianIowa State,"February 23, 2019",18.5,18,"Ed & Rae Schollmaier Arena, Fort Worth, Texas",IOWA-STATE,Iowa State,72.8,TEXAS-CHRISTIAN,TCU,Iowa State,big-12,2019-02-23-14-texas-christian,Home,TEXAS-CHRISTIAN,IOWA-STATE,TCU,Iowa State,0.5546875,0.5111647555823778,0.4804814573845153,0.7307692307692307,26
2019-01-08-19-baylorIowa State,"January 8, 2019",13.6,9,"Ferrell Center, Waco, Texas",IOWA-STATE,Iowa State,66.2,BAYLOR,Baylor,Iowa State,big-12,2019-01-08-19-baylor,Home,BAYLOR,IOWA-STATE,Baylor,Iowa State,0.5568581477139508,0.5268346111719606,0.4735547355473555,0.8571428571428571,27
2019-02-19-21-iowa-stateIowa State,"February 19, 2019",7.2,19,"James H. Hilton Coliseum , Ames, Iowa",IOWA-STATE,Iowa State,62.8,BAYLOR,Baylor,Iowa State,big-12,2019-02-19-21-iowa-state,Away,BAYLOR,IOWA-STATE,Baylor,Iowa State,0.556910569105691,0.5173064820641913,0.4792517006802721,0.76,28
2019-01-12-12-iowa-stateIowa State,"January 12, 2019",15.3,12,"James H. Hilton Coliseum , Ames, Iowa",IOWA-STATE,Iowa State,61.7,KANSAS-STATE,Kansas State,Iowa State,big-12,2019-01-12-12-iowa-state,Away,KANSAS-STATE,IOWA-STATE,Kansas State,Iowa State,0.5572057205720572,0.5243019648397105,0.4758064516129033,0.8,29
2018-11-19-21-iowa-stateIowa State,"November 19, 2018",17.1,3,"Lahaina Civic Center, Lahaina, Hawaii",IOWA-STATE,Iowa State,70.9,ARIZONA,Arizona,Iowa State,big-12,2018-11-19-21-iowa-state,Away,ARIZONA,IOWA-STATE,Arizona,Iowa State,0.5369318181818182,0.525,0.4479768786127168,1.0,30
2019-03-09-14-iowa-stateIowa State,"March 9, 2019",16.6,20,"James H. Hilton Coliseum , Ames, Iowa",IOWA-STATE,Iowa State,71.8,TEXAS-TECH,Texas Tech,Iowa State,big-12,2019-03-09-14-iowa-state,Away,TEXAS-TECH,IOWA-STATE,Texas Tech,Iowa State,0.5494938132733408,0.5086071987480438,0.4887766554433221,0.6666666666666666,31
2019-03-02-14-texasIowa State,"March 2, 2019",10.5,16,"Frank Erwin Center, Austin, Texas",IOWA-STATE,Iowa State,62.1,TEXAS,Texas,Iowa State,big-12,2019-03-02-14-texas,Home,TEXAS,IOWA-STATE,Texas,Iowa State,0.5530440024110911,0.5108635097493036,0.4795180722891566,0.7142857142857143,32
2019-03-06-19-west-virginiaIowa State,"March 6, 2019",15.4,12,"WVU Coliseum, Morgantown, West Virginia",IOWA-STATE,Iowa State,75.0,WEST-VIRGINIA,West Virginia,Iowa State,big-12,2019-03-06-19-west-virginia,Home,WEST-VIRGINIA,IOWA-STATE,West Virginia,Iowa State,0.5516336056009334,0.5108459869848156,0.4859894921190893,0.6896551724137931,33
2018-12-06-20-iowaIowa State,"December 6, 2018",20.2,7,"Carver-Hawkeye Arena, Iowa City, Iowa",IOWA-STATE,Iowa State,75.4,IOWA,Iowa,Iowa State,big-12,2018-12-06-20-iowa,Home,IOWA,IOWA-STATE,Iowa,Iowa State,0.5353430353430353,0.551660516605166,0.4473118279569893,0.875,34
2019-03-22-21-iowa-stateIowa State,"March 22, 2019",16.1,23,"BOK Center, Tulsa, Oklahoma",IOWA-STATE,Iowa State,62.7,OHIO-STATE,Ohio State,Iowa State,big-12,2019-03-22-21-iowa-state,Away,OHIO-STATE,IOWA-STATE,Ohio State,Iowa State,0.5491474423269811,0.5071068317285649,0.4852869053457578,0.6764705882352942,35
2019-01-21-21-kansasIowa State,"January 21, 2019",13.6,16,"Allen Fieldhouse, Lawrence, Kansas",IOWA-STATE,Iowa State,71.6,KANSAS,Kansas,Iowa State,big-12,2019-01-21-21-kansas,Home,KANSAS,IOWA-STATE,Kansas,Iowa State,0.5490654205607477,0.5125324114088159,0.47216890595009603,0.7777777777777778,36
2019-03-24-21-texas-christianNebraska,"March 24, 2019",10.5,22,"Ed & Rae Schollmaier Arena, Fort Worth, Texas",NEBRASKA,Nebraska,68.0,TEXAS-CHRISTIAN,TCU,Nebraska,big-ten,2019-03-24-21-texas-christian,Home,TEXAS-CHRISTIAN,NEBRASKA,TCU,Nebraska,0.4929883945841393,0.4807448159119763,0.4742956005931784,0.5428571428571428,37
2019-02-28-19-michiganNebraska,"February 28, 2019",16.1,25,"Crisler Arena, Ann Arbor, Michigan",NEBRASKA,Nebraska,67.2,MICHIGAN,Michigan,Nebraska,big-ten,2019-02-28-19-michigan,Home,MICHIGAN,NEBRASKA,Michigan,Nebraska,0.4948453608247423,0.48380355276907006,0.4553243574051408,0.5357142857142857,38
2018-11-20-21-nebraskaNebraska,"November 20, 2018",19.7,4,"Sprint Center, Kansas City, Missouri",NEBRASKA,Nebraska,65.2,TEXAS-TECH,Texas Tech,Nebraska,big-ten,2018-11-20-21-nebraska,Away,TEXAS-TECH,NEBRASKA,Texas Tech,Nebraska,0.5967741935483871,0.5563139931740614,0.3285123966942149,1.0,39
2019-01-29-20-nebraskaNebraska,"January 29, 2019",11.6,13,"Pinnacle Bank Arena, Lincoln, Nebraska",NEBRASKA,Nebraska,61.4,WISCONSIN,Wisconsin,Nebraska,big-ten,2019-01-29-20-nebraska,Away,WISCONSIN,NEBRASKA,Wisconsin,Nebraska,0.5276595744680851,0.4892988929889298,0.4345238095238095,0.65,40
2019-03-15-14-wisconsinNebraska,"March 15, 2019",21.3,23,"United Center, Chicago, Illinois",NEBRASKA,Nebraska,65.8,WISCONSIN,Wisconsin,Nebraska,big-ten,2019-03-15-14-wisconsin,Home,WISCONSIN,NEBRASKA,Wisconsin,Nebraska,0.4930875576036866,0.4800177619893428,0.4697286012526096,0.5454545454545454,41
2019-01-06-17-iowaNebraska,"January 6, 2019",15.1,12,"Carver-Hawkeye Arena, Iowa City, Iowa",NEBRASKA,Nebraska,76.3,IOWA,Iowa,Nebraska,big-ten,2019-01-06-17-iowa,Home,IOWA,NEBRASKA,Iowa,Nebraska,0.5512345679012346,0.5122732123799361,0.42031630170316303,0.7857142857142857,42
2019-01-17-20-nebraskaNebraska,"January 17, 2019",10.7,13,"Pinnacle Bank Arena, Lincoln, Nebraska",NEBRASKA,Nebraska,70.3,MICHIGAN-STATE,Michigan State,Nebraska,big-ten,2019-01-17-20-nebraska,Away,MICHIGAN-STATE,NEBRASKA,Michigan State,Nebraska,0.5464646464646464,0.5035149384885764,0.4251497005988024,0.7647058823529411,43
2019-03-05-19-michigan-stateNebraska,"March 5, 2019",12.9,24,"Breslin Events Center, East Lansing, Michigan",NEBRASKA,Nebraska,69.7,MICHIGAN-STATE,Michigan State,Nebraska,big-ten,2019-03-05-19-michigan-state,Home,MICHIGAN-STATE,NEBRASKA,Michigan State,Nebraska,0.4895104895104895,0.4813695871097684,0.462085308056872,0.5172413793103449,44
2019-01-26-12-nebraskaNebraska,"January 26, 2019",14.8,13,"Pinnacle Bank Arena, Lincoln, Nebraska",NEBRASKA,Nebraska,67.1,OHIO-STATE,Ohio State,Nebraska,big-ten,2019-01-26-12-nebraska,Away,OHIO-STATE,NEBRASKA,Ohio State,Nebraska,0.5326768128916741,0.4937694704049844,0.4315742397137746,0.6842105263157895,45
2019-01-02-18-marylandNebraska,"January 2, 2019",16.4,11,"Xfinity Center, College Park, Maryland",NEBRASKA,Nebraska,66.8,MARYLAND,Maryland,Nebraska,big-ten,2019-01-02-18-maryland,Home,MARYLAND,NEBRASKA,Maryland,Nebraska,0.5507246376811594,0.5177142857142857,0.4114173228346457,0.8461538461538461,46
2019-02-06-19-nebraskaNebraska,"February 6, 2019",5.5,13,"Pinnacle Bank Arena, Lincoln, Nebraska",NEBRASKA,Nebraska,64.0,MARYLAND,Maryland,Nebraska,big-ten,2019-02-06-19-nebraska,Away,MARYLAND,NEBRASKA,Maryland,Nebraska,0.5099616858237548,0.4986737400530504,0.4432789432789433,0.5909090909090909,47
2019-02-09-20-purdueNebraska,"February 9, 2019",11.4,17,"Mackey Arena, West Lafayette, Indiana",NEBRASKA,Nebraska,61.1,PURDUE,Purdue,Nebraska,big-ten,2019-02-09-20-purdue,Home,PURDUE,NEBRASKA,Purdue,Nebraska,0.4988986784140969,0.4940587867417136,0.4431226765799257,0.5652173913043478,48
2019-02-23-14-nebraskaNebraska,"February 23, 2019",5.5,15,"Pinnacle Bank Arena, Lincoln, Nebraska",NEBRASKA,Nebraska,65.7,PURDUE,Purdue,Nebraska,big-ten,2019-02-23-14-nebraska,Away,PURDUE,NEBRASKA,Purdue,Nebraska,0.4955919395465994,0.486706456863809,0.4564526382708201,0.5555555555555556,49
2019-02-02-14-illinoisNebraska,"February 2, 2019",13.1,7,"State Farm Center, Champaign, Illinois",NEBRASKA,Nebraska,71.0,ILLINOIS,Illinois,Nebraska,big-ten,2019-02-02-14-illinois,Home,ILLINOIS,NEBRASKA,Illinois,Nebraska,0.5174089068825911,0.493361285814116,0.4382615759545085,0.6190476190476191,50
2018-12-05-21-minnesotaNebraska,"December 5, 2018",15.6,7,"Williams Arena, Minneapolis, Minnesota",NEBRASKA,Nebraska,69.6,MINNESOTA,Minnesota,Nebraska,big-ten,2018-12-05-21-minnesota,Home,MINNESOTA,NEBRASKA,Minnesota,Nebraska,0.55,0.5350553505535055,0.3885350318471338,0.875,51
2019-02-19-19-penn-stateNebraska,"February 19, 2019",7.9,10,"Bryce Jordan Center, University Park, Pennsylvania",NEBRASKA,Nebraska,66.1,PENN-STATE,Penn State,Nebraska,big-ten,2019-02-19-19-penn-state,Home,PENN-STATE,NEBRASKA,Penn State,Nebraska,0.4944408109875736,0.4885025238362311,0.44867549668874174,0.5769230769230769,52
2019-01-21-20-rutgersNebraska,"January 21, 2019",17.2,9,"Louis Brown Athletic Center, New Brunswick, New Jersey",NEBRASKA,Nebraska,74.0,RUTGERS,Rutgers,Nebraska,big-ten,2019-01-21-20-rutgers,Home,RUTGERS,NEBRASKA,Rutgers,Nebraska,0.5350047303689688,0.4983471074380165,0.42857142857142855,0.7222222222222222,53
2019-01-05-16-texas-christianBaylor,"January 5, 2019",12.8,12,"Ed & Rae Schollmaier Arena, Fort Worth, Texas",BAYLOR,Baylor,73.5,TEXAS-CHRISTIAN,TCU,Baylor,big-12,2019-01-05-16-texas-christian,Home,TEXAS-CHRISTIAN,BAYLOR,TCU,Baylor,0.5058823529411764,0.5565789473684211,0.4429223744292237,0.6666666666666666,54
2018-12-01-20-wichita-stateBaylor,"December 1, 2018",16.0,4,"Charles Koch Arena, Wichita, Kansas",BAYLOR,Baylor,73.3,WICHITA-STATE,Wichita State,Baylor,big-12,2018-12-01-20-wichita-state,Home,WICHITA-STATE,BAYLOR,Wichita State,Baylor,0.5207823960880196,0.5337837837837838,0.4461942257217848,0.7142857142857143,55
2019-02-09-18-baylorBaylor,"February 9, 2019",17.6,15,"Ferrell Center, Waco, Texas",BAYLOR,Baylor,61.2,KANSAS-STATE,Kansas State,Baylor,big-12,2019-02-09-18-baylor,Away,KANSAS-STATE,BAYLOR,Kansas State,Baylor,0.5206386292834891,0.5515988372093024,0.4760906040268457,0.6818181818181818,56
2019-03-02-20-kansas-stateBaylor,"March 2, 2019",14.2,22,"Bramlage Coliseum, Manhattan, Kansas",BAYLOR,Baylor,66.4,KANSAS-STATE,Kansas State,Baylor,big-12,2019-03-02-20-kansas-state,Home,KANSAS-STATE,BAYLOR,Kansas State,Baylor,0.5156923076923077,0.5519406392694064,0.4827136333985649,0.6785714285714286,57
2018-11-23-21-mississippiBaylor,"November 23, 2018",15.3,3,"The Arena, Niceville, Florida",BAYLOR,Baylor,76.8,MISSISSIPPI,Ole Miss,Baylor,sec,2018-11-23-21-mississippi,Home,MISSISSIPPI,BAYLOR,Mississippi,Baylor,0.5573770491803278,0.5573122529644269,0.4788732394366197,0.75,58
2019-03-23-19-gonzagaBaylor,"March 23, 2019",14.2,32,"Vivint Smart Home Arena, Salt Lake City, Utah",BAYLOR,Baylor,68.7,GONZAGA,Gonzaga,Baylor,wcc,2019-03-23-19-gonzaga,Home,GONZAGA,BAYLOR,Gonzaga,Baylor,0.5136411332633788,0.5493025493025493,0.4875827814569537,0.6060606060606061,59
2019-02-16-14-texas-techBaylor,"February 16, 2019",10.3,21,"United Supermarkets Arena, Lubbock, Texas",BAYLOR,Baylor,67.0,TEXAS-TECH,Texas Tech,Baylor,big-12,2019-02-16-14-texas-tech,Home,TEXAS-TECH,BAYLOR,Texas Tech,Baylor,0.5182926829268293,0.5476984656437625,0.4739063699155794,0.6666666666666666,60
2018-11-06-21-baylorBaylor,"November 6, 2018",20.9,0,"Ferrell Center, Waco, Texas",BAYLOR,Baylor,69.6,TEXAS-SOUTHERN,Texas Southern,Baylor,big-12,2018-11-06-21-baylor,Away,TEXAS-SOUTHERN,BAYLOR,Texas Southern,Baylor,,,,,61
2019-02-06-20-texasBaylor,"February 6, 2019",12.3,13,"Frank Erwin Center, Austin, Texas",BAYLOR,Baylor,68.1,TEXAS,Texas,Baylor,big-12,2019-02-06-20-texas,Home,TEXAS,BAYLOR,Texas,Baylor,0.5191524042379788,0.5540438397581254,0.4693788276465442,0.7142857142857143,62
2018-12-18-20-baylorBaylor,"December 18, 2018",20.9,6,"Ferrell Center, Waco, Texas",BAYLOR,Baylor,70.3,STEPHEN-F-AUSTIN,Stephen F. Austin,Baylor,big-12,2018-12-18-20-baylor,Away,STEPHEN-F-AUSTIN,BAYLOR,Stephen F. Austin,Baylor,0.5019157088122606,0.5492227979274611,0.449,0.6666666666666666,63
2019-03-14-12-baylorBaylor,"March 14, 2019",18.3,19,"Sprint Center, Kansas City, Missouri",BAYLOR,Baylor,63.7,IOWA-STATE,Iowa State,Baylor,big-12,2019-03-14-12-baylor,Away,IOWA-STATE,BAYLOR,Iowa State,Baylor,0.5086302895322939,0.5482723577235772,0.4815032295948327,0.6129032258064516,64
2019-01-12-16-baylorBaylor,"January 12, 2019",14.6,9,"Ferrell Center, Waco, Texas",BAYLOR,Baylor,70.5,KANSAS,Kansas,Baylor,big-12,2019-01-12-16-baylor,Away,KANSAS,BAYLOR,Kansas,Baylor,0.5075566750629723,0.5506912442396313,0.4640992167101828,0.6428571428571429,65
2019-03-09-14-kansasBaylor,"March 9, 2019",14.3,23,"Allen Fieldhouse, Lawrence, Kansas",BAYLOR,Baylor,74.8,KANSAS,Kansas,Baylor,big-12,2019-03-09-14-kansas,Home,KANSAS,BAYLOR,Kansas,Baylor,0.5127241179872759,0.5505558496559025,0.4811435523114355,0.6333333333333333,66
2019-03-06-21-baylorBaylor,"March 6, 2019",11.4,19,"Ferrell Center, Waco, Texas",BAYLOR,Baylor,73.5,OKLAHOMA-STATE,Oklahoma State,Baylor,big-12,2019-03-06-21-baylor,Away,OKLAHOMA-STATE,BAYLOR,Oklahoma State,Baylor,0.5164769322947873,0.5526170798898071,0.4832278481012658,0.6551724137931034,67
2019-02-06-21-texas-christianOklahoma State,"February 6, 2019",13.2,16,"Ed & Rae Schollmaier Arena, Fort Worth, Texas",OKLAHOMA-STATE,Oklahoma State,66.6,TEXAS-CHRISTIAN,TCU,Oklahoma State,big-12,2019-02-06-21-texas-christian,Home,TEXAS-CHRISTIAN,OKLAHOMA-STATE,TCU,Oklahoma State,0.5090128755364807,0.504089219330855,0.4876135425268373,0.42857142857142855,68
2019-03-13-19-texas-christianOklahoma State,"March 13, 2019",20.2,20,"Sprint Center, Kansas City, Missouri",OKLAHOMA-STATE,Oklahoma State,71.7,TEXAS-CHRISTIAN,TCU,Oklahoma State,big-12,2019-03-13-19-texas-christian,Home,TEXAS-CHRISTIAN,OKLAHOMA-STATE,TCU,Oklahoma State,0.5011534025374856,0.4860759493670886,0.5008393956351427,0.3870967741935484,69
2019-01-14-21-oklahoma-stateOklahoma State,"January 14, 2019",13.4,8,"Gallagher-Iba Arena, Stillwater, Oklahoma",OKLAHOMA-STATE,Oklahoma State,64.1,BAYLOR,Baylor,Oklahoma State,big-12,2019-01-14-21-oklahoma-state,Away,BAYLOR,OKLAHOMA-STATE,Baylor,Oklahoma State,0.5106145251396648,0.5101058710298364,0.4699892818863879,0.5,70
2019-02-02-18-oklahoma-stateOklahoma State,"February 2, 2019",12.1,9,"Gallagher-Iba Arena, Stillwater, Oklahoma",OKLAHOMA-STATE,Oklahoma State,59.0,KANSAS-STATE,Kansas State,Oklahoma State,big-12,2019-02-02-18-oklahoma-state,Away,KANSAS-STATE,OKLAHOMA-STATE,Kansas State,Oklahoma State,0.509000900090009,0.5097125097125097,0.4789156626506024,0.45,71
2019-02-23-16-kansas-stateOklahoma State,"February 23, 2019",11.9,21,"Bramlage Coliseum, Manhattan, Kansas",OKLAHOMA-STATE,Oklahoma State,63.1,KANSAS-STATE,Kansas State,Oklahoma State,big-12,2019-02-23-16-kansas-state,Home,KANSAS-STATE,OKLAHOMA-STATE,Kansas State,Oklahoma State,0.5034916201117319,0.4963369963369964,0.4993275050437122,0.38461538461538464,72
2018-11-23-11-oklahoma-stateOklahoma State,"November 23, 2018",14.5,3,"HP Field House, Orlando, Florida",OKLAHOMA-STATE,Oklahoma State,62.2,VILLANOVA,Villanova,Oklahoma State,big-12,2018-11-23-11-oklahoma-state,Away,VILLANOVA,OKLAHOMA-STATE,Villanova,Oklahoma State,0.5754716981132075,0.5426356589147286,0.4194915254237288,0.75,73
