,boxscore,date,location,losing_abbr,losing_name,winner,winning_abbr,winning_name,team_name,home_team,away_team,home_team_name,away_team_name,homeindex,awayindex,home_pregame_eFG,home_pregame_rebound_percentage,home_pregame_eFG_allowed,home_pregame_win_percentage,away_pregame_eFG,away_pregame_rebound_percentage,away_pregame_eFG_allowed,away_pregame_win_percentage
10,2020-01-04-20-murray-state,"January 4, 2020","CFSB Center, Murray, Kentucky",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Home,MURRAY-STATE,Murray State,Murray State,MURRAY-STATE,SOUTHEAST-MISSOURI-STATE,Murray State,Southeast Missouri State,2020-01-04-20-murray-stateMurray State,2020-01-04-20-murray-stateSoutheast Missouri State,,,,,,,,
11,2020-01-18-17-southeast-missouri-state,"January 18, 2020","Show Me Center, Cape Girardeau, Missouri",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Away,MURRAY-STATE,Murray State,Murray State,MURRAY-STATE,SOUTHEAST-MISSOURI-STATE,Murray State,Southeast Missouri State,2020-01-18-17-southeast-missouri-stateMurray State,2020-01-18-17-southeast-missouri-stateSoutheast Missouri State,,,,,,,,
12,2020-01-23-20-southern-illinois-edwardsville,"January 23, 2020","Sam Vadalabene Center , Edwardsville, Illinois",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Home,SOUTHERN-ILLINOIS-EDWARDSVILLE,SIU-Edwardsville,SIU Edwardsville,SOUTHERN-ILLINOIS-EDWARDSVILLE,SOUTHEAST-MISSOURI-STATE,SIU Edwardsville,Southeast Missouri State,2020-01-23-20-southern-illinois-edwardsvilleSIU Edwardsville,2020-01-23-20-southern-illinois-edwardsvilleSoutheast Missouri State,,,,,,,,
13,2019-12-15-20-youngstown-state,"December 15, 2019","Beeghly Center, Youngstown, Ohio",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Home,YOUNGSTOWN-STATE,Youngstown State,Southeast Missouri State,YOUNGSTOWN-STATE,SOUTHEAST-MISSOURI-STATE,Youngstown State,Southeast Missouri State,2019-12-15-20-youngstown-stateYoungstown State,2019-12-15-20-youngstown-stateSoutheast Missouri State,,,,,,,,
14,2020-02-29-17-tennessee-martin,"February 29, 2020","Skyhawk Arena, Martin, Tennessee",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Home,TENNESSEE-MARTIN,UT-Martin,Southeast Missouri State,TENNESSEE-MARTIN,SOUTHEAST-MISSOURI-STATE,Tennessee-Martin,Southeast Missouri State,2020-02-29-17-tennessee-martinTennessee-Martin,2020-02-29-17-tennessee-martinSoutheast Missouri State,,,,,,,,
15,2019-11-27-19-cal-state-fullerton,"November 27, 2019","Leavey Center, Santa Clara, California",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Home,CAL-STATE-FULLERTON,Cal State Fullerton,Cal State Fullerton,CAL-STATE-FULLERTON,SOUTHEAST-MISSOURI-STATE,Cal State Fullerton,Southeast Missouri State,2019-11-27-19-cal-state-fullertonCal State Fullerton,2019-11-27-19-cal-state-fullertonSoutheast Missouri State,,,,,,,,
16,2020-02-01-16-eastern-kentucky,"February 1, 2020","McBrayer Arena, Richmond, Kentucky",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Home,EASTERN-KENTUCKY,Eastern Kentucky,Eastern Kentucky,EASTERN-KENTUCKY,SOUTHEAST-MISSOURI-STATE,Eastern Kentucky,Southeast Missouri State,2020-02-01-16-eastern-kentuckyEastern Kentucky,2020-02-01-16-eastern-kentuckySoutheast Missouri State,,,,,,,,
17,2020-02-20-20-jacksonville-state,"February 20, 2020","Pete Mathews Coliseum, Jacksonville, Alabama",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Home,JACKSONVILLE-STATE,Jacksonville State,Jacksonville State,JACKSONVILLE-STATE,SOUTHEAST-MISSOURI-STATE,Jacksonville State,Southeast Missouri State,2020-02-20-20-jacksonville-stateJacksonville State,2020-02-20-20-jacksonville-stateSoutheast Missouri State,,,,,,,,
18,2019-12-17-19-ohio-state,"December 17, 2019","Value City Arena, Columbus, Ohio",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Home,OHIO-STATE,Ohio State,Ohio State,OHIO-STATE,SOUTHEAST-MISSOURI-STATE,Ohio State,Southeast Missouri State,2019-12-17-19-ohio-stateOhio State,2019-12-17-19-ohio-stateSoutheast Missouri State,,,,,,,,
19,2019-12-21-16-southern-illinois,"December 21, 2019","The SIU Arena, Carbondale, Illinois",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Home,SOUTHERN-ILLINOIS,Southern Illinois,Southeast Missouri State,SOUTHERN-ILLINOIS,SOUTHEAST-MISSOURI-STATE,Southern Illinois,Southeast Missouri State,2019-12-21-16-southern-illinoisSouthern Illinois,2019-12-21-16-southern-illinoisSoutheast Missouri State,,,,,,,,
20,2020-01-30-19-morehead-state,"January 30, 2020","Ellis T. Johnson Arena, Morehead, Kentucky",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Home,MOREHEAD-STATE,Morehead State,Morehead State,MOREHEAD-STATE,SOUTHEAST-MISSOURI-STATE,Morehead State,Southeast Missouri State,2020-01-30-19-morehead-stateMorehead State,2020-01-30-19-morehead-stateSoutheast Missouri State,,,,,,,,
21,2020-02-08-17-southeast-missouri-state,"February 8, 2020","Show Me Center, Cape Girardeau, Missouri",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Away,TENNESSEE-TECH,Tennessee Tech,Southeast Missouri State,TENNESSEE-TECH,SOUTHEAST-MISSOURI-STATE,Tennessee Tech,Southeast Missouri State,2020-02-08-17-southeast-missouri-stateTennessee Tech,2020-02-08-17-southeast-missouri-stateSoutheast Missouri State,,,,,,,,
22,2020-02-22-17-tennessee-tech,"February 22, 2020","Eblen Center, Cookeville, Tennessee",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Home,TENNESSEE-TECH,Tennessee Tech,Southeast Missouri State,TENNESSEE-TECH,SOUTHEAST-MISSOURI-STATE,Tennessee Tech,Southeast Missouri State,2020-02-22-17-tennessee-techTennessee Tech,2020-02-22-17-tennessee-techSoutheast Missouri State,,,,,,,,
23,2019-11-19-19-southeast-missouri-state,"November 19, 2019","Show Me Center, Cape Girardeau, Missouri",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Away,CITADEL,Citadel,Southeast Missouri State,CITADEL,SOUTHEAST-MISSOURI-STATE,The Citadel,Southeast Missouri State,2019-11-19-19-southeast-missouri-stateThe Citadel,2019-11-19-19-southeast-missouri-stateSoutheast Missouri State,,,,,,,,
24,2019-12-18-20-new-orleans,"December 18, 2019","Kiefer Lakefront Arena, New Orleans , Louisiana",NEW-ORLEANS,New Orleans,Away,ABILENE-CHRISTIAN,Abilene Christian,Abilene Christian,ABILENE-CHRISTIAN,NEW-ORLEANS,Abilene Christian,New Orleans,2019-12-18-20-new-orleansAbilene Christian,2019-12-18-20-new-orleansNew Orleans,,,,,,,,
25,2019-11-12-20-southern-methodist,"November 12, 2019","Moody Coliseum, Dallas, Texas",NEW-ORLEANS,New Orleans,Home,SOUTHERN-METHODIST,SMU,New Orleans,SOUTHERN-METHODIST,NEW-ORLEANS,Southern Methodist,New Orleans,2019-11-12-20-southern-methodistSouthern Methodist,2019-11-12-20-southern-methodistNew Orleans,,,,,,,,
26,2020-01-18-19-new-orleans,"January 18, 2020","Kiefer Lakefront Arena, New Orleans , Louisiana",NEW-ORLEANS,New Orleans,Away,MCNEESE-STATE,McNeese State,McNeese State,MCNEESE-STATE,NEW-ORLEANS,McNeese State,New Orleans,2020-01-18-19-new-orleansMcNeese State,2020-01-18-19-new-orleansNew Orleans,,,,,,,,
27,2019-12-21-15-sam-houston-state,"December 21, 2019","Johnson Coliseum, Huntsville, Texas",NEW-ORLEANS,New Orleans,Home,SAM-HOUSTON-STATE,Sam Houston State,New Orleans,SAM-HOUSTON-STATE,NEW-ORLEANS,Sam Houston State,New Orleans,2019-12-21-15-sam-houston-stateSam Houston State,2019-12-21-15-sam-houston-stateNew Orleans,,,,,,,,
28,2020-01-04-19-new-orleans,"January 4, 2020","Kiefer Lakefront Arena, New Orleans , Louisiana",NEW-ORLEANS,New Orleans,Away,STEPHEN-F-AUSTIN,Stephen F. Austin,New Orleans,STEPHEN-F-AUSTIN,NEW-ORLEANS,Stephen F. Austin,New Orleans,2020-01-04-19-new-orleansStephen F. Austin,2020-01-04-19-new-orleansNew Orleans,,,,,,,,
29,2020-02-08-17-stephen-f-austin,"February 8, 2020","William Johnson Coliseum, Nacogdoches, Texas",NEW-ORLEANS,New Orleans,Home,STEPHEN-F-AUSTIN,Stephen F. Austin,New Orleans,STEPHEN-F-AUSTIN,NEW-ORLEANS,Stephen F. Austin,New Orleans,2020-02-08-17-stephen-f-austinStephen F. Austin,2020-02-08-17-stephen-f-austinNew Orleans,,,,,,,,
30,2020-01-29-20-new-orleans,"January 29, 2020","Kiefer Lakefront Arena, New Orleans , Louisiana",NEW-ORLEANS,New Orleans,Away,NORTHWESTERN-STATE,Northwestern State,New Orleans,NORTHWESTERN-STATE,NEW-ORLEANS,Northwestern State,New Orleans,2020-01-29-20-new-orleansNorthwestern State,2020-01-29-20-new-orleansNew Orleans,,,,,,,,
31,2020-03-04-19-northwestern-state,"March 4, 2020","Prather Coliseum, Natchitoches, Louisiana",NEW-ORLEANS,New Orleans,Home,NORTHWESTERN-STATE,Northwestern State,New Orleans,NORTHWESTERN-STATE,NEW-ORLEANS,Northwestern State,New Orleans,2020-03-04-19-northwestern-stateNorthwestern State,2020-03-04-19-northwestern-stateNew Orleans,,,,,,,,
32,2019-12-03-21-louisiana-state,"December 3, 2019","Maravich Assembly Center, Baton Rouge, Louisiana",NEW-ORLEANS,New Orleans,Home,LOUISIANA-STATE,LSU,Louisiana State,LOUISIANA-STATE,NEW-ORLEANS,Louisiana State,New Orleans,2019-12-03-21-louisiana-stateLouisiana State,2019-12-03-21-louisiana-stateNew Orleans,,,,,,,,
33,2019-11-17-15-mississippi-state,"November 17, 2019","Humphrey Coliseum, Starkville, Mississippi",NEW-ORLEANS,New Orleans,Home,MISSISSIPPI-STATE,Mississippi State,Mississippi State,MISSISSIPPI-STATE,NEW-ORLEANS,Mississippi State,New Orleans,2019-11-17-15-mississippi-stateMississippi State,2019-11-17-15-mississippi-stateNew Orleans,,,,,,,,
34,2019-12-28-13-memphis,"December 28, 2019","FedExForum, Memphis, Tennessee",NEW-ORLEANS,New Orleans,Home,MEMPHIS,Memphis,Memphis,MEMPHIS,NEW-ORLEANS,Memphis,New Orleans,2019-12-28-13-memphisMemphis,2019-12-28-13-memphisNew Orleans,,,,,,,,
35,2019-11-09-19-butler,"November 9, 2019","Hinkle Fieldhouse, Indianapolis, Indiana",NEW-ORLEANS,New Orleans,Home,BUTLER,Butler,Butler,BUTLER,NEW-ORLEANS,Butler,New Orleans,2019-11-09-19-butlerButler,2019-11-09-19-butlerNew Orleans,,,,,,,,
36,2019-11-24-22-hawaii,"November 24, 2019","Stan Sheriff Center, Honolulu, Hawaii",NEW-ORLEANS,New Orleans,Home,HAWAII,Hawaii,Hawaii,HAWAII,NEW-ORLEANS,Hawaii,New Orleans,2019-11-24-22-hawaiiHawaii,2019-11-24-22-hawaiiNew Orleans,,,,,,,,
37,2020-02-12-20-central-arkansas,"February 12, 2020","Jeff Farris Center, Conway, Arkansas",NEW-ORLEANS,New Orleans,Home,CENTRAL-ARKANSAS,Central Arkansas,Central Arkansas,CENTRAL-ARKANSAS,NEW-ORLEANS,Central Arkansas,New Orleans,2020-02-12-20-central-arkansasCentral Arkansas,2020-02-12-20-central-arkansasNew Orleans,,,,,,,,
38,2020-01-25-19-new-orleans,"January 25, 2020","Kiefer Lakefront Arena, New Orleans , Louisiana",NEW-ORLEANS,New Orleans,Away,NICHOLLS-STATE,Nicholls State,New Orleans,NICHOLLS-STATE,NEW-ORLEANS,Nicholls State,New Orleans,2020-01-25-19-new-orleansNicholls State,2020-01-25-19-new-orleansNew Orleans,,,,,,,,
39,2020-02-29-16-nicholls-state,"February 29, 2020","David Stopher Gymnasium, Thibodaux, Louisiana",NEW-ORLEANS,New Orleans,Home,NICHOLLS-STATE,Nicholls State,New Orleans,NICHOLLS-STATE,NEW-ORLEANS,Nicholls State,New Orleans,2020-02-29-16-nicholls-stateNicholls State,2020-02-29-16-nicholls-stateNew Orleans,,,,,,,,
40,2020-01-02-20-new-orleans,"January 2, 2020","Kiefer Lakefront Arena, New Orleans , Louisiana",NEW-ORLEANS,New Orleans,Away,LAMAR,Lamar,Lamar,LAMAR,NEW-ORLEANS,Lamar,New Orleans,2020-01-02-20-new-orleansLamar,2020-01-02-20-new-orleansNew Orleans,,,,,,,,
41,2020-01-11-17-incarnate-word,"January 11, 2020","McDermott Center, San Antonio, Texas",NEW-ORLEANS,New Orleans,Home,INCARNATE-WORD,Incarnate Word,Incarnate Word,INCARNATE-WORD,NEW-ORLEANS,Incarnate Word,New Orleans,2020-01-11-17-incarnate-wordIncarnate Word,2020-01-11-17-incarnate-wordNew Orleans,,,,,,,,
42,2020-02-15-19-new-orleans,"February 15, 2020","Kiefer Lakefront Arena, New Orleans , Louisiana",NEW-ORLEANS,New Orleans,Away,INCARNATE-WORD,Incarnate Word,Incarnate Word,INCARNATE-WORD,NEW-ORLEANS,Incarnate Word,New Orleans,2020-02-15-19-new-orleansIncarnate Word,2020-02-15-19-new-orleansNew Orleans,,,,,,,,
43,2020-01-22-20-texas-am-corpus-christi,"January 22, 2020","American Bank Center, Corpus Christi, Texas",NEW-ORLEANS,New Orleans,Home,TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,New Orleans,TEXAS-AM-CORPUS-CHRISTI,NEW-ORLEANS,Texas A&M-Corpus Christi,New Orleans,2020-01-22-20-texas-am-corpus-christiTexas A&M-Corpus Christi,2020-01-22-20-texas-am-corpus-christiNew Orleans,,,,,,,,
44,2020-02-26-20-new-orleans,"February 26, 2020","Kiefer Lakefront Arena, New Orleans , Louisiana",NEW-ORLEANS,New Orleans,Away,TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,New Orleans,TEXAS-AM-CORPUS-CHRISTI,NEW-ORLEANS,Texas A&M-Corpus Christi,New Orleans,2020-02-26-20-new-orleansTexas A&M-Corpus Christi,2020-02-26-20-new-orleansNew Orleans,,,,,,,,
45,2019-12-21-20-abilene-christian,"December 21, 2019","Moody Coliseum , Abilene, Texas",NICHOLLS-STATE,Nicholls State,Home,ABILENE-CHRISTIAN,Abilene Christian,Abilene Christian,ABILENE-CHRISTIAN,NICHOLLS-STATE,Abilene Christian,Nicholls State,2019-12-21-20-abilene-christianAbilene Christian,2019-12-21-20-abilene-christianNicholls State,,,,,,,,
46,2020-01-29-19-mcneese-state,"January 29, 2020","H&HP Complex, Lake Charles, Louisiana",NICHOLLS-STATE,Nicholls State,Home,MCNEESE-STATE,McNeese State,McNeese State,MCNEESE-STATE,NICHOLLS-STATE,McNeese State,Nicholls State,2020-01-29-19-mcneese-stateMcNeese State,2020-01-29-19-mcneese-stateNicholls State,,,,,,,,
47,2020-02-05-19-stephen-f-austin,"February 5, 2020","William Johnson Coliseum, Nacogdoches, Texas",NICHOLLS-STATE,Nicholls State,Home,STEPHEN-F-AUSTIN,Stephen F. Austin,Nicholls State,STEPHEN-F-AUSTIN,NICHOLLS-STATE,Stephen F. Austin,Nicholls State,2020-02-05-19-stephen-f-austinStephen F. Austin,2020-02-05-19-stephen-f-austinNicholls State,,,,,,,,
48,2020-01-15-20-nicholls-state,"January 15, 2020","David Stopher Gymnasium, Thibodaux, Louisiana",NICHOLLS-STATE,Nicholls State,Away,NORTHWESTERN-STATE,Northwestern State,Nicholls State,NORTHWESTERN-STATE,NICHOLLS-STATE,Northwestern State,Nicholls State,2020-01-15-20-nicholls-stateNorthwestern State,2020-01-15-20-nicholls-stateNicholls State,,,,,,,,
49,2019-12-14-14-west-virginia,"December 14, 2019","WVU Coliseum, Morgantown, West Virginia",NICHOLLS-STATE,Nicholls State,Home,WEST-VIRGINIA,West Virginia,Nicholls State,WEST-VIRGINIA,NICHOLLS-STATE,West Virginia,Nicholls State,2019-12-14-14-west-virginiaWest Virginia,2019-12-14-14-west-virginiaNicholls State,,,,,,,,
50,2019-11-19-19-rhode-island,"November 19, 2019","Ryan Center, Kingston, Rhode Island",NICHOLLS-STATE,Nicholls State,Home,RHODE-ISLAND,Rhode Island,Nicholls State,RHODE-ISLAND,NICHOLLS-STATE,Rhode Island,Nicholls State,2019-11-19-19-rhode-islandRhode Island,2019-11-19-19-rhode-islandNicholls State,,,,,,,,
51,2019-11-16-16-louisiana-state,"November 16, 2019","Maravich Assembly Center, Baton Rouge, Louisiana",NICHOLLS-STATE,Nicholls State,Home,LOUISIANA-STATE,LSU,Louisiana State,LOUISIANA-STATE,NICHOLLS-STATE,Louisiana State,Nicholls State,2019-11-16-16-louisiana-stateLouisiana State,2019-11-16-16-louisiana-stateNicholls State,,,,,,,,
52,2019-11-22-11-nicholls-state,"November 22, 2019","Montego Bay Convention Centre, Montego Bay",NICHOLLS-STATE,Nicholls State,Away,NORTH-CAROLINA-AT,North Carolina A&T,Nicholls State,NORTH-CAROLINA-AT,NICHOLLS-STATE,North Carolina A&T,Nicholls State,2019-11-22-11-nicholls-stateNorth Carolina A&T,2019-11-22-11-nicholls-stateNicholls State,,,,,,,,
53,2020-02-22-16-central-arkansas,"February 22, 2020","Jeff Farris Center, Conway, Arkansas",NICHOLLS-STATE,Nicholls State,Home,CENTRAL-ARKANSAS,Central Arkansas,Central Arkansas,CENTRAL-ARKANSAS,NICHOLLS-STATE,Central Arkansas,Nicholls State,2020-02-22-16-central-arkansasCentral Arkansas,2020-02-22-16-central-arkansasNicholls State,,,,,,,,
54,2019-11-05-20-illinois,"November 5, 2019","State Farm Center, Champaign, Illinois",NICHOLLS-STATE,Nicholls State,Home,ILLINOIS,Illinois,Illinois,ILLINOIS,NICHOLLS-STATE,Illinois,Nicholls State,2019-11-05-20-illinoisIllinois,2019-11-05-20-illinoisNicholls State,,,,,,,,
55,2020-01-04-15-lamar,"January 4, 2020","Montagne Center, Beaumont, Texas",LAMAR,Lamar,Away,ABILENE-CHRISTIAN,Abilene Christian,Abilene Christian,ABILENE-CHRISTIAN,LAMAR,Abilene Christian,Lamar,2020-01-04-15-lamarAbilene Christian,2020-01-04-15-lamarLamar,,,,,,,,
56,2020-02-08-20-abilene-christian,"February 8, 2020","Moody Coliseum , Abilene, Texas",LAMAR,Lamar,Home,ABILENE-CHRISTIAN,Abilene Christian,Abilene Christian,ABILENE-CHRISTIAN,LAMAR,Abilene Christian,Lamar,2020-02-08-20-abilene-christianAbilene Christian,2020-02-08-20-abilene-christianLamar,,,,,,,,
57,2020-03-07-17-lamar,"March 7, 2020","Montagne Center, Beaumont, Texas",LAMAR,Lamar,Away,MCNEESE-STATE,McNeese State,Lamar,MCNEESE-STATE,LAMAR,McNeese State,Lamar,2020-03-07-17-lamarMcNeese State,2020-03-07-17-lamarLamar,,,,,,,,
58,2020-01-15-20-lamar,"January 15, 2020","Montagne Center, Beaumont, Texas",LAMAR,Lamar,Away,SAM-HOUSTON-STATE,Sam Houston State,Lamar,SAM-HOUSTON-STATE,LAMAR,Sam Houston State,Lamar,2020-01-15-20-lamarSam Houston State,2020-01-15-20-lamarLamar,,,,,,,,
59,2020-01-25-17-lamar,"January 25, 2020","Montagne Center, Beaumont, Texas",LAMAR,Lamar,Away,STEPHEN-F-AUSTIN,Stephen F. Austin,Lamar,STEPHEN-F-AUSTIN,LAMAR,Stephen F. Austin,Lamar,2020-01-25-17-lamarStephen F. Austin,2020-01-25-17-lamarLamar,,,,,,,,
60,2020-02-29-17-stephen-f-austin,"February 29, 2020","William Johnson Coliseum, Nacogdoches, Texas",LAMAR,Lamar,Home,STEPHEN-F-AUSTIN,Stephen F. Austin,Lamar,STEPHEN-F-AUSTIN,LAMAR,Stephen F. Austin,Lamar,2020-02-29-17-stephen-f-austinStephen F. Austin,2020-02-29-17-stephen-f-austinLamar,,,,,,,,
61,2019-12-21-16-northwestern-state,"December 21, 2019","Prather Coliseum, Natchitoches, Louisiana",LAMAR,Lamar,Home,NORTHWESTERN-STATE,Northwestern State,Lamar,NORTHWESTERN-STATE,LAMAR,Northwestern State,Lamar,2019-12-21-16-northwestern-stateNorthwestern State,2019-12-21-16-northwestern-stateLamar,,,,,,,,
62,2019-12-14-15-texas-christian,"December 14, 2019","Ed & Rae Schollmaier Arena, Fort Worth, Texas",LAMAR,Lamar,Home,TEXAS-CHRISTIAN,TCU,Lamar,TEXAS-CHRISTIAN,LAMAR,TCU,Lamar,2019-12-14-15-texas-christianTCU,2019-12-14-15-texas-christianLamar,,,,,,,,
63,2019-11-12-19-duquesne,"November 12, 2019","Kerr Fitness Center, Pittsburgh, Pennsylvania",LAMAR,Lamar,Home,DUQUESNE,Duquesne,Duquesne,DUQUESNE,LAMAR,Duquesne,Lamar,2019-11-12-19-duquesneDuquesne,2019-11-12-19-duquesneLamar,,,,,,,,
64,2019-11-26-20-alabama-birmingham,"November 26, 2019","Bartow Arena, Birmingham, Alabama",LAMAR,Lamar,Home,ALABAMA-BIRMINGHAM,Alabama-Birmingham,Lamar,ALABAMA-BIRMINGHAM,LAMAR,UAB,Lamar,2019-11-26-20-alabama-birminghamUAB,2019-11-26-20-alabama-birminghamLamar,,,,,,,,
65,2019-11-30-20-texas-southern,"November 30, 2019","Health & Physical Education Arena, Houston, Texas",LAMAR,Lamar,Home,TEXAS-SOUTHERN,Texas Southern,Lamar,TEXAS-SOUTHERN,LAMAR,Texas Southern,Lamar,2019-11-30-20-texas-southernTexas Southern,2019-11-30-20-texas-southernLamar,,,,,,,,
66,2019-11-24-18-kentucky,"November 24, 2019","Rupp Arena, Lexington, Kentucky",LAMAR,Lamar,Home,KENTUCKY,Kentucky,Kentucky,KENTUCKY,LAMAR,Kentucky,Lamar,2019-11-24-18-kentuckyKentucky,2019-11-24-18-kentuckyLamar,,,,,,,,
67,2020-01-08-20-lamar,"January 8, 2020","Montagne Center, Beaumont, Texas",LAMAR,Lamar,Away,NICHOLLS-STATE,Nicholls State,Lamar,NICHOLLS-STATE,LAMAR,Nicholls State,Lamar,2020-01-08-20-lamarNicholls State,2020-01-08-20-lamarLamar,,,,,,,,
68,2020-02-12-20-nicholls-state,"February 12, 2020","David Stopher Gymnasium, Thibodaux, Louisiana",LAMAR,Lamar,Home,NICHOLLS-STATE,Nicholls State,Lamar,NICHOLLS-STATE,LAMAR,Nicholls State,Lamar,2020-02-12-20-nicholls-stateNicholls State,2020-02-12-20-nicholls-stateLamar,,,,,,,,
69,2020-01-18-16-texas-am-corpus-christi,"January 18, 2020","American Bank Center, Corpus Christi, Texas",LAMAR,Lamar,Home,TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,Lamar,TEXAS-AM-CORPUS-CHRISTI,LAMAR,Texas A&M-Corpus Christi,Lamar,2020-01-18-16-texas-am-corpus-christiTexas A&M-Corpus Christi,2020-01-18-16-texas-am-corpus-christiLamar,,,,,,,,
