awayindex,boxscore,date,location,losing_abbr,losing_name,winner,winning_abbr,winning_name,team_name,home_team,away_team,home_team_name,away_team_name,homeindex,awayindex,home_pregame_eFG,home_pregame_rebound_percentage,home_pregame_eFG_allowed,home_pregame_win_percentage,away_pregame_eFG,away_pregame_rebound_percentage,away_pregame_eFG_allowed,away_pregame_win_percentage
2020-01-30-19-morehead-stateSoutheast Missouri State,2020-01-30-19-morehead-state,"January 30, 2020","Ellis T. Johnson Arena, Morehead, Kentucky",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Home,MOREHEAD-STATE,Morehead State,Southeast Missouri State,MOREHEAD-STATE,SOUTHEAST-MISSOURI-STATE,Morehead State,Southeast Missouri State,2020-01-30-19-morehead-stateMorehead State,2020-01-30-19-morehead-stateSoutheast Missouri State,,,,,0.4645904436860068,0.4701436130007559,0.5552721088435374,0.19047619047619047
2020-02-08-17-southeast-missouri-stateSoutheast Missouri State,2020-02-08-17-southeast-missouri-state,"February 8, 2020","Show Me Center, Cape Girardeau, Missouri",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Away,TENNESSEE-TECH,Tennessee Tech,Southeast Missouri State,TENNESSEE-TECH,SOUTHEAST-MISSOURI-STATE,Tennessee Tech,Southeast Missouri State,2020-02-08-17-southeast-missouri-stateTennessee Tech,2020-02-08-17-southeast-missouri-stateSoutheast Missouri State,,,,,0.4718468468468469,0.4700854700854701,0.548646671543526,0.2083333333333333
2020-02-22-17-tennessee-techSoutheast Missouri State,2020-02-22-17-tennessee-tech,"February 22, 2020","Eblen Center, Cookeville, Tennessee",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Home,TENNESSEE-TECH,Tennessee Tech,Southeast Missouri State,TENNESSEE-TECH,SOUTHEAST-MISSOURI-STATE,Tennessee Tech,Southeast Missouri State,2020-02-22-17-tennessee-techTennessee Tech,2020-02-22-17-tennessee-techSoutheast Missouri State,,,,,0.4740428293316029,0.4723961297666477,0.5391661402400505,0.25
2019-11-19-19-southeast-missouri-stateSoutheast Missouri State,2019-11-19-19-southeast-missouri-state,"November 19, 2019","Show Me Center, Cape Girardeau, Missouri",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Away,CITADEL,Citadel,Southeast Missouri State,CITADEL,SOUTHEAST-MISSOURI-STATE,The Citadel,Southeast Missouri State,2019-11-19-19-southeast-missouri-stateThe Citadel,2019-11-19-19-southeast-missouri-stateSoutheast Missouri State,,,,,0.4868421052631579,0.48905109489051096,0.544,0.5
2019-12-18-20-new-orleansNew Orleans,2019-12-18-20-new-orleans,"December 18, 2019","Kiefer Lakefront Arena, New Orleans , Louisiana",NEW-ORLEANS,New Orleans,Away,ABILENE-CHRISTIAN,Abilene Christian,New Orleans,ABILENE-CHRISTIAN,NEW-ORLEANS,Abilene Christian,New Orleans,2019-12-18-20-new-orleansAbilene Christian,2019-12-18-20-new-orleansNew Orleans,,,,,0.5199652777777778,0.4929577464788733,0.5079051383399209,0.4444444444444444
2019-11-12-20-southern-methodistNew Orleans,2019-11-12-20-southern-methodist,"November 12, 2019","Moody Coliseum, Dallas, Texas",NEW-ORLEANS,New Orleans,Home,SOUTHERN-METHODIST,SMU,New Orleans,SOUTHERN-METHODIST,NEW-ORLEANS,Southern Methodist,New Orleans,2019-11-12-20-southern-methodistSouthern Methodist,2019-11-12-20-southern-methodistNew Orleans,,,,,0.5833333333333334,0.448,0.4715447154471545,0.5
2020-01-18-19-new-orleansNew Orleans,2020-01-18-19-new-orleans,"January 18, 2020","Kiefer Lakefront Arena, New Orleans , Louisiana",NEW-ORLEANS,New Orleans,Away,MCNEESE-STATE,McNeese State,New Orleans,MCNEESE-STATE,NEW-ORLEANS,McNeese State,New Orleans,2020-01-18-19-new-orleansMcNeese State,2020-01-18-19-new-orleansNew Orleans,,,,,0.5124254473161034,0.4797687861271676,0.5336091003102379,0.35294117647058826
2019-12-21-15-sam-houston-stateNew Orleans,2019-12-21-15-sam-houston-state,"December 21, 2019","Johnson Coliseum, Huntsville, Texas",NEW-ORLEANS,New Orleans,Home,SAM-HOUSTON-STATE,Sam Houston State,New Orleans,SAM-HOUSTON-STATE,NEW-ORLEANS,Sam Houston State,New Orleans,2019-12-21-15-sam-houston-stateSam Houston State,2019-12-21-15-sam-houston-stateNew Orleans,,,,,0.5176282051282052,0.4895666131621188,0.5116906474820144,0.4
2020-01-04-19-new-orleansNew Orleans,2020-01-04-19-new-orleans,"January 4, 2020","Kiefer Lakefront Arena, New Orleans , Louisiana",NEW-ORLEANS,New Orleans,Away,STEPHEN-F-AUSTIN,Stephen F. Austin,New Orleans,STEPHEN-F-AUSTIN,NEW-ORLEANS,Stephen F. Austin,New Orleans,2020-01-04-19-new-orleansStephen F. Austin,2020-01-04-19-new-orleansNew Orleans,,,,,0.5057618437900128,0.4837092731829574,0.5306539509536785,0.3076923076923077
2020-02-08-17-stephen-f-austinNew Orleans,2020-02-08-17-stephen-f-austin,"February 8, 2020","William Johnson Coliseum, Nacogdoches, Texas",NEW-ORLEANS,New Orleans,Home,STEPHEN-F-AUSTIN,Stephen F. Austin,New Orleans,STEPHEN-F-AUSTIN,NEW-ORLEANS,Stephen F. Austin,New Orleans,2020-02-08-17-stephen-f-austinStephen F. Austin,2020-02-08-17-stephen-f-austinNew Orleans,,,,,0.5077639751552795,0.4813404417364813,0.5396,0.3181818181818182
